OrthoGroups	Sce_pIDs	Kma_pIDs	Yli_pIDs
OG0001993	Q02204	W0T8G9	Q6C881
OG0001995	P53235	W0T8H3	Q6CCJ4
OG0001997	P06168	W0TAV6	Q6CAF8
OG0001998	P15019	W0TCV6	Q6C1K2
OG0002002	P49954	W0TAW6	Q6CFG0
OG0002003	Q99312	W0TA80	Q6C673
OG0002005	Q99189	W0T961	Q6CAP0
OG0002007	P17558	W0T8J4	Q6C6L0
OG0002009	P25043	W0TCX1	Q6C950
OG0002010	P04161	W0T966	Q6CAG1
OG0002013	P32796	W0TCX6	Q6CF46
OG0002017	P32611	W0TA95	Q6C9B0
OG0002018	Q04033	W0TCY1	Q6CFP5
OG0002019	P32610	W0T976	Q6CAR5
OG0002021	P32317	W0T8K8	Q6CAR2
OG0002022	Q02197	W0TAA0	Q6C2E4
OG0002024	Q04052	W0TAA5	Q6CBH8
OG0002026	P25087	W0TAZ1	Q6C2D9
OG0002027	P32912	W0TAA9	Q6CBR0
OG0002034	P40024	W0T8M2	Q6C848
OG0002038	P53076	W0TB04	Q6C214
OG0002039	P39954	W0T8N1	Q6C211
OG0002042	P53073	W0T8N6	Q6CHC4
OG0002045	P43616	W0T9A7	Q6C1A8
OG0002046	P43617	W0TB10	Q6C0X5
OG0002047	P07244	W0T8P1	Q99148
OG0002050	P33307	W0T9B4	Q6C6Q8
OG0002052	P53067	W0TAE1	Q6CE53
OG0002055	P53064	W0TB17	Q6CAL0
OG0002057	P46655	W0TD23	Q6C4A4
OG0002059	Q02455	W0TAE8	Q6C0Z5
OG0002061	P10963	W0TD31	Q6CBN4
OG0002063	P32191	W0T8R1	Q6CEQ0
OG0002064	P47037	W0T8R5	Q6CI88
OG0002065	Q04869	W0TD48	Q6C9J8
OG0002068	P39008	W0T8S7	Q6CEV9
OG0002069	P53741	W0TAH4	Q6C3D4
OG0002071	P38999	W0T9F4	Q6C844
OG0002072	P21734	W0TD56	Q6C353
OG0002073	P25655	W0TB56	Q6C0P0
OG0002076	P53199	W0T9G1	Q6CB38
OG0002079	Q06168	W0TAI8	Q6C9N2
OG0002084	P53202	W0T9H2	Q6CFU9
OG0002086	Q06169	W0T8V0	Q6C7K6
OG0002091	P33412	W0TAK3	Q6CCV0
OG0002100	Q04225	W0TAM4	Q6CBR7
OG0002103	Q07979	W0T9K4	Q6C7M7
OG0002108	P34160	W0T9K6	Q6CH33
OG0002110	P23542	W0T8Z5	Q6BZZ9
OG0002111	Q01590	W0TDA8	Q6CBP2
OG0002118	Q12186	W0T903	Q6C187
OG0002119	P05756	W0TAQ3	Q6C242
OG0002122	Q07825	W0TBC1	Q6C5C7
OG0002124	P31539	W0TAQ8	Q6C4C2
OG0002127	P05374	W0T913	Q6C6U9
OG0002128	P48240	W0TAR3	Q6C6V0
OG0002129	P38081	W0TDC6	Q6C3K1
OG0002130	P14843	W0TBD2	Q6CDZ3
OG0002131	P38237	W0TAR9	Q6CEB0
OG0002132	P28817	W0TDD4	Q6CA37
OG0002135	P11353	W0TDD9	Q6C438
OG0002138	Q03201	W0TDE4	Q6C0P3
OG0002140	P15180	W0TBE8	Q6C1H2
OG0002142	P00942	W0TDE9	Q6C2T9
OG0002146	Q04585	W0T944	Q6C916
OG0002148	Q12267	W0TDG1	Q6CBG2
OG0002150	P39012	W0TBG4	Q6CHI3
OG0002153	Q04599	W0TAV3	Q6C9A2
OG0002154	Q04600	W0TDH1	Q6C9A4
OG0002156	Q02895	W0T963	Q6CC44
OG0002157	P15565	W0TDH6	Q6C410
OG0002164	P08566	W0T9T0	Q6C1X5
OG0002166	Q12452	W0T980	Q6CE88
OG0002167	P32599	W0TAX2	Q6CE89
OG0002173	P38013	W0T992	Q6C4N1
OG0002174	P32485	W0TDK3	Q6C4M9
OG0002176	P16622	W0T997	Q6C140
OG0002179	P22214	W0T9A4	Q6C880
OG0002181	Q12125	W0TDL2	Q6C945
OG0002182	Q99287	W0T9V7	Q6C3B0
OG0002184	P13188	W0T9W1	Q6CD53
OG0002185	Q99260	W0T9B2	Q6CDQ3
OG0002186	P17649	W0T9B9	Q6C5G6
OG0002191	P40165	W0T9C9	Q6CDL0
OG0002193	P38120	W0T9Z4	Q6CFK6
OG0002195	Q99247	W0T9E5	Q6CA27
OG0002196	P20434	W0TB21	Q6CA26
OG0002203	P42943	W0TB30	Q6CB92
OG0002204	P47025	W0TDR2	Q6CB13
OG0002207	P21771	W0TB35	Q6CAU4
OG0002210	P52918	W0TBR7	Q6CAA7
OG0002211	P38805	W0T9G5	Q6C0V2
OG0002212	P38804	W0TBS2	Q6CHA5
OG0002213	Q05471	W0T9H0	Q6CA87
OG0002215	P00427	W0T9H3	Q6C6E6
OG0002217	P46951	W0TA35	B5U8Q6
OG0002218	P42935	W0T9H8	Q6CAY3
OG0002219	P39522	W0TB52	Q6CAY2
OG0002220	P38811	W0TA40	Q6CDB3
OG0002221	P38810	W0T9J6	Q6C5Y6
OG0002222	P10662	W0TDV3	Q6CDZ0
OG0002226	P22147	W0TBB5	Q6CAZ5
OG0002231	P39077	W0T9M6	Q6C8D4
OG0002233	P47075	W0TDZ7	Q6CCB1
OG0002236	P32469	W0TE02	Q6C1E0
OG0002237	Q06247	W0TAA1	Q6CCE1
OG0002239	Q06567	W0TE05	Q6CG16
OG0002240	P53110	W0TAA7	Q6CDA7
OG0002243	Q04660	W0TC23	Q6C4I9
OG0002249	P40202	W0T9P7	Q6BZU2
OG0002257	Q02608	W0TC43	Q6C6G7
OG0002258	Q12754	W0T9R0	Q6C6P9
OG0002260	P53600	W0TE34	Q6C1U7
OG0002261	Q12532	W0TAE0	Q6C1U6
OG0002262	P25644	W0TC46	Q6C5B3
OG0002265	P00498	W0T9R9	Q99145
OG0002267	P40529	W0TE44	Q6C1Q7
OG0002268	P10869	W0TC56	Q6C9F1
OG0002269	P38626	W0T9S4	Q6CA86
OG0002273	P40541	W0TE53	Q6C144
OG0002275	P38836	W0TAF6	Q6CES8
OG0002277	P38310	W0TAG1	Q6CHU4
OG0002278	P36102	W0T9T9	Q6CBZ0
OG0002281	P38998	W0T9U4	P38997
OG0002282	P20484	W0TBK6	Q6C1X4
OG0002283	P34072	W0TBL0	Q6C801
OG0002284	P53941	W0TE75	Q6C804
OG0002285	P50264	W0T9V3	Q6CDJ6
OG0002290	P36516	W0TE85	Q6C8P0
OG0002292	P14540	W0T9W3	Q6C4K5
OG0002295	P04456	W0T9W9	Q6C0E1
OG0002296	P42847	W0TBM4	Q6C5Y2
OG0002299	P26754	W0T9X2	Q6C2Y9
OG0002302	P40513	W0TCB5	Q6CHP2
OG0002304	P40052	W0TCB8	Q6BZS8
OG0002305	P40053	W0T9Y7	Q6C8T3
OG0002309	Q12029	W0TBP4	Q6CEF5
OG0002310	Q12024	W0TCC5	Q6CEW7
OG0002314	Q03653	W0TA00	Q6C8F7
OG0002320	P32379	W0TED2	Q6C788
OG0002321	P25340	W0TAM6	Q6C8J1
OG0002322	P32366	W0TED8	Q6C1H5
OG0002326	P47160	W0TBS5	Q6C975
OG0002328	Q07458	W0TAP0	Q6CF00
OG0002330	Q07457	W0TBT0	Q6CF78
OG0002332	Q06053	W0TA29	Q6C4K3
OG0002333	Q07451	W0TBT5	Q6C4K4
OG0002334	P35817	W0TEF7	Q6C571
OG0002337	P20795	W0TAQ4	Q6C2Y2
OG0002339	P14020	W0TAQ9	Q6CA34
OG0002340	Q06625	W0TCG5	Q6CGI3
OG0002343	P20435	W0TEG8	Q6C2U5
OG0002345	P17883	W0TCG9	Q6C3F0
OG0002347	P07257	W0TBV3	Q6C2E3
OG0002348	P11792	W0TEH4	Q6C936
OG0002350	P38887	W0TA50	Q6C966
OG0002351	P32787	W0TEH9	Q6C6V8
OG0002352	P46971	W0TAS3	Q6C6V5
OG0002357	P31116	W0TAS9	Q6CAP2
OG0002358	P47170	W0TCI1	Q6CAP3
OG0002359	P38886	W0TA58	Q6CAD4
OG0002360	P47169	W0TBW6	Q6C9H5
OG0002363	P47166	W0TAU0	Q6CHE6
OG0002365	P46970	W0TBX4	Q6C5P6
OG0002367	P38878	W0TCJ7	Q6CHB4
OG0002369	P32906	W0TBX8	Q6C8S3
OG0002370	P25335	W0TCK2	Q6C8N1
OG0002376	Q06685	W0TA84	Q6CES1
OG0002377	P32895	W0TBZ0	Q6CER7
OG0002378	P07149	W0TAW0	P34229
OG0002381	P34232	W0TEL8	Q6CF15
OG0002384	P34230	W0TA93	Q6CAB6
OG0002387	Q08959	W0TCM6	Q6C2F9
OG0002388	P43636	W0TC06	Q6C3V7
OG0002390	P53166	W0TC12	Q6C3J3
OG0002391	P38688	W0TEN1	F2Z620
OG0002394	Q01163	W0TAA8	Q6CC10
OG0002399	P21560	W0TAB2	Q6CBJ5
OG0002401	P20606	W0TAY6	Q6CB54
OG0002404	P41811	W0TEP5	Q6CB55
OG0002405	Q08968	W0TEP8	Q6C1L5
OG0002406	Q03280	W0TCQ0	Q6CFL1
OG0002408	P32500	W0TC38	Q6C358
OG0002409	Q04121	W0TEQ3	Q6C362
OG0002412	Q04119	W0TEQ7	Q6CEE7
OG0002413	P51998	W0TAD4	Q6C573
OG0002419	P12887	W0TC59	Q6CAC0
OG0002420	Q03722	W0TER9	Q6C9I1
OG0002425	Q04080	W0TC69	Q6C9A3
OG0002427	Q01560	W0TCT7	Q6CA64
OG0002429	P54837	W0TC74	Q6C503
OG0002430	P27692	W0TB24	Q6CC84
OG0002432	Q04067	W0TAG3	Q6C747
OG0002433	Q04062	W0TC77	Q6C6Q6
OG0002436	P40018	W0TB32	Q6C948
OG0002437	P53131	W0TC88	Q6CEH2
OG0002438	P27697	W0TEV1	Q6CEH1
OG0002441	P48589	W0TAI9	Q6C2P6
OG0002444	P27825	W0TAJ4	Q6CET3
OG0002447	P00812	W0TCC3	Q6C6P6
OG0002449	Q02961	W0TAL2	Q6C5A6
OG0002450	P32873	W0TEZ2	Q6C6P3
OG0002451	P32875	W0TB75	Q6C6C6
OG0002452	Q02959	W0TAL7	Q6CGA7
OG0002453	Q08601	W0TCD1	Q6C2Y6
OG0002454	P38934	W0TEZ7	Q6C2Y7
OG0002455	P15496	W0TB79	Q6C2Y8
OG0002457	P06633	W0TAM2	Q6C3L0
OG0002458	Q02950	W0TCD4	Q6CEK3
OG0002461	P39744	W0TF06	Q6C9D7
OG0002463	P47048	W0TF16	Q6C9M2
OG0002464	P47047	W0TD20	Q6C9C9
OG0002465	P40335	W0TF21	Q6C807
OG0002466	P47045	W0TBA4	Q6C7Y5
OG0002470	P47039	W0TD28	Q6C490
OG0002474	P38342	W0TAR2	Q6CE86
OG0002476	P22353	W0TF37	Q6CE84
OG0002477	P38148	W0TD35	Q6CFS4
OG0002478	P40364	W0TCG8	Q6C365
OG0002479	P38351	W0TBC4	Q6C509
OG0002480	P40363	W0TD40	Q6CBB1
OG0002481	P38352	W0TAS2	Q6C641
OG0002483	P40362	W0TF48	Q6BZR5
OG0002486	P38339	W0TF53	Q6CI30
OG0002493	P22023	W0TAU5	Q6CC41
OG0002494	P40825	W0TCJ3	Q6CFS9
OG0002497	P22203	W0TCJ8	Q6C1K0
OG0002500	P19524	W0TAV5	Q6C7K0
OG0002502	P54885	W0TD69	Q6C421
OG0002503	P39524	W0TAW2	Q6C3I4
OG0002507	Q12449	W0TCL3	Q6CEG4
OG0002508	P12612	W0TBH2	Q6CEG7
OG0002509	P32501	W0TAX3	Q6CEG9
OG0002511	Q04734	W0TF92	Q7Z8R5
OG0002512	Q05892	W0TBH8	Q6C4D1
OG0002516	Q01939	W0TB23	Q6C8T1
OG0002517	P53178	W0TCQ7	Q6C3P1
OG0002523	P32479	W0TDD7	Q6C553
OG0002524	P07264	W0TCR6	Q6CG29
OG0002525	P32790	W0TFE7	Q6CHN0
OG0002527	P21243	W0TDE0	Q6CCW2
OG0002528	Q04636	W0TDE7	Q6C7V4
OG0002534	P36517	W0TFG4	Q6CF20
OG0002536	Q04958	W0TDF9	Q6CF18
OG0002537	P07991	W0TB47	Q6CD21
OG0002538	Q06672	W0TBS3	Q6C5T0
OG0002539	P08518	W0TDG9	Q6CAD6
OG0002541	P31787	W0TFH4	B5FVF1
OG0002542	Q06142	W0TBT1	Q6C9D2
OG0002544	Q06137	W0TB58	Q6C8B6
OG0002547	P05317	W0TFI4	Q6CEP2
OG0002555	P22138	W0TCX4	Q6C6G0
OG0002557	P28321	W0TDJ9	Q6CBY1
OG0002558	P30771	W0TCX9	Q6C803
OG0002560	P24280	W0TBV4	P45816
OG0002562	P24004	W0TB80	Q6CBU7
OG0002568	P48015	W0TBW1	Q6C340
OG0002571	P38225	W0TFL7	Q6C5Q8
OG0002573	P38077	W0TDL5	Q6C338
OG0002576	P38075	W0TBW9	Q6C946
OG0002580	P32388	W0TDM4	Q6C1B9
OG0002583	P32604	W0TBA6	Q6C5J2
OG0002584	P34110	W0TD09	Q6C5K0
OG0002585	P00431	W0TFP1	Q6C0Z6
OG0002588	Q12109	W0TD16	Q6CFA0
OG0002589	Q99258	W0TFQ0	Q6CF99
OG0002590	Q05933	W0TBB8	Q6CDY5
OG0002594	P38972	W0TBC7	Q6BZY1
OG0002598	Q12697	W0TFR6	Q6C829
OG0002599	Q05022	W0TC11	Q6C430
OG0002602	Q05016	W0TC15	Q6CCQ8
OG0002603	P00927	W0TDS0	Q6CAI4
OG0002607	Q12680	W0TD39	Q6CDZ4
OG0002610	P14743	W0TBF1	Q6C7G2
OG0002611	P21304	W0TD43	Q6C7G1
OG0002612	Q12460	W0TC29	Q6C8T5
OG0002614	Q05779	W0TD47	Q6C071
OG0002615	P32771	W0TFU0	Q6C297
OG0002618	P06100	W0TBG0	Q6CDL7
OG0002619	P32335	W0TD51	Q6C3S5
OG0002622	P36525	W0TFU9	Q6CFD6
OG0002623	Q12344	W0TC45	Q6C199
OG0002626	P49095	W0TBH5	Q6CHE0
OG0002628	Q03246	W0TC55	Q6CCN7
OG0002629	Q12270	W0TDV1	Q6CDV6
OG0002631	P38687	W0TFW5	Q6CBG8
OG0002633	P38795	W0TDW1	Q6CGE0
OG0002635	Q06678	W0TFX2	Q6C3U0
OG0002636	P81449	W0TC70	B5FVG3
OG0002641	Q06679	W0TC75	Q6C2E1
OG0002642	Q06680	W0TDW7	Q6C2E0
OG0002644	Q05515	W0TFY8	Q6CBN5
OG0002647	P40011	W0TFZ2	Q6C0S1
OG0002648	P40564	W0TC90	Q6C1Z5
OG0002650	P33332	W0TD94	Q6C0U5
OG0002652	P89886	W0TC94	Q6CGQ0
OG0002654	P40010	W0TBL2	Q6C0U3
OG0002658	P29952	W0TDA2	Q6CE59
OG0002661	P40006	W0TDZ2	Q6C5B4
OG0002663	P33767	W0TG08	Q6CA20
OG0002667	P40557	W0TG14	Q6C7A3
OG0002671	Q00776	W0TDB9	Q6CEZ3
OG0002672	P40553	W0TCC1	Q6C5B6
OG0002673	Q08977	W0TE07	Q6CH26
OG0002675	Q08193	W0TCC7	Q6CA92
OG0002679	P23180	W0TG28	Q6C1G9
OG0002681	Q06103	W0TBP8	Q6CDP7
OG0002684	P07703	W0TCD9	Q6C4T2
OG0002688	P07806	W0TCE4	Q6C109
OG0002695	P53258	W0TE43	Q6CG19
OG0002697	P53261	W0TG56	Q6CDK0
OG0002700	Q06489	W0TE54	Q6CGS4
OG0002702	P53265	W0TBU0	P41929
OG0002703	P33317	W0TDH2	Q6C141
OG0002710	P38145	W0TE72	Q6CDE7
OG0002712	P39692	W0TCH5	Q6C5P4
OG0002713	P38989	W0TE78	Q6C0G9
OG0002717	P40545	W0TE83	Q6C2U0
OG0002718	P16370	W0TBV9	Q6C2S4
OG0002719	Q01852	W0TG83	Q6C8B1
OG0002720	P40961	W0TBW3	Q6C708
OG0002722	Q12395	W0TG89	Q6C0B6
OG0002723	Q03761	W0TCI9	Q6CD69
OG0002725	P11986	W0TBW7	Q6CFS3
OG0002728	P20485	W0TEA1	Q6C5L9
OG0002729	P19262	W0TBX1	Q6C5L8
OG0002730	Q00402	W0TGA0	Q6CF84
OG0002732	P13663	W0TBX9	Q6C968
OG0002736	Q03771	W0TBY3	Q6C973
OG0002743	P30619	W0TCM2	Q6C508
OG0002745	Q03774	W0TGC5	Q6C705
OG0002747	P43321	W0TBZ7	Q6CGI5
OG0002749	Q12030	W0TGD2	Q6C5H3
OG0002750	P06101	W0TCM9	Q6C5F7
OG0002752	Q12427	W0TC03	Q6CCH9
OG0002753	P39015	W0TDP1	Q6CCH7
OG0002755	P11075	W0TDP6	Q6C820
OG0002757	P05453	W0TEE8	Q6CFC9
OG0002758	Q03976	W0TEF8	Q6C9T8
OG0002760	P10507	W0TDR1	Q6CGY9
OG0002767	P05759	W0TDR9	Q6C290
OG0002770	Q06549	W0TGH7	Q6C8T8
OG0002771	Q01662	W0TCR7	Q6C8T4
OG0002772	P39079	W0TEI1	Q6C8E4
OG0002773	P22213	W0TC48	Q6C8E1
OG0002774	Q03940	W0TDS6	Q6CB52
OG0002779	Q03941	W0TC58	Q6C296
OG0002785	P35197	W0TC71	Q6CD82
OG0002791	P40157	W0TDU8	Q6CA59
OG0002794	P48365	W0TC86	P09379
OG0002796	Q07688	W0TCV9	Q6CD05
OG0002800	P80210	W0TGM4	Q6C482
OG0002805	P53867	W0TGM7	Q6CH28
OG0002808	P23202	W0TDW6	Q6CD77
OG0002810	P53860	W0TCX5	Q6CHI5
OG0002812	P53858	W0TCA7	Q6CHJ1
OG0002813	P32259	W0TCY0	Q6C1B1
OG0002817	P11412	W0TCY6	Q6C4Y7
OG0002822	P38235	W0TDZ1	Q6C2H1
OG0002823	Q00816	W0TI94	Q6CEC2
OG0002824	P20967	W0TDY2	Q6C3M8
OG0002825	P40469	W0TFL3	Q6C8U9
OG0002828	P12695	W0TER0	Q6C812
OG0002830	P32048	W0TFK4	Q6C814
OG0002832	P53622	W0TI75	Q6C5A1
OG0002834	P39078	W0TDW4	Q6C100
OG0002837	P04050	W0TFI3	Q6CBQ3
OG0002838	P53691	W0TDW0	Q6CBP4
OG0002842	P54860	W0TI60	Q6C9B7
OG0002844	P17255	W0TFF0	Q6CHD8
OG0002847	Q12018	W0TEK3	Q6C9B4
OG0002849	Q99385	W0TFC6	Q6CF88
OG0002851	P25694	W0TEJ2	Q6C1Z3
OG0002852	Q04344	W0TI19	Q6CEJ3
OG0002853	P46681	W0TFC1	Q6CCU5
OG0002854	Q07551	W0TDP7	Q6CEJ0
OG0002856	P04801	W0TDP3	Q6C234
OG0002857	P40508	W0TG31	Q6C240
OG0002858	P25627	W0TEI3	Q6C2M9
OG0002859	P25626	W0TI09	Q6C0I6
OG0002860	P32897	W0TG23	Q6C003
OG0002861	Q00955	W0TEH6	Q6CC91
OG0002865	P50107	W0TFA2	Q6C4S7
OG0002866	P23644	W0TEG7	Q6BZS7
OG0002867	P40345	W0TG07	Q6C5M4
OG0002869	P09201	W0TF96	Q6CGV1
OG0002870	P33333	W0TDL8	Q6C5D5
OG0002871	P33399	W0TEF4	Q6C5E0
OG0002872	Q03124	W0TF89	Q6BZY2
OG0002876	P32481	W0TF85	Q6CHX3
OG0002877	P08638	W0TDK6	Q6C954
OG0002878	P26783	W0THX4	Q6C2E5
OG0002880	P00830	W0TFY6	Q6CFT7
OG0002881	P32263	W0TED6	Q6CEN0
OG0002885	P40016	W0TFX9	Q6C023
OG0002886	P47154	W0TED0	Q6C243
OG0002888	P47143	W0TF72	Q6C0M3
OG0002890	P38840	W0THV6	Q6CCZ6
OG0002892	P09624	W0TFW6	Q6C8C6
OG0002894	P54781	W0TF60	Q6CGM4
OG0002895	P32496	W0TDH8	Q6CGK2
OG0002898	P32608	W0THU3	Q6CDP4
OG0002899	P30657	W0TF50	Q6C3S4
OG0002903	Q12508	W0TE97	Q6CGJ4
OG0002905	Q03308	W0TF39	Q6CHY3
OG0002907	P37838	W0TDG2	Q6CHY5
OG0002910	P48526	W0THS6	Q6CCB9
OG0002911	P17157	W0TF29	Q6C7U8
OG0002914	P41338	W0THR7	Q6CFB6
OG0002915	Q03786	W0TF23	Q6C2H6
OG0002917	P46151	W0THR2	Q6CEM7
OG0002919	P09547	W0TDE2	Q6C4K7
OG0002920	Q08952	W0TE70	Q6C443
OG0002922	Q08951	W0TF13	Q6C3F4
OG0002923	P53157	W0TFR0	Q6C3F1
OG0002931	Q06892	W0TEZ5	Q6C5H7
OG0002934	P49687	W0TFN6	Q6C8Q2
OG0002938	P53010	W0TDB3	Q6C462
OG0002940	P38932	W0TE37	Q6C465
OG0002943	P18480	W0TDA9	Q6C625
OG0002945	P38152	W0TE31	Q6C0B0
OG0002947	P36100	W0TDA5	Q6C0A8
OG0002948	P36013	W0TFM2	Q6C5F0
OG0002956	Q04264	W0TE14	Q6C631
OG0002959	P38748	W0TD91	Q6CCP5
OG0002960	Q86ZR7	W0TE09	Q6C0G1
OG0002962	P32861	W0TEV0	Q6CI26
OG0002964	P38701	W0THK0	Q6C569
OG0002965	P32860	W0TFJ6	Q6CG73
OG0002970	P15625	W0TD76	Q6C8V7
OG0002975	P11745	W0TES6	Q6CEX2
OG0002976	O14467	W0TD63	Q8TG23
OG0002979	P07258	W0TD58	Q6C9Y4
OG0002983	P32179	W0TDX5	Q6C055
OG0002987	P38221	W0TFG2	Q6C5X0
OG0002991	P38830	W0TD42	Q6CEL3
OG0002992	P53914	W0TFF4	Q6CEL4
OG0002993	P49334	W0TDW3	Q6CCA8
OG0002997	P38828	W0TDV9	Q6CCA6
OG0003003	P53920	W0TFE0	Q6BZQ9
OG0003009	P53925	W0TD21	Q6C174
OG0003010	P38822	W0TFD1	Q6CC83
OG0003015	Q12453	W0TDU1	Q6C4D5
OG0003018	Q99210	W0TD13	Q6C1R0
OG0003022	P00549	W0TDT2	P30614
OG0003024	P39729	W0TEL0	Q6CIA1
OG0003025	P39730	W0TFA6	Q6CI82
OG0003026	P10964	W0TDS4	Q6C1S4
OG0003027	P38961	W0TDS1	Q6C1B8
OG0003034	P36016	W0TCX7	Q6CFA8
OG0003035	P36084	W0TF94	Q6C6F8
OG0003040	P25298	W0TEI2	Q6C8L8
OG0003041	Q04728	W0TCW7	Q6C627
OG0003045	P31412	W0TF84	Q6CH91
OG0003061	P30902	W0TCT8	Q6CFH9
OG0003069	P81451	W0TEE5	B5FVB3
OG0003070	Q08235	W0TCS4	Q6CEY4
OG0003071	Q12387	W0TF49	Q6CEY6
OG0003073	P00817	W0TCR9	Q6C1T4
OG0003074	P00912	W0TF44	F2Z5Z5
OG0003080	Q03435	W0TCQ9	Q6C8P7
OG0003083	P41920	W0TCQ4	Q6CEJ9
OG0003085	P18900	W0TDI0	Q6CBH3
OG0003091	P49018	W0TH18	Q6C2I0
OG0003092	Q06682	W0TEB6	Q6C2H5
OG0003093	P52286	W0TH13	Q6CHA1
OG0003094	P33416	W0TCP1	Q6C1Y2
OG0003098	P51534	W0TDG0	Q6C521
OG0003100	Q05580	W0TEA2	Q6CDF4
OG0003102	P13259	W0TF09	Q6C8N4
OG0003103	P22696	W0TGZ8	Q6CEL8
OG0003104	P41903	W0TCM8	Q6C1N6
OG0003105	P42938	W0TF04	Q6CI07
OG0003107	P47095	W0TE93	Q6CBB0
OG0003108	P42940	W0TDE5	Q6CBA9
OG0003109	P42941	W0TGZ0	Q6CDX6
OG0003110	P46675	W0TCM0	Q6C4A8
OG0003111	P53388	W0TDE1	Q6CDH6
OG0003112	P42942	W0TE84	Q6C593
OG0003113	P53303	W0TCL5	Q6C0P6
OG0003118	P30822	W0TEY6	Q6C278
OG0003119	P31334	W0TDD0	Q6C279
OG0003120	P32904	W0TGX6	Q6C281
OG0003123	P50079	W0TDC7	Q6CEI9
OG0003127	P32566	W0TDC2	Q6CDX0
OG0003129	P50085	W0TE64	Q6CDX4
OG0003130	P50086	W0TCJ6	Q6CDE2
OG0003132	P38850	W0TGW4	Q6CEH5
OG0003133	P50087	W0TE59	Q6C6R7
OG0003137	P08018	W0TEW0	Q6CEG1
OG0003139	P47016	W0TE45	Q6C005
OG0003140	P46959	W0TCH8	Q6C0P9
OG0003141	P47017	W0TGU7	Q6CGS0
OG0003142	P47018	W0TCH4	Q6C0J6
OG0003144	P25293	W0TGU5	Q6CEM6
OG0003145	P36136	W0TD95	Q6C9Q2
OG0003146	P32447	W0TCG6	Q6CI62
OG0003150	P30777	W0TD86	Q6CAB8
OG0003153	P08466	W0THP7	Q6CA82
OG0003154	P41819	W0TFD3	Q6C7H6
OG0003157	P39984	W0TG65	Q6CI64
OG0003159	P38628	W0TFE1	Q6C454
OG0003161	P08417	W0TJM6	Q6CCT2
OG0003166	Q12118	W0TFE8	Q6CCH5
OG0003168	P32939	W0TG78	Q6C134
OG0003173	Q03262	W0TFF9	Q6C7B1
OG0003175	P20459	W0TH38	Q6CG42
OG0003176	P47085	W0TJQ0	Q6CB70
OG0003177	P08536	W0TFG9	Q6CFD2
OG0003178	P16451	W0THU7	Q6CF67
OG0003179	P42826	W0TFH3	Q6C246
OG0003187	Q07915	W0TFI5	Q6CF69
OG0003190	Q12314	W0THW6	Q6CE50
OG0003195	Q07528	W0TJS8	Q6C9X0
OG0003196	P52891	W0TJT3	Q6C9R3
OG0003197	P28777	W0TGD1	Q6C8Q1
OG0003201	P53112	W0TGD6	Q6C6H9
OG0003206	P25037	W0TFL0	Q6CD92
OG0003208	P40506	W0TJU3	Q6CCS2
OG0003211	P40505	W0TFL5	Q6C0D5
OG0003212	P40502	W0THZ5	Q6C9X5
OG0003218	P40496	W0THA5	Q6CAD1
OG0003221	P40495	W0TI04	Q6C9K0
OG0003223	P53973	W0THA9	Q6C4P0
OG0003225	P46678	W0TI08	Q6C5B9
OG0003229	P28834	W0TGG7	Q6C6Z1
OG0003232	P53615	W0THB9	Q6C0V4
OG0003238	P53633	W0TJX5	B5RSJ9
OG0003239	Q10740	W0TGH6	Q6C3E5
OG0003240	P53954	W0TFP9	Q6C9T3
OG0003243	P40483	W0TGI0	Q6BZW1
OG0003247	P40480	W0TI31	Q6C3C8
OG0003249	P07172	W0TI35	Q6C7F4
OG0003251	Q00245	W0TJZ4	Q6C1D4
OG0003252	P53946	W0TGJ4	Q6CF37
OG0003253	P40991	W0TI38	Q6CF36
OG0003254	P41814	W0TFR9	Q6CF35
OG0003256	P33303	W0THF0	Q6C3I0
OG0003257	P32527	W0TFS8	Q6CI89
OG0003258	P53337	W0THF4	Q6C368
OG0003259	P41818	W0TK09	Q6C366
OG0003260	P15703	W0TI51	Q6CFU7
OG0003261	P32497	W0TFT2	Q6C855
OG0003263	P32337	W0TK18	Q6C1P3
OG0003266	P53332	W0TI58	Q6C8I1
OG0003267	P50101	W0TFU7	Q6C8W6
OG0003268	P32843	W0THH0	Q6C542
OG0003269	P40850	W0TK27	Q6C735
OG0003270	P48439	W0TGM5	Q6C9H9
OG0003271	P06786	W0THH3	Q6C7Z9
OG0003274	Q12324	W0TI66	Q6C4S0
OG0003276	P36017	W0THH7	Q6C9Z5
OG0003277	Q12511	W0TK37	Q6C9Z9
OG0003278	Q12000	W0TGN3	Q6CA00
OG0003281	P40994	W0TI76	Q6CBX8
OG0003282	Q12189	W0TFW7	Q6CFH4
OG0003283	Q12289	W0TFX1	Q6CDA3
OG0003284	P50947	W0THJ1	Q6C6K6
OG0003294	Q08822	W0TK65	Q6CBW8
OG0003295	P11433	W0TGQ2	Q6CBW7
OG0003299	Q04371	W0TGQ5	Q6CHE2
OG0003302	Q04372	W0TK77	Q6CHE3
OG0003303	P35729	W0TGQ9	Q6C9U5
OG0003305	P35691	W0TG01	Q6C4G1
OG0003309	Q05123	W0TGR7	Q6CF23
OG0003318	Q12239	W0THP3	Q6C940
OG0003319	P38264	W0TID3	Q6CFR7
OG0003320	Q99344	W0TG26	Q6C2Y1
OG0003321	Q12425	W0THP8	Q6C3Q0
