OrthoGroups	Sce_genes	Kma_genes	Yli_genes
OG0001149	YBR102C	KLMA_20078	YALI1_F14793g
OG0001150	YBR101C	KLMA_20079	YALI1_F14766g
OG0001151	YPR055W	KLMA_20081	YALI1_E40032g
OG0001152	YHR027C	KLMA_20084	YALI1_B04321g
OG0001153	YHR026W	KLMA_20085	YALI1_F13017g
OG0001154	YHR025W	KLMA_20086	YALI1_F17962g
OG0001155	YHR024C	KLMA_20087	YALI1_F17949g
OG0001156	YHR023W	KLMA_20088	YALI1_F17836g
OG0001157	YKL155C	KLMA_20092	YALI1_D20885g
OG0001158	YKL154W	KLMA_20093	YALI1_D22247g
OG0001160	YJL039C	KLMA_20094	YALI1_B04200g
OG0001161	YJL044C	KLMA_20097	YALI1_C31759g
OG0001162	YKL152C	KLMA_20098	YALI1_B04138g
OG0001163	YCR009C	KLMA_20100	YALI1_C10860g
OG0001164	YCR003W	KLMA_20108	YALI1_C29148g
OG0001165	YCR002C	KLMA_20109	YALI1_C29141g
OG0001166	YLL001W	KLMA_20110	YALI1_F21850g
OG0001167	YLL002W	KLMA_20111	YALI1_F21778g
OG0001168	YJL002C	KLMA_20114	YALI1_F19746g
OG0001169	YLL004W	KLMA_20115	YALI1_F19720g
OG0001170	YJL003W	KLMA_20116	YALI1_C13652g
OG0001171	YDR217C	KLMA_20118	YALI1_E36837g
OG0001172	YDR221W	KLMA_20123	YALI1_E31827g
OG0001174	YLR222C	KLMA_20126	YALI1_E38020g
OG0001175	YLR221C	KLMA_20128	YALI1_D30459g
OG0001176	YLR220W	KLMA_20129	YALI1_D25715g
OG0001177	YDR100W	KLMA_20131	YALI1_C07117g
OG0001178	YLR247C	KLMA_20133	YALI1_C09489g
OG0001179	YLR248W	KLMA_20135	YALI1_E16773g
OG0001180	YJL102W	KLMA_20136	YALI1_C25789g
OG0001181	YKR026C	KLMA_20137	YALI1_C25307g
OG0001182	YKR025W	KLMA_20138	YALI1_D24687g
OG0001183	YKR024C	KLMA_20139	YALI1_D29831g
OG0001184	YKR023W	KLMA_20141	YALI1_E22029g
OG0001185	YJL104W	KLMA_20143	YALI1_F04259g
OG0001186	YKL108W	KLMA_20146	YALI1_E02231g
OG0001187	YMR093W	KLMA_20147	YALI1_E02203g
OG0001188	YMR092C	KLMA_20148	YALI1_E02377g
OG0001189	YMR091C	KLMA_20149	YALI1_C17411g
OG0001190	YKL104C	KLMA_20155	YALI1_B27874g
OG0001191	YKL099C	KLMA_20159	YALI1_E02432g
OG0001192	YKL098W	KLMA_20160	YALI1_E02438g
OG0001193	YDL198C	KLMA_20161	YALI1_C20198g
OG0001194	YDR228C	KLMA_20162	YALI1_C20180g
OG0001195	YDR226W	KLMA_20165	YALI1_B01136g
OG0001196	YDR104C	KLMA_20170	YALI1_D15692g
OG0001197	YER178W	KLMA_20172	YALI1_F27556g
OG0001198	YDR101C	KLMA_20173	YALI1_C07137g
OG0001199	YDR105C	KLMA_20175	YALI1_A08787g
OG0001200	YDR106W	KLMA_20176	YALI1_E37198g
OG0001201	YER180C-A	KLMA_20178	YALI1_E37157g
OG0001202	YBR073W	KLMA_20179	YALI1_E29085g
OG0001203	YDR049W	KLMA_20180	YALI1_E30958g
OG0001204	YDR047W	KLMA_20181	YALI1_C02391g
OG0001205	YBR074W	KLMA_20182	YALI1_C01535g
OG0001206	YDR052C	KLMA_20187	YALI1_B22109g
OG0001207	YDR137W	KLMA_20189	YALI1_F37100g
OG0001208	YLR114C	KLMA_20190	YALI1_F35983g
OG0001209	YPL146C	KLMA_20192	YALI1_A05254g
OG0001210	YPL147W	KLMA_20193	YALI1_A06361g
OG0001212	YPL149W	KLMA_20199	YALI1_E29192g
OG0001213	YPL150W	KLMA_20201	YALI1_E29235g
OG0001214	YOR241W	KLMA_20202	YALI1_E29179g
OG0001215	YOR242C	KLMA_20203	YALI1_D08621g
OG0001216	YOR243C	KLMA_20204	YALI1_D01967g
OG0001217	YPL151C	KLMA_20205	YALI1_E05664g
OG0001218	YPL152W	KLMA_20207	YALI1_E05602g
OG0001219	YOR245C	KLMA_20208	YALI1_E38810g
OG0001220	YPL153C	KLMA_20209	YALI1_F34472g
OG0001221	YDR489W	KLMA_20210	YALI1_B23061g
OG0001222	YPL020C	KLMA_20214	YALI1_E25211g
OG0001223	YKR099W	KLMA_20215	YALI1_B18536g
OG0001225	YIL157C	KLMA_20217	YALI1_F13597g
OG0001226	YIL160C	KLMA_20220	YALI1_E22238g
OG0001227	YGL196W	KLMA_20223	YALI1_D19039g
OG0001228	YGL116W	KLMA_20224	YALI1_C04436g
OG0001229	YGL115W	KLMA_20225	YALI1_C04531g
OG0001230	YGL114W	KLMA_20226	YALI1_E01422g
OG0001231	YBR231C	KLMA_20227	YALI1_E01392g
OG0001232	YGL112C	KLMA_20230	YALI1_C06870g
OG0001233	YBR234C	KLMA_20232	YALI1_B22598g
OG0001234	YGL111W	KLMA_20233	YALI1_B21714g
OG0001235	YGL110C	KLMA_20234	YALI1_B24043g
OG0001236	YBR235W	KLMA_20235	YALI1_B05947g
OG0001237	YBR236C	KLMA_20236	YALI1_C18901g
OG0001238	YBR237W	KLMA_20237	YALI1_C06917g
OG0001240	YGL106W	KLMA_20240	YALI1_E04033g
OG0001241	YGL105W	KLMA_20242	YALI1_E04091g
OG0001243	YNR041C	KLMA_20244	YALI1_F08349g
OG0001244	YNR043W	KLMA_20246	YALI1_F08363g
OG0001245	YCR084C	KLMA_20247	YALI1_A14345g
OG0001246	YCR087C-A	KLMA_20249	YALI1_D19354g
OG0001247	YCR090C	KLMA_20251	YALI1_E29611g
OG0001248	YML038C	KLMA_20252	YALI1_E29827g
OG0001249	YGL201C	KLMA_20254	YALI1_B21562g
OG0001250	YPR160W	KLMA_20256	YALI1_F06351g
OG0001251	YGL203C	KLMA_20260	YALI1_B07162g
OG0001252	YER026C	KLMA_20262	YALI1_D10930g
OG0001253	YGL206C	KLMA_20264	YALI1_A17177g
OG0001254	YGL207W	KLMA_20265	YALI1_D17899g
OG0001255	YGL122C	KLMA_20267	YALI1_E16820g
OG0001256	YGL123W	KLMA_20268	YALI1_E17466g
OG0001257	YGL124C	KLMA_20270	YALI1_C08242g
OG0001258	YBR229C	KLMA_20272	YALI1_B08650g
OG0001259	YBR228W	KLMA_20273	YALI1_F28015g
OG0001260	YBR227C	KLMA_20274	YALI1_B05522g
OG0001261	YGL125W	KLMA_20276	YALI1_B00578g
OG0001262	YBR223C	KLMA_20277	YALI1_D09790g
OG0001263	YBR221C	KLMA_20278	YALI1_E31947g
OG0001264	YBR220C	KLMA_20279	YALI1_E31919g
OG0001265	YLR259C	KLMA_20282	YALI1_F04045g
OG0001266	YGL044C	KLMA_20285	YALI1_E11323g
OG0001267	YGL043W	KLMA_20286	YALI1_E11341g
OG0001268	YGL041W-A	KLMA_20287	YALI1_E11289g
OG0001269	YGR155W	KLMA_20288	YALI1_E11255g
OG0001270	YMR077C	KLMA_20289	YALI1_F28144g
OG0001271	YGL040C	KLMA_20290	YALI1_F27686g
OG0001272	YBL026W	KLMA_20293	YALI1_F11871g
OG0001273	YER136W	KLMA_20294	YALI1_E39924g
OG0001274	YGL194C	KLMA_20297	YALI1_C07780g
OG0001275	YGL192W	KLMA_20298	YALI1_B04950g
OG0001276	YGL191W	KLMA_20299	YALI1_F04455g
OG0001277	YGL190C	KLMA_20300	YALI1_F04497g
OG0001278	YFL033C	KLMA_20301	YALI1_F19635g
OG0001279	YLR059C	KLMA_20302	YALI1_E31891g
OG0001280	YFL031W	KLMA_20303	YALI1_B16808g
OG0001281	YFL030W	KLMA_20304	YALI1_E19852g
OG0001282	YLR057W	KLMA_20306	YALI1_D25472g
OG0001283	YFL029C	KLMA_20307	YALI1_C33353g
OG0001284	YLR056W	KLMA_20308	YALI1_D26496g
OG0001285	YFL028C	KLMA_20309	YALI1_D26467g
OG0001286	YLR055C	KLMA_20310	YALI1_E28170g
OG0001287	YFL027C	KLMA_20311	YALI1_C33354g
OG0001288	YMR244C-A	KLMA_20312	YALI1_E04007g
OG0001289	YMR244W	KLMA_20313	YALI1_C14738g
OG0001291	YOR313C	KLMA_20317	YALI1_F31587g
OG0001292	YOR311C	KLMA_20319	YALI1_F25444g
OG0001293	YOR310C	KLMA_20320	YALI1_B01628g
OG0001294	YOR308C	KLMA_20322	YALI1_B14325g
OG0001295	YOR307C	KLMA_20323	YALI1_B14355g
OG0001296	YMR241W	KLMA_20324	YALI1_B14382g
OG0001297	YOR305W	KLMA_20327	YALI1_B29718g
OG0001298	YMR240C	KLMA_20329	YALI1_D07182g
OG0001299	YDL040C	KLMA_20330	YALI1_F16117g
OG0001300	YBR018C	KLMA_20331	YALI1_F31405g
OG0001301	YPR100W	KLMA_20335	YALI1_E13823g
OG0001302	YGR083C	KLMA_20336	YALI1_E00533g
OG0001303	YGR084C	KLMA_20337	YALI1_E00869g
OG0001304	YPR103W	KLMA_20340	YALI1_B20052g
OG0001305	YPR104C	KLMA_20341	YALI1_B20094g
OG0001306	YPR105C	KLMA_20342	YALI1_D03904g
OG0001307	YGR086C	KLMA_20343	YALI1_C15832g
OG0001308	YPR107C	KLMA_20344	YALI1_D18190g
OG0001309	YAL008W	KLMA_20345	YALI1_A00558g
OG0001311	YAL009W	KLMA_20347	YALI1_D03888g
OG0001313	YAL011W	KLMA_20349	YALI1_D04636g
OG0001314	YOL034W	KLMA_20350	YALI1_E20467g
OG0001315	YOL033W	KLMA_20351	YALI1_E21230g
OG0001316	YOL032W	KLMA_20352	YALI1_E38677g
OG0001317	YOL031C	KLMA_20353	YALI1_E38706g
OG0001318	YAL012W	KLMA_20354	YALI1_F08705g
OG0001319	YOL040C	KLMA_20356	YALI1_F08635g
OG0001321	YOL041C	KLMA_20359	YALI1_F08757g
OG0001322	YAL014C	KLMA_20360	YALI1_E21203g
OG0001323	YAL016W	KLMA_20364	YALI1_F01291g
OG0001324	YOL051W	KLMA_20369	YALI1_F05137g
OG0001325	YOL049W	KLMA_20370	YALI1_C25029g
OG0001326	YAL019W	KLMA_20372	YALI1_F36610g
OG0001327	YOR048C	KLMA_20373	YALI1_D17051g
OG0001328	YDR270W	KLMA_20374	YALI1_D35635g
OG0001329	YMR146C	KLMA_20376	YALI1_A03183g
OG0001330	YDL086W	KLMA_20377	YALI1_C28593g
OG0001331	YPL034W	KLMA_20379	YALI1_C13038g
OG0001332	YMR149W	KLMA_20382	YALI1_F38339g
OG0001333	YMR150C	KLMA_20383	YALI1_F34798g
OG0001334	YDL087C	KLMA_20385	YALI1_F34862g
OG0001335	YDL089W	KLMA_20387	YALI1_D11406g
OG0001336	YMR154C	KLMA_20388	YALI1_D17970g
OG0001337	YDL090C	KLMA_20389	YALI1_D17983g
OG0001338	YDL091C	KLMA_20390	YALI1_D18014g
OG0001339	YDL092W	KLMA_20391	YALI1_F31439g
OG0001341	YNR035C	KLMA_20394	YALI1_A03422g
OG0001342	YNR036C	KLMA_20395	YALI1_A03402g
OG0001343	YCR079W	KLMA_20396	YALI1_B29528g
OG0001344	YNR037C	KLMA_20397	YALI1_B29507g
OG0001345	YNR038W	KLMA_20398	YALI1_B29505g
OG0001346	YCR081W	KLMA_20399	YALI1_F15017g
OG0001347	YNR039C	KLMA_20400	YALI1_B03963g
OG0001348	YGL103W	KLMA_20403	YALI1_B27485g
OG0001349	YBR243C	KLMA_20405	YALI1_B21618g
OG0001350	YGL100W	KLMA_20406	YALI1_B21628g
OG0001352	YGL099W	KLMA_20409	YALI1_C30287g
OG0001353	YGL098W	KLMA_20410	YALI1_C29920g
OG0001354	YBR247C	KLMA_20411	YALI1_C05636g
OG0001355	YBR248C	KLMA_20413	YALI1_C09467g
OG0001356	YBR249C	KLMA_20414	YALI1_C09308g
OG0001358	YMR200W	KLMA_20418	YALI1_B05106g
OG0001359	YNR006W	KLMA_20419	YALI1_B05454g
OG0001360	YMR201C	KLMA_20422	YALI1_B02472g
OG0001361	YDL054C	KLMA_20423	YALI1_A16004g
OG0001362	YLR378C	KLMA_20424	YALI1_E25905g
OG0001363	YJR101W	KLMA_20425	YALI1_B21798g
OG0001364	YER151C	KLMA_20429	YALI1_E10755g
OG0001365	YER152C	KLMA_20431	YALI1_E10210g
OG0001366	YER154W	KLMA_20433	YALI1_F39645g
OG0001367	YER155C	KLMA_20434	YALI1_F39665g
OG0001368	YLL032C	KLMA_20435	YALI1_F24708g
OG0001369	YLL034C	KLMA_20437	YALI1_F28146g
OG0001370	YLL035W	KLMA_20439	YALI1_E19458g
OG0001371	YHL027W	KLMA_20440	YALI1_B18134g
OG0001372	YHL028W	KLMA_20441	YALI1_F06466g
OG0001373	YHL030W	KLMA_20443	YALI1_C05088g
OG0001374	YDR362C	KLMA_20444	YALI1_C25288g
OG0001375	YHR111W	KLMA_20445	YALI1_C25257g
OG0001376	YHR109W	KLMA_20447	YALI1_F37892g
OG0001377	YDR361C	KLMA_20448	YALI1_D35965g
OG0001378	YDR359C	KLMA_20449	YALI1_D35907g
OG0001379	YDR357C	KLMA_20451	YALI1_D35443g
OG0001380	YBR271W	KLMA_20453	YALI1_C04962g
OG0001381	YDR354W	KLMA_20454	YALI1_D35787g
OG0001382	YLL023C	KLMA_20457	YALI1_D30540g
OG0001383	YPR011C	KLMA_20460	YALI1_F02238g
OG0001384	YPR010C-A	KLMA_20461	YALI1_F02289g
OG0001386	YGR021W	KLMA_20463	YALI1_E19371g
OG0001387	YLR330W	KLMA_20465	YALI1_E19337g
OG0001388	YKL149C	KLMA_20467	YALI1_D14224g
OG0001389	YKL150W	KLMA_20468	YALI1_D14199g
OG0001390	YKL151C	KLMA_20469	YALI1_D14190g
OG0001391	YNR003C	KLMA_20470	YALI1_F12946g
OG0001392	YCR011C	KLMA_20471	YALI1_C32517g
OG0001393	YFR018C	KLMA_20472	YALI1_E34494g
OG0001394	YFR019W	KLMA_20473	YALI1_E34425g
OG0001395	YFR021W	KLMA_20474	YALI1_F35578g
OG0001396	YOR018W	KLMA_20475	YALI1_D16118g
OG0001398	YCL008C	KLMA_20476	YALI1_F25671g
OG0001399	YLR175W	KLMA_20478	YALI1_E16451g
OG0001400	YNL007C	KLMA_20479	YALI1_E16493g
OG0001401	YNL006W	KLMA_20480	YALI1_E16501g
OG0001402	YCL018W	KLMA_20483	YALI1_C00464g
OG0001403	YCL017C	KLMA_20484	YALI1_C26167g
OG0001404	YNL003C	KLMA_20485	YALI1_C26544g
OG0001405	YCL016C	KLMA_20486	YALI1_C26580g
OG0001406	YCL014W	KLMA_20487	YALI1_C23359g
OG0001407	YGL186C	KLMA_20490	YALI1_D09453g
OG0001408	YGL187C	KLMA_20491	YALI1_E23635g
OG0001409	YLR060W	KLMA_20493	YALI1_E27144g
OG0001410	YFL034W	KLMA_20494	YALI1_E31646g
OG0001411	YPR182W	KLMA_20496	YALI1_A05491g
OG0001412	YLR459W	KLMA_20497	YALI1_E20279g
OG0001413	YPR180W	KLMA_20499	YALI1_E33220g
OG0001414	YPR179C	KLMA_20500	YALI1_E33234g
OG0001415	YPR178W	KLMA_20501	YALI1_E33268g
OG0001416	YPR176C	KLMA_20502	YALI1_E33302g
OG0001417	YPR175W	KLMA_20503	YALI1_F35907g
OG0001418	YGR125W	KLMA_20505	YALI1_F30179g
OG0001419	YGR127W	KLMA_20507	YALI1_D02063g
OG0001420	YGR128C	KLMA_20508	YALI1_F29944g
OG0001421	YER050C	KLMA_20511	YALI1_E35753g
OG0001422	YIL042C	KLMA_20512	YALI1_E23578g
OG0001423	YIL041W	KLMA_20513	YALI1_B27534g
OG0001424	YER049W	KLMA_20514	YALI1_B27500g
OG0001425	YER048W-A	KLMA_20515	YALI1_D15296g
OG0001426	YIL039W	KLMA_20518	YALI1_B05971g
OG0001427	YER046W	KLMA_20523	YALI1_C24016g
OG0001429	YIL034C	KLMA_20526	YALI1_C28706g
OG0001430	YER044C	KLMA_20527	YALI1_F06797g
OG0001431	YIL033C	KLMA_20528	YALI1_F06830g
OG0001432	YFR037C	KLMA_20530	YALI1_F06670g
OG0001433	YLR119W	KLMA_20531	YALI1_F24699g
OG0001434	YDR142C	KLMA_20532	YALI1_F24635g
OG0001435	YGR133W	KLMA_20535	YALI1_E05599g
OG0001436	YGR135W	KLMA_20540	YALI1_C26764g YALI1_C27369g
OG0001437	YPR155C	KLMA_20543	YALI1_C16770g
OG0001438	YDR464W	KLMA_20550	YALI1_E35734g
OG0001439	YHR007C	KLMA_20551	YALI1_B07094g
OG0001440	YDR465C	KLMA_20552	YALI1_C20452g
OG0001441	YHR008C	KLMA_20553	YALI1_B11983g
OG0001442	YHR009C	KLMA_20555	YALI1_B07809g
OG0001445	YDR470C	KLMA_20556	YALI1_B07864g
OG0001446	YHR011W	KLMA_20559	YALI1_B07957g
OG0001447	YHR012W	KLMA_20560	YALI1_E23880g
OG0001448	YHR013C	KLMA_20561	YALI1_B07786g
OG0001449	YDR472W	KLMA_20562	YALI1_B07769g
OG0001450	YOR144C	KLMA_20564	YALI1_D28003g
OG0001451	YDR392W	KLMA_20565	YALI1_E25490g
OG0001452	YOR143C	KLMA_20566	YALI1_E25443g
OG0001453	YOR142W	KLMA_20568	YALI1_E28575g
OG0001454	YOR141C	KLMA_20571	YALI1_D05822g
OG0001455	YOR140W	KLMA_20572	YALI1_D05956g
OG0001456	YOR138C	KLMA_20573	YALI1_F18122g
OG0001457	YOR136W	KLMA_20575	YALI1_D08082g
OG0001458	YDR390C	KLMA_20577	YALI1_D08031g
OG0001459	YDR389W	KLMA_20578	YALI1_D16932g
OG0001460	YDR388W	KLMA_20579	YALI1_D16981g
OG0001461	YDR386W	KLMA_20581	YALI1_C20953g
OG0001462	YOR132W	KLMA_20584	YALI1_D26993g
OG0001463	YOR131C	KLMA_20585	YALI1_D26956g
OG0001465	YOR130C	KLMA_20591	YALI1_D08734g
OG0001466	YDR381C-A	KLMA_20593	YALI1_F17215g
OG0001467	YOR129C	KLMA_20596	YALI1_A21945g
OG0001468	YOR128C	KLMA_20598	YALI1_B30090g
OG0001471	YDR376W	KLMA_20603	YALI1_B19490g
OG0001472	YOR126C	KLMA_20604	YALI1_B09299g
OG0001473	YDR375C	KLMA_20605	YALI1_D04467g
OG0001474	YDR374C	KLMA_20607	YALI1_F25164g
OG0001475	YOR125C	KLMA_20608	YALI1_E18269g
OG0001476	YDR373W	KLMA_20609	YALI1_E18242g
OG0001477	YOR124C	KLMA_20610	YALI1_D04469g
OG0001478	YDR372C	KLMA_20611	YALI1_D04533g
OG0001479	YDR371W	KLMA_20612	YALI1_F06904g
OG0001480	YOR123C	KLMA_20613	YALI1_B09161g
OG0001481	YOR122C	KLMA_20614	YALI1_B09266g
OG0001482	YNL325C	KLMA_20622	YALI1_E39248g
OG0001483	YOL142W	KLMA_20623	YALI1_E39284g
OG0001484	YNL326C	KLMA_20624	YALI1_E27273g
OG0001486	YNL328C	KLMA_20626	YALI1_C25998g
OG0001487	YNL329C	KLMA_20627	YALI1_C25979g
OG0001488	YNL330C	KLMA_20628	YALI1_E27104g
OG0001489	YOL143C	KLMA_20629	YALI1_A12284g
OG0001490	YOL144W	KLMA_20630	YALI1_A15722g
OG0001491	YOL145C	KLMA_20631	YALI1_A15720g
OG0001492	YOL146W	KLMA_20632	YALI1_D02831g
OG0001493	YOL147C	KLMA_20634	YALI1_C05386g
OG0001495	YOL149W	KLMA_20636	YALI1_F21192g
OG0001496	YDL103C	KLMA_20643	YALI1_E03762g
OG0001497	YMR162C	KLMA_20644	YALI1_E05004g
OG0001498	YMR161W	KLMA_20645	YALI1_D02221g
OG0001499	YDL102W	KLMA_20646	YALI1_A08175g
OG0001500	YDL100C	KLMA_20650	YALI1_E39676g
OG0001501	YMR158W	KLMA_20652	YALI1_E36866g
OG0001502	YDL098C	KLMA_20654	YALI1_F12983g
OG0001503	YMR156C	KLMA_20655	YALI1_E34322g
OG0001504	YDL097C	KLMA_20656	YALI1_D11442g
OG0001505	YML128C	KLMA_20659	YALI1_F37463g
OG0001507	YML092C	KLMA_20661	YALI1_F09361g
OG0001508	YML093W	KLMA_20662	YALI1_D16656g
OG0001509	YML094W	KLMA_20663	YALI1_D34057g
OG0001510	YML095C	KLMA_20664	YALI1_D34078g
OG0001511	YML096W	KLMA_20665	YALI1_F35822g
OG0001512	YML097C	KLMA_20666	YALI1_E38640g
OG0001513	YML130C	KLMA_20667	YALI1_D12147g
OG0001514	YML098W	KLMA_20668	YALI1_D12172g
OG0001515	YML099C	KLMA_20669	YALI1_D12198g
OG0001516	YMR171C	KLMA_20670	YALI1_A19829g
OG0001517	YDL106C	KLMA_20671	YALI1_A19220g
OG0001518	YDL104C	KLMA_20677	YALI1_D10192g
OG0001519	YMR166C	KLMA_20678	YALI1_F25110g
OG0001520	YMR165C	KLMA_20679	YALI1_D35593g
OG0001521	YLR001C	KLMA_20680	YALI1_B10582g
OG0001522	YJR001W	KLMA_20681	YALI1_F37658g
OG0001523	YJR002W	KLMA_20682	YALI1_B13586g
OG0001524	YLR002C	KLMA_20683	YALI1_D13126g
OG0001525	YJR012C	KLMA_20686	YALI1_A22008g
OG0001526	YJR013W	KLMA_20687	YALI1_A21970g
OG0001527	YGR195W	KLMA_20688	YALI1_D08715g
OG0001528	YLR016C	KLMA_20692	YALI1_D09404g
OG0001529	YJL033W	KLMA_20693	YALI1_A21345g
OG0001530	YJL006C	KLMA_20694	YALI1_E16675g
OG0001531	YJL031C	KLMA_20695	YALI1_E16694g
OG0001532	YJL030W	KLMA_20696	YALI1_E16701g
OG0001533	YJL029C	KLMA_20698	YALI1_D14097g
OG0001534	YJL008C	KLMA_20699	YALI1_D14104g
OG0001535	YLR275W	KLMA_20702	YALI1_F09803g
OG0001536	YLR274W	KLMA_20703	YALI1_A01766g
OG0001538	YDR054C	KLMA_20706	YALI1_C07979g
OG0001539	YPR083W	KLMA_20707	YALI1_E17829g
OG0001540	YBR127C	KLMA_20708	YALI1_E32332g
OG0001541	YPR085C	KLMA_20711	YALI1_B04873g
OG0001542	YBR129C	KLMA_20712	YALI1_A14259g
OG0001543	YPR088C	KLMA_20714	YALI1_F05661g
OG0001544	YPL237W	KLMA_20717	YALI1_E37455g
OG0001545	YPL239W	KLMA_20720	YALI1_B27293g
OG0001546	YMR185W	KLMA_20721	YALI1_C10497g
OG0001547	YHR190W	KLMA_20722	YALI1_A09939g
OG0001548	YHR042W	KLMA_20725	YALI1_D05474g
OG0001549	YDL219W	KLMA_20726	YALI1_D34043g
OG0001550	YNL191W	KLMA_20727	YALI1_F37213g
OG0001551	YNL189W	KLMA_20729	YALI1_F36233g
OG0001552	YDL217C	KLMA_20731	YALI1_F37481g
OG0001553	YNL187W	KLMA_20732	YALI1_E05811g
OG0001554	YDL216C	KLMA_20733	YALI1_E05767g
OG0001555	YDL215C	KLMA_20734	YALI1_E11943g
OG0001556	YNL186W	KLMA_20735	YALI1_D31823g
OG0001557	YNL185C	KLMA_20736	YALI1_D27884g
OG0001558	YDL213C	KLMA_20738	YALI1_E30707g
OG0001559	YNL182C	KLMA_20739	YALI1_D17268g
OG0001560	YNL181W	KLMA_20740	YALI1_D07775g
OG0001561	YNL178W	KLMA_20742	YALI1_E28033g
OG0001562	YDL212W	KLMA_20744	YALI1_E28046g
OG0001563	YNL177C	KLMA_20745	YALI1_E28130g
OG0001565	YNL175C	KLMA_20747	YALI1_A03964g
OG0001566	YNL172W	KLMA_20750	YALI1_D20840g
OG0001567	YNL169C	KLMA_20751	YALI1_D27274g
OG0001568	YHR144C	KLMA_20752	YALI1_C32031g
OG0001569	YNL168C	KLMA_20753	YALI1_C31918g
OG0001570	YNL167C	KLMA_20754	YALI1_C24081g
OG0001571	YHR143W-A	KLMA_20755	YALI1_C28063g
OG0001572	YNL163C	KLMA_20760	YALI1_D20118g
OG0001574	YHR142W	KLMA_20761	YALI1_D20954g
OG0001575	YNL161W	KLMA_20764	YALI1_B05711g
OG0001576	YHR140W	KLMA_20765	YALI1_E17184g
OG0001577	YNL142W	KLMA_20766	YALI1_E32180g
OG0001578	YLR050C	KLMA_20767	YALI1_C25990g
OG0001579	YFL017C	KLMA_20768	YALI1_D25450g
OG0001580	YFL017W-A	KLMA_20769	YALI1_C14516g
OG0001581	YFL016C	KLMA_20770	YALI1_F16743g
OG0001582	YFL014W	KLMA_20771	YALI1_D26051g
OG0001583	YFL013C	KLMA_20773	YALI1_F17603g
OG0001584	YFL008W	KLMA_20777	YALI1_E18843g
OG0001585	YOR236W	KLMA_20779	YALI1_C17947g
OG0001586	YOR232W	KLMA_20785	YALI1_C25758g
OG0001587	YPL138C	KLMA_20788	YALI1_D34022g
OG0001588	YOR228C	KLMA_20789	YALI1_F14290g
OG0001589	YOR224C	KLMA_20792	YALI1_F13001g
OG0001590	YOR223W	KLMA_20794	YALI1_F11330g
OG0001591	YOR221C	KLMA_20796	YALI1_E22262g
OG0001592	YPL133C	KLMA_20797	YALI1_E12668g
OG0001593	YPL132W	KLMA_20798	YALI1_E12643g
OG0001594	YPL131W	KLMA_20800	YALI1_E26336g
OG0001595	YOR217W	KLMA_20802	YALI1_B22020g
OG0001596	YOR216C	KLMA_20803	YALI1_B24252g
OG0001597	YPL129W	KLMA_20805	YALI1_B23373g
OG0001598	YOR212W	KLMA_20806	YALI1_E01904g
OG0001599	YPL128C	KLMA_20807	YALI1_B23338g
OG0001601	YOR211C	KLMA_20808	YALI1_F14342g
OG0001602	YOR210W	KLMA_20809	YALI1_B06735g
OG0001603	YPL126W	KLMA_20810	YALI1_B06745g
OG0001604	YOR209C	KLMA_20811	YALI1_B00214g
OG0001605	YPL125W	KLMA_20812	YALI1_B00198g
OG0001606	YJL071W	KLMA_20817	YALI1_B21356g
OG0001607	YJL072C	KLMA_20818	YALI1_E19082g
OG0001608	YBR286W	KLMA_20821	YALI1_B27588g
OG0001609	YOR367W	KLMA_20824	YALI1_E38208g
OG0001610	YOR370C	KLMA_20828	YALI1_F09177g
OG0001612	YCR097W	KLMA_10142	YALI1_C09885g
OG0001613	YGR234W	KLMA_30024	YALI1_C29506g
OG0001614	YKL213C	KLMA_30027	YALI1_D14004g
OG0001615	YKL212W	KLMA_30028	YALI1_D07665g
OG0001616	YKL211C	KLMA_30029	YALI1_D13963g
OG0001617	YJR075W	KLMA_30031	YALI1_F10633g
OG0001618	YJR074W	KLMA_30032	YALI1_A22093g
OG0001619	YKL210W	KLMA_30033	YALI1_E07302g
OG0001620	YKL209C	KLMA_30034	YALI1_E07178g
OG0001621	YJR073C	KLMA_30035	YALI1_E15432g
OG0001622	YKL207W	KLMA_30038	YALI1_E25692g
OG0001623	YJR072C	KLMA_30039	YALI1_E25671g
OG0001624	YKL206C	KLMA_30040	YALI1_E25675g
OG0001625	YJR070C	KLMA_30041	YALI1_A07712g
OG0001626	YJR069C	KLMA_30042	YALI1_B29883g
OG0001627	YKL205W	KLMA_30043	YALI1_E05576g
OG0001628	YJR068W	KLMA_30044	YALI1_E13637g
OG0001629	YJR067C	KLMA_30045	YALI1_E25541g
OG0001630	YJR065C	KLMA_30048	YALI1_E40540g
OG0001631	YJR064W	KLMA_30049	YALI1_E25713g
OG0001633	YJR062C	KLMA_30051	YALI1_D27780g
OG0001635	YMR078C	KLMA_30053	YALI1_D31568g
OG0001637	YKL089W	KLMA_30057	YALI1_F35441g
OG0001638	YKL010C	KLMA_30059	YALI1_E06280g
OG0001639	YKL009W	KLMA_30060	YALI1_F39001g
OG0001640	YHL004W	KLMA_30062	YALI1_F17431g
OG0001641	YHL002W	KLMA_30064	YALI1_F09563g
OG0001642	YKL007W	KLMA_30065	YALI1_E06137g
OG0001644	YKL004W	KLMA_30067	YALI1_E19647g
OG0001645	YKL003C	KLMA_30068	YALI1_E00551g
OG0001647	YKL001C	KLMA_30070	YALI1_E00760g
