genes,logFC,logCPM,PValue,FDR,,,,,,
YALI1_A19459g,0.276568473,6.497427543,2.21E-07,1.33E-06,,,,,,
YALI1_B01030g,-0.337862148,4.419904153,2.21E-07,1.33E-06,,,,,,
YALI1_C01297g,-0.283299485,6.374429565,2.23E-07,1.35E-06,,,,,,
YALI1_E34156g,0.460962101,4.059665189,2.26E-07,1.36E-06,,,,,,
YALI1_D18408g,0.478041359,7.627348559,2.28E-07,1.37E-06,,,,,,
YALI1_E15835g,0.343169921,7.207354275,2.29E-07,1.38E-06,,,,,,
YALI1_A02301g,0.867440216,1.463963707,2.31E-07,1.39E-06,,,,,,
YALI1_D13071g,0.245683791,8.19747512,2.35E-07,1.41E-06,,,,,,
YALI1_D02345g,-0.387533334,4.250245264,2.35E-07,1.41E-06,,,,,,
YALI1_A03512g,0.796652485,2.694095875,2.36E-07,1.42E-06,,,,,,
YALI1_D34043g,-0.353699523,5.2969405,2.40E-07,1.43E-06,,,,,,
YALI1_F23963g,-0.334367749,5.118428572,2.42E-07,1.45E-06,,,,,,
YALI1_E29433g,-0.376554056,6.547976744,2.44E-07,1.46E-06,,,,,,
YALI1_E08689g,0.919801914,1.400056119,2.46E-07,1.47E-06,,,,,,
YALI1_C32721g,-0.453174867,7.023675599,2.51E-07,1.50E-06,,,,,,
YALI1_F13155g,0.575509897,3.10280425,2.53E-07,1.51E-06,,,,,,
YALI1_A05884g,-0.359285064,5.826925204,2.53E-07,1.51E-06,,,,,,
YALI1_C18892g,-0.29972147,5.747087135,2.56E-07,1.52E-06,,,,,,
YALI1_E24793g,-0.240124108,6.453294681,2.66E-07,1.59E-06,,,,,,
YALI1_A05527g,-0.256683294,5.606284253,2.68E-07,1.59E-06,,,,,,
YALI1_C32886g,0.600844347,8.820208381,2.89E-07,1.72E-06,,,,,,
YALI1_D16029g,-0.224458147,10.44081418,2.92E-07,1.73E-06,,,,,,
YALI1_E23824g,0.549105505,2.987563263,2.94E-07,1.74E-06,,,,,,
YALI1_C06211g,1.180161398,-0.208523481,2.94E-07,1.74E-06,,,,,,
YALI1_C33005g,-0.303519816,8.398167868,2.98E-07,1.76E-06,,,,,,
YALI1_E30520g,-0.34938353,6.459919342,2.98E-07,1.77E-06,,,,,,
YALI1_E00869g,0.254458225,7.442212175,3.02E-07,1.78E-06,,,,,,
YALI1_C15540g,0.709005454,3.058200494,3.07E-07,1.81E-06,,,,,,
YALI1_E26742g,-0.306938624,5.788924324,3.11E-07,1.83E-06,,,,,,
YALI1_B09144g,0.303490138,4.999388128,3.11E-07,1.83E-06,,,,,,
YALI1_B21946g,-0.360927769,4.99126162,3.14E-07,1.85E-06,,,,,,
YALI1_E32411g,0.521038489,2.45615974,3.15E-07,1.85E-06,,,,,,
YALI1_D17507g,0.360224453,5.187148381,3.15E-07,1.85E-06,,,,,,
cob,-1.637812033,1.192610675,3.24E-07,1.90E-06,,,,,,
YALI1_F15265g,-0.272703248,7.235407796,3.30E-07,1.94E-06,,,,,,
YALI1_A02653g,-0.325186111,5.148974646,3.43E-07,2.01E-06,,,,,,
YALI1_A02977g,1.41215547,-0.021993911,3.47E-07,2.03E-06,,,,,,
YALI1_A18062g,-0.40192536,7.896165662,3.53E-07,2.07E-06,,,,,,
YALI1_E16230g,-1.0930274,0.511596456,3.55E-07,2.08E-06,,,,,,
YALI1_D05070g,-0.281935492,6.555842771,3.57E-07,2.09E-06,,,,,,
YALI1_A16809g,1.053132406,0.781524303,3.59E-07,2.10E-06,,,,,,
YALI1_A21871g,-0.507498067,6.928737206,3.69E-07,2.15E-06,,,,,,
YALI1_A22137g,-0.358945279,4.489558951,3.69E-07,2.15E-06,,,,,,
YALI1_E33934g,-0.27540924,5.949061707,3.75E-07,2.19E-06,,,,,,
YALI1_B15440g,-0.444985731,6.04606488,3.77E-07,2.20E-06,,,,,,
YALI1_C01843g,0.784650734,1.145415628,3.84E-07,2.24E-06,,,,,,
YALI1_D29626g,0.684043161,3.120985767,3.88E-07,2.26E-06,,,,,,
YALI1_E34269g,-0.266898326,7.949133622,3.88E-07,2.26E-06,,,,,,
YALI1_E23899g,-0.215964245,6.158963122,4.01E-07,2.33E-06,,,,,,
YALI1_C09009g,0.421960468,4.462368253,4.18E-07,2.43E-06,,,,,,
YALI1_E30815g,-0.245547268,10.78421198,4.19E-07,2.43E-06,,,,,,
YALI1_C06486g,-0.237906269,6.882238045,4.22E-07,2.45E-06,,,,,,
YALI1_A07712g,-0.268544009,6.623791908,4.28E-07,2.48E-06,,,,,,
YALI1_D10535g,-0.306486789,10.18803729,4.28E-07,2.48E-06,,,,,,
YALI1_F24578g,-0.900323807,5.936650786,4.39E-07,2.54E-06,,,,,,
YALI1_E20791g,0.94833629,0.464183515,4.40E-07,2.54E-06,,,,,,
YALI1_E23452g,1.205499291,-0.181748924,4.45E-07,2.57E-06,,,,,,
YALI1_A22073g,-0.344807248,8.754155523,4.46E-07,2.57E-06,,,,,,
YALI1_F24564g,-0.942722733,8.065671991,4.48E-07,2.58E-06,,,,,,
YALI1_D07379g,-0.237804639,9.656979449,4.50E-07,2.59E-06,,,,,,
YALI1_B04228g,0.388901288,4.331529995,4.58E-07,2.63E-06,,,,,,
YALI1_E09522g,-0.382179776,6.885308201,4.61E-07,2.65E-06,,,,,,
YALI1_F09177g,-0.226092904,8.032031995,4.64E-07,2.67E-06,,,,,,
YALI1_F34895g,0.248590101,7.27912137,4.71E-07,2.71E-06,,,,,,
YALI1_A01864g,0.22562194,6.636549775,4.77E-07,2.74E-06,,,,,,
YALI1_A18344g,-0.253717045,8.694525031,4.79E-07,2.75E-06,,,,,,
YALI1_B05522g,0.235346344,6.279278342,4.90E-07,2.81E-06,,,,,,
YALI1_E23472g,0.30487615,8.214135695,5.01E-07,2.87E-06,,,,,,
YALI1_D00663g,-0.279505936,9.546728913,5.04E-07,2.88E-06,,,,,,
YALI1_C03696g,0.613285683,2.358598009,5.07E-07,2.90E-06,,,,,,
YALI1_C23175g,0.231348346,7.694693184,5.08E-07,2.90E-06,,,,,,
YALI1_B21208g,-0.263697028,6.655436728,5.10E-07,2.91E-06,,,,,,
YALI1_D30249g,0.62450243,2.77615779,5.11E-07,2.92E-06,,,,,,
YALI1_B17990g,0.256083248,7.392137727,5.13E-07,2.92E-06,,,,,,
YALI1_B10891g,-0.455611592,6.059745347,5.30E-07,3.02E-06,,,,,,
YALI1_F38161g,-0.314541576,6.076410693,5.43E-07,3.09E-06,,,,,,
YALI1_B23300g,-0.425651207,9.104499317,5.43E-07,3.09E-06,,,,,,
YALI1_D26242g,1.143037151,0.171134674,5.45E-07,3.09E-06,,,,,,
YALI1_E38266g,-0.299750984,6.30623657,5.49E-07,3.12E-06,,,,,,
YALI1_F10552g,0.336012057,7.170425243,5.60E-07,3.18E-06,,,,,,
YALI1_B00798g,0.3841893,4.311306195,5.61E-07,3.18E-06,,,,,,
YALI1_C12941g,0.275693057,8.524108915,5.65E-07,3.20E-06,,,,,,
YALI1_E25132g,-0.232472422,7.112312321,5.83E-07,3.30E-06,,,,,,
YALI1_E39210g,-0.408055756,5.021006115,5.90E-07,3.34E-06,,,,,,
YALI1_F13691g,-0.435873975,6.915845281,5.91E-07,3.34E-06,,,,,,
YALI1_F35029g,0.396364317,4.644573686,5.94E-07,3.36E-06,,,,,,
YALI1_D30482g,1.311239178,0.308532402,5.99E-07,3.38E-06,,,,,,
YALI1_E06220g,0.297664185,4.764730164,5.99E-07,3.38E-06,,,,,,
YALI1_D30097g,-0.273733406,8.78260333,6.04E-07,3.40E-06,,,,,,
YALI1_D19515g,-0.331068253,7.720187238,6.05E-07,3.40E-06,,,,,,
YALI1_B30182g,-0.440309542,4.644426776,6.05E-07,3.40E-06,,,,,,
YALI1_B08401g,0.309989128,5.058419053,6.09E-07,3.42E-06,,,,,,
YALI1_F22402g,0.264770787,6.087941982,6.14E-07,3.45E-06,,,,,,
YALI1_F13908g,-0.235062207,8.104103195,6.18E-07,3.47E-06,,,,,,
YALI1_A06818g,0.497123973,3.46353338,6.21E-07,3.48E-06,,,,,,
YALI1_D29109g,-0.265000764,8.629294861,6.28E-07,3.52E-06,,,,,,
YALI1_F28393g,-0.561599713,7.007307671,6.31E-07,3.53E-06,,,,,,
YALI1_D34758g,-0.261935904,5.795494658,6.34E-07,3.55E-06,,,,,,
YALI1_F16527g,-0.607587148,3.784612422,6.34E-07,3.55E-06,,,,,,
YALI1_A20453g,0.2386805,7.321499952,6.56E-07,3.66E-06,,,,,,
YALI1_B15703g,-0.637327841,2.32243888,6.58E-07,3.68E-06,,,,,,
YALI1_F16199g,1.652382821,1.358092035,6.61E-07,3.69E-06,,,,,,
YALI1_B14752g,-0.315039732,5.704045973,6.62E-07,3.69E-06,,,,,,
YALI1_D06311g,-0.275167987,7.344289449,6.67E-07,3.72E-06,,,,,,
YALI1_D25899g,-0.281873526,7.85259719,6.69E-07,3.72E-06,,,,,,
YALI1_C00331g,0.512704762,4.069088392,6.70E-07,3.72E-06,,,,,,
YALI1_B10635g,0.570088702,9.861867245,6.98E-07,3.88E-06,,,,,,
YALI1_C07152g,-0.454411057,3.822574102,6.98E-07,3.88E-06,,,,,,
YALI1_C29529g,0.593884541,2.66878836,7.03E-07,3.90E-06,,,,,,
YALI1_B17008g,-0.227812493,9.480510466,7.10E-07,3.94E-06,,,,,,
YALI1_D26084g,-0.233564722,5.774998066,7.14E-07,3.95E-06,,,,,,
YALI1_B28789g,0.271859447,6.101016915,7.15E-07,3.96E-06,,,,,,
YALI1_F18979g,0.706345509,1.652273972,7.20E-07,3.98E-06,,,,,,
YALI1_F22784g,1.128819859,-0.040817256,7.58E-07,4.19E-06,,,,,,
YALI1_E09779g,0.559123461,2.431574831,7.61E-07,4.20E-06,,,,,,
YALI1_B11034g,0.640291454,1.806923787,7.82E-07,4.31E-06,,,,,,
YALI1_C33270g,0.286581234,5.969416579,7.82E-07,4.31E-06,,,,,,
YALI1_E09505r,1.903236841,-0.62814889,7.91E-07,4.36E-06,,,,,,
YALI1_B27057g,1.588253923,-0.009750465,7.93E-07,4.36E-06,,,,,,
YALI1_D12567g,1.151109473,5.514630716,8.06E-07,4.44E-06,,,,,,
YALI1_E13808g,-0.272344043,5.462915826,8.10E-07,4.45E-06,,,,,,
YALI1_E12013g,0.963389984,0.5262426,8.29E-07,4.56E-06,,,,,,
YALI1_D09417g,-0.471638514,3.694775634,8.31E-07,4.56E-06,,,,,,
YALI1_E30886g,-0.269683617,10.81822809,8.36E-07,4.59E-06,,,,,,
YALI1_D02936g,0.495722865,3.388953294,8.39E-07,4.60E-06,,,,,,
YALI1_B26808g,-0.215279535,9.646517347,8.47E-07,4.64E-06,,,,,,
YALI1_B16544g,-0.243991956,8.637374971,8.57E-07,4.69E-06,,,,,,
YALI1_F04849g,0.641552023,2.923227075,8.73E-07,4.78E-06,,,,,,
YALI1_B10607g,0.265676082,7.936171739,8.76E-07,4.79E-06,,,,,,
YALI1_C04853g,0.244211848,5.781034168,9.02E-07,4.92E-06,,,,,,
YALI1_E18843g,-0.304831942,7.881145375,9.03E-07,4.93E-06,,,,,,
YALI1_D30506g,-0.284005486,8.418289127,9.08E-07,4.95E-06,,,,,,
YALI1_F14542g,0.953470055,0.342484297,9.14E-07,4.98E-06,,,,,,
YALI1_B13699g,-0.308003935,8.350386505,9.33E-07,5.08E-06,,,,,,
YALI1_B25906g,0.277943118,10.57092252,9.44E-07,5.14E-06,,,,,,
YALI1_F30789g,0.302434755,7.389006824,9.54E-07,5.19E-06,,,,,,
YALI1_D13545g,-0.272560323,10.77071507,9.70E-07,5.27E-06,,,,,,
YALI1_D01298g,0.249269538,7.101980241,1.02E-06,5.51E-06,,,,,,
YALI1_B07366g,-0.344470704,8.03342799,1.02E-06,5.51E-06,,,,,,
YALI1_E21097g,-0.256495815,7.751046793,1.05E-06,5.67E-06,,,,,,
YALI1_A02131g,0.330590732,4.571121415,1.05E-06,5.68E-06,,,,,,
YALI1_E02265g,-0.278740053,6.395594755,1.05E-06,5.70E-06,,,,,,
YALI1_D20007g,-0.269748552,6.751634929,1.07E-06,5.81E-06,,,,,,
YALI1_D17090g,0.25047716,5.368233202,1.08E-06,5.83E-06,,,,,,
YALI1_A04415g,0.318596443,5.077506006,1.08E-06,5.84E-06,,,,,,
YALI1_D12271g,-0.476428295,4.02693298,1.11E-06,6.02E-06,,,,,,
YALI1_E24719g,0.529245966,4.235135785,1.12E-06,6.02E-06,,,,,,
YALI1_C31759g,0.262617651,5.341435889,1.12E-06,6.05E-06,,,,,,
YALI1_C19898g,-0.308033023,4.723326575,1.13E-06,6.07E-06,,,,,,
YALI1_E17935g,-0.242135031,8.725343845,1.13E-06,6.09E-06,,,,,,
YALI1_A08175g,-0.321754422,6.874799165,1.14E-06,6.13E-06,,,,,,
YALI1_D19623g,-1.763543171,7.491079995,1.14E-06,6.15E-06,,,,,,
YALI1_F10660g,0.40811391,4.435685338,1.16E-06,6.20E-06,,,,,,
YALI1_D20018g,-0.279998842,6.268649665,1.16E-06,6.23E-06,,,,,,
YALI1_B02781g,-0.290596867,8.086657067,1.16E-06,6.23E-06,,,,,,
YALI1_B08898g,0.339349898,5.773114531,1.17E-06,6.26E-06,,,,,,
YALI1_A21913g,-0.291098872,5.981353063,1.18E-06,6.30E-06,,,,,,
YALI1_C18082g,0.605259907,2.700921115,1.18E-06,6.34E-06,,,,,,
YALI1_E34933g,-0.360815815,6.240185363,1.20E-06,6.43E-06,,,,,,
YALI1_B29419g,0.498063311,9.20633287,1.20E-06,6.44E-06,,,,,,
YALI1_F04106g,0.293099956,5.901284165,1.23E-06,6.59E-06,,,,,,
YALI1_F06904g,-0.42808808,5.768920866,1.25E-06,6.64E-06,,,,,,
YALI1_F17547g,-0.270615373,5.687170478,1.26E-06,6.74E-06,,,,,,
YALI1_F32476g,0.227932445,8.698931738,1.26E-06,6.74E-06,,,,,,
YALI1_C02831g,-0.251329275,8.646100536,1.27E-06,6.76E-06,,,,,,
YALI1_C31047g,-0.345046778,5.375535296,1.27E-06,6.76E-06,,,,,,
YALI1_F27716g,0.309635639,5.734588858,1.30E-06,6.91E-06,,,,,,
YALI1_F17094g,0.943317629,1.827608312,1.31E-06,6.94E-06,,,,,,
YALI1_F11277g,-0.26026429,6.842907244,1.38E-06,7.32E-06,,,,,,
YALI1_E31891g,-0.330400403,4.586309734,1.40E-06,7.45E-06,,,,,,
YALI1_B26377g,-0.631627526,8.520339548,1.40E-06,7.45E-06,,,,,,
YALI1_C13652g,0.220993419,5.75178719,1.41E-06,7.45E-06,,,,,,
YALI1_F39314g,-0.316460885,5.694581758,1.44E-06,7.61E-06,,,,,,
YALI1_E28599g,-0.235509521,6.563044251,1.44E-06,7.61E-06,,,,,,
YALI1_A18605g,-0.747766942,1.677003385,1.45E-06,7.64E-06,,,,,,
YALI1_F24359g,-0.304045657,7.06859754,1.47E-06,7.77E-06,,,,,,
YALI1_C25352g,-0.222459886,6.929474194,1.47E-06,7.77E-06,,,,,,
YALI1_A20822g,-0.240878982,6.935467444,1.48E-06,7.81E-06,,,,,,
YALI1_B18347g,-0.351712638,9.474784984,1.50E-06,7.91E-06,,,,,,
YALI1_B02910g,-1.326764448,-0.207995793,1.51E-06,7.94E-06,,,,,,
YALI1_D15597g,0.292499344,5.685269808,1.55E-06,8.16E-06,,,,,,
YALI1_D12513g,0.56146485,10.15332755,1.56E-06,8.20E-06,,,,,,
YALI1_F31974r,1.63998839,-0.75191486,1.57E-06,8.23E-06,,,,,,
YALI1_D29831g,-0.284554466,6.33944745,1.61E-06,8.47E-06,,,,,,
YALI1_F06896g,-0.273231831,4.860832213,1.63E-06,8.57E-06,,,,,,
YALI1_D03805g,0.527199114,3.41952129,1.64E-06,8.60E-06,,,,,,
YALI1_E34015g,0.676406399,2.310678446,1.66E-06,8.71E-06,,,,,,
YALI1_E01299g,-0.279752238,6.576230493,1.66E-06,8.71E-06,,,,,,
YALI1_A21089g,0.38914409,3.869176274,1.68E-06,8.78E-06,,,,,,
YALI1_E16305g,0.276805285,4.787263675,1.71E-06,8.92E-06,,,,,,
YALI1_D07299g,0.254231701,5.567656945,1.73E-06,9.03E-06,,,,,,
YALI1_E02290g,-0.404358554,4.830263238,1.74E-06,9.07E-06,,,,,,
YALI1_E12614g,-0.346801952,6.290841733,1.74E-06,9.09E-06,,,,,,
YALI1_F27529g,0.38159306,4.516840609,1.79E-06,9.33E-06,,,,,,
YALI1_C06368g,-0.516200847,3.146852009,1.85E-06,9.66E-06,,,,,,
YALI1_F19938g,-0.282352427,5.873176769,1.86E-06,9.69E-06,,,,,,
YALI1_F23867g,0.294711615,6.385601621,1.89E-06,9.82E-06,,,,,,
YALI1_C19105g,1.107452612,-0.12645322,1.90E-06,9.89E-06,,,,,,
YALI1_B08699g,1.177830485,0.136770864,1.90E-06,9.89E-06,,,,,,
YALI1_E16919g,0.211583168,6.741911953,1.93E-06,1.00E-05,,,,,,
YALI1_C08523g,-0.24044215,12.01217114,2.03E-06,1.05E-05,,,,,,
YALI1_D14276g,-0.48445197,3.827212172,2.04E-06,1.06E-05,,,,,,
YALI1_D34916g,0.952599164,0.036035484,2.05E-06,1.06E-05,,,,,,
YALI1_D31719g,0.36472877,6.244184716,2.10E-06,1.09E-05,,,,,,
YALI1_D29500r,0.361474224,4.707324396,2.12E-06,1.09E-05,,,,,,
YALI1_D11934g,-0.63609173,2.886863606,2.15E-06,1.11E-05,,,,,,
YALI1_D18392g,0.554511593,2.251369008,2.15E-06,1.11E-05,,,,,,
YALI1_B24424g,-0.224797701,7.399084923,2.17E-06,1.12E-05,,,,,,
YALI1_A08931g,0.94918965,0.550694772,2.19E-06,1.13E-05,,,,,,
YALI1_C13506g,-0.652178022,2.376300395,2.19E-06,1.13E-05,,,,,,
YALI1_B11983g,0.317331123,8.724952352,2.19E-06,1.13E-05,,,,,,
YALI1_C05133g,-0.226577198,9.826102901,2.21E-06,1.14E-05,,,,,,
YALI1_F04211g,0.192015129,6.514474954,2.23E-06,1.15E-05,,,,,,
YALI1_E36984g,0.25391158,6.600523231,2.25E-06,1.16E-05,,,,,,
YALI1_E03300g,0.348460947,9.908939721,2.29E-06,1.18E-05,,,,,,
YALI1_F12211g,0.974701649,0.626703981,2.31E-06,1.19E-05,,,,,,
YALI1_F34051g,0.199764498,6.225575075,2.33E-06,1.20E-05,,,,,,
YALI1_E40305g,-0.281430992,7.016729547,2.34E-06,1.20E-05,,,,,,
YALI1_E27243g,-0.259244968,5.662008252,2.37E-06,1.21E-05,,,,,,
YALI1_A02096g,0.536376501,3.473601936,2.38E-06,1.22E-05,,,,,,
YALI1_E41276g,-0.548613879,5.081987437,2.38E-06,1.22E-05,,,,,,
YALI1_B06607g,0.290717691,7.390751709,2.40E-06,1.23E-05,,,,,,
YALI1_A04006g,-0.667015841,4.26670169,2.41E-06,1.23E-05,,,,,,
YALI1_C21664g,-0.292128515,6.058813958,2.50E-06,1.28E-05,,,,,,
YALI1_F04345g,0.261945303,5.084285504,2.51E-06,1.28E-05,,,,,,
YALI1_F11337g,0.472097653,4.020837622,2.55E-06,1.30E-05,,,,,,
YALI1_C02550g,0.276842886,7.726270855,2.57E-06,1.31E-05,,,,,,
YALI1_F24408g,-0.272555629,6.068813569,2.59E-06,1.32E-05,,,,,,
YALI1_E04341g,0.233820282,6.996104842,2.63E-06,1.34E-05,,,,,,
YALI1_F39789g,0.578513603,8.368686553,2.67E-06,1.36E-05,,,,,,
YALI1_B18707g,-0.217552525,10.50332235,2.73E-06,1.39E-05,,,,,,
YALI1_C20085g,-0.440683016,3.627705201,2.76E-06,1.40E-05,,,,,,
YALI1_E32693g,-0.28602166,6.133821031,2.78E-06,1.41E-05,,,,,,
YALI1_E27649g,-0.282896806,10.7366598,2.78E-06,1.41E-05,,,,,,
YALI1_E15889g,-0.270489871,7.364313155,2.80E-06,1.42E-05,,,,,,
YALI1_E33372g,0.38808864,5.546433677,2.81E-06,1.42E-05,,,,,,
YALI1_C22876g,0.531189792,2.837593824,2.82E-06,1.43E-05,,,,,,
YALI1_B12384g,-0.736041857,1.015199963,2.82E-06,1.43E-05,,,,,,
YALI1_B27662g,-0.284892807,8.33060326,2.85E-06,1.44E-05,,,,,,
YALI1_B07210g,-0.226863856,5.894442851,2.90E-06,1.47E-05,,,,,,
YALI1_E30943g,-0.465864418,3.487836019,2.97E-06,1.50E-05,,,,,,
YALI1_E32077g,0.283050717,5.486906609,2.97E-06,1.50E-05,,,,,,
YALI1_A17720g,-0.265204789,5.589261581,2.97E-06,1.50E-05,,,,,,
YALI1_E41061g,-0.216304781,9.754072682,3.01E-06,1.52E-05,,,,,,
YALI1_B16194g,-0.304506836,5.730323099,3.05E-06,1.53E-05,,,,,,
YALI1_F22073g,-0.256959763,8.120219649,3.11E-06,1.56E-05,,,,,,
YALI1_F31283g,-0.239767257,5.760821554,3.12E-06,1.57E-05,,,,,,
YALI1_C09137g,-0.360312169,4.49502534,3.13E-06,1.57E-05,,,,,,
YALI1_E12893g,1.75253061,-0.491525357,3.17E-06,1.59E-05,,,,,,
YALI1_E06535g,0.315928094,4.960152956,3.19E-06,1.60E-05,,,,,,
YALI1_F34521g,0.299384437,7.30199461,3.21E-06,1.61E-05,,,,,,
YALI1_D03061g,0.448031215,3.643413585,3.23E-06,1.62E-05,,,,,,
YALI1_E02648g,0.23667621,7.637568891,3.24E-06,1.62E-05,,,,,,
YALI1_B25322g,-0.24892523,5.98008121,3.32E-06,1.66E-05,,,,,,
YALI1_B11781g,-0.367602133,4.080904207,3.40E-06,1.70E-05,,,,,,
YALI1_F29253g,0.300774805,5.512253509,3.41E-06,1.70E-05,,,,,,
YALI1_B25087g,0.363557519,4.652945109,3.50E-06,1.75E-05,,,,,,
YALI1_D16173g,0.248980569,6.082197881,3.53E-06,1.76E-05,,,,,,
YALI1_A13593g,-0.481474477,3.171482542,3.55E-06,1.77E-05,,,,,,
YALI1_A20242g,0.867820094,1.040870399,3.59E-06,1.79E-05,,,,,,
YALI1_D15692g,0.26897819,6.058749003,3.61E-06,1.80E-05,,,,,,
YALI1_E01689g,-0.368264954,4.460913391,3.61E-06,1.80E-05,,,,,,
YALI1_B15943g,0.218665359,6.814907948,3.63E-06,1.80E-05,,,,,,
YALI1_C18365g,-0.320362158,5.75550565,3.66E-06,1.82E-05,,,,,,
YALI1_D26467g,0.245722349,5.513444814,3.67E-06,1.82E-05,,,,,,
YALI1_E28575g,-0.241277595,8.68447925,3.71E-06,1.84E-05,,,,,,
YALI1_D21511g,-0.317248224,6.880159656,3.72E-06,1.85E-05,,,,,,
YALI1_C25937g,0.212368282,7.129970539,3.80E-06,1.88E-05,,,,,,
YALI1_D02041g,0.342757882,6.860701534,3.84E-06,1.90E-05,,,,,,
YALI1_D06489g,0.262599106,6.80261988,3.84E-06,1.90E-05,,,,,,
YALI1_C11441g,1.293531006,0.240598722,3.87E-06,1.91E-05,,,,,,
YALI1_E22576g,-0.275660859,5.984465235,3.87E-06,1.91E-05,,,,,,
YALI1_A18557g,-0.230041765,9.915441383,3.89E-06,1.92E-05,,,,,,
YALI1_F37400g,0.256138524,7.059996414,3.89E-06,1.92E-05,,,,,,
YALI1_E00358g,-0.411647321,3.693792284,3.97E-06,1.96E-05,,,,,,
YALI1_A14390g,-0.230857999,7.397915389,4.03E-06,1.99E-05,,,,,,
YALI1_F07181g,-0.237749336,7.2263979,4.04E-06,1.99E-05,,,,,,
YALI1_A16826g,0.604970222,2.77770816,4.11E-06,2.02E-05,,,,,,
YALI1_D24626g,0.359046,6.601443292,4.14E-06,2.04E-05,,,,,,
YALI1_F37068g,-0.224141806,6.758131213,4.18E-06,2.06E-05,,,,,,
YALI1_B11484g,-0.267165804,8.048074816,4.20E-06,2.07E-05,,,,,,
YALI1_F11553g,-0.272803537,6.738528334,4.23E-06,2.08E-05,,,,,,
YALI1_C07423g,0.323036902,7.330012251,4.25E-06,2.09E-05,,,,,,
YALI1_E11181g,0.956831579,2.17612204,4.27E-06,2.09E-05,,,,,,
YALI1_F00821g,-0.213852633,10.97409927,4.45E-06,2.18E-05,,,,,,
YALI1_C03674g,-0.243776003,7.043681546,4.51E-06,2.21E-05,,,,,,
YALI1_F16568g,-0.290353417,5.303428863,4.53E-06,2.21E-05,,,,,,
YALI1_D00798g,0.650781823,2.689987619,4.54E-06,2.22E-05,,,,,,
YALI1_E09082g,-0.25692957,7.772757537,4.57E-06,2.23E-05,,,,,,
YALI1_F15186g,-0.2448966,7.344698463,4.65E-06,2.27E-05,,,,,,
YALI1_B23017g,1.122648589,0.334927102,4.66E-06,2.27E-05,,,,,,
YALI1_C00913g,-0.277833319,5.037186751,4.73E-06,2.31E-05,,,,,,
YALI1_D25151g,-0.359403446,6.071176909,4.82E-06,2.35E-05,,,,,,
YALI1_B19844g,-0.215874309,10.85644089,4.83E-06,2.35E-05,,,,,,
YALI1_B14826g,0.210529347,6.459085472,4.86E-06,2.37E-05,,,,,,
YALI1_B12451g,0.267395798,7.420339745,4.90E-06,2.38E-05,,,,,,
YALI1_D02546g,0.22435355,6.169697003,4.98E-06,2.42E-05,,,,,,
YALI1_E29535g,-0.28281027,6.129814776,5.05E-06,2.45E-05,,,,,,
YALI1_F08635g,-0.216661432,9.296082865,5.10E-06,2.48E-05,,,,,,
YALI1_A07681g,0.403632378,4.222651058,5.13E-06,2.49E-05,,,,,,
YALI1_B15624g,-0.273887255,6.111136757,5.21E-06,2.52E-05,,,,,,
YALI1_B27460g,0.203022134,6.320903748,5.24E-06,2.54E-05,,,,,,
YALI1_E02678g,-0.31721386,5.162327164,5.31E-06,2.57E-05,,,,,,
YALI1_D35025g,1.912275589,3.093722032,5.32E-06,2.58E-05,,,,,,
YALI1_F01614g,0.325727205,8.180298571,5.36E-06,2.59E-05,,,,,,
YALI1_D21464g,0.60750427,2.494897454,5.38E-06,2.60E-05,,,,,,
YALI1_B28098g,-0.359320907,6.946174774,5.38E-06,2.60E-05,,,,,,
YALI1_C02374g,-0.434269863,3.623864471,5.42E-06,2.61E-05,,,,,,
YALI1_E39924g,0.206087661,8.304466948,5.44E-06,2.63E-05,,,,,,
YALI1_E31897g,-0.283049536,7.540828504,5.49E-06,2.65E-05,,,,,,
YALI1_A11622g,0.98891508,1.42923851,5.60E-06,2.70E-05,,,,,,
YALI1_F10530g,-0.338339117,6.888527569,5.65E-06,2.72E-05,,,,,,
YALI1_C25029g,0.222105788,6.22730363,5.68E-06,2.73E-05,,,,,,
YALI1_D28993g,-0.250320208,5.638402482,5.70E-06,2.74E-05,,,,,,
YALI1_E04968g,-0.458439878,7.046716957,5.73E-06,2.75E-05,,,,,,
YALI1_C18771g,0.302725429,7.302730467,5.75E-06,2.76E-05,,,,,,
YALI1_E34586g,0.748716282,7.691606584,5.81E-06,2.79E-05,,,,,,
YALI1_A01777g,-0.233733931,6.248071617,5.82E-06,2.79E-05,,,,,,
YALI1_F29038g,-0.252138953,7.157679772,5.85E-06,2.80E-05,,,,,,
YALI1_C14910g,0.872963104,0.629217158,5.88E-06,2.82E-05,,,,,,
YALI1_C03374g,-0.475791575,2.896360211,5.98E-06,2.86E-05,,,,,,
YALI1_D32369g,-0.459782623,8.203297502,5.98E-06,2.86E-05,,,,,,
YALI1_E07950g,-0.277251957,5.651548381,6.04E-06,2.88E-05,,,,,,
YALI1_E06712g,-0.452810811,5.814781379,6.05E-06,2.89E-05,,,,,,
YALI1_D00264g,0.237633845,4.994957393,6.07E-06,2.90E-05,,,,,,
YALI1_B25319g,-0.229474582,5.716917121,6.10E-06,2.91E-05,,,,,,
YALI1_E31717g,0.356165071,4.192223642,6.12E-06,2.92E-05,,,,,,
YALI1_E24052g,0.568985308,4.153079306,6.17E-06,2.94E-05,,,,,,
