Orthogroup	DMKU3-1042	W29	s288c
OG0000634	tr|W0TAU5|W0TAU5_KLUMD	tr|A0A1D8NAW6|A0A1D8NAW6_YARLL	sp|P22023|KRE5_YEAST
OG0000635	tr|W0T6J2|W0T6J2_KLUMD	tr|A0A1D8NF48|A0A1D8NF48_YARLL	sp|P40015|ISC1_YEAST
OG0000636	tr|W0TGE6|W0TGE6_KLUMD	tr|A0A1D8NC95|A0A1D8NC95_YARLL	sp|P38716|YHR2_YEAST
OG0000637	tr|W0T377|W0T377_KLUMD		sp|P38760|MIP6_YEAST, sp|P39684|PES4_YEAST
OG0000638	tr|W0T8M8|W0T8M8_KLUMD	tr|A0A1D8N3G6|A0A1D8N3G6_YARLL	sp|Q02872|YP108_YEAST
OG0000639	tr|W0TAP2|W0TAP2_KLUMD	tr|A0A1H6Q182|A0A1H6Q182_YARLL	sp|P28707|SBA1_YEAST
OG0000640	tr|W0T7A0|W0T7A0_KLUMD	tr|A0A1H6PHM3|A0A1H6PHM3_YARLL	sp|P53136|NSA1_YEAST
OG0000641	tr|W0TA62|W0TA62_KLUMD	tr|A0A1D8NC10|A0A1D8NC10_YARLL	sp|P13517|CAPZB_YEAST
OG0000642	tr|W0T427|W0T427_KLUMD	tr|A0A1D8NPH9|A0A1D8NPH9_YARLL	sp|P39986|ATC6_YEAST
OG0000643	tr|W0T517|W0T517_KLUMD	tr|A0A1D8NJC6|A0A1D8NJC6_YARLL	sp|P53090|ARO8_YEAST
OG0000644	tr|W0TCR2|W0TCR2_KLUMD	tr|A0A1D8NKJ1|A0A1D8NKJ1_YARLL	sp|P32767|KA122_YEAST
OG0000645	tr|W0T801|W0T801_KLUMD	tr|A0A1D8NPC8|A0A1D8NPC8_YARLL	sp|P36052|NDUF7_YEAST
OG0000646	tr|W0TC99|W0TC99_KLUMD	tr|A0A1H6PQY2|A0A1H6PQY2_YARLL	sp|P40009|YND1_YEAST
OG0000647	tr|W0T5J4|W0T5J4_KLUMD	tr|A0A1D8NL60|A0A1D8NL60_YARLL	sp|P38692|KIC1_YEAST
OG0000648	tr|W0TEM3|W0TEM3_KLUMD	tr|A0A1H6PVJ8|A0A1H6PVJ8_YARLL	sp|P32464|HYM1_YEAST
OG0000649	tr|W0TEC6|W0TEC6_KLUMD	tr|A0A1D8NGV1|A0A1D8NGV1_YARLL	sp|P38719|DBP8_YEAST
OG0000650	tr|W0T5Z1|W0T5Z1_KLUMD	tr|A0A1D8NNM0|A0A1D8NNM0_YARLL	sp|P35127|UBL1_YEAST
OG0000651	tr|W0T903|W0T903_KLUMD	tr|A0A1D8NNZ9|A0A1D8NNZ9_YARLL	sp|Q12186|BBP_YEAST
OG0000652	tr|W0TGI2|W0TGI2_KLUMD	tr|A0A1D8NCE2|A0A1D8NCE2_YARLL	sp|P53688|HST4_YEAST
OG0000653	tr|W0TBN0|W0TBN0_KLUMD	tr|A0A1D8NBP7|A0A1D8NBP7_YARLL	sp|Q03455|MSC2_YEAST
OG0000654	tr|W0TF41|W0TF41_KLUMD	tr|A0A1D8NG83|A0A1D8NG83_YARLL	sp|P38913|FAD1_YEAST
OG0000655	tr|W0T8Y3|W0T8Y3_KLUMD	tr|A0A1D8NEP9|A0A1D8NEP9_YARLL	sp|Q06651|PIB1_YEAST
OG0000656	tr|W0TAD6|W0TAD6_KLUMD	tr|A0A1D8NHT1|A0A1D8NHT1_YARLL	sp|Q02606|YP014_YEAST
OG0000657	tr|W0T722|W0T722_KLUMD	tr|A0A1H6PNY8|A0A1H6PNY8_YARLL	sp|P36000|AP1B1_YEAST
OG0000658	tr|W0TG78|W0TG78_KLUMD	tr|A0A1D8NPA2|A0A1D8NPA2_YARLL	sp|P32939|YPT7_YEAST
OG0000659	tr|W0T913|W0T913_KLUMD	tr|A0A1D8NHB9|A0A1D8NHB9_YARLL	sp|P05374|CHO2_YEAST
OG0000660	tr|W0TCC0|W0TCC0_KLUMD	tr|A0A1D8N5M5|A0A1D8N5M5_YARLL	sp|Q12091|DAP1_YEAST
OG0000661	tr|W0TAH4|W0TAH4_KLUMD	tr|A0A1D8NLF0|A0A1D8NLF0_YARLL	sp|P53741|BRE5_YEAST
OG0000662	tr|W0T6B2|W0T6B2_KLUMD	tr|A0A1H6Q3S7|A0A1H6Q3S7_YARLL	sp|P38930|CSK2C_YEAST
OG0000663	tr|W0T6G0|W0T6G0_KLUMD	tr|A0A1D8NBJ4|A0A1D8NBJ4_YARLL	sp|Q02100|SKO1_YEAST
OG0000664	tr|W0T3Y1|W0T3Y1_KLUMD	tr|A0A1D8NJY3|A0A1D8NJY3_YARLL	sp|P53617|NRD1_YEAST
OG0000665	tr|W0T700|W0T700_KLUMD	tr|A0A1H6Q7G0|A0A1H6Q7G0_YARLL	sp|P36070|RRN3_YEAST
OG0000666	tr|W0TD99|W0TD99_KLUMD	tr|A0A1D8NAR9|A0A1D8NAR9_YARLL	sp|P46969|RPE_YEAST
OG0000667	tr|W0TED3|W0TED3_KLUMD	tr|A0A1D8ND24|A0A1D8ND24_YARLL	sp|P38110|ATM_YEAST
OG0000668	tr|W0TCQ8|W0TCQ8_KLUMD	tr|A0A1H6Q0P8|A0A1H6Q0P8_YARLL	sp|Q08826|SNX3_YEAST
OG0000669	tr|W0T9A7|W0T9A7_KLUMD	tr|A0A1D8NNX0|A0A1D8NNX0_YARLL	sp|P43616|DUG1_YEAST
OG0000670	tr|W0T7F9|W0T7F9_KLUMD	tr|A0A1D8NLY3|A0A1D8NLY3_YARLL	sp|P43609|RSC8_YEAST
OG0000671	tr|W0TA77|W0TA77_KLUMD	tr|A0A1D8NKF1|A0A1D8NKF1_YARLL	sp|Q05567|SGPL_YEAST
OG0000672	tr|W0T6F4|W0T6F4_KLUMD	tr|A0A1H6PSG8|A0A1H6PSG8_YARLL	sp|P40030|ERG28_YEAST
OG0000673	tr|W0T423|W0T423_KLUMD	tr|A0A1H6Q9V3|A0A1H6Q9V3_YARLL	sp|P32626|ENOPH_YEAST
OG0000674	tr|W0THU3|W0THU3_KLUMD	tr|A0A1D8N8Z7|A0A1D8N8Z7_YARLL	sp|P32608|RTG2_YEAST
OG0000675	tr|W0T7V0|W0T7V0_KLUMD	tr|A0A1D8NDA7|A0A1D8NDA7_YARLL	sp|P46957|DPOD2_YEAST
OG0000676	tr|W0T858|W0T858_KLUMD	tr|A0A1H6Q4J3|A0A1H6Q4J3_YARLL	sp|P38523|GRPE_YEAST
OG0000677	tr|W0TDU3|W0TDU3_KLUMD	tr|A0A1D8NLG5|A0A1D8NLG5_YARLL	sp|P04819|DNLI1_YEAST
OG0000678	tr|W0TH96|W0TH96_KLUMD	tr|A0A1D8NC72|A0A1D8NC72_YARLL	sp|P38197|PLPHP_YEAST
OG0000679	tr|W0T7K3|W0T7K3_KLUMD	tr|A0A1D8NDF0|A0A1D8NDF0_YARLL	sp|P28241|IDH2_YEAST
OG0000680	tr|W0TBA5|W0TBA5_KLUMD	tr|A0A1D8NGJ4|A0A1D8NGJ4_YARLL	sp|P36108|DID4_YEAST
OG0000681	tr|W0T2T7|W0T2T7_KLUMD	tr|A0A1D8NGD2|A0A1D8NGD2_YARLL	sp|P32562|CDC5_YEAST
OG0000682	tr|W0T2C3|W0T2C3_KLUMD	tr|A0A1H6PP85|A0A1H6PP85_YARLL	sp|P53838|BOR1_YEAST
OG0000683	tr|W0T2T8|W0T2T8_KLUMD	tr|A0A1D8NQ71|A0A1D8NQ71_YARLL	sp|P17065|SEC2_YEAST
OG0000684	tr|W0TGT5|W0TGT5_KLUMD		sp|P40106|GPP2_YEAST, sp|P41277|GPP1_YEAST
OG0000685	tr|W0TE34|W0TE34_KLUMD	tr|A0A1D8NNA1|A0A1D8NNA1_YARLL	sp|P53600|COPZ_YEAST
OG0000686	tr|W0TDC5|W0TDC5_KLUMD	tr|A0A1D8NKL1|A0A1D8NKL1_YARLL	sp|P53154|GUP1_YEAST
OG0000687	tr|W0T9K2|W0T9K2_KLUMD, tr|W0TH74|W0TH74_KLUMD	tr|Q8WZL3|Q8WZL3_YARLL	
OG0000688	tr|W0TCD1|W0TCD1_KLUMD	tr|A0A1D8NLX2|A0A1D8NLX2_YARLL	sp|Q08601|MCA1_YEAST
OG0000689	tr|W0TC12|W0TC12_KLUMD	tr|A0A1D8NL67|A0A1D8NL67_YARLL	sp|P53166|MRH4_YEAST
OG0000690	tr|W0TE45|W0TE45_KLUMD	tr|A0A1D8NQF4|A0A1D8NQF4_YARLL	sp|P47016|NIT2_YEAST
OG0000691	tr|W0TEB9|W0TEB9_KLUMD	tr|A0A1D8NJ20|A0A1D8NJ20_YARLL	sp|P20048|SEC59_YEAST
OG0000692	tr|W0T9K6|W0T9K6_KLUMD	tr|A0A1D8N4N2|A0A1D8N4N2_YARLL	sp|P34160|NCBP1_YEAST
OG0000693	tr|W0T6H0|W0T6H0_KLUMD	tr|A0A1D8N6D9|A0A1D8N6D9_YARLL	sp|P53894|CBK1_YEAST
OG0000694	tr|W0TD69|W0TD69_KLUMD	tr|A0A1H6PPA5|A0A1H6PPA5_YARLL	sp|P54885|PROA_YEAST
OG0000695	tr|W0THA7|W0THA7_KLUMD	tr|A0A1D8NG53|A0A1D8NG53_YARLL	sp|P38962|TVP23_YEAST
OG0000696	tr|W0T8J9|W0T8J9_KLUMD	tr|A0A1D8NJL4|A0A1D8NJL4_YARLL	sp|P32584|STE14_YEAST
OG0000697	tr|W0TEC9|W0TEC9_KLUMD	tr|A0A1D8NKN2|A0A1D8NKN2_YARLL	sp|P38061|RL32_YEAST
OG0000698	tr|W0TFA0|W0TFA0_KLUMD	tr|A0A1H6Q8J3|A0A1H6Q8J3_YARLL	sp|P25382|NLE1_YEAST
OG0000699	tr|W0T9D6|W0T9D6_KLUMD	tr|A0A1H6PVY0|A0A1H6PVY0_YARLL	sp|Q12676|FOLD_YEAST
OG0000700	tr|W0TF20|W0TF20_KLUMD	tr|A0A1D8NJS8|A0A1D8NJS8_YARLL	sp|P47147|YMR1_YEAST
OG0000701	tr|W0TBE2|W0TBE2_KLUMD	tr|A0A1D8NCY9|A0A1D8NCY9_YARLL	sp|P43606|PTR3_YEAST
OG0000702	tr|W0T8E9|W0T8E9_KLUMD	tr|A0A1H6PTW1|A0A1H6PTW1_YARLL	sp|P47058|TAD2_YEAST
OG0000703	tr|W0TDE3|W0TDE3_KLUMD	tr|A0A1D8N8U7|A0A1D8N8U7_YARLL	sp|P53255|DRN1_YEAST
OG0000704	tr|W0TDV0|W0TDV0_KLUMD	tr|A0A1H6PMX1|A0A1H6PMX1_YARLL	sp|P53921|YNM2_YEAST
OG0000705	tr|W0T6W4|W0T6W4_KLUMD	tr|A0A1D8NMG6|A0A1D8NMG6_YARLL	sp|P27636|CDC15_YEAST
OG0000706	tr|W0TES1|W0TES1_KLUMD	tr|A0A1D8NEH9|A0A1D8NEH9_YARLL	sp|Q06504|NAT3_YEAST
OG0000707	tr|W0TE14|W0TE14_KLUMD	tr|A0A1D8NI76|A0A1D8NI76_YARLL	sp|Q04264|PDS5_YEAST
OG0000708	tr|W0T7E4|W0T7E4_KLUMD	tr|A0A1D8N3B9|A0A1D8N3B9_YARLL	sp|Q08422|TMC1_YEAST
OG0000709	tr|W0T664|W0T664_KLUMD	tr|A0A1D8N682|A0A1D8N682_YARLL	sp|P14907|NSP1_YEAST
OG0000710	tr|W0T3I3|W0T3I3_KLUMD	tr|A0A1D8NJT0|A0A1D8NJT0_YARLL	sp|P29056|TF3B_YEAST
OG0000711	tr|W0THQ9|W0THQ9_KLUMD	tr|A0A1D8N6V6|A0A1D8N6V6_YARLL	sp|P14922|CYC8_YEAST
OG0000712	tr|W0T6S4|W0T6S4_KLUMD	tr|A0A1H6Q949|A0A1H6Q949_YARLL	sp|Q03103|ERO1_YEAST
OG0000713	tr|W0TCH5|W0TCH5_KLUMD	tr|A0A1D8NIM9|A0A1D8NIM9_YARLL	sp|P39692|MET10_YEAST
OG0000714	tr|W0TEG2|W0TEG2_KLUMD	tr|A0A1D8NHE4|A0A1D8NHE4_YARLL	sp|P32794|AFG2_YEAST
OG0000715	tr|W0TEG0|W0TEG0_KLUMD	tr|A0A1D8NBI0|A0A1D8NBI0_YARLL	sp|P28240|ACEA_YEAST
OG0000716	tr|W0THA2|W0THA2_KLUMD	tr|A0A1D8NDU1|A0A1D8NDU1_YARLL	sp|P35179|SC61G_YEAST
OG0000717	tr|W0TB24|W0TB24_KLUMD	tr|A0A1D8NAQ1|A0A1D8NAQ1_YARLL	sp|P27692|SPT5_YEAST
OG0000718	tr|W0T3I6|W0T3I6_KLUMD	tr|A0A1D8NI50|A0A1D8NI50_YARLL	sp|P28263|UBC8_YEAST
OG0000719	tr|W0TH37|W0TH37_KLUMD	tr|A0A1H6PWQ5|A0A1H6PWQ5_YARLL	sp|P38042|CDC27_YEAST
OG0000720	tr|W0TDK8|W0TDK8_KLUMD	tr|A0A1H6PXV6|A0A1H6PXV6_YARLL	sp|Q12343|MED4_YEAST
OG0000721	tr|W0TE78|W0TE78_KLUMD	tr|A0A1H6PNI4|A0A1H6PNI4_YARLL	sp|P38989|SMC2_YEAST
OG0000722	tr|W0TAC1|W0TAC1_KLUMD	tr|A0A1H6Q2X0|A0A1H6Q2X0_YARLL	sp|P54000|SUB1_YEAST
OG0000723	tr|W0TDJ8|W0TDJ8_KLUMD	tr|A0A1D8NQC6|A0A1D8NQC6_YARLL	sp|P32569|MED17_YEAST
OG0000724	tr|W0T6L1|W0T6L1_KLUMD	tr|A0A1H6PUW3|A0A1H6PUW3_YARLL	sp|P53044|UFD1_YEAST
OG0000725	tr|W0TA84|W0TA84_KLUMD	tr|A0A1D8N7N0|A0A1D8N7N0_YARLL	sp|Q06685|VIP1_YEAST
OG0000726	tr|W0TJM1|W0TJM1_KLUMD	tr|A0A1D8NGM0|A0A1D8NGM0_YARLL	sp|P39985|DPO5_YEAST
OG0000727	tr|W0TAM3|W0TAM3_KLUMD	tr|A0A1H6PZ46|A0A1H6PZ46_YARLL	sp|P40958|MAD2_YEAST
OG0000728	tr|W0TBM9|W0TBM9_KLUMD	tr|A0A1D8NK83|A0A1D8NK83_YARLL	sp|P03069|GCN4_YEAST
OG0000729	tr|W0T6V2|W0T6V2_KLUMD	tr|A0A1D8NNB1|A0A1D8NNB1_YARLL	sp|P08964|MYO1_YEAST
OG0000730	tr|W0TB46|W0TB46_KLUMD	tr|A0A1D8NQA2|A0A1D8NQA2_YARLL	sp|P53742|NOG2_YEAST
OG0000731	tr|W0TDB0|W0TDB0_KLUMD	tr|A0A1D8NPW5|A0A1D8NPW5_YARLL	sp|P22804|BET1_YEAST
OG0000732	tr|W0T7D0|W0T7D0_KLUMD	tr|A0A1D8NMZ8|A0A1D8NMZ8_YARLL	sp|P06783|STE3_YEAST
OG0000733	tr|W0TCK3|W0TCK3_KLUMD		sp|P39734|HPH2_YEAST, sp|Q99332|HPH1_YEAST
OG0000734	tr|W0TF53|W0TF53_KLUMD	tr|A0A1D8N3E9|A0A1D8N3E9_YARLL	sp|P38339|RGD1_YEAST
OG0000735	tr|W0TD40|W0TD40_KLUMD	tr|A0A1D8NBZ8|A0A1D8NBZ8_YARLL	sp|P40363|SFGH_YEAST
OG0000736	tr|W0T7I7|W0T7I7_KLUMD	tr|A0A1H6Q2F9|A0A1H6Q2F9_YARLL	sp|P26364|KAD3_YEAST
OG0000737	tr|W0T4A3|W0T4A3_KLUMD	tr|A0A1H6PYP6|A0A1H6PYP6_YARLL	sp|P00128|QCR7_YEAST
OG0000738	tr|W0TC43|W0TC43_KLUMD	tr|A0A1H6Q3V3|A0A1H6Q3V3_YARLL	sp|Q02608|RT16_YEAST
OG0000739	tr|W0T5X4|W0T5X4_KLUMD, tr|W0TAH8|W0TAH8_KLUMD		sp|Q12235|YCT1_YEAST
OG0000740	tr|W0TH56|W0TH56_KLUMD	tr|A0A1H6PTU7|A0A1H6PTU7_YARLL	sp|P27351|AP2B_YEAST
OG0000741	tr|W0TA47|W0TA47_KLUMD	tr|A0A1H6Q0B5|A0A1H6Q0B5_YARLL	sp|P32349|RPC3_YEAST
OG0000742	tr|W0TA35|W0TA35_KLUMD	tr|A0A1H6Q5F6|A0A1H6Q5F6_YARLL	sp|P46951|YPP1_YEAST
OG0000743	tr|W0T4Q1|W0T4Q1_KLUMD	tr|A0A1H6Q0H7|A0A1H6Q0H7_YARLL	sp|P36164|TVP38_YEAST
OG0000744	tr|W0T9L6|W0T9L6_KLUMD	tr|A0A1D8NBF2|A0A1D8NBF2_YARLL	sp|P39929|SNF7_YEAST
OG0000745	tr|W0TAJ7|W0TAJ7_KLUMD	tr|A0A1D8NDZ2|A0A1D8NDZ2_YARLL	sp|P20447|DBP3_YEAST
OG0000746	tr|W0T8J2|W0T8J2_KLUMD	tr|A0A1D8NLD4|A0A1D8NLD4_YARLL	sp|Q03497|STE20_YEAST
OG0000747	tr|W0T8Q2|W0T8Q2_KLUMD		sp|P0CH08|RL40A_YEAST, sp|P0CH09|RL40B_YEAST
OG0000748	tr|W0TEJ8|W0TEJ8_KLUMD	tr|A0A1H6PS89|A0A1H6PS89_YARLL	sp|P38880|MDM31_YEAST
OG0000749	tr|W0T8W3|W0T8W3_KLUMD	tr|A0A1D8N6Q9|A0A1D8N6Q9_YARLL, tr|A0A1D8NHP7|A0A1D8NHP7_YARLL	
OG0000750	tr|W0TD46|W0TD46_KLUMD	tr|A0A1H6Q1C5|A0A1H6Q1C5_YARLL	sp|P38071|ETR1_YEAST
OG0000751	tr|W0T924|W0T924_KLUMD		sp|P36025|YO062_YEAST, sp|P36155|YK55_YEAST
OG0000752	tr|W0TCJ6|W0TCJ6_KLUMD	tr|A0A1D8N977|A0A1D8N977_YARLL	sp|P50086|PSD10_YEAST
OG0000753	tr|W0TJB7|W0TJB7_KLUMD	tr|A0A1D8N3P5|A0A1D8N3P5_YARLL	sp|Q12408|NPC2_YEAST
OG0000754	tr|W0T467|W0T467_KLUMD	tr|A0A1H6PML7|A0A1H6PML7_YARLL	sp|P38217|IMB2_YEAST
OG0000755	tr|W0TGD3|W0TGD3_KLUMD	tr|A0A1D8NAV6|A0A1D8NAV6_YARLL	sp|P17119|KAR3_YEAST
OG0000756	tr|W0T2M1|W0T2M1_KLUMD	tr|A0A1D8NLK1|A0A1D8NLK1_YARLL	sp|P27637|BUD14_YEAST
OG0000757	tr|W0TG65|W0TG65_KLUMD	tr|A0A1D8N3D7|A0A1D8N3D7_YARLL	sp|P39984|HAT2_YEAST
OG0000758	tr|W0TBH8|W0TBH8_KLUMD	tr|A0A1D8NK87|A0A1D8NK87_YARLL	sp|Q05892|COQ11_YEAST
OG0000759	tr|W0TA06|W0TA06_KLUMD	tr|A0A1D8NNG4|A0A1D8NNG4_YARLL	sp|P38283|SLI15_YEAST
OG0000760	tr|W0TKE7|W0TKE7_KLUMD	tr|A0A1D8NJ36|A0A1D8NJ36_YARLL	sp|Q12350|JID1_YEAST
OG0000761	tr|W0T472|W0T472_KLUMD	tr|A0A1D8N3T4|A0A1D8N3T4_YARLL	sp|Q99190|TECR_YEAST
OG0000762	tr|W0TBV3|W0TBV3_KLUMD	tr|A0A1D8NMJ7|A0A1D8NMJ7_YARLL	sp|P07257|QCR2_YEAST
OG0000763	tr|W0TIE6|W0TIE6_KLUMD	tr|A0A1D8NGN1|A0A1D8NGN1_YARLL	sp|P02557|TBB_YEAST
OG0000764	tr|W0TEV4|W0TEV4_KLUMD	tr|A0A1H6PRL9|A0A1H6PRL9_YARLL	sp|P38255|RXT2_YEAST
OG0000765	tr|W0T523|W0T523_KLUMD	tr|A0A1D8N542|A0A1D8N542_YARLL	sp|P22137|CLH_YEAST
OG0000766	tr|W0T3H3|W0T3H3_KLUMD	tr|A0A1D8ND67|A0A1D8ND67_YARLL	sp|P38860|MTG2_YEAST
OG0000767	tr|W0TFP7|W0TFP7_KLUMD	tr|A0A1D8N8H7|A0A1D8N8H7_YARLL	sp|Q03649|YM60_YEAST
OG0000768	tr|W0T7A2|W0T7A2_KLUMD	tr|A0A1D8NBG7|A0A1D8NBG7_YARLL	sp|P14680|YAK1_YEAST
OG0000769	tr|W0T6D3|W0T6D3_KLUMD	tr|A0A1D8NCT2|A0A1D8NCT2_YARLL	sp|P53275|YG37_YEAST
OG0000770	tr|W0T783|W0T783_KLUMD	tr|A0A1D8N5M1|A0A1D8N5M1_YARLL	sp|P53314|CPD1_YEAST
OG0000771	tr|W0T6C8|W0T6C8_KLUMD	tr|A0A1D8NKA5|A0A1D8NKA5_YARLL	sp|P20133|PGTB2_YEAST
OG0000772	tr|W0T4T9|W0T4T9_KLUMD	tr|A0A1D8NIJ9|A0A1D8NIJ9_YARLL	sp|P22336|RFA1_YEAST
OG0000773	tr|W0TCH4|W0TCH4_KLUMD	tr|A0A1D8NPT8|A0A1D8NPT8_YARLL	sp|P47018|MTC1_YEAST
OG0000774	tr|W0TAN3|W0TAN3_KLUMD	tr|A0A1H6PPA4|A0A1H6PPA4_YARLL	sp|P18759|SEC18_YEAST
OG0000775	tr|W0T7Q1|W0T7Q1_KLUMD	tr|A0A1D8NKZ5|A0A1D8NKZ5_YARLL	sp|Q08199|SIL1_YEAST
OG0000776	tr|W0T563|W0T563_KLUMD	tr|A0A1D8NEW2|A0A1D8NEW2_YARLL	sp|P36056|RT22_YEAST
OG0000777	tr|W0T7I5|W0T7I5_KLUMD	tr|A0A1D8NQP0|A0A1D8NQP0_YARLL	sp|P33201|MRT4_YEAST
OG0000778	tr|W0TAJ4|W0TAJ4_KLUMD	tr|A0A1D8N7M9|A0A1D8N7M9_YARLL	sp|P27825|CALX_YEAST
OG0000779	tr|W0TCW2|W0TCW2_KLUMD	tr|A0A1D8NPM2|A0A1D8NPM2_YARLL	sp|Q12358|JLP1_YEAST
OG0000780	tr|W0T4F1|W0T4F1_KLUMD	tr|A0A1D8N7S8|A0A1D8N7S8_YARLL	sp|P19358|METK2_YEAST
OG0000781	tr|W0TAK3|W0TAK3_KLUMD	tr|A0A1H6PWM0|A0A1H6PWM0_YARLL	sp|P33412|ECT1_YEAST
OG0000782	tr|W0TGU7|W0TGU7_KLUMD	tr|A0A1D8N527|A0A1D8N527_YARLL	sp|P47017|LSM1_YEAST
OG0000783	tr|W0TC06|W0TC06_KLUMD	tr|A0A1H6PVC8|A0A1H6PVC8_YARLL	sp|P43636|ALG2_YEAST
OG0000784	tr|W0TE53|W0TE53_KLUMD	tr|A0A1D8NP60|A0A1D8NP60_YARLL	sp|P40541|SCC3_YEAST
OG0000785	tr|W0T7L9|W0T7L9_KLUMD	tr|A0A1D8N924|A0A1D8N924_YARLL	sp|P32784|GPT1_YEAST
OG0000786	tr|W0TBX1|W0TBX1_KLUMD	tr|A0A1H6Q759|A0A1H6Q759_YARLL	sp|P19262|ODO2_YEAST
OG0000787	tr|W0TAN1|W0TAN1_KLUMD	tr|A0A1D8NNS7|A0A1D8NNS7_YARLL	sp|Q04632|COG8_YEAST
OG0000788	tr|W0TEP8|W0TEP8_KLUMD	tr|A0A1D8NNJ3|A0A1D8NNJ3_YARLL	sp|Q08968|FMP40_YEAST
OG0000789	tr|W0T9V9|W0T9V9_KLUMD	tr|A0A1H6PN81|A0A1H6PN81_YARLL	sp|P35056|PEX5_YEAST
OG0000790	tr|W0TD67|W0TD67_KLUMD	tr|A0A1D8NJL1|A0A1D8NJL1_YARLL	sp|Q12520|HUT1_YEAST
OG0000791	tr|W0TFN4|W0TFN4_KLUMD	tr|A0A1D8NKN0|A0A1D8NKN0_YARLL	sp|P53961|GPI15_YEAST
OG0000792	tr|W0T668|W0T668_KLUMD	tr|A0A1H6PWF0|A0A1H6PWF0_YARLL	sp|P25343|RV161_YEAST
OG0000793	tr|W0T983|W0T983_KLUMD	tr|A0A1D8NJV3|A0A1D8NJV3_YARLL	sp|Q12152|YP150_YEAST
OG0000794	tr|W0T6C3|W0T6C3_KLUMD	tr|A0A1D8NIR7|A0A1D8NIR7_YARLL	sp|P41733|CDC91_YEAST
OG0000795	tr|W0T8U3|W0T8U3_KLUMD	tr|A0A1H6QCA4|A0A1H6QCA4_YARLL	sp|P14736|RAD4_YEAST
OG0000796	tr|W0THS3|W0THS3_KLUMD	tr|A0A1H6PTR1|A0A1H6PTR1_YARLL	sp|P38088|SYG_YEAST
OG0000797	tr|W0T734|W0T734_KLUMD	tr|A0A1D8NGD3|A0A1D8NGD3_YARLL	sp|P22579|SIN3_YEAST
OG0000798	tr|W0T6M2|W0T6M2_KLUMD	tr|A0A1D8NNV8|A0A1D8NNV8_YARLL	sp|P20049|TYR1_YEAST
OG0000799	tr|W0TBL3|W0TBL3_KLUMD	tr|A0A1D8NKT7|A0A1D8NKT7_YARLL	sp|P35192|MAC1_YEAST
OG0000800	tr|W0TGX1|W0TGX1_KLUMD	tr|A0A1H6PHP6|A0A1H6PHP6_YARLL	sp|P50082|AMA1_YEAST
OG0000801	tr|W0TC79|W0TC79_KLUMD	tr|A0A1D8N7Y2|A0A1D8N7Y2_YARLL	sp|P09798|CDC16_YEAST
OG0000802	tr|W0TG56|W0TG56_KLUMD	tr|A0A1D8N907|A0A1D8N907_YARLL	sp|P53261|PESC_YEAST
OG0000803	tr|W0TGG0|W0TGG0_KLUMD	tr|A0A1H6Q3V5|A0A1H6Q3V5_YARLL	sp|P53971|FAP1_YEAST
OG0000804	tr|W0TGD7|W0TGD7_KLUMD	tr|A0A1D8N5M8|A0A1D8N5M8_YARLL	sp|Q06506|RRP9_YEAST
OG0000805	tr|W0TG67|W0TG67_KLUMD	tr|A0A1D8NMT5|A0A1D8NMT5_YARLL	sp|P32570|MED22_YEAST
OG0000806	tr|W0TF38|W0TF38_KLUMD	tr|A0A1D8NQ28|A0A1D8NQ28_YARLL	sp|P38067|UGA2_YEAST
OG0000807	tr|W0T9Q7|W0T9Q7_KLUMD	tr|A0A1D8NGJ8|A0A1D8NGJ8_YARLL	sp|P38903|2A5D_YEAST
OG0000808	tr|W0T4P2|W0T4P2_KLUMD		sp|Q04925|YDR22_YEAST, sp|Q05948|YL225_YEAST
OG0000809	tr|W0TEK3|W0TEK3_KLUMD	tr|A0A1D8NEB3|A0A1D8NEB3_YARLL	sp|Q12018|CDC53_YEAST
OG0000810	tr|W0TE90|W0TE90_KLUMD	tr|A0A1D8NK66|A0A1D8NK66_YARLL	sp|Q12383|TRM13_YEAST
OG0000811	tr|W0T7M9|W0T7M9_KLUMD	tr|A0A1D8N660|A0A1D8N660_YARLL	sp|Q04336|YM54_YEAST
OG0000812	tr|W0T5Z6|W0T5Z6_KLUMD	tr|A0A1D8NKY0|A0A1D8NKY0_YARLL	sp|Q08202|OPI10_YEAST
OG0000813	tr|W0TBD0|W0TBD0_KLUMD	tr|A0A1D8N3I3|A0A1D8N3I3_YARLL	sp|P36526|RM27_YEAST
OG0000814	tr|W0TC30|W0TC30_KLUMD	tr|A0A1D8N6K1|A0A1D8N6K1_YARLL	sp|P35724|MNR2_YEAST
OG0000815	tr|W0TEJ0|W0TEJ0_KLUMD	tr|A0A1D8NA18|A0A1D8NA18_YARLL	sp|Q06833|YP091_YEAST
OG0000816	tr|W0TJ55|W0TJ55_KLUMD	tr|A0A1H6PYR8|A0A1H6PYR8_YARLL	sp|P38121|DPOA2_YEAST
OG0000817	tr|W0TB88|W0TB88_KLUMD	tr|A0A1D8NLQ2|A0A1D8NLQ2_YARLL	sp|P38227|QDR3_YEAST
OG0000818	tr|W0TDV7|W0TDV7_KLUMD	tr|A0A1D8NPC9|A0A1D8NPC9_YARLL	sp|Q12063|UPPS_YEAST
OG0000819	tr|W0TH06|W0TH06_KLUMD	tr|A0A1D8NPJ7|A0A1D8NPJ7_YARLL	sp|P25451|PSB3_YEAST
