W29_NCBI	CLIB122_NCBI	CLIB122_UNIPROT	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	low_pH_D	standard_A	standard_B	standard_C	standard_D
YALI1_D11256g	YALI0D08778g1_1	Q6C9S3	7.074268198	7.125421813	7.175217766	6.707613361	6.49167799	6.538667186	6.338597398	6.809220507	6.833042855	6.793742883	6.89728669
YALI1_E36540g	YALI0E31064g1_1	Q6C3Z4	5.742749528	6.251370978	6.305893708	6.166528935	6.517571803	6.56183491	6.695039393	NA	6.208836935	6.199637133	6.360765045
YALI1_F06351g	YALI0F04169g1_1	Q6C2Y0	7.082587456	6.992530891	6.947798701	6.773668406	6.857307582	6.891624662	6.686291669	7.213166068	7.186611889	7.152804873	7.170075099
YALI1_F03136g	YALI0F02013g1_1	Q6C376	6.895116975	6.929756274	6.882722957	7.271786372	7.196000181	7.084780927	7.139639902	6.926167935	6.835481313	6.765833444	6.943842316
YALI1_C23902g	YALI0C16753g1_1	Q6CBP5	7.809668221	7.751630139	7.650433802	7.7147901	7.704780528	7.664591357	7.629109324	7.887365557	7.828951578	7.792107963	7.77448713
YALI1_D06380g	YALI0D04983g1_1	Q6CA86	7.154262664	7.059207712	7.084126359	7.229576091	7.286021496	7.262974105	7.269626427	7.121262353	7.097332127	7.056416116	7.110837641
YALI1_B19276g	YALI0B14641g1_1	Q6CEL9	7.067233321	7.093367661	7.054679536	7.295886259	7.196336024	7.243610497	7.245906905	7.136343403	7.164260876	7.11003884	7.130088525
YALI1_E27383g	YALI0E23243g1_1		7.147019969	7.072263542	7.116963825	7.353127054	7.395758446	7.359116111	7.318252032	7.162791138	7.227916621	7.089569254	7.1871477
YALI1_E04499g	YALI0E03718g1_1	Q6C752	6.934518486	7.031686574	7.007437099	6.735160736	6.687082543	6.689982283	6.768373224	6.986621672	6.907653304	7.036525622	6.90745967
YALI1_F01078g	YALI0F00682g1_1	Q6C3D2	7.957336504	7.924415337	7.881266517	8.231534782	8.113434495	8.112757134	8.239933621	7.986423802	7.975992552	8.013154431	7.988476623
YALI1_E03067g	YALI0E02420g1_1	Q6C7A3	7.199611563	7.150150355	7.168415601	7.268031021	7.255025433	7.236666469	7.264207582	7.208411545	7.207328026	7.187254116	7.180471186
YALI1_F37463g	YALI0F29909g1_1	Q6BZY5	7.432901973	7.433956563	7.637193973	6.990455972	6.997646492	6.727590605	6.754807857	7.3969533	7.470492916	7.435684507	7.6632484
YALI1_E36404g	YALI0E30943g1_1	Q6C400	7.083713545	7.162870442	7.132136551	6.90415549	6.899682502	6.842535595	6.94587663	7.115317685	7.108382501	7.193896038	7.063644332
YALI1_C16150g	YALI0C11495g1_1	Q6CC87	6.757069241	6.55279223	6.613448937	6.91267842	6.851646401	6.953017057	6.856141948	6.895389469	6.811255721	6.858657711	6.824646354
YALI1_B04540g	YALI0B03080g1_1	W0TYP4	7.540198032	7.556581734	7.554493208	7.257141735	7.036091519	7.137330196	7.225048504	7.227946322	7.274518951	7.335663957	7.233441739
YALI1_F01897g	YALI0F01166g1_1	Q6C3B0	6.431134987	6.549523652	6.493511628	6.234610828	6.346360922	6.351928171	6.373933096	6.338100334	6.435879149	6.468748812	6.406207731
YALI1_E27880g	YALI0E23584g1_1	Q6C4U6	7.632879751	7.504379969	7.340682857	7.911440667	7.826567785	7.86403754	7.85680398	7.662298608	7.638252737	7.429434826	7.591100469
YALI1_D18014g	YALI0D14784g1_1	Q6C927	6.769560835	6.699198651	6.760835501	6.48506148	6.546318655	6.557348326	6.510669939	6.642201231	6.623888679	6.739030569	6.714881936
YALI1_C29141g	YALI0C21087g1_1	Q6CB88	7.019723151	6.997037026	6.920735839	7.155787537	7.19365175	7.204296953	7.184814392	7.104288471	7.115761687	7.035749121	7.054276581
YALI1_E15398g	YALI0E12419g1_1	Q6C650	6.930389713	7.035531576	7.00308881	6.784961371	6.691729627	6.673631384	6.774105915	7.016822073	6.934728409	7.037813495	6.940440382
YALI1_E26811g	YALI0E22649g2_1	Q6C4Y7	7.225846726	7.220920073	7.252959588	7.074520271	7.153348746	7.099833081	7.05409657	7.246458477	7.306769054	7.244423127	7.311277329
YALI1_F03803g	YALI0F02497g1_1	Q6C354	7.815834442	7.786350728	7.844728775	7.548445633	7.668438216	7.571156201	7.476857479	7.801969498	7.82546036	7.77988428	7.836391748
YALI1_E41061g	YALI0E34573g1_1	Q6C3I3	7.263428609	7.259891392	7.257222618	7.42499683	7.541562106	7.53611888	7.498973703	7.349922636	7.350201936	7.241986657	7.272306097
YALI1_B12409g	YALI0B09273g1_1	Q6CF88	7.316212313	7.164989544	7.068629171	6.745114248	6.750235463	7.084548847	6.775211049	7.460187716	7.472246715	7.509195939	7.423051716
YALI1_F13908g	YALI0F10219g1_1	Q6C272	7.415376491	7.392451765	7.390947224	7.408338487	7.228997264	7.216510222	7.105404024	7.566097587	7.494856714	7.503184579	7.4285176
YALI1_B18955g	YALI0B14399g1_1	Q6CEN0	7.313085223	7.312563514	7.262047786	7.332839214	7.293675028	7.270515177	7.134646729	7.462666894	7.393312181	7.426228883	7.349306608
YALI1_E20159g	YALI0E16907g1_1	Q6C5L9	6.865816686	6.859660463	6.841115637	6.440311891	6.501453459	6.378572969	6.274974447	6.538379956	6.522902069	6.711425704	6.658062728
YALI1_E03789g	YALI0E03168g1_1	Q6C775	6.190283652	6.398035516	6.118814969	6.736415263	6.71282634	6.565508993	6.727998115	6.542605964	6.401001016	6.321634233	6.434497206
YALI1_C16485g	YALI0C11803g1_1	Q6CC75	6.68666892	6.679152042	6.706520337	6.856542104	6.910487923	6.887001049	6.932508729	6.772318122	6.721462313	6.766269397	6.646122675
YALI1_D35768g	YALI0D27148g1_1	Q6C7L3	7.152479881	7.183559061	7.140800244	7.376480054	7.311748836	7.362530927	7.414315351	7.298599065	7.232745624	7.197728843	7.220487662
YALI1_C10492g	YALI0C07887g1_1	Q6CCN7	6.728820322	6.822560295	6.769636999	6.960745359	7.002094994	6.914795054	6.968643592	6.986708401	6.961279769	6.875314101	6.969121379
YALI1_B14121g			7.107760938	7.369836753	7.321800079	6.793239828	6.79841841	6.739766505	6.885014603	7.218627961	7.171367476	7.410297112	7.227516016
YALI1_B04309g	YALI0B02852g1_1	Q6CFX1	6.82197959	6.832685019	6.905324981	6.753369224	6.68703254	6.736433555	6.699850661	6.815377896	6.794459023	6.825095269	6.802677876
YALI1_D11686g	YALI0D09229g1_1	Q6C9Q2	7.260379753	7.256725634	7.188886151	6.886869155	6.875054689	7.035692657	6.812929035	7.305455955	7.186454012	7.171202812	7.195399663
YALI1_C33314g	YALI0C24277g1_1	Q6CAU4	6.180397911	6.307861431	6.364752424	6.570867326	6.697003567	6.59373417	6.746580161	6.425883323	6.37067406	6.385731139	6.497838206
YALI1_E25713g	YALI0E21692g1_1	Q6C522	7.031690871	6.964085143	6.933381306	6.804261039	6.827418801	6.811975237	6.74129145	6.912066529	6.877884512	6.880935233	6.883195494
YALI1_E41315g	YALI0E34793g1_1	Q6C3H5	7.332783326	7.391629619	7.346754408	7.699733355	7.575112155	7.615398753	7.774282767	7.409390424	7.424611847	7.486518867	7.391013218
YALI1_F14729g	YALI0F11077g1_1	Q6C241	6.799277437	7.03894372	7.085903748	6.474628649	6.592100197	6.580942626	6.456980122	6.91811625	6.813936372	7.0889676	7.0044334
YALI1_E30400g	YALI0E25652g1_1	Q6C4M1	6.510734748	6.463068103	6.429425322	6.781693722	6.653410059	6.602107911	6.649806244	6.575246577	6.56422244	6.420172306	6.549736856
YALI1_D28569g	YALI0D22484g1_1	Q6C859	7.452607858	7.414417152	7.342238795	7.627896494	7.588624864	7.54207522	7.558811746	7.434673205	7.501546333	7.455495223	7.452583724
YALI1_E03300g	YALI0E02684g1_1	Q6C793	7.833207287	7.864927148	7.950002443	7.667936088	7.727914023	7.646812438	7.64640349	7.711301003	7.716442281	7.74748102	7.745770997
YALI1_E02529g	YALI0E02046g1_1	Q6C7C0	7.032671867	6.981168341	7.003219235	6.756820615	6.802139885	6.750964852	6.81793657	6.804725268	6.92524995	6.869756476	6.811160239
YALI1_C06259g	YALI0C04774g1_1	Q6CD10	6.716965208	6.680308014	6.576065595	6.920722582	6.944590518	6.993501764	6.973450654	6.912184058	6.89096608	6.768799516	6.865423108
YALI1_E31685g		Q12724	7.56171263	7.528759871	7.536327498	7.442656571	7.391010265	7.379921022	7.440394984	7.515903823	7.517643128	7.458561058	7.46968276
YALI1_A19885g	YALI0A18942g1_1	Q6CGI9	6.800938688	6.746705139	6.7665959	6.957199296	6.85420041	6.922150064	6.893134232	6.796689039	6.790488703	6.834109598	6.824851831
YALI1_F00654g	YALI0F00484g1_1	Q6C3E1	7.080632947	7.045332842	6.809159156	7.255252194	7.093079318	6.968945616	7.127434707	6.826830748	6.917498071	6.699559886	6.783449382
YALI1_F14882g	YALI0F11231g1_1	Q6C234	6.966914568	7.00080872	6.944788811	7.111022275	7.076630121	7.049933341	7.114808098	7.018142697	7.039450625	6.960758494	6.988063137
YALI1_E41276g	YALI0E34771g1_1	Q6C3H6	7.04675633	7.17252266	7.088931699	6.934968812	6.981423092	6.84166571	6.836623349	7.34779493	7.187756732	7.28315063	7.190150711
YALI1_D15952g	YALI0D12771g1_1	Q6C9A2	6.436716831	6.538348316	6.492439823	6.714585703	6.799226884	6.708094703	6.761003013	6.669917021	6.582612401	6.640948827	6.705074503
YALI1_B07549g	YALI0B05522g1_1	Q6CFM9	6.994245378	7.012879015	6.972515141	6.647135341	6.659736063	6.756271916	6.76711837	6.926102488	6.801400473	6.841955864	6.799308119
YALI1_B26679g	YALI0B20372g1_1	F2Z660	7.72239179	7.779118437	7.736999196	7.908844277	7.886075463	7.887364762	7.961590399	7.798421313	7.842836133	7.847371374	7.793452912
YALI1_F16743g	YALI0F12551g1_1	Q6C1X9	6.943775797	6.906734249	6.937712318	6.810889687	6.836093661	6.885113107	6.848855995	6.550313994	6.727955286	6.725826991	6.621646037
YALI1_E16556g	YALI0E13574g1_1	Q6C605	7.35877318	7.523469657	7.406083419	7.09058095	6.919969414	6.944788575	7.19923398	7.522813513	7.439225835	7.554942075	7.429742982
YALI1_F29078g	YALI0F21967g1_1	Q6C0T2	7.037825339	7.000773149	7.010938122	6.825545635	6.826873291	6.909113189	6.868759308	6.911755972	6.922289258	6.979022543	6.904245912
YALI1_C14787g	YALI0C10494g1_1	Q6CCD1	7.136013856	7.21432522	7.176322132	6.972177219	6.939786634	6.938441711	7.02230856	7.051076548	7.007805508	7.04262388	6.956979624
YALI1_A00746g	YALI0A00594g1_1	Q6CI89	6.845980797	6.863284861	6.830028752	7.019342404	7.013200853	7.104065177	7.134834512	6.833012585	6.774276056	6.67862117	6.85027105
YALI1_C04328g	YALI0C03245g1_1	Q6CD71	6.943503983	6.957089239	6.848263517	6.634538223	6.55792371	6.193375249	6.568076311	6.827593252	6.897900488	6.538445155	6.845935754
YALI1_B09367g	YALI0B07359g1_1	Q6CFG0	7.351833912	7.430981943	7.43385368	7.180448729	7.192299697	7.178329421	7.170683888	7.374188023	7.235944085	7.271395158	7.281503425
YALI1_A00325g	YALI0A00286g1_1	Q6CIA1	7.316592124	7.263816387	7.225601449	7.049570175	7.099978886	7.12205336	7.02429605	7.16150483	7.18218503	7.140332997	7.15264293
YALI1_C07423g	YALI0C05753g1_1	Q6CCX5	6.956792532	6.991426012	7.089431576	6.59409821	6.827686459	6.782515423	6.684303218	6.959602612	6.936169512	7.019872591	6.969060835
YALI1_E26525g	YALI0E22484g1_1	Q6C4Z2	6.954444593	7.000818469	7.073717618	6.583346477	6.747401047	6.695666799	6.512218559	6.909085127	6.851769361	6.843940218	6.858168789
YALI1_D15937g	YALI0D12749g1_1	Q6C9A3	7.444573745	7.430308228	7.360247488	7.355886305	7.267925992	7.260502774	7.330046817	7.421868276	7.414713355	7.361770094	7.394379129
YALI1_E08351g	YALI0E07051g1_1	Q6C6R2	6.906201494	6.981779215	7.000320113	7.166151199	7.234990596	7.146683702	7.215077589	7.143226517	7.087739862	7.158661837	7.068332222
YALI1_D20118g	YALI0D16291g1_1	Q6C8W8	6.33278414	6.299797245	6.368501478	6.168233137	6.180989163	6.064470073	6.123527593	6.364526058	6.3290145	6.293570023	6.26838423
YALI1_D04901g	YALI0D03916g1_1	Q6CAD1	6.477969378	6.495961863	6.635468705	6.720748756	6.704945596	6.803923987	6.829692606	6.656913862	6.72491368	6.774356946	6.67646426
YALI1_B20462g	YALI0B15598g1_1	Q6CEH4	7.999260066	7.97132931	7.97768103	7.58624362	7.737207665	7.797736812	7.666717284	7.99413673	7.919483745	7.924752391	7.89378268
YALI1_E31827g	YALI0E26895g1_1	Q6C4G9	6.811795307	6.84181061	6.82330549	7.103508493	6.997918534	7.042952131	7.173357056	6.946850977	6.844803968	6.900878744	6.879099948
YALI1_F13875g	YALI0F10197g1_1	Q6C273	6.693744763	6.765516548	6.862834151	7.248524967	7.115931981	7.155560515	7.358664826	7.00165421	6.851697254	6.829478383	6.802962797
YALI1_E41367g	YALI0E34826g1_1	B5FVG8	7.041401904	7.218225208	7.095504455	7.567462293	7.337586627	7.447768881	7.64198385	7.088396005	7.012055318	7.131653356	7.066505811
YALI1_F07181g	YALI0F04664g1_1	Q6C2W1	7.012691637	7.011954037	7.032664317	6.824580217	6.800573966	6.941815447	6.913730625	7.024757145	6.998720047	7.030162738	7.021896169
YALI1_F03883g	YALI0F02607g1_1	Q6C351	6.926991425	6.91853621	6.88401663	6.801503905	6.734187875	6.69588256	6.696197819	6.826858341	6.780888058	6.845958634	6.819037812
YALI1_B22020g	YALI0B16918g1_1	Q6CEB7	6.54152497	6.577319047	6.577750171	6.374763137	6.406077654	6.409182156	6.381143477	6.563105307	6.577251868	6.474842114	6.474021941
YALI1_C25598g	YALI0C18425g1_1	Q6CBI6	6.712238828	6.7017049	6.787262469	6.944450296	6.834846128	6.87678148	6.868710716	6.561829789	6.66115296	6.679960089	6.687068629
YALI1_E17594g	YALI0E14641g1_1	Q6C5W3	6.573033	6.479418741	6.635073457	6.814169193	6.895205172	6.820503102	6.921018487	6.639636025	6.676475695	6.579447599	6.724235137
YALI1_D33380g	YALI0D25168g1_1	Q6C7U9	7.816300288	7.907720935	7.895347304	7.603474713	7.589646173	7.664083556	7.668348574	7.783721363	7.711655425	7.810404157	7.695522125
YALI1_D08125g	YALI0D06325g1_1	Q6CA32	7.206388972	7.263165431	7.244187655	7.047929149	7.10208353	7.04581505	7.092133699	7.249906276	7.185093922	7.299188161	7.193912119
YALI1_C05125g	YALI0C03850g1_1	Q6CD46	6.948258867	6.957052424	6.92043018	6.783861828	6.847768103	6.824205815	6.824665349	6.979548993	6.945044931	6.970822198	6.891588539
YALI1_D09534g	YALI0D07458g1_1	Q6C9Y0	7.34231696	7.319565793	7.259233043	7.170358371	7.123438872	7.153233926	7.148287161	7.237278937	7.255143639	7.305074691	7.219656086
YALI1_E04859g	YALI0E04092g1_1	Q6C735	6.880042106	6.956460739	6.882615104	7.10577584	7.02044613	7.03999505	7.107240232	6.913326222	6.920441969	6.958557828	6.906057635
YALI1_E10587g	YALI0E08756g1_1	Q6C6K7	7.024274572	7.031751033	6.9357763	6.591638656	6.750868819	6.782676467	6.570759515	6.964684407	6.931433142	6.909040753	6.937753498
YALI1_A20995g	YALI0A19888g1_1	Q6CGF0	7.44960108	7.305865968	7.316277458	6.678820309	7.095807136	7.03786139	6.660237291	7.578420754	7.534863891	7.456012057	7.546130455
YALI1_D11063g	YALI0D08602g1_1	Q6C9T1	7.34231696	7.319565793	7.259233043	7.170358371	7.123438872	7.153233926	7.148287161	7.237278937	7.262363045	7.304819961	7.216939275
YALI1_F07630g	YALI0F05038g1_1	Q6C2U7	7.036015885	7.00825968	7.036641167	6.825062005	6.912321391	6.8308613	6.731552751	7.032711494	6.994534218	7.011678986	6.98631179
YALI1_D09566g	YALI0D07480g1_1	Q6C9X9	6.688246356	6.712323774	6.722493436	7.195612357	6.95134959	7.132886523	7.139653495	6.746507718	6.687152555	6.494631306	6.791860568
YALI1_C09467g	YALI0C07128g1_1	Q6CCR8	7.082001725	7.178057149	7.210189272	6.861088532	6.968456502	7.001901042	7.005081705	7.170266788	7.10174729	7.230564051	7.137858988
YALI1_C24367g	YALI0C16995g1_1	Q6CBN4	7.170492499	7.138324818	7.056502524	7.323692916	7.288299879	7.274518803	7.268540799	7.367782508	7.267348052	7.334524038	7.217101311
YALI1_F21174g	YALI0F15697g1_1	Q6C1J7	6.929005974	7.099891861	7.095750588	6.720431394	6.589150011	6.562528528	6.717128835	6.862835839	6.833119062	6.99987258	6.86317193
YALI1_C33152g	YALI0C24101g1_1	Q6CAV2	7.289780817	7.24699768	7.192754504	7.393800253	7.395039513	7.360323265	7.474319346	7.317717779	7.267906409	7.15783314	7.236067864
YALI1_C30187g	YALI0C21868g1_1	Q6CB52	7.155752589	7.147043654	7.12427859	7.051117593	7.020615793	7.013675838	6.989692618	7.081805253	7.114974309	7.160957531	7.091453403
YALI1_D21145g	YALI0D17182g1_1	Q6C8T2	6.689552333	6.525572255	6.512429938	6.937623692	6.932973983	6.83921229	6.819199532	6.794566934	6.726434383	6.76862023	NA
YALI1_D06828g	YALI0D05291g1_1	Q6CA74	7.43877937	7.435979581	7.420942945	7.201361455	7.350778446	7.325022891	7.319461597	7.523462525	7.477544148	7.511471336	7.46103567
YALI1_D24054g			7.895745948	7.955641139	7.97736133	7.641648242	7.678582317	7.671111109	7.68109657	7.820842625	7.720941049	7.866935079	7.67944407
YALI1_A21775g	YALI0A20746g1_1	Q6CGB1	7.710942776	7.682986858	7.690001715	7.952793854	7.933871323	7.91968418	8.017423381	7.854956907	7.753466177	7.708106521	7.64086853
YALI1_B12443g	YALI0B09317g1_1	Q6CF87	7.081469804	7.053409811	7.109887115	6.837902885	6.802164106	6.618809997	6.814827946	7.029695152	6.935528837	7.055724084	6.990545447
YALI1_F17203g	YALI0F12815g1_1	Q6C1W7	6.273535145	6.376648641	6.380342221	5.960275593	6.187953112	6.095868401	6.169580588	6.27768405	6.29521888	6.229983597	6.340968374
YALI1_A06453g	YALI0A06787g1_1	Q6CHP1	7.357048032	7.341586547	7.345939336	7.164793132	7.233642548	7.225176679	7.183870439	7.369618305	7.372788051	7.487667657	7.311633371
YALI1_F03389g	YALI0F02145g1_1	Q6C370	7.265246161	7.445280287	7.39603108	6.930632164	6.987302749	6.979879614	6.939819441	7.128076256	7.171470554	6.906233831	7.123705598
YALI1_F34202g	YALI0F26807g1_1	Q6C089	7.464128501	7.387585963	7.370788368	7.223374188	7.210087077	7.133312514	7.207501909	7.305162341	7.327026974	7.407314383	7.292137303
YALI1_D22834g	YALI0D18271g1_1	Q6C8N4	6.740877169	6.682901623	6.835302713	6.433369523	6.53389056	6.534794075	6.342215357	6.741318948	6.770984349	6.730607847	6.881397756
YALI1_C12788g	YALI0C09218g1_1	Q6CCI0	7.390687338	7.195652448	7.34261139	7.540618128	7.637388456	7.652041937	7.601748489	7.444198794	7.389528835	7.306571952	7.39272312
YALI1_D24182g	YALI0D19096g1_1	Q6C8J6	6.555145682	6.565437221	6.552795072	6.410177708	6.492920303	6.428790478	6.618235074	6.554120474	6.545269817	6.580491495	6.812141302
YALI1_F17431g	YALI0F12991g1_1	Q6C1V9	6.546824768	6.601495104	6.433992737	6.992923451	6.833349653	6.671501276	6.899882916	6.648224695	6.69682269	6.585102211	6.700833909
YALI1_F35938g	YALI0F28281g1_1	Q6C029	6.804303901	6.775147466	6.695680362	6.578243966	6.617219355	6.685254385	6.591913855	6.858097011	6.801673096	6.771247866	6.809210378
YALI1_F06018g	YALI0F04015g1_1	Q6C2Y8	7.17315317	7.133649641	7.13895346	6.982709542	7.064347142	6.927680845	6.907093888	7.183271062	7.224055005	7.085331491	7.201889121
YALI1_F20914g	YALI0F15587g1_1	Q6C1K2	7.935584713	7.940523455	8.060034432	7.809093868	7.839108683	7.718709441	7.743599656	7.994974807	7.993984323	7.962242849	8.080223374
YALI1_F33973g	YALI0F26543g1_1	Q6C0A0	7.159512813	7.204176246	7.178724443	7.375827085	7.25086466	7.187050856	7.247973983	7.394972658	7.388374552	7.426846158	7.42952529
YALI1_F19478g	YALI0F14575g1_1	Q6C1P3	7.080565729	7.088210032	7.020470162	7.041464661	6.929187166	6.91894939	6.962925482	6.945548705	6.876385906	6.910883401	6.886060786
YALI1_E30028g	YALI0E25091g1_1	Q6C4N1	7.55784291	7.630710967	7.537345276	7.432225324	7.260353183	7.223342377	7.198300772	7.49493073	7.486978569	7.435799009	7.48356588
YALI1_A22073g	YALI0A21076g2_1	B5U8Q6	6.851542946	6.879314131	6.805410041	6.873681006	6.930127121	6.969447026	6.896450071	6.986498619	6.997902831	7.029254379	6.983767027
YALI1_B02991g	YALI0B02002g1_1	Q6CG05	6.752185671	6.84649925	6.773643838	6.690996565	6.597851722	6.617773081	6.607162336	6.734874642	6.756490416	6.769973226	6.724641026
YALI1_F37011g	YALI0F29381g1_1	Q6BZZ7	6.723025456	6.766446693	6.79001909	6.924358076	6.870797503	6.817490931	6.85007246	6.743144781	6.653210984	6.64139657	6.70263781
YALI1_C02550g	YALI0C01859g1_1	Q6CDB9	7.398050373	7.382178648	7.337091456	7.144897758	7.232071128	7.23350342	7.200450768	7.281961722	7.267416664	7.318519852	7.229072208
YALI1_E01589g	YALI0E01056g1_1	F2Z650	7.392421423	7.36198832	7.289196549	7.415135096	7.438733611	7.450776391	7.416210935	7.528005712	7.526129754	7.456479319	7.475158132
YALI1_E19852g	YALI0E16643g1_1	Q6C5N1	7.140896114	7.17997509	7.179317258	6.928352496	6.946474035	6.987341192	6.973715227	7.136223708	7.033745033	7.140416484	7.005143225
YALI1_F00821g	YALI0F00506g1_1	Q6C3E0	7.039807334	7.023523067	7.031530227	7.20658632	7.441980134	7.441867566	7.300753785	7.26716429	7.374247098	7.259198359	7.228515174
YALI1_E22303g	YALI0E18634g1_1	Q6C5F0	6.753096943	6.686414596	6.744299279	6.489226811	6.49787361	6.707276315	6.626863106	6.873340902	6.862093587	6.876136753	6.821190423
YALI1_F21875g	YALI0F16401g1_1	Q6C1G7	6.919469922	7.05246484	7.000996288	7.319404504	7.158471271	7.106235468	7.300467333	6.883350584	6.880579366	6.974085076	6.847600693
YALI1_E21406g	YALI0E18029g1_1	Q6C5H4	7.192960338	7.111253038	7.153822326	6.735395625	6.961005342	7.003702473	6.834629694	7.258023074	7.195293416	7.169052592	7.180093731
YALI1_C15991g	YALI0C11407g1_1	Q6CC91	6.962588218	7.023596503	6.964231381	7.216529371	7.106916678	7.120814825	7.209716002	7.014581627	6.977730649	7.046009528	6.948480726
YALI1_F28064g	YALI0F21197g1_1	Q6C0W4	6.864311505	6.815125091	6.796747002	6.523616313	6.530096669	6.533893609	6.423464788	6.628663915	6.761376928	6.575287516	6.792769468
YALI1_B28659g	YALI0B22066g1_1	Q6CDQ7	7.777274594	7.658761427	7.582809009	7.896400642	7.953338289	7.978711113	7.882156083	7.770285807	7.754366758	7.672892687	7.702755481
YALI1_F27101g	YALI0F20416g1_1	Q6C100	6.769609446	6.809597102	6.796968832	6.693141587	6.702139547	6.664120617	6.72127227	6.534133754	6.659297044	6.664818042	6.647728354
YALI1_C03874g	YALI0C02805g1_1	Q6CD89	7.274625692	7.277156302	7.202426503	7.129354307	7.151458164	7.161982225	7.110768211	7.279495775	7.239063316	7.214846784	7.241263887
YALI1_D03904g	YALI0D03113g1_1	Q6CAF9	6.673837456	6.608784735	6.571577833	6.445742969	6.440458276	6.495466529	6.390104507	6.555876126	6.519016939	6.580269724	6.528704832
YALI1_E11402g	YALI0E09262g1_1	Q6C6I5	6.749301935	6.769428148	6.74719312	7.137805222	7.001201402	6.935678872	7.093107555	6.897011416	6.830219327	6.89224172	6.759623961
YALI1_E03846g	YALI0E03190g1_1	Q6C774	6.745443927	6.736667536	6.769175239	6.561306729	6.664534743	6.652875016	6.657183771	6.674029208	6.699188958	6.760657346	6.733790462
YALI1_F29038g	YALI0F21945g1_1	Q6C0T3	6.607381128	6.68866002	6.643433341	6.37757038	6.273940328	6.46875758	6.446376587	6.673486584	6.627408211	6.68885112	6.549296624
YALI1_E02317g	YALI0E01782g1_1	Q6C7D2	6.690881769	6.688696992	6.620819926	6.637878716	6.69151144	6.64778088	6.639028201	6.596939245	6.566708909	6.566267595	6.535372757
YALI1_F11635g	YALI0F08283g1_1	Q6C2F8	6.718894646	6.812769026	6.82699971	7.153556504	6.978901231	7.011517394	7.119440224	6.773986627	6.794059075	6.912465804	6.866919192
YALI1_A01766g	YALI0A01353g1_1	Q6CI63	7.001015361	6.974060836	6.975567745	6.698538979	6.849815178	6.876842593	6.771042981	7.105201353	6.991351925	7.091874323	6.990178009
YALI1_F01020g	YALI0F00638g1_1	Q6C3D4	6.992183199	7.082982973	7.050837173	7.063553709	7.092597599	7.068541148	7.210698074	6.934463453	6.999070323	6.959764429	6.987038505
YALI1_D30540g	YALI0D23617g1_1	Q6C815	7.248819651	7.115846097	7.134562395	6.911658908	6.956665543	6.948660705	6.714153595	7.199587523	7.213813233	7.119009696	7.210627932
YALI1_F17949g	YALI0F13409g1_1	Q6C1U0	6.853082089	6.924512151	6.861083351	7.067916205	6.926840189	6.964993111	7.043188123	6.810537973	6.787771592	6.850099693	6.790198781
YALI1_F02238g	YALI0F01430g1_1	Q6C3A2	6.71651232	6.673580851	6.763535676	6.728390439	6.761846831	6.821888143	6.744262276	6.641143144	6.625298445	6.681399116	6.690359648
YALI1_B08627g	YALI0B06578g1_1	Q6CFI9	6.271679642	6.128957179	6.087603631	6.374270567	6.391198221	6.447860266	6.366041805	6.498290554	6.338700216	6.404662031	6.401177988
YALI1_C16770g	YALI0C12012g1_1	Q6CC68	6.353731636	6.247162696	6.184749458	6.595167402	6.466962665	6.61189249	6.652714155	6.47688468	6.462675313	6.38923389	6.353671958
YALI1_A03153g	YALI0A02651g1_1	Q6CI10	7.042310785	6.94590185	6.928821071	7.179510844	7.157026308	7.139326001	7.123912753	7.057817869	7.127425118	7.017226572	7.086538297
YALI1_E03651g	YALI0E03080g1_1	Q6C779	6.546943645	6.627517664	6.577192887	6.402676078	6.275687236	6.360042053	6.330551228	6.431484361	6.488205495	6.602084869	6.488429093
YALI1_E18927g	YALI0E15708g1_1	Q6C5R9	7.60251798	7.678908233	7.686958159	7.489183319	7.395360821	7.356329167	7.458770181	7.56463765	7.571755062	7.689388926	7.562158775
YALI1_C08262g	YALI0C06369g1_1	Q6CCU7	7.845565893	7.749502299	7.586848397	8.14094073	8.079945906	8.143663018	8.046052655	7.925936807	7.936255769	7.69188609	7.928226197
YALI1_E24922g	YALI0E20977g1_1	Q6C551	7.385083738	7.42696191	7.439951134	7.281050737	7.33301683	7.39692744	7.302047979	7.437031834	7.427577858	7.45518435	7.487084261
YALI1_B21966g	YALI0B16874g1_1	Q6CEB9	6.401426781	6.448980625	6.330757155	6.770093856	6.645889162	6.687353758	6.842527981	6.431469357	6.480302068	6.643738784	6.489958054
YALI1_M00110g			6.618839596	6.780461782	6.735169922	6.924111418	6.927573679	6.90231107	6.953045536	6.944900569	6.845866531	6.912646341	6.848900829
YALI1_F29395g	YALI0F22187g1_1	Q6C0S2	7.022806635	7.05687802	6.738531228	6.565770129	6.436804768	6.763132139	6.577124371	7.218802783	7.156295556	7.214706788	6.956250682
YALI1_F06262g	YALI0F04125g1_1	Q6C2Y2	7.353873396	7.397699735	7.312037665	6.817169201	7.107437285	7.024001081	7.132738122	7.375656252	7.38725542	7.371835025	7.275327497
YALI1_D10458g	YALI0D08184g1_1	Q6C9V0	7.572233383	7.441055942	7.3080146	6.95170035	7.144383228	7.126434763	6.947650838	7.455770981	7.512791996	7.281007692	7.503903119
