W29_NCBI	CLIB122_UNIPROT	CLIB122_NCBI	standard_A	standard_B	standard_C	standard_D	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	low_pH_D
YALI1_D17770g	Q6C936	YALI0D14542g1_1	5	4	7	7	7	7	8	1	4	4	2
YALI1_F30106g	Q6C0P3	YALI0F22935g1_1	0	1	2	5	0	1	1	2	5	2	6
YALI1_B08801g	Q6CFI3	YALI0B06754g1_1	0	0	1	2	2	4	5	6	0	2	3
YALI1_A22073g	B5U8Q6	YALI0A21076g2_1	20	22	19	22	13	11	12	17	16	18	15
YALI1_F03407g	Q6C369	YALI0F02167g1_1	11	10	5	10	11	0	7	0	9	7	0
YALI1_A13100g	Q6CH33	YALI0A13101g1_1	9	7	9	7	10	15	17	8	8	9	6
YALI1_D07271g	Q6CA59	YALI0D05665g1_1	2	3	0	0	4	3	3	5	6	3	4
YALI1_E24479g	Q6C567	YALI0E20625g1_1	0	1	0	3	4	3	6	2	3	3	2
YALI1_F05624g	Q6C2Z7	YALI0F03817g1_1	2	3	5	2	1	2	2	1	0	0	1
YALI1_F37714g	Q6BZX6	YALI0F30129g1_1	9	6	5	5	8	8	7	9	15	14	10
YALI1_D16151g	Q6C990	YALI0D13024g1_1	1	2	2	1	0	1	1	2	4	4	4
YALI1_E19958g			0	2	2	5	0	5	11	10	5	3	6
YALI1_F36966g	Q6BZZ9	(YALI0F29337g1_1-YALI0F29337g2_1)	27	27	26	27	24	23	26	13	20	21	17
YALI1_B14236g	Q6CF36	YALI0B10560g1_1	1	2	3	2	4	6	8	1	4	2	5
YALI1_F01020g	Q6C3D4	YALI0F00638g1_1	12	16	13	12	14	21	20	21	18	25	21
YALI1_D15792g	Q6C9A9	YALI0D12628g1_1	3	2	1	1	2	4	1	0	0	1	0
YALI1_A01717g	Q6CI64	YALI0A01331g1_1	2	0	3	2	2	1	4	0	0	1	0
YALI1_F22750g	Q6C1E8	YALI0F16940g1_1	15	16	27	20	14	23	21	10	14	13	13
YALI1_D15398g	Q6C9C1	YALI0D12386g1_1	5	6	8	7	8	12	11	8	6	2	3
YALI1_B26728g	Q6CDX7	YALI0B20416g1_1	2	2	5	8	3	3	12	3	4	1	0
YALI1_A09694g	Q6CHE0	YALI0A09856g1_1	16	19	19	15	29	25	25	19	17	20	18
YALI1_E33285g	Q6C4B5		3	0	1	1	1	0	0	3	1	4	3
YALI1_D00888g	Q6CAQ4	YALI0D00825g1_1	9	8	10	9	9	10	10	3	5	7	4
YALI1_E21097g	Q6C5I6	YALI0E17765g1_1	10	9	18	13	10	14	17	18	22	18	21
YALI1_E08271g	Q6C6R4	YALI0E06919g1_1	3	0	5	3	4	2	1	2	0	0	0
YALI1_B12451g	Q6CF86	YALI0B09339g1_1	3	4	3	3	4	4	5	11	7	5	7
YALI1_F29652g	Q6C0R4	YALI0F22421g1_1	5	8	8	8	10	8	9	5	4	5	2
YALI1_B14238g	Q6CF35	YALI0B10582g1_1	2	3	1	2	5	7	5	3	2	1	4
YALI1_D30474g	Q6C817	YALI0D23573g1_1	0	0	0	3	0	1	6	0	0	0	1
YALI1_B21675g	Q6CED0	YALI0B16632g1_1	0	1	0	1	0	0	0	0	1	2	3
YALI1_A03170g	Q6CI09	YALI0A02673g1_1	16	15	12	14	10	12	11	21	21	20	13
YALI1_D36122g			2	4	2	6	2	4	7	3	1	1	0
YALI1_D25899g	Q6C8E0	YALI0D20438g1_1	1	1	1	2	0	0	0	1	2	2	1
YALI1_D12056g	Q6C9P3	YALI0D09449g1_1	1	1	0	0	2	3	4	3	0	1	2
YALI1_E14709g	Q6C673	YALI0E11913g1_1	5	2	4	1	1	1	0	2	0	1	1
YALI1_A13046g	Q6CH35	YALI0A13057g1_1	2	1	0	1	2	0	0	2	4	3	3
YALI1_D10135g	Q6C9W0	YALI0D07890g1_1	0	0	3	0	1	4	4	1	1	1	0
YALI1_B16318g	Q6CEW3	YALI0B12408g1_1	0	0	3	1	1	1	5	0	0	0	1
YALI1_E36540g	Q6C3Z4	YALI0E31064g1_1	0	1	1	0	1	1	2	1	2	3	5
YALI1_D16144g		YALI0D13002g1_1	11	9	11	9	6	8	8	12	13	13	17
YALI1_F21174g	Q6C1J7	YALI0F15697g1_1	4	4	7	4	8	8	10	6	3	2	5
YALI1_A21565g	Q6CGC1	YALI0A20526g1_1	5	2	1	3	2	2	2	9	6	3	4
YALI1_C06626g	Q99145	YALI0C05170g1_1	8	14	11	13	9	13	13	18	18	19	16
YALI1_B21562g	Q6CED4	YALI0B16544g1_1	3	5	5	4	6	3	4	1	2	1	2
YALI1_C02639g	Q6CDB5	YALI0C01969g1_1	3	2	1	4	1	0	0	1	5	2	1
YALI1_E27880g	Q6C4U6	YALI0E23584g1_1	14	18	12	15	17	11	10	21	22	22	16
YALI1_B24424g	Q6CE40	YALI0B18759g1_1	1	0	3	2	0	0	0	1	0	3	0
YALI1_E00760g	Q6C7J1	YALI0E00418g1_1	13	15	15	14	12	14	20	29	21	16	20
YALI1_A08502g	Q6CHH9	YALI0A08646g1_1	1	2	5	2	0	6	4	0	2	0	1
YALI1_E12793g	Q6C6E4	YALI0E10175g1_1	1	0	0	0	1	1	0	2	0	2	4
YALI1_C32609g	P41943	YALI0C23617g1_1	16	20	17	14	22	17	23	12	14	15	10
YALI1_F37916g	Q6BZW6	YALI0F30349g1_1	1	2	2	3	3	7	6	5	3	4	7
YALI1_E04359g	Q6C755	YALI0E03630g1_1	4	2	4	2	4	4	5	0	3	2	0
YALI1_D10197g	Q6C9V7	YALI0D07942g1_1	11	12	21	10	15	17	18	12	7	9	11
YALI1_F11635g	Q6C2F8	YALI0F08283g1_1	3	6	7	11	5	8	5	13	13	13	5
YALI1_B20378g	Q6CEH8	YALI0B15510g1_1	6	4	3	6	7	5	5	10	8	8	11
YALI1_F39665g	Q6BZP3	YALI0F32043g1_1	0	1	0	0	1	0	0	1	1	2	3
YALI1_E33843g	Q6C498	YALI0E28578g1_1	0	1	2	0	2	4	4	0	1	2	3
YALI1_D00311g	Q6CAS7	YALI0D00297g1_1	0	1	3	2	4	2	4	0	2	0	1
YALI1_B06839g	Q6CFQ0	YALI0B04928g1_1	0	1	0	0	1	2	3	0	1	0	1
YALI1_D35768g	Q6C7L3	YALI0D27148g1_1	20	20	18	17	14	14	16	23	22	22	25
YALI1_B20153g	Q6CEI8	YALI0B15304g1_1	4	7	8	4	7	7	10	2	4	4	4
YALI1_E27600g	Q6C4V3	YALI0E23430g1_1	1	1	3	2	0	1	1	2	5	2	4
YALI1_D10812g	Q6C9U0	YALI0D08404g1_1	2	0	1	2	4	5	3	2	4	3	5
YALI1_F12635g	Q6C2C3	YALI0F09053g1_1	0	1	1	0	2	2	3	1	0	1	0
YALI1_C08173g	Q6CCV1	YALI0C06281g1_1	1	1	2	2	3	3	5	1	3	0	0
YALI1_C05125g	Q6CD46	YALI0C03850g1_1	9	14	12	13	10	15	14	7	9	5	9
YALI1_C19794g	Q6CBZ8	YALI0C14014g1_1	0	1	3	3	2	4	4	1	0	2	0
YALI1_A10619g	Q6CHB1	YALI0A10615g1_1	4	3	7	6	6	3	7	9	11	8	9
YALI1_A00746g	Q6CI89	YALI0A00594g1_1	8	7	14	12	10	12	14	16	17	18	15
YALI1_E07040g	Q6C6V8	YALI0E05863g1_1	2	0	0	3	2	0	0	3	5	3	1
YALI1_B14121g			9	13	17	12	9	12	10	6	7	7	9
YALI1_B19205g	Q6CEM1	YALI0B14597g1_1	1	1	0	0	0	0	1	3	1	1	3
YALI1_B22020g	Q6CEB7	YALI0B16918g1_1	5	6	5	6	3	3	3	3	2	2	2
YALI1_F08170g	Q6C2S9	YALI0F05456g1_1	0	1	0	0	1	2	3	2	1	1	2
YALI1_D30705g	Q6C810	YALI0D23727g1_1	0	1	0	0	1	2	3	0	2	1	3
YALI1_E35280g	Q6C443	YALI0E29865g1_1	2	1	2	1	1	2	3	0	1	0	0
YALI1_C01535g	Q6CDE6	YALI0C01133g1_1	2	0	1	1	2	4	3	2	0	1	0
YALI1_E15835g	Q6C634	YALI0E12859g1_1	14	16	11	16	16	15	14	9	14	8	6
YALI1_F12330g	Q6C2D3	YALI0F08833g1_1	9	14	13	16	14	7	13	22	19	13	18
YALI1_C27746g		YALI0C19800g1_1	14	10	7	17	20	12	14	10	22	28	15
YALI1_D07788g	Q6CA41	YALI0D06083g1_1	2	2	2	1	2	1	5	1	0	0	1
YALI1_D14639g	Q6C9E6	YALI0D11814g1_1	1	1	2	0	4	4	3	3	0	2	2
YALI1_A14513g	Q6CGZ8	YALI0A14608g1_1	4	2	4	5	5	4	4	2	2	2	0
YALI1_F23399g	Q6C1B9	YALI0F17600g1_1	1	1	3	2	1	2	2	6	4	4	3
YALI1_B27254g	Q6CDV7	YALI0B20856g1_1	4	5	6	14	9	11	18	7	8	11	6
YALI1_B15928g	Q6CEX7	YALI0B12078g1_1	2	1	2	2	2	5	5	0	2	1	2
YALI1_E30028g	Q6C4N1	YALI0E25091g1_1	21	15	18	18	17	25	22	17	11	13	14
YALI1_E16433g	Q6C610	YALI0E13464g1_1	4	1	2	3	3	6	8	3	3	1	3
YALI1_D34785g	F2Z640	YALI0D26315g1_1	4	8	8	6	9	7	8	4	3	4	4
YALI1_E08351g	Q6C6R2	YALI0E07051g1_1	4	10	10	5	3	2	5	5	8	9	6
YALI1_E03439g	Q6C788	YALI0E02794g1_1	5	10	4	12	11	9	12	13	15	12	13
YALI1_F33618g	Q6C0B5	YALI0F26169g1_1	10	12	14	11	13	14	15	22	17	15	19
YALI1_D07162g	Q6CA64	YALI0D05547g1_1	7	6	6	7	3	3	3	3	6	6	12
YALI1_F30877g	Q6C0L9	YALI0F23551g1_1	21	18	11	16	14	8	14	10	13	11	8
YALI1_E37392g	Q6C3W5	YALI0E31647g1_1	5	7	6	7	8	9	16	8	5	7	6
YALI1_F11689g	Q6C2F6	YALI0F08327g1_1	4	2	6	4	1	4	4	7	5	5	10
YALI1_E28599g	Q6C4S8	YALI0E24035g1_1	1	1	2	1	2	2	2	0	1	0	0
YALI1_F14766g	Q6C239	YALI0F11121g1_1	0	1	0	0	2	1	3	3	1	0	1
YALI1_B24351g	Q6CE41	YALI0B18744g1_1	1	1	1	0	0	1	1	1	3	3	3
YALI1_F37068g	Q6BZZ6	YALI0F29491g1_1	1	0	2	6	1	0	0	0	0	2	2
YALI1_B08321g	Q6CFK2	YALI0B06248g1_1	1	1	6	2	1	2	4	6	5	3	7
YALI1_E10455g	Q6C6L0	YALI0E08602g1_1	1	0	0	3	1	0	2	1	5	2	4
YALI1_F02132g	F2Z6J3	YALI0F01320g1_1	0	0	1	0	1	2	3	0	1	2	1
YALI1_B22883g	Q6CE86	YALI0B17688g1_1	3	3	4	5	4	4	4	5	8	8	8
YALI1_A06594g	Q6CHN5	YALI0A06908g1_1	2	2	2	2	3	5	4	2	2	1	0
YALI1_F33594g	Q6C0B6	YALI0F26147g1_1	0	1	0	0	1	2	3	1	2	0	1
YALI1_E17037g	Q6C5Y8	YALI0E13992g1_1	11	7	11	11	9	8	9	6	6	4	6
YALI1_E30073g	Q6C4M9	YALI0E25135g1_1	4	2	3	5	6	4	6	1	4	3	0
YALI1_E40361g	Q6C3K7	YALI0E34037g1_1	5	8	7	7	6	8	13	17	12	8	10
YALI1_D11159g	Q6C9S7	YALI0D08690g1_1	7	5	7	6	8	9	8	5	4	6	1
YALI1_C08197g	Q6CCV0	YALI0C06303g1_1	5	3	6	6	4	4	3	8	9	7	7
YALI1_D21458g	Q6C8S2	YALI0D17446g1_1	5	2	4	3	3	4	5	8	6	9	5
YALI1_B10635g	Q6CFD3	YALI0B08140g1_1	2	0	3	0	3	4	2	1	0	0	2
YALI1_D07149g	Q6CA65	YALI0D05533g1_1	1	0	1	1	0	4	4	2	0	0	1
YALI1_E34269g	Q6C482	YALI0E28963g1_1	10	11	15	15	13	15	18	9	7	9	12
YALI1_E36404g	Q6C400	YALI0E30943g1_1	12	9	12	11	16	16	14	9	7	10	11
YALI1_F06035g	Q6C2Y7	YALI0F04037g1_1	8	6	9	12	7	10	15	17	15	9	16
YALI1_F35061g	F2Z6H1	YALI0F27643g1_1	8	8	12	11	7	11	12	4	5	8	6
YALI1_F19697g	Q6C1N6	YALI0F14729g1_1	7	5	5	6	8	9	9	2	4	7	4
YALI1_B27211g	Q6CDV8	YALI0B20834g1_1	5	1	6	3	2	0	7	1	2	0	2
YALI1_D06638g	Q6CA82	YALI0D05071g1_1	2	0	2	3	0	1	2	3	3	3	5
YALI1_E26021g	Q6C508	YALI0E22044g1_1	4	2	2	1	1	0	0	1	3	1	2
YALI1_E10587g	Q6C6K7	YALI0E08756g1_1	5	3	4	4	6	6	5	2	3	2	2
YALI1_E30914g	Q6C4K4	YALI0E26026g1_1	3	0	0	19	4	0	21	16	14	4	6
YALI1_D14489g	Q6C9F3		2	6	3	3	4	8	6	2	3	3	2
YALI1_D17493g	Q6C945	YALI0D14344g1_1	4	8	7	5	9	10	11	11	11	8	11
YALI1_E34072g	Q6C490	YALI0E28787g1_1	18	13	18	12	18	15	16	11	12	10	9
YALI1_A18286g	Q6CGM7	YALI0A18007g1_1	2	4	2	3	3	7	7	4	2	0	4
YALI1_F10385g	Q6C2K6	YALI0F07084g1_1	4	2	4	2	0	0	2	0	3	4	1
YALI1_F34127g	Q6C092	YALI0F26719g1_1	0	2	2	4	5	2	4	4	8	5	3
YALI1_C08523g	Q6CCU6	YALI0C06424g1_1	12	12	10	16	13	8	7	11	18	20	13
YALI1_B03404g	Q6CFZ3	YALI0B02266g1_1	7	9	11	10	8	12	13	14	16	12	17
YALI1_E39243g	Q6C3Q0	YALI0E33077g1_1	6	6	4	7	7	5	0	1	4	5	0
YALI1_D31866g	Q6C7Y9	YALI0D24233g1_1	3	1	3	0	1	1	2	0	0	1	0
YALI1_F39022g	Q6BZS0	YALI0F31361g1_1	2	2	3	4	2	2	3	1	2	0	0
YALI1_F08292g	Q6C2S4	YALI0F05566g1_1	2	3	0	0	5	1	5	2	0	2	2
YALI1_E34525g	Q6C470	YALI0E29249g1_1	7	5	11	9	12	14	13	9	8	5	11
YALI1_D10865g	Q6C9T7	YALI0D08470g1_1	3	1	3	7	2	1	3	4	4	7	6
YALI1_F04259g	Q6C331	YALI0F03047g1_1	0	4	1	4	3	5	5	5	8	2	6
YALI1_D32153g	Q6C7Y3	YALI0D24387g1_1	21	25	9	19	25	5	6	15	21	18	15
YALI1_B19290g	Q6CEL8	YALI0B14663g1_1	7	7	9	9	9	9	10	7	4	6	3
YALI1_D24109g	Q6C8J9	YALI0D19030g1_1	1	2	2	3	1	0	0	0	0	3	0
YALI1_A07977g	Q6CHJ1	YALI0A08261g1_1	0	1	2	0	0	1	0	2	2	3	1
YALI1_F02309g	Q6C399	YALI0F01496g1_1	18	16	19	18	18	15	14	10	14	13	10
YALI1_A11439g	Q6CH81	YALI0A11473g1_1	1	1	2	0	1	3	3	2	3	6	2
YALI1_F30254g	Q6C0P0	YALI0F23045g1_1	9	4	8	6	7	4	5	1	4	5	3
YALI1_F11080g	Q6C2I0	YALI0F07733g1_1	2	2	3	2	1	1	2	5	4	2	5
YALI1_F35983g	Q6C028	YALI0F28303g1_1	1	2	0	1	2	3	1	2	2	3	6
YALI1_C13227g	Q6CCG7	YALI0C09526g1_1	1	0	2	1	3	1	2	3	2	4	4
YALI1_F37194g	Q6BZZ4	YALI0F29623g1_1	2	0	2	2	5	2	3	0	1	3	0
YALI1_D22864g	Q6C8N3	YALI0D18293g1_1	1	1	1	4	1	1	1	0	1	0	0
YALI1_D26263g	Q6C8C9	YALI0D20680g1_1	4	7	2	6	6	4	3	6	8	8	10
YALI1_B26235g	Q6CDZ0	YALI0B20086g1_1	3	3	4	9	3	3	6	9	9	5	8
YALI1_B14064g	Q6CF42	YALI0B10428g1_1	2	0	4	0	0	0	1	0	0	0	1
YALI1_B29867g	Q6CDM0	YALI0B22902g1_1	13	7	9	11	9	8	10	13	12	13	19
YALI1_D05320g	Q6CAB6	YALI0D04246g1_1	4	3	2	1	4	3	3	1	0	1	2
YALI1_F14729g	Q6C241	YALI0F11077g1_1	3	4	3	0	3	3	4	1	1	1	1
YALI1_A01468g	Q6CI71	YALI0A01045g1_1	2	3	3	5	7	6	6	8	7	5	5
YALI1_B10552g	Q6CFD6	YALI0B08074g1_1	0	2	2	2	4	1	2	5	3	3	5
YALI1_B08193g	Q6CFK6	YALI0B06116g1_1	7	10	7	8	5	4	6	12	9	9	8
YALI1_D35787g	Q6C7L2	YALI0D27170g1_1	5	6	7	4	3	7	9	1	5	5	1
YALI1_D20050g	Q6C8X0	YALI0D16247g1_1	2	1	3	1	3	4	7	4	3	3	2
YALI1_F25908g	Q6C141	YALI0F19448g1_1	5	6	5	6	6	4	7	3	2	2	4
YALI1_B30275g	Q6CDJ6	YALI0B23430g1_1	9	7	7	9	11	14	13	7	8	7	10
YALI1_D14004g	Q6C9H6	YALI0D11132g1_1	7	5	10	7	11	11	14	7	6	8	10
YALI1_F17709g	Q6C1U7	YALI0F13255g1_1	2	2	0	2	1	3	0	6	4	1	3
YALI1_B07983g	Q6CFL1	YALI0B05940g1_1	0	1	0	1	1	0	0	0	3	2	2
YALI1_F34202g	Q6C089	YALI0F26807g1_1	5	5	4	6	5	6	7	2	2	5	2
YALI1_F09996g	Q6C2L6	YALI0F06791g1_1	3	1	3	0	4	6	3	3	2	0	3
YALI1_A10254g	Q6CHC2	YALI0A10310g1_1	0	1	1	4	0	0	2	3	6	0	2
YALI1_E06712g	Q6C6W5	YALI0E05709g1_1	3	1	1	2	1	0	0	2	3	2	1
YALI1_D06883g	Q6CA72	YALI0D05335g1_1	0	2	2	0	2	1	4	0	0	2	0
YALI1_B20108g	Q6CEJ0	YALI0B15268g1_1	2	1	2	2	2	3	6	1	1	1	2
YALI1_E29665g	Q6C4P1	YALI0E24849g1_1	7	5	5	8	4	3	6	0	5	3	4
YALI1_A18133g	Q6CGN1	YALI0A17919g1_1	1	1	1	2	0	2	1	2	4	2	4
YALI1_B05497g	Q6CFT2	YALI0B04114g1_1	0	0	2	0	1	0	5	0	0	0	2
YALI1_F03356g	Q6C372		0	0	1	0	1	3	1	0	0	1	1
YALI1_D05270g	Q6CAB8	YALI0D04202g1_1	3	1	2	2	1	2	3	2	0	0	0
YALI1_F04130g	Q6C337	YALI0F02915g1_1	2	2	4	2	0	2	1	2	0	0	1
YALI1_B25744g	Q6CE08	YALI0B19646g1_1	0	2	0	0	2	0	0	0	3	2	3
YALI1_C01520g	Q6CDE7	YALI0C01111g1_1	1	2	1	0	2	2	5	0	3	3	5
YALI1_E02850g	Q6C7B0	YALI0E02266g1_1	2	2	2	2	0	1	1	2	3	2	4
YALI1_F33403g	Q6C0C2	YALI0F26015g1_1	0	0	2	0	1	3	3	0	1	3	1
YALI1_E40754g	Q6C3J3	YALI0E34353g1_1	0	0	1	0	0	1	4	1	1	0	3
YALI1_D17249g	Q6C954	YALI0D13904g1_1	1	0	1	3	0	3	2	1	0	0	0
YALI1_B10130g	F2Z5Z5	YALI0B07667g1_1	1	0	0	0	0	2	3	2	0	0	3
YALI1_A04109g	Q6CHX1	YALI0A03883g1_1	4	1	4	1	3	3	1	0	0	1	2
YALI1_B07295g	Q6CFN8	YALI0B05302g1_1	6	6	3	4	6	6	6	4	2	2	3
YALI1_D07576g	Q6CA49	YALI0D05929g1_1	5	7	7	7	8	6	4	8	12	9	11
YALI1_E18854g	Q6C5S2	YALI0E15642g1_1	4	9	10	11	6	12	11	6	7	2	7
YALI1_B17112g	Q6CEU1	YALI0B12936g1_1	0	1	2	0	0	2	0	3	1	2	3
YALI1_B29905g	Q6CDL7	YALI0B22968g1_1	0	1	1	1	0	1	1	2	4	2	1
YALI1_C15687g	Q6CC99	YALI0C11231g1_1	1	2	2	3	4	3	4	1	1	1	2
YALI1_D17899g	Q6C931	YALI0D14652g1_1	11	12	15	15	12	12	15	6	7	15	7
YALI1_A13555g	Q6CH23	YALI0A13519g1_1	1	2	2	1	2	0	2	0	0	0	1
YALI1_B02283g	Q6CG30	YALI0B01342g1_1	2	2	2	2	3	1	2	3	6	5	3
YALI1_F03842g	Q6C353	YALI0F02563g1_1	7	9	8	6	7	8	7	5	4	4	4
YALI1_E23292g	Q6C5B6	YALI0E19448g1_1	0	3	3	3	4	4	4	6	5	5	4
YALI1_C30320g	Q6CB46	YALI0C22000g1_1	4	1	4	3	5	4	3	2	2	1	1
YALI1_D29109g	Q6C851	YALI0D22660g1_1	6	6	8	7	2	5	7	0	3	6	5
YALI1_B21250g	Q6CEE5	YALI0B16280g1_1	3	4	7	3	3	1	1	1	1	5	3
YALI1_A19459g	Q6CGK3	YALI0A18590g1_1	0	0	4	0	2	3	4	1	0	1	3
YALI1_B21356g	Q6CEE1	YALI0B16390g1_1	1	1	1	2	1	2	6	2	0	0	2
YALI1_B12742g	Q6CF80	YALI0B09515g1_1	1	1	2	2	2	6	4	3	2	1	3
YALI1_E06882g	Q6C6W1	YALI0E05797g1_1	0	0	0	1	3	2	0	0	2	1	1
YALI1_D14156g	Q6C9H1	YALI0D11264g1_1	0	0	1	0	0	1	4	1	2	0	1
YALI1_F07093g	Q6C2W3	YALI0F04620g1_1	1	1	0	2	2	1	2	0	1	0	0
YALI1_F26058g	Q6C133	YALI0F19624g1_1	1	1	1	0	4	0	1	1	0	0	0
YALI1_B26763g	Q6CDX5	YALI0B20460g1_1	4	3	5	3	4	10	6	3	3	4	4
YALI1_C09467g	Q6CCR8	YALI0C07128g1_1	6	7	8	6	6	8	8	2	5	4	5
YALI1_E04613g	Q6C747	YALI0E03828g1_1	3	2	5	4	5	3	7	6	11	4	6
YALI1_F38317g	Q6BZV1	YALI0F30679g1_1	1	1	3	3	3	5	5	5	5	4	3
YALI1_D22636g	Q6C8P2	YALI0D18106g1_1	14	9	14	11	17	17	20	16	14	11	18
YALI1_C23902g	Q6CBP5	YALI0C16753g1_1	2	3	2	3	2	3	3	3	4	9	4
YALI1_A13412g	Q6CH26	YALI0A13321g1_1	2	2	2	4	1	0	8	3	0	1	0
YALI1_E10210g	Q6C6L9	YALI0E08360g1_1	2	1	4	4	2	5	5	4	0	0	2
YALI1_D35945g	Q6C7K6	YALI0D27302g1_1	4	3	3	3	4	1	4	0	3	2	0
YALI1_D15523g	Q6C9B7	YALI0D12452g1_1	7	8	8	5	14	11	9	9	6	9	6
YALI1_C17782g	Q6CC44	YALI0C12595g1_1	6	10	8	10	3	7	7	11	14	7	8
YALI1_D23274g	Q6C8L8	YALI0D18612g1_1	1	3	4	2	1	3	2	1	2	0	0
YALI1_D00703g	Q6CAR2	YALI0D00649g1_1	0	1	0	5	2	5	5	5	5	0	0
YALI1_F29905g	Q6C0Q1	YALI0F22693g1_1	3	4	7	8	8	7	9	4	4	4	5
YALI1_A21993g	Q6CGA2	YALI0A20944g1_1	1	2	4	2	3	5	7	0	4	4	3
YALI1_D08946g	Q6CA02	YALI0D06974g1_1	6	5	8	7	6	10	9	5	4	4	5
YALI1_B21798g	Q6CEC5	YALI0B16742g1_1	2	4	2	3	3	1	6	6	8	5	3
YALI1_C09200g	Q6CCS8	YALI0C06864g1_1	11	15	10	13	12	11	12	7	10	9	6
YALI1_C29080g	Q6CB90	YALI0C21043g1_1	11	9	11	9	8	7	10	7	9	8	0
YALI1_D02206g	Q6CAK6	YALI0D01980g1_1	5	4	7	6	9	10	10	9	7	7	5
YALI1_A20441g	Q6CGG8	YALI0A19492g1_1	3	2	0	3	7	2	4	0	3	3	2
YALI1_B19880g	Q6CEJ9	YALI0B15081g1_1	2	3	0	5	2	1	1	1	7	6	1
YALI1_E20049g	Q6C5M4	YALI0E16797g1_1	2	3	6	4	2	3	2	0	2	2	2
YALI1_D22834g	Q6C8N4	YALI0D18271g1_1	2	3	2	8	2	3	2	1	2	2	1
YALI1_B01578g	Q6CG47	YALI0B00924g1_1	1	1	0	1	2	0	5	2	0	1	0
YALI1_F16568g	Q6C1Y5	YALI0F12353g1_1	1	2	1	2	0	1	1	0	0	0	1
YALI1_D06859g	Q6CA73	YALI0D05313g1_1	5	4	3	8	6	9	12	8	5	5	8
YALI1_E27059g			0	0	1	0	0	2	2	1	0	0	0
YALI1_F13170g	Q6C297	YALI0F09603g1_1	6	7	7	7	8	11	13	3	7	8	9
YALI1_D04680g	Q6CAD6	YALI0D03718g1_1	8	14	13	12	5	11	10	9	8	7	6
YALI1_M00110g			0	0	0	1	0	3	0	2	2	2	0
YALI1_B22015g	Q6CEB8	YALI0B16896g1_1	0	0	1	0	0	3	0	3	0	2	1
YALI1_D12355g	Q6C9N2	YALI0D09779g1_1	4	4	3	7	3	3	3	1	2	3	2
YALI1_F38191g	Q6BZV7	YALI0F30547g1_1	4	6	4	4	5	4	6	7	8	9	7
YALI1_A21203g	Q6CGD8	YALI0A20152g1_1	10	11	8	8	7	6	6	13	10	10	10
YALI1_F04497g		YALI0F03223g1_1	10	6	12	7	5	10	12	8	3	4	7
YALI1_A09593g	Q6CHE2	YALI0A09812g1_1	11	6	11	8	8	9	9	4	2	10	6
YALI1_D33879g	Q6C7T4	YALI0D25542g1_1	4	3	3	3	1	2	3	3	6	5	5
YALI1_C06394g	Q6CD06	YALI0C04906g1_1	2	2	2	3	1	3	3	0	2	1	0
YALI1_E32636g	Q6C4D5	YALI0E27698g1_1	3	0	4	2	2	2	3	0	1	0	2
YALI1_B16068g	Q6CEX2	YALI0B12210g1_1	3	9	5	12	8	10	14	12	13	9	11
YALI1_E35023g		YALI0E29601g1_1	3	3	2	3	3	0	0	3	4	3	2
YALI1_B29941g	Q6CDL5	YALI0B23012g1_1	0	2	1	3	2	1	1	2	5	3	3
YALI1_F17431g	Q6C1V9	YALI0F12991g1_1	8	5	4	9	5	5	4	7	8	9	10
YALI1_C28706g	Q6CBA2	YALI0C20735g1_1	8	9	9	7	15	14	10	10	11	7	10
YALI1_D12147g	Q6C9P0	YALI0D09603g1_1	0	1	0	1	0	1	3	1	2	2	3
YALI1_B26639g	Q6CDY1	YALI0B20328g1_1	2	2	2	1	2	3	2	4	3	5	4
YALI1_D06302g	Q6CA88	YALI0D04939g1_1	1	1	5	3	2	5	9	6	4	3	4
YALI1_D10007g	Q6C9W7	YALI0D07744g1_1	3	3	4	3	3	7	4	0	3	2	3
YALI1_F02481g	Q6C395	YALI0F01584g1_1	1	2	2	2	4	3	4	2	2	1	1
YALI1_B29883g	Q6CDL9	YALI0B22924g1_1	2	0	3	4	0	6	3	7	5	0	7
YALI1_C20023g	Q6CBY9	YALI0C14322g1_1	1	1	0	0	4	1	1	0	1	2	0
YALI1_A12403g	Q6CH58	YALI0A12133g1_1	0	0	1	1	2	2	2	2	0	1	0
YALI1_C29584g	Q6CB70	YALI0C21450g1_1	4	1	1	3	7	4	4	3	4	4	2
YALI1_C01789g	Q6CDE1	YALI0C01243g1_1	11	9	13	8	9	10	14	5	7	5	11
YALI1_E13727g	Q6C6B4	YALI0E10857g1_1	0	2	0	3	2	1	3	2	5	3	3
YALI1_D25715g	Q6C8E5	YALI0D20306g1_1	3	2	0	2	1	0	0	1	2	3	0
YALI1_F14746g	Q6C240	YALI0F11099g1_1	5	3	4	0	6	5	7	6	5	4	0
YALI1_C05133g			5	5	7	8	5	6	6	9	8	8	12
YALI1_B05832g	Q6CFS2	YALI0B04334g1_1	4	1	8	4	7	8	6	6	8	6	9
YALI1_B15964g	W0TYP3	YALI0B12122g1_1	3	4	4	5	6	7	6	4	2	3	4
YALI1_E08915g	Q6C6P7	YALI0E07513g1_1	3	3	4	6	4	6	9	3	4	3	3
YALI1_E30014g	Q6C4N2	YALI0E25069g1_1	8	8	8	11	13	11	7	6	6	8	5
YALI1_B07652g			0	1	2	1	1	4	4	1	1	1	4
