genes DMKU	genes CBS6556
KLMA_10629	KMXK_0A02100
KLMA_20377	KMXK_0B03920
KLMA_20609	KMXK_0B06230
KLMA_20050	KMXK_0B00610
KLMA_20382	KMXK_0B03960
KLMA_10634	KMXK_0A02050
KLMA_20614	KMXK_0B06280
KLMA_20055	KMXK_0B00670
KLMA_20387	KMXK_0B04010
KLMA_10639	KMXK_0A02000
KLMA_20060	KMXK_0B00730
KLMA_20619	KMXK_0B06330
KLMA_20392	KMXK_0B04060
KLMA_20065	KMXK_0B00790
KLMA_20624	KMXK_0B06380
KLMA_20397	KMXK_0B04110
KLMA_10649	KMXK_0A01910
KLMA_20402	KMXK_0B04160
KLMA_20070	KMXK_0B00830
KLMA_20629	KMXK_0B06430
KLMA_10654	KMXK_0A01860
KLMA_20407	KMXK_0B04210
KLMA_20634	KMXK_0B06470
KLMA_20075	KMXK_0B00870
KLMA_20412	KMXK_0B04270
KLMA_10659	KMXK_0A01810
KLMA_20639	KMXK_0B06520
KLMA_20080	KMXK_0B00920
KLMA_20417	KMXK_0B04320
KLMA_20085	KMXK_0B00970
KLMA_20644	KMXK_0B06570
KLMA_20422	KMXK_0B04350
KLMA_20090	KMXK_0B01020
KLMA_20649	KMXK_0B06620
KLMA_20427	KMXK_0B04400
KLMA_20095	KMXK_0B01080
KLMA_20654	KMXK_0B06670
KLMA_20432	KMXK_0B04450
KLMA_20100	KMXK_0B01130
KLMA_10664	KMXK_0A01760
KLMA_20659	KMXK_0B06720
KLMA_20437	KMXK_0B04500
KLMA_20105	
KLMA_20664	KMXK_0B06790
KLMA_20442	KMXK_0B04540
KLMA_20110	KMXK_0B01220
KLMA_20669	KMXK_0B06840
KLMA_20447	KMXK_0B04590
KLMA_20115	KMXK_0B01270
KLMA_20674	KMXK_0B06890
KLMA_20452	KMXK_0B04640
KLMA_20120	KMXK_0B01320
KLMA_20679	KMXK_0B06940
KLMA_20457	KMXK_0B04690
KLMA_10669	KMXK_0A01710
KLMA_20125	KMXK_0B01370
KLMA_20684	KMXK_0B07000
KLMA_20462	KMXK_0B04730
KLMA_10002	
KLMA_10674	KMXK_0A01660
KLMA_20130	KMXK_0B01410
KLMA_20689	KMXK_0B07050
KLMA_20467	KMXK_0B04780
KLMA_10007	
KLMA_10679	KMXK_0A01610
KLMA_20135	KMXK_0B01490
KLMA_20694	KMXK_0B07100
KLMA_20472	KMXK_0B04830
KLMA_10012	KMXK_0A08350
KLMA_10684	KMXK_0A01560
KLMA_20140	KMXK_0B01540
KLMA_20477	KMXK_0B04890
KLMA_20699	KMXK_0B07150
KLMA_10017	
KLMA_20145	KMXK_0B01580
KLMA_20482	KMXK_0B04950
KLMA_10689	KMXK_0A01510
KLMA_20704	KMXK_0B07200
KLMA_10694	KMXK_0A01460
KLMA_10022	KMXK_0A08270
KLMA_20150	KMXK_0B01630
KLMA_20487	KMXK_0B05000
KLMA_20709	KMXK_0B07250
KLMA_10699	KMXK_0A01410
KLMA_20492	KMXK_0B05050
KLMA_20155	KMXK_0B01680
KLMA_10027	KMXK_0A08220
KLMA_20714	KMXK_0B07300
KLMA_10704	KMXK_0A01360
KLMA_20497	KMXK_0B05100
KLMA_10032	KMXK_0A08170
KLMA_20160	KMXK_0B01730
KLMA_10709	KMXK_0A01310
KLMA_20502	KMXK_0B05150
KLMA_20724	KMXK_0B07390
KLMA_10037	KMXK_0A08120
KLMA_20165	KMXK_0B01790
KLMA_10714	KMXK_0A01260
KLMA_20507	KMXK_0B05200
KLMA_20729	KMXK_0B07440
KLMA_10719	KMXK_0A01210
KLMA_20170	KMXK_0B01830
KLMA_20734	KMXK_0B07490
KLMA_20512	KMXK_0B05250
KLMA_10724	KMXK_0A01160
KLMA_20175	KMXK_0B01880
KLMA_10047	KMXK_0A08050
KLMA_20517	KMXK_0B05310
KLMA_20739	KMXK_0B07540
KLMA_10729	KMXK_0A01110
KLMA_20180	KMXK_0B01930
KLMA_10052	KMXK_0A08000
KLMA_10734	KMXK_0A01060
KLMA_20522	KMXK_0B05360
KLMA_20744	KMXK_0B07580
KLMA_10057	KMXK_0A07950
KLMA_10739	KMXK_0A01000
KLMA_20527	KMXK_0B05420
KLMA_20749	KMXK_0B07620
KLMA_20190	KMXK_0B02040
KLMA_20532	KMXK_0B05470
KLMA_10744	KMXK_0A00950
KLMA_10062	KMXK_0A07900
KLMA_20754	KMXK_0B07670
KLMA_10749	KMXK_0A00890
KLMA_20195	KMXK_0B02090
KLMA_20537	KMXK_0B05520
KLMA_10067	KMXK_0A07850
KLMA_10754	KMXK_0A00840
KLMA_20759	KMXK_0B07720
KLMA_20542	KMXK_0B05570
KLMA_20200	KMXK_0B02130
KLMA_10072	KMXK_0A07800
KLMA_20764	KMXK_0B07770
KLMA_20547	KMXK_0B05620
KLMA_10077	KMXK_0A07750
KLMA_20205	KMXK_0B02180
KLMA_10764	KMXK_0A00750
KLMA_20552	KMXK_0B05670
KLMA_10769	KMXK_0A00700
KLMA_20769	KMXK_0B07820
KLMA_20210	KMXK_0B02230
KLMA_10082	KMXK_0A07700
KLMA_20557	KMXK_0B05740
KLMA_10774	KMXK_0A00660
KLMA_20774	KMXK_0B07870
KLMA_20215	KMXK_0B02290
KLMA_20562	KMXK_0B05790
KLMA_10779	KMXK_0A00610
KLMA_20779	KMXK_0B07920
KLMA_20567	
KLMA_20220	KMXK_0B02340
KLMA_10784	KMXK_0A00560
KLMA_10092	KMXK_0A07610
KLMA_20784	KMXK_0B07960
KLMA_20572	KMXK_0B05870
KLMA_20225	KMXK_0B02400
KLMA_10789	KMXK_0A00520
KLMA_10097	KMXK_0A07560
KLMA_20789	KMXK_0B08010
KLMA_20577	KMXK_0B05910
KLMA_10794	KMXK_0A00490
KLMA_20230	KMXK_0B02450
KLMA_10102	KMXK_0A07510
KLMA_20794	KMXK_0B08070
KLMA_20582	KMXK_0B05960
KLMA_10799	KMXK_0A00430
KLMA_20235	KMXK_0B02500
KLMA_10107	KMXK_0A07470
KLMA_10804	KMXK_0A00390
KLMA_20799	KMXK_0B08120
KLMA_20587	KMXK_0B06000
KLMA_10112	KMXK_0A07420
KLMA_20240	KMXK_0B02550
KLMA_20592	KMXK_0B06040
KLMA_10809	KMXK_0A00340
KLMA_20804	
KLMA_20597	KMXK_0B06090
KLMA_10814	KMXK_0A00290
KLMA_20809	KMXK_0B08240
KLMA_10117	KMXK_0A07370
KLMA_20602	KMXK_0B06150
KLMA_10819	KMXK_0A00240
KLMA_20250	KMXK_0B02660
KLMA_10122	KMXK_0A07320
KLMA_20814	KMXK_0B08290
KLMA_10824	KMXK_0A00200
KLMA_20607	KMXK_0B06210
KLMA_20819	KMXK_0B08340
KLMA_10127	KMXK_0A07270
KLMA_10829	KMXK_0A00160
KLMA_20612	KMXK_0B06260
KLMA_20260	KMXK_0B02750
KLMA_20824	KMXK_0B08390
KLMA_10834	KMXK_0A00110
KLMA_10132	KMXK_0A07220
KLMA_20617	KMXK_0B06310
KLMA_20003	KMXK_0B00120
KLMA_10137	KMXK_0A07170
KLMA_20265	KMXK_0B02800
KLMA_20622	KMXK_0B06360
KLMA_20008	KMXK_0B00170
KLMA_20627	KMXK_0B06410
KLMA_20270	KMXK_0B02850
KLMA_20013	KMXK_0B00230
KLMA_20632	KMXK_0B06460
KLMA_20275	KMXK_0B02900
KLMA_10147	KMXK_0A07080
KLMA_20018	KMXK_0B00280
KLMA_20637	KMXK_0B06500
KLMA_20829	KMXK_0B08440
KLMA_20023	KMXK_0B00330
KLMA_20280	KMXK_0B02950
KLMA_10152	KMXK_0A07030
KLMA_20642	KMXK_0B06550
KLMA_20028	KMXK_0B00400
KLMA_20285	KMXK_0B03000
KLMA_10157	KMXK_0A06980
KLMA_20033	KMXK_0B00450
KLMA_20647	KMXK_0B06600
KLMA_20038	KMXK_0B00490
KLMA_20290	KMXK_0B03050
KLMA_20652	KMXK_0B06650
KLMA_10162	KMXK_0A06930
KLMA_20834	KMXK_0D00140
KLMA_20657	KMXK_0B06700
KLMA_20043	KMXK_0B00540
KLMA_20295	KMXK_0B03100
KLMA_30002 KLMA_50002	
KLMA_20662	KMXK_0B06770
KLMA_20048	KMXK_0B00590
KLMA_20300	KMXK_0B03150
KLMA_20667	KMXK_0B06820
KLMA_20053	KMXK_0B00650
KLMA_20305	KMXK_0B03200
KLMA_20672	KMXK_0B06870
KLMA_20058	KMXK_0B00700
KLMA_10167	KMXK_0A06880
KLMA_30012	KMXK_0C00140
KLMA_20310	KMXK_0B03260
KLMA_20677	KMXK_0B06920
KLMA_20063	KMXK_0B00760
KLMA_30017	KMXK_0C00190
KLMA_20068	KMXK_0B00810
KLMA_20682	KMXK_0B06980
KLMA_20315	KMXK_0B03310
KLMA_10142 KLMA_30022	KMXK_0C00240
KLMA_20073	KMXK_0B00850
KLMA_20687	KMXK_0B07030
KLMA_30027	KMXK_0C00290
KLMA_20320	KMXK_0B03360
KLMA_20078	KMXK_0B00900
KLMA_20692	KMXK_0B07080
KLMA_30032	KMXK_0C00340
KLMA_20083	KMXK_0B00950
KLMA_30037	KMXK_0C00390
KLMA_20697	KMXK_0B07130
KLMA_10172	KMXK_0A06830
KLMA_20088	KMXK_0B01000
KLMA_30042	KMXK_0C00440
KLMA_20702	KMXK_0B07180
KLMA_30047	KMXK_0C00500
KLMA_10177	KMXK_0A06780
KLMA_20093	KMXK_0B01050
KLMA_20707	KMXK_0B07230
KLMA_30052	KMXK_0C00560
KLMA_10182	KMXK_0A06730
KLMA_20098	KMXK_0B01110
KLMA_20712	KMXK_0B07280
KLMA_20330	KMXK_0B03450
KLMA_10187	KMXK_0A06680
KLMA_30057	KMXK_0C00610
KLMA_20103	
KLMA_20717	KMXK_0B07340
KLMA_10192	KMXK_0A06630
KLMA_30062	KMXK_0C00660
KLMA_20108	KMXK_0B01200
KLMA_20722	KMXK_0B07370
KLMA_10197	
KLMA_30067	KMXK_0C00730
KLMA_20113	KMXK_0B01250
KLMA_10202	KMXK_0A06560
KLMA_20727	KMXK_0B07420
KLMA_30072	
KLMA_10207	KMXK_0A06510
KLMA_20118	KMXK_0B01300
KLMA_20732	KMXK_0B07470
KLMA_30077	KMXK_0C00830
KLMA_10212	
KLMA_20335	KMXK_0B03500
KLMA_20123	KMXK_0B01350
KLMA_10217	KMXK_0A06410
KLMA_30082	KMXK_0C00880
KLMA_20737	KMXK_0B07520
KLMA_20340	KMXK_0B03550
KLMA_20128	KMXK_0B01390
KLMA_10222	KMXK_0A06360
KLMA_30087	KMXK_0C00930
KLMA_20742	KMXK_0B07570
KLMA_20345	KMXK_0B03600
KLMA_10227	KMXK_0A06310
KLMA_20133	KMXK_0B01480
KLMA_30092	KMXK_0C00980
KLMA_10232	KMXK_0A06270
KLMA_20350	KMXK_0B03650
KLMA_20747	KMXK_0B07610
KLMA_30097	KMXK_0C01040
KLMA_20138	KMXK_0B01520
KLMA_10237	KMXK_0A06220
KLMA_20355	KMXK_0B03700
KLMA_20752	KMXK_0B07650
KLMA_30102	KMXK_0C01090
KLMA_20143	KMXK_0B01560
KLMA_10242	KMXK_0A06160
KLMA_20360	KMXK_0B03750
KLMA_20757	KMXK_0B07700
KLMA_30107	KMXK_0C01130
KLMA_10247	KMXK_0A06110
KLMA_20148	KMXK_0B01610
KLMA_20365	KMXK_0B03800
KLMA_20762	KMXK_0B07760
KLMA_30112	KMXK_0C01180
KLMA_10252	KMXK_0A06060
KLMA_20370	KMXK_0B03850
KLMA_20153	KMXK_0B01660
KLMA_10257	KMXK_0A06020
KLMA_20767	KMXK_0B07800
KLMA_20375	KMXK_0B03900
KLMA_30117	KMXK_0C01220
KLMA_20158	KMXK_0B01710
KLMA_10262	KMXK_0A05970
KLMA_20380	KMXK_0B03940
KLMA_30122	KMXK_0C01260
KLMA_20772	KMXK_0B07850
KLMA_20385	KMXK_0B03990
KLMA_10267	KMXK_0A05930
KLMA_30127	KMXK_0C01300
KLMA_20163	KMXK_0B01760
KLMA_20390	KMXK_0B04040
KLMA_20777	KMXK_0B07900
KLMA_10272	KMXK_0A05880
KLMA_20168 KLMA_60119	KMXK_0B01810
	KMXK_0F04530
KLMA_20395	KMXK_0B04090
KLMA_10277	KMXK_0A05830
KLMA_20782	
KLMA_20173	KMXK_0B01860
KLMA_30137	KMXK_0C01380
KLMA_10282	KMXK_0A05780
KLMA_20400	KMXK_0B04140
KLMA_20787	KMXK_0B07990
KLMA_20178	KMXK_0B01910
KLMA_20405	KMXK_0B04190
KLMA_30142	KMXK_0C01430
KLMA_20792	KMXK_0B08050
KLMA_10292	
KLMA_20183	KMXK_0B01960
KLMA_20410	KMXK_0B04250
KLMA_30147	KMXK_0C01490
KLMA_10297	KMXK_0A05660
KLMA_20797	KMXK_0B08100
KLMA_20188	KMXK_0B02020
KLMA_20415	KMXK_0B04300
KLMA_10302	KMXK_0A05610
KLMA_30152	KMXK_0C01550
KLMA_20193	KMXK_0B02070
KLMA_20802	KMXK_0B08150
KLMA_10307	KMXK_0A05560
KLMA_20425	KMXK_0B04380
KLMA_20807	KMXK_0B08210
KLMA_30157	KMXK_0C01600
KLMA_10312	KMXK_0A05510
KLMA_20430	KMXK_0B04430
KLMA_20203	KMXK_0B02160
KLMA_10317	KMXK_0A05460
KLMA_20812	KMXK_0B08270
KLMA_30162	KMXK_0C01650
KLMA_20435	KMXK_0B04480
KLMA_10322	KMXK_0A05400
KLMA_20208	KMXK_0B02210
KLMA_30167	KMXK_0C01700
KLMA_20817	KMXK_0B08320
KLMA_10327	KMXK_0A05350
KLMA_30172	KMXK_0C01740
KLMA_20440	KMXK_0B04520
KLMA_20213	KMXK_0B02270
KLMA_10332	KMXK_0A05300
KLMA_20822	KMXK_0B08370
KLMA_20445	KMXK_0B04570
KLMA_30177	KMXK_0C01790
KLMA_20218	KMXK_0B02320
KLMA_30182	KMXK_0C01840
KLMA_20827	KMXK_0B08420
KLMA_20223	KMXK_0B02380
KLMA_20450	KMXK_0B04620
KLMA_10342	KMXK_0A05210
KLMA_30187	KMXK_0C01890
KLMA_20228	
KLMA_20455	KMXK_0B04670
KLMA_10347	KMXK_0A05150
KLMA_30192	KMXK_0C01940
KLMA_20460	KMXK_0B04710
KLMA_20233	KMXK_0B02480
KLMA_30197	KMXK_0C01990
KLMA_10352	KMXK_0A05100
KLMA_20465	KMXK_0B04760
KLMA_20238	KMXK_0B02530
KLMA_30202	KMXK_0C02040
KLMA_10357	KMXK_0A05060
KLMA_20470	KMXK_0B04810
KLMA_20832 KLMA_50636	KMXK_0E06310
KLMA_20243	KMXK_0B02590
KLMA_30207	KMXK_0C02090
KLMA_20475	KMXK_0B04860
KLMA_10362	KMXK_0A05010
KLMA_20248	KMXK_0B02640
KLMA_30212	KMXK_0C02140
KLMA_20480	KMXK_0B04920
KLMA_10367	KMXK_0A04960
KLMA_20253	KMXK_0B02690
KLMA_30217	KMXK_0C02170
KLMA_20485	KMXK_0B04980
KLMA_30222	KMXK_0C02220
KLMA_10372	KMXK_0A04910
KLMA_20258	KMXK_0B02730
KLMA_20837	KMXK_0D00110
KLMA_30227	KMXK_0C02270
KLMA_20490	KMXK_0B05030
KLMA_20263	KMXK_0B02780
KLMA_20495	KMXK_0B05080
KLMA_30232	KMXK_0C02320
KLMA_10382	KMXK_0A04810
KLMA_20500	KMXK_0B05130
KLMA_30237	KMXK_0C02370
KLMA_30003 KLMA_30005 KLMA_30007 KLMA_40631 KLMA_50003	
KLMA_20268	KMXK_0B02830
KLMA_30242	KMXK_0C02430
KLMA_20505	KMXK_0B05180
KLMA_10387	KMXK_0A04750
KLMA_30010	KMXK_0C00120
KLMA_20273	KMXK_0B02880
KLMA_30247	KMXK_0C02480
KLMA_20510	KMXK_0B05230
KLMA_10392	KMXK_0A04700
KLMA_30015	KMXK_0C00170
KLMA_30252	KMXK_0C02530
KLMA_20278	KMXK_0B02930
KLMA_20515	KMXK_0B05290
KLMA_10397	KMXK_0A04420
KLMA_30020	
KLMA_20520	KMXK_0B05340
KLMA_10402	KMXK_0A04370
KLMA_30257	KMXK_0C02570
KLMA_20283	KMXK_0B02980
KLMA_30025	KMXK_0C00270
KLMA_20525	KMXK_0B05400
KLMA_10407	KMXK_0A04310
KLMA_30262	KMXK_0C02620
KLMA_20288	KMXK_0B03030
KLMA_30030	KMXK_0C00320
KLMA_20530	KMXK_0B05450
KLMA_10412	
KLMA_30267	KMXK_0C02660
KLMA_20293	KMXK_0B03080
KLMA_30035	KMXK_0C00370
KLMA_20535	KMXK_0B05500
KLMA_10417	KMXK_0A04210
KLMA_30272	KMXK_0C02710
KLMA_30040	KMXK_0C00420
KLMA_10422	KMXK_0A04150
KLMA_20540	KMXK_0B05550
KLMA_20298	KMXK_0B03130
KLMA_30045	KMXK_0C00480
KLMA_10427	KMXK_0A04100
KLMA_20545	KMXK_0B05600
KLMA_20303	KMXK_0B03180
KLMA_30282	KMXK_0C02800
KLMA_30050	KMXK_0C00540
KLMA_10432	
KLMA_20550	KMXK_0B05650
KLMA_20308	KMXK_0B03240
KLMA_30055	
KLMA_10437	KMXK_0A03980
KLMA_20555	KMXK_0B05700
KLMA_30060	KMXK_0C00640
KLMA_20313	KMXK_0B03290
KLMA_30292	KMXK_0C02880
KLMA_30065	KMXK_0C00690
KLMA_10442	KMXK_0A03930
KLMA_20560	KMXK_0B05770
KLMA_30297	KMXK_0C02930
KLMA_20318	KMXK_0B03340
KLMA_30070	KMXK_0C00760
KLMA_20565	KMXK_0B05820
KLMA_30075	KMXK_0C00810
KLMA_30302	KMXK_0C02980
KLMA_20323	KMXK_0B03380
KLMA_10452	KMXK_0A03840
KLMA_30080	KMXK_0C00860
KLMA_30307	KMXK_0C03020
KLMA_20575	KMXK_0B05900
KLMA_10457	KMXK_0A03800
KLMA_30085	KMXK_0C00910
KLMA_30312	KMXK_0C03060
KLMA_30090	KMXK_0C00960
KLMA_20580	KMXK_0B05940
KLMA_10462	KMXK_0A03750
KLMA_30317	KMXK_0C03100
KLMA_30095	KMXK_0C01020
KLMA_10467	KMXK_0A03700
KLMA_20585	KMXK_0B05980
KLMA_20328	KMXK_0B03430
KLMA_30322	KMXK_0C03160
KLMA_30100	KMXK_0C01070
KLMA_10472	KMXK_0A03660
KLMA_20590	KMXK_0B06020
KLMA_30327	KMXK_0C03210
KLMA_30105	KMXK_0C01110
KLMA_10477	KMXK_0A03620
KLMA_30110	KMXK_0C01160
KLMA_30332	KMXK_0C03260
KLMA_10482	KMXK_0A03570
KLMA_20600	KMXK_0B06120
KLMA_30115	
KLMA_10487	KMXK_0A03530
KLMA_30337	KMXK_0C03310
KLMA_20605	KMXK_0B06190
KLMA_20333	KMXK_0B03480
KLMA_30120	KMXK_0C01240
KLMA_30342	KMXK_0C03360
KLMA_20610	KMXK_0B06240
KLMA_20338	KMXK_0B03530
KLMA_30125	KMXK_0C01290
KLMA_10497	KMXK_0A03440
KLMA_30347	KMXK_0C03410
KLMA_20615	KMXK_0B06290
KLMA_20343	KMXK_0B03580
KLMA_30130	KMXK_0C01330
KLMA_10502	KMXK_0A03390
KLMA_30352	KMXK_0C03460
KLMA_20348	
KLMA_30135	KMXK_0C01360
KLMA_20620	KMXK_0B06340
KLMA_10507	KMXK_0A03340
KLMA_30357	KMXK_0C03510
KLMA_30140	KMXK_0C01410
KLMA_20353	KMXK_0B03680
KLMA_20625	KMXK_0B06390
KLMA_30145	KMXK_0C01460
KLMA_30362	
KLMA_10512	KMXK_0A03290
KLMA_20630	KMXK_0B06440
KLMA_30150	KMXK_0C01520
KLMA_30367	KMXK_0C03610
KLMA_10517	KMXK_0A03240
KLMA_20363	KMXK_0B03780
KLMA_20635	
KLMA_30155	KMXK_0C01580
KLMA_20368	KMXK_0B03830
KLMA_10522	KMXK_0A03180
KLMA_30372	KMXK_0C03660
KLMA_20640	KMXK_0B06530
KLMA_30160	KMXK_0C01630
KLMA_30377	KMXK_0C03720
KLMA_20373	KMXK_0B03880
KLMA_10527	KMXK_0A03130
KLMA_20645	KMXK_0B06580
KLMA_30165	KMXK_0C01680
KLMA_10532	KMXK_0A03090
KLMA_30382	KMXK_0C03790
KLMA_30170	KMXK_0C01720
KLMA_20650	KMXK_0B06630
KLMA_20383	KMXK_0B03970
KLMA_30387	KMXK_0C03840
KLMA_30175	KMXK_0C01770
KLMA_10537	
KLMA_20655	KMXK_0B06680
KLMA_20388	KMXK_0B04020
KLMA_30180	KMXK_0C01820
KLMA_20660	KMXK_0B06750
KLMA_30392	KMXK_0C03890
KLMA_10542	KMXK_0A02990
KLMA_20393	KMXK_0B04070
KLMA_30185	KMXK_0C01870
KLMA_20665	KMXK_0B06800
KLMA_30397	KMXK_0C03940
KLMA_20398	KMXK_0B04120
KLMA_10547	KMXK_0A02920
KLMA_30190	KMXK_0C01920
KLMA_20670	KMXK_0B06850
KLMA_30402	KMXK_0C03990
KLMA_20403	KMXK_0B04170
KLMA_10552	KMXK_0A02860
KLMA_30195	KMXK_0C01970
KLMA_20675	KMXK_0B06900
KLMA_30407	KMXK_0C04040
KLMA_20408	KMXK_0B04220
KLMA_30200	KMXK_0C02020
KLMA_10557	KMXK_0A02830
KLMA_20680	KMXK_0B06960
KLMA_20413	KMXK_0B04280
KLMA_10562	KMXK_0A02770
KLMA_30412	KMXK_0C04090
KLMA_30205	KMXK_0C02070
KLMA_20685	KMXK_0B07010
KLMA_20418	KMXK_0B04330
KLMA_10567	KMXK_0A02720
KLMA_30417	KMXK_0C04140
KLMA_20690	KMXK_0B07060
KLMA_30210	KMXK_0C02120
KLMA_20423	KMXK_0B04360
KLMA_20695	KMXK_0B07110
KLMA_10572	KMXK_0A02670
KLMA_30422	KMXK_0C04190
KLMA_20428	
KLMA_30220	KMXK_0C02200
KLMA_10577	KMXK_0A02620
KLMA_20700	KMXK_0B07160
KLMA_30427	KMXK_0C04240
KLMA_20433	KMXK_0B04460
KLMA_30432	KMXK_0C04290
KLMA_10582	KMXK_0A02570
KLMA_20705	KMXK_0B07210
KLMA_30225	KMXK_0C02250
KLMA_20443	KMXK_0B04550
KLMA_20710	KMXK_0B07260
KLMA_10587	KMXK_0A02520
KLMA_30437	KMXK_0C04340
KLMA_20448	KMXK_0B04600
KLMA_30230	KMXK_0C02300
KLMA_20453	KMXK_0B04650
KLMA_20715	KMXK_0B07310
KLMA_30235	KMXK_0C02350
KLMA_30442	KMXK_0C04400
KLMA_10592	KMXK_0A02470
KLMA_20720	KMXK_0B07350
KLMA_30240	KMXK_0C02400
KLMA_20458	
KLMA_10597	KMXK_0A02420
KLMA_30447	KMXK_0C04450
KLMA_20463	KMXK_0B04740
KLMA_20725	KMXK_0B07400
KLMA_30245	KMXK_0C02460
KLMA_10602	KMXK_0A02370
KLMA_30452	KMXK_0C04500
KLMA_20468	KMXK_0B04790
KLMA_30250	KMXK_0C02510
KLMA_20730	KMXK_0B07450
KLMA_10607	KMXK_0A02320
KLMA_30457	KMXK_0C04550
KLMA_20473	KMXK_0B04840
KLMA_30255	KMXK_0C02560
KLMA_20735	KMXK_0B07500
KLMA_10612	KMXK_0A02270
KLMA_20478	KMXK_0B04900
KLMA_30260	KMXK_0C02600
KLMA_30462	KMXK_0C04600
KLMA_20740	KMXK_0B07550
KLMA_10617	KMXK_0A02220
KLMA_20483	KMXK_0B04960
KLMA_30467	KMXK_0C04650
KLMA_20745	KMXK_0B07590
KLMA_20488	KMXK_0B05010
KLMA_10622	KMXK_0A02170
KLMA_30270	KMXK_0C02690
KLMA_30472	KMXK_0C04700
KLMA_20750	KMXK_0B07630
KLMA_20493	KMXK_0B05060
KLMA_30275	KMXK_0C02740
KLMA_10627	KMXK_0A02120
KLMA_30477	KMXK_0C04750
KLMA_20755	KMXK_0B07680
KLMA_30280	KMXK_0C02780
KLMA_20498	KMXK_0B05110
KLMA_10632	
KLMA_30482	
KLMA_30285	KMXK_0C02830
KLMA_20503	KMXK_0B05160
KLMA_20760	KMXK_0B07730
KLMA_10637	KMXK_0A02020
KLMA_20508	KMXK_0B05210
KLMA_30290	KMXK_0C02870
KLMA_20765	KMXK_0B07780
KLMA_30487	KMXK_0C04840
KLMA_20513	KMXK_0B05260
KLMA_10642	KMXK_0A01970
KLMA_30295	KMXK_0C02910
KLMA_20770	KMXK_0B07830
KLMA_20518	KMXK_0B05320
KLMA_20775	KMXK_0B07880
KLMA_30300	KMXK_0C02960
KLMA_10647	KMXK_0A01930
KLMA_20523	KMXK_0B05370
KLMA_30305	KMXK_0C03000
KLMA_20780	KMXK_0B07930
KLMA_20528	KMXK_0B05430
KLMA_10652	
KLMA_30310	KMXK_0C03050
KLMA_20785	KMXK_0B07970
KLMA_20533	KMXK_0B05480
KLMA_30492	KMXK_0C04890
KLMA_10657	KMXK_0A01830
KLMA_30315	KMXK_0C03080
KLMA_20538	KMXK_0B05530
KLMA_20790	KMXK_0B08020
KLMA_20543	KMXK_0B05580
KLMA_30320	KMXK_0C03130
KLMA_20795	KMXK_0B08080
KLMA_10662	KMXK_0A01780
KLMA_20548	KMXK_0B05630
KLMA_30325	KMXK_0C03190
KLMA_20553	KMXK_0B05680
KLMA_30330	KMXK_0C03240
KLMA_20800	KMXK_0B08130
KLMA_30497	KMXK_0C04940
KLMA_20558	KMXK_0B05750
KLMA_30502	KMXK_0C04990
KLMA_20805	KMXK_0B08180
KLMA_30335	KMXK_0C03290
KLMA_30507	KMXK_0C05030
KLMA_30340	KMXK_0C03340
KLMA_20810	KMXK_0B08250
KLMA_20568	KMXK_0B05840
KLMA_10667	KMXK_0A01730
KLMA_30345	KMXK_0C03390
KLMA_30512	KMXK_0C05070
KLMA_20815	KMXK_0B08300
KLMA_20573	KMXK_0B05880
KLMA_30517	KMXK_0C05120
KLMA_30350	KMXK_0C03440
KLMA_20578	KMXK_0B05920
KLMA_20820	
KLMA_30355	KMXK_0C03490
KLMA_20825	KMXK_0B08400
KLMA_10672	KMXK_0A01680
KLMA_30360	KMXK_0C03540
KLMA_30527	KMXK_0C05210
KLMA_20588	KMXK_0B06010
KLMA_10677	KMXK_0A01630
KLMA_30365	KMXK_0C03590
KLMA_30532	KMXK_0C05250
KLMA_20593	KMXK_0B06060
KLMA_30537	KMXK_0C05320
KLMA_30542	KMXK_0C05370
KLMA_10682	KMXK_0A01580
KLMA_20598	KMXK_0B06100
KLMA_30370	KMXK_0C03640
KLMA_30547	KMXK_0C05430
KLMA_20830	KMXK_0B08450
KLMA_30552	KMXK_0C05490
KLMA_10687	KMXK_0A01530
KLMA_20603	KMXK_0B06170
KLMA_30375	KMXK_0C03700
KLMA_30557	KMXK_0C05540
KLMA_10692	KMXK_0A01480
KLMA_20608	KMXK_0B06220
KLMA_30380	KMXK_0C03750
KLMA_30562	KMXK_0C05610
KLMA_10697	KMXK_0A01430
KLMA_20613	KMXK_0B06270
KLMA_30567	KMXK_0C05670
KLMA_30385	KMXK_0C03820
KLMA_20835	KMXK_0D00130
KLMA_10702	KMXK_0A01380
KLMA_30572	KMXK_0C05720
KLMA_20618	KMXK_0B06320
KLMA_10707	KMXK_0A01330
KLMA_30577	KMXK_0C05770
KLMA_30390	KMXK_0C03870
KLMA_20623	KMXK_0B06370
KLMA_30582	KMXK_0C05820
KLMA_10712	KMXK_0A01280
KLMA_30395	KMXK_0C03920
KLMA_20628	KMXK_0B06420
KLMA_10717	KMXK_0A01230
KLMA_30587	KMXK_0C05870
KLMA_20633	
KLMA_30400	KMXK_0C03970
KLMA_10722	KMXK_0A01180
KLMA_30592	KMXK_0C05920
KLMA_10727	KMXK_0A01130
KLMA_20638	KMXK_0B06510
KLMA_30013	KMXK_0C00150
KLMA_30597	KMXK_0C05970
KLMA_30405	KMXK_0C04020
KLMA_10732	KMXK_0A01080
KLMA_30602	KMXK_0C06020
KLMA_20643	KMXK_0B06560
KLMA_30410	KMXK_0C04070
