"","protein","orthogroup","Gene"
"691","P23615","S+LYT","YGR116W"
"692","P23638","S+LYT","YGR135W"
"693","P23639","S+LYT","YML092C"
"694","P23643","S+LYT","YDR495C"
"695","P23644","S+LYT","YMR203W"
"696","P23724","S+LYT","YBL041W"
"697","P23748","S+LYT","YMR036C"
"698","P23776","S+LYT","YLR300W"
"699","P23796","S+LYT","YMR283C"
"700","P23797","S+LYT","YMR281W"
"701","P23833","S+LYT","YBR037C"
"702","P23968","S+LYT","YHR026W"
"703","P24000","S+LYT","YGR148C"
"704","P24004","S+LYT","YKL197C"
"705","P24031","S+LYT","YBR092C"
"706","P24276","S+LYT","YDR293C"
"707","P24279","S+LYT","YEL032W"
"708","P24280","S+LYT","YMR079W"
"709","P24309","S+LYT","YKL149C"
"710","P24384","S+LYT","YER013W"
"711","P24482","S+LYT","YPR175W"
"712","P24521","S+LYT","YMR220W"
"713","P24583","S+LYT","YBL105C"
"714","P24719","S+LYT","YOR351C"
"715","P24783","S+LYT","YNL112W"
"716","P24784","S+LYT","YPL119C"
"717","P24814","S+LYT","YJR090C"
"718","P24867","S+LYT","YNL289W"
"719","P24868","S+LYT","YGR108W"
"720","P24869","S+LYT","YPR119W"
"721","P24870","S+LYT","YDL155W"
"722","P24871","S+LYT","YLR210W"
"723","P25037","S+LYT","YDL122W"
"724","P25038","S+LYT","YOL023W"
"725","P25039","S+LYT","YLR069C"
"726","P25040","S+LYT","YOL022C"
"727","P25042","S+LYT","YPR065W"
"728","P25043","S+LYT","YOR157C"
"729","P25044","S+LYT","YDL230W"
"730","P25045","S+LYT","YMR296C"
"731","P25046","S+LYT","YBL093C"
"732","P25087","S+LYT","YML008C"
"733","P25270","S+LYT","YOR201C"
"734","P25293","S+LYT","YKR048C"
"735","P25294","S+LYT","YNL007C"
"736","P25296","S+LYT","YKL190W"
"737","P25297","S+LYT","YML123C"
"738","P25298","S+LYT","YMR061W"
"739","P25299","S+LYT","YGL044C"
"740","P25301","S+LYT","YDR004W"
"741","P25303","S+LYT","YMR214W"
"742","P25332","S+LYT","YCR036W"
"743","P25333","S+LYT","YCR008W"
"744","P25335","S+LYT","YIR029W"
"745","P25336","S+LYT","YCR092C"
"746","P25337","S+LYT","YCR063W"
"747","P25338","S+LYT","YGL010W"
"748","P25339","S+LYT","YGL014W"
"749","P25340","S+LYT","YGL012W"
"750","P25341","S+LYT","YCR091W"
"751","P25342","S+LYT","YCR002C"
"752","P25343","S+LYT","YCR009C"
"753","P25344","S+LYT","YCL032W"
"754","P25345","S+LYT","YCR024C"
"755","P25346","S+LYT","YCR098C"
"756","P25348","S+LYT","YCR003W"
"757","P25351","S+LYT","YCR023C"
"758","P25353","S+LYT","YCR026C"
"759","P25355","S+LYT","YCR054C"
"760","P25356","S+LYT","YCR032W"
"761","P25357","S+LYT","YCR033W"
"762","P25358","S+LYT","YCR034W"
"763","P25359","S+LYT","YCR035C"
"764","P25364","S+LYT","YCR065W"
"765","P25365","S+LYT","YCR067C"
"766","P25366","S+LYT","YCR095C"
"767","P25368","S+LYT","YCL031C"
"768","P25369","S+LYT","YCL034W"
"769","P25370","S+LYT","YCL036W"
"770","P25371","S+LYT","YCR011C"
"771","P25372","S+LYT","YCR083W"
"772","P25373","S+LYT","YCL035C"
"773","P25374","S+LYT","YCL017C"
"774","P25375","S+LYT","YCL057W"
"775","P25377","S+LYT","YCR105W"
"776","P25378","S+LYT","YCR027C"
"777","P25379","S+LYT","YCL064C"
"778","P25380","S+LYT","YCL048W"
"779","P25381","S+LYT","YCR045C"
"780","P25382","S+LYT","YCR072C"
"781","P25385","S+LYT","YLR078C"
"782","P25386","S+LYT","YDL058W"
"783","P25389","S+LYT","YCL024W"
"784","P25390","S+LYT","YCR073C"
"785","P25441","S+LYT","YDL150W"
"786","P25443","S+LYT","YGL123W"
"787","P25451","S+LYT","YER094C"
"788","P25454","S+LYT","YER095W"
"789","P25491","S+LYT","YNL064C"
"790","P25502","S+LYT","YKL015W"
"791","P25515","S+LYT","YEL027W"
"792","P25554","S+LYT","YCL010C"
"793","P25555","S+LYT","YCL011C"
"794","P25558","S+LYT","YCL014W"
"795","P25559","S+LYT","YCL016C"
"796","P25560","S+LYT","YCL001W"
"797","P25565","S+LYT","YCL002C"
"798","P25566","S+LYT","YCL033C"
"799","P25567","S+LYT","YCL037C"
"800","P25568","S+LYT","YCL038C"
"801","P25569","S+LYT","YCL039W"
"802","P25574","S+LYT","YCL045C"
"803","P25576","S+LYT","YCL047C"
"804","P25578","S+LYT","YCL004W"
"805","P25582","S+LYT","YCL054W"
"806","P25583","S+LYT","YCL055W"
"807","P25586","S+LYT","YCL059C"
"808","P25588","S+LYT","YCL061C"
"809","P25594","S+LYT","YCL069W"
"810","P25596","S+LYT","YCL073C"
"811","P25604","S+LYT","YCL008C"
"812","P25605","S+LYT","YCL009C"
"813","P25608","S+LYT","YCR102C"
"814","P25613","S+LYT","YCR010C"
"815","P25615","S+LYT","YCR014C"
"816","P25616","S+LYT","YCR015C"
"817","P25617","S+LYT","YCR016W"
"818","P25618","S+LYT","YCR017C"
"819","P25621","S+LYT","YCR028C"
"820","P25623","S+LYT","YCR030C"
"821","P25625","S+LYT","YCR044C"
"822","P25626","S+LYT","YCR046C"
"823","P25627","S+LYT","YCR047C"
"824","P25628","S+LYT","YCR048W"
"825","P25631","S+LYT","YCR051W"
"826","P25635","S+LYT","YCR057C"
"827","P25637","S+LYT","YCR059C"
"828","P25638","S+LYT","YCR060W"
"829","P25639","S+LYT","YCR061W"
"830","P25641","S+LYT","YCR068W"
"831","P25642","S+LYT","YCR071C"
"832","P25644","S+LYT","YCR077C"
"833","P25646","S+LYT","YCR079W"
"834","P25648","S+LYT","YCR081W"
"835","P25654","S+LYT","YCR090C"
"836","P25655","S+LYT","YCR093W"
"837","P25656","S+LYT","YCR094W"
"838","P25694","S+LYT","YDL126C"
"839","P25719","S+LYT","YML078W"
"840","P25808","S+LYT","YFL002C"
"841","P25846","S+LYT","YHR120W"
"842","P25847","S+LYT","YOL090W"
"843","P26188","S+LYT","YDL200C"
"844","P26263","S+LYT","YGR087C"
"845","P26309","S+LYT","YGL116W"
"846","P26321","S+LYT","YPL131W"
"847","P26343","S+LYT","YKR034W"
"848","P26364","S+LYT","YER170W"
"849","P26370","S+LYT","YDL170W"
"850","P26448","S+LYT","YMR055C"
"851","P26570","S+LYT","YML016C"
"852","P26637","S+LYT","YPL160W"
"853","P26754","S+LYT","YNL312W"
"854","P26783","S+LYT","YJR123W"
"855","P26784","S+LYT","YIL133C"
"856","P26785","S+LYT","YNL069C"
"857","P26786","S+LYT","YOR096W"
"858","P26793","S+LYT","YKL113C"
"859","P27351","S+LYT","YJR005W"
"860","P27466","S+LYT","YFR014C"
"861","P27476","S+LYT","YGR159C"
"862","P27514","S+LYT","YNR013C"
"863","P27515","S+LYT","YNR012W"
"864","P27614","S+LYT","YJL172W"
"865","P27616","S+LYT","YAR015W"
"866","P27636","S+LYT","YAR019C"
"867","P27637","S+LYT","YAR014C"
"868","P27680","S+LYT","YOL096C"
"869","P27692","S+LYT","YML010W"
"870","P27697","S+LYT","YGL119W"
"871","P27705","S+LYT","YGL035C"
"872","P27796","S+LYT","YIL160C"
"873","P27801","S+LYT","YLR148W"
"874","P27809","S+LYT","YDR483W"
"875","P27810","S+LYT","YOR099W"
"876","P27825","S+LYT","YAL058W"
"877","P27882","S+LYT","YGR029W"
"878","P27929","S+LYT","YNL137C"
"879","P27999","S+LYT","YGL070C"
"880","P28000","S+LYT","YNL113W"
"881","P28003","S+LYT","YAL034C"
"882","P28004","S+LYT","YAL032C"
"883","P28005","S+LYT","YAL033W"
"884","P28007","S+LYT","YHR089C"
"885","P28240","S+LYT","YER065C"
"886","P28241","S+LYT","YOR136W"
"887","P28263","S+LYT","YEL012W"
"888","P28272","S+LYT","YKL216W"
"889","P28273","S+LYT","YKL215C"
"890","P28274","S+LYT","YBL039C"
"891","P28320","S+LYT","YKL095W"
"892","P28321","S+LYT","YKL094W"
"893","P28495","S+LYT","YKL007W"
"894","P28496","S+LYT","YKL008C"
"895","P28519","S+LYT","YMR201C"
"896","P28584","S+LYT","YKR050W"
"897","P28625","S+LYT","YMR152W"
"898","P28627","S+LYT","YMR150C"
"899","P28707","S+LYT","YKL117W"
"900","P28708","S+LYT","YKL116C"
"901","P28737","S+LYT","YGR028W"
"902","P28742","S+LYT","YBL063W"
"903","P28743","S+LYT","YPL155C"
"904","P28777","S+LYT","YGL148W"
"905","P28778","S+LYT","YKL003C"
"906","P28789","S+LYT","YDL205C"
"907","P28791","S+LYT","YDR498C"
"908","P28795","S+LYT","YDR329C"
"909","P28817","S+LYT","YDR036C"
"910","P28834","S+LYT","YNL037C"
"911","P29029","S+LYT","YLR286C"
"912","P29055","S+LYT","YPR086W"
"913","P29056","S+LYT","YGR246C"
"914","P29295","S+LYT","YPL204W"
"915","P29311","S+LYT","YER177W"
"916","P29340","S+LYT","YGR133W"
"917","P29366","S+LYT","YBR200W"
"918","P29453","S+LYT","YLL045C"
"919","P29465","S+LYT","YBR023C"
"920","P29468","S+LYT","YKR002W"
"921","P29469","S+LYT","YBL023C"
"922","P29478","S+LYT","YML105C"
"923","P29496","S+LYT","YLR274W"
"924","P29509","S+LYT","YDR353W"
"925","P29547","S+LYT","YPL048W"
"926","P29703","S+LYT","YKL019W"
"927","P29704","S+LYT","YHR190W"
"928","P29952","S+LYT","YER003C"
"929","P30402","S+LYT","YMR271C"
"930","P30605","S+LYT","YDR497C"
"931","P30606","S+LYT","YOL103W"
"932","P30619","S+LYT","YDR164C"
"933","P30620","S+LYT","YMR137C"
"934","P30624","S+LYT","YOR317W"
"935","P30656","S+LYT","YPR103W"
"936","P30657","S+LYT","YFR050C"
"937","P30665","S+LYT","YPR019W"
"938","P30771","S+LYT","YMR080C"
"939","P30775","S+LYT","YGL143C"
"940","P30777","S+LYT","YGL142C"
"941","P30822","S+LYT","YGR218W"
"942","P30902","S+LYT","YKL016C"
"943","P30952","S+LYT","YNL117W"
"944","P31115","S+LYT","YFL001W"
"945","P31116","S+LYT","YJR139C"
"946","P31244","S+LYT","YBR114W"
"947","P31334","S+LYT","YGR220C"
"948","P31373","S+LYT","YAL012W"
"949","P31374","S+LYT","YAL017W"
"950","P31376","S+LYT","YAL011W"
"951","P31377","S+LYT","YAL014C"
"952","P31378","S+LYT","YAL015C"
"953","P31379","S+LYT","YAL018C"
"954","P31380","S+LYT","YAL019W"
"955","P31381","S+LYT","YAL022C"
"956","P31382","S+LYT","YAL023C"
"957","P31383","S+LYT","YAL016W"
"958","P31384","S+LYT","YAL021C"
"959","P31385","S+LYT","YAL013W"
"960","P31386","S+LYT","YAL020C"
"961","P31412","S+LYT","YKL080W"
"962","P31539","S+LYT","YLL026W"
"963","P31688","S+LYT","YDR074W"
"964","P31755","S+LYT","YGL038C"
"965","P31787","S+LYT","YGR037C"
"966","P32048","S+LYT","YNL073W"
"967","P32074","S+LYT","YNL287W"
"968","P32178","S+LYT","YPR060C"
"969","P32179","S+LYT","YOL064C"
"970","P32190","S+LYT","YHL032C"
"971","P32191","S+LYT","YIL155C"
"972","P32259","S+LYT","YNL236W"
"973","P32263","S+LYT","YER023W"
"974","P32264","S+LYT","YDR300C"
"975","P32266","S+LYT","YOR211C"
"976","P32288","S+LYT","YPR035W"
"977","P32316","S+LYT","YBL015W"
"978","P32317","S+LYT","YEL052W"
"979","P32318","S+LYT","YGR144W"
"980","P32319","S+LYT","YBL017C"
"981","P32324","S+LYT","YOR133W, YDR385W"
"982","P32325","S+LYT","YDR052C"
"983","P32327","S+LYT","YBR218C"
"984","P32328","S+LYT","YPR111W"
"985","P32329","S+LYT","YLR120C"
"986","P32330","S+LYT","YKL121W"
"987","P32331","S+LYT","YPR058W"
"988","P32332","S+LYT","YKL120W"
"989","P32333","S+LYT","YPL082C"
"990","P32334","S+LYT","YGR014W"
"991","P32335","S+LYT","YLR203C"
"992","P32336","S+LYT","YOR373W"
"993","P32337","S+LYT","YMR308C"
"994","P32338","S+LYT","YGR044C"
"995","P32339","S+LYT","YLR205C"
"996","P32341","S+LYT","YKL119C"
"997","P32342","S+LYT","YKL122C"
"998","P32345","S+LYT","YDR075W"
"999","P32347","S+LYT","YDR047W"
"1000","P32349","S+LYT","YPR190C"
"1001","P32350","S+LYT","YLL019C"
"1002","P32351","S+LYT","YIL154C"
"1003","P32352","S+LYT","YMR202W"
"1004","P32353","S+LYT","YLR056W"
"1005","P32354","S+LYT","YIL150C"
"1006","P32356","S+LYT","YDR001C"
"1007","P32361","S+LYT","YHR079C"
"1008","P32363","S+LYT","YPL175W"
"1009","P32366","S+LYT","YLR447C"
"1010","P32367","S+LYT","YBR123C"
"1011","P32368","S+LYT","YKL212W"
"1012","P32375","S+LYT","YIR027C"
"1013","P32377","S+LYT","YNR043W"
"1014","P32378","S+LYT","YNR041C"
"1015","P32379","S+LYT","YGR253C"
"1016","P32381","S+LYT","YDL029W"
"1017","P32383","S+LYT","YPL268W"
"1018","P32385","S+LYT","YLL046C"
"1019","P32386","S+LYT","YLL048C"
"1020","P32387","S+LYT","YDR405W"
"1021","P32388","S+LYT","YKL167C"
"1022","P32432","S+LYT","YLR403W"
"1023","P32445","S+LYT","YCR028C-A"
"1024","P32447","S+LYT","YJL115W"
"1025","P32449","S+LYT","YBR249C"
"1026","P32451","S+LYT","YGR286C"
"1027","P32452","S+LYT","YNL316C"
"1028","P32453","S+LYT","YNL315C"
"1029","P32454","S+LYT","YKL157W"
"1030","P32457","S+LYT","YLR314C"
"1031","P32458","S+LYT","YJR076C"
"1032","P32459","S+LYT","YIR032C"
"1033","P32460","S+LYT","YIR030C"
"1034","P32461","S+LYT","YKL191W"
"1035","P32462","S+LYT","YNL280C"
"1036","P32463","S+LYT","YKL192C"
"1037","P32464","S+LYT","YKL189W"
"1038","P32465","S+LYT","YHR094C"
"1039","P32466","S+LYT","YDR345C"
"1040","P32467","S+LYT","YHR092C"
"1041","P32468","S+LYT","YHR107C"
"1042","P32469","S+LYT","YLR172C"
"1043","P32471","S+LYT","YAL003W"
"1044","P32472","S+LYT","YDR519W"
"1045","P32473","S+LYT","YBR221C"
"1046","P32476","S+LYT","YGR175C"
"1047","P32477","S+LYT","YJL101C"
"1048","P32478","S+LYT","YJL159W"
"1049","P32479","S+LYT","YBL008W"
"1050","P32481","S+LYT","YER025W"
"1051","P32485","S+LYT","YLR113W"
"1052","P32486","S+LYT","YPR159W"
"1053","P32487","S+LYT","YNL268W"
"1054","P32490","S+LYT","YOR231W"
"1055","P32491","S+LYT","YPL140C"
"1056","P32494","S+LYT","YDR176W"
"1057","P32495","S+LYT","YDL208W"
"1058","P32496","S+LYT","YFR052W"
"1059","P32497","S+LYT","YMR309C"
"1060","P32499","S+LYT","YLR335W"
"1061","P32500","S+LYT","YML031W"
"1062","P32501","S+LYT","YDR211W"
"1063","P32502","S+LYT","YLR291C"
"1064","P32505","S+LYT","YGL122C"
"1065","P32521","S+LYT","YIR006C"
"1066","P32522","S+LYT","YLR067C"
"1067","P32523","S+LYT","YLL036C"
"1068","P32524","S+LYT","YJL203W"
"1069","P32525","S+LYT","YJL201W"
"1070","P32527","S+LYT","YGR285C"
"1071","P32528","S+LYT","YBR208C"
"1072","P32529","S+LYT","YJR063W"
"1073","P32558","S+LYT","YGL207W"
"1074","P32559","S+LYT","YMR023C"
"1075","P32561","S+LYT","YNL330C"
"1076","P32562","S+LYT","YMR001C"
"1077","P32563","S+LYT","YOR270C"
"1078","P32565","S+LYT","YIL075C"
"1079","P32566","S+LYT","YGR229C"
"1080","P32567","S+LYT","YMR165C"
"1081","P32568","S+LYT","YDR011W"
"1082","P32569","S+LYT","YER022W"
"1083","P32570","S+LYT","YBR253W"
"1084","P32571","S+LYT","YDR069C"
"1085","P32573","S+LYT","YNL202W"
"1086","P32579","S+LYT","YGL169W"
"1087","P32580","S+LYT","YPL029W"
"1088","P32581","S+LYT","YJL106W"
"1089","P32582","S+LYT","YGR155W"
"1090","P32583","S+LYT","YKR092C"
"1091","P32584","S+LYT","YDR410C"
"1092","P32585","S+LYT","YGR104C"
"1093","P32588","S+LYT","YNL016W"
"1094","P32589","S+LYT","YPL106C"
"1095","P32590","S+LYT","YBR169C"
"1096","P32591","S+LYT","YJL176C"
"1097","P32597","S+LYT","YIL126W"
"1098","P32598","S+LYT","YER133W"
"1099","P32599","S+LYT","YDR129C"
"1100","P32600","S+LYT","YKL203C"
"1101","P32601","S+LYT","YPR017C"
"1102","P32602","S+LYT","YBL050W"
"1103","P32603","S+LYT","YOR190W"
"1104","P32604","S+LYT","YJL155C"
"1105","P32605","S+LYT","YBR119W"
"1106","P32606","S+LYT","YOR017W"
"1107","P32607","S+LYT","YOL067C"
"1108","P32608","S+LYT","YGL252C"
"1109","P32609","S+LYT","YDR323C"
"1110","P32610","S+LYT","YEL051W"
"1111","P32611","S+LYT","YEL050C"
"1112","P32614","S+LYT","YEL047C"
"1113","P32617","S+LYT","YEL044W"
"1114","P32618","S+LYT","YEL043W"
"1115","P32621","S+LYT","YEL042W"
"1116","P32622","S+LYT","YEL041W"
"1117","P32623","S+LYT","YEL040W"
"1118","P32626","S+LYT","YEL038W"
"1119","P32628","S+LYT","YEL037C"
"1120","P32629","S+LYT","YEL036C"
"1121","P32639","S+LYT","YER172C"
"1122","P32641","S+LYT","YER173W"
"1123","P32642","S+LYT","YER174C"
"1124","P32643","S+LYT","YER175C"
"1125","P32656","S+LYT","YER163C"
"1126","P32657","S+LYT","YER164W"
"1127","P32660","S+LYT","YER166W"
"1128","P32767","S+LYT","YGL016W"
"1129","P32769","S+LYT","YKR084C"
"1130","P32770","S+LYT","YDL167C"
"1131","P32771","S+LYT","YDL168W"
"1132","P32773","S+LYT","YOR194C"
"1133","P32774","S+LYT","YKL058W"
"1134","P32775","S+LYT","YEL011W"
"1135","P32776","S+LYT","YDR311W"
"1136","P32783","S+LYT","YBR236C"
"1137","P32784","S+LYT","YBL011W"
"1138","P32785","S+LYT","YBL013W"
"1139","P32786","S+LYT","YBL014C"
"1140","P32787","S+LYT","YJR144W"
"1141","P32789","S+LYT","YBL009W"
"1142","P32790","S+LYT","YBL007C"
"1143","P32793","S+LYT","YHR016C"
"1144","P32794","S+LYT","YLR397C"
"1145","P32795","S+LYT","YPR024W"
"1146","P32796","S+LYT","YML042W"
"1147","P32798","S+LYT","YOR316C"
"1148","P32799","S+LYT","YGL191W"
"1149","P32800","S+LYT","YJL210W"
"1150","P32802","S+LYT","YLR083C"
"1151","P32803","S+LYT","YGL200C"
"1152","P32804","S+LYT","YGL255W"
"1153","P32806","S+LYT","YJL044C"
"1154","P32807","S+LYT","YMR284W"
"1155","P32829","S+LYT","YMR224C"
"1156","P32832","S+LYT","YMR091C"
"1157","P32833","S+LYT","YBR060C"
"1158","P32835","S+LYT","YLR293C"
"1159","P32836","S+LYT","YOR185C"
"1160","P32837","S+LYT","YDL210W"
"1161","P32838","S+LYT","YNR032W"
"1162","P32839","S+LYT","YDR375C"
"1163","P32842","S+LYT","YPL234C"
"1164","P32843","S+LYT","YMR302C"
"1165","P32844","S+LYT","YIL068C"
"1166","P32849","S+LYT","YLR032W"
"1167","P32854","S+LYT","YOR036W"
"1168","P32855","S+LYT","YPR055W"
"1169","P32857","S+LYT","YKL039W"
"1170","P32860","S+LYT","YKL040C"
"1171","P32861","S+LYT","YKL035W"
"1172","P32862","S+LYT","YKL038W"
"1173","P32863","S+LYT","YGL163C"
"1174","P32864","S+LYT","YOR370C"
"1175","P32867","S+LYT","YPL232W"
"1176","P32873","S+LYT","YPL115C"
"1177","P32875","S+LYT","YOR196C"
"1178","P32891","S+LYT","YDL174C"
"1179","P32892","S+LYT","YLL008W"
"1180","P32895","S+LYT","YKL181W"
"1181","P32896","S+LYT","YDR081C"
"1182","P32897","S+LYT","YNR017W"
"1183","P32898","S+LYT","YDR430C"
"1184","P32899","S+LYT","YHR148W"
"1185","P32901","S+LYT","YKR093W"
"1186","P32902","S+LYT","YHL004W"
"1187","P32904","S+LYT","YHR147C"
"1188","P32905","S+LYT","YGR214W"
"1189","P32906","S+LYT","YJR131W"
"1190","P32907","S+LYT","YNR002C"
"1191","P32908","S+LYT","YFL008W"
"1192","P32909","S+LYT","YBR172C"
"1193","P32910","S+LYT","YNR003C"
"1194","P32911","S+LYT","YNL244C"
"1195","P32912","S+LYT","YGL212W"
"1196","P32913","S+LYT","YOR132W"
"1197","P32914","S+LYT","YGR063C"
"1198","P32915","S+LYT","YLR378C"
"1199","P32916","S+LYT","YDR292C"
"1200","P32917","S+LYT","YDR103W"
"1201","P32939","S+LYT","YML001W"
"1202","P32944","S+LYT","YJL187C"
"1203","P33201","S+LYT","YKL009W"
"1204","P33202","S+LYT","YKL010C"
"1205","P33203","S+LYT","YKL012W"
"1206","P33204","S+LYT","YKL013C"
"1207","P33296","S+LYT","YER100W"
"1208","P33297","S+LYT","YOR117W"
"1209","P33298","S+LYT","YDR394W"
"1210","P33299","S+LYT","YKL145W"
"1211","P33300","S+LYT","YPL057C"
"1212","P33302","S+LYT","YOR153W"
"1213","P33303","S+LYT","YJR095W"
"1214","P33304","S+LYT","YDR085C"
"1215","P33307","S+LYT","YGL238W"
"1216","P33309","S+LYT","YNL001W"
"1217","P33310","S+LYT","YLR188W"
"1218","P33312","S+LYT","YBR153W"
"1219","P33313","S+LYT","YBR155W"
"1220","P33314","S+LYT","YKL092C"
"1221","P33317","S+LYT","YBR252W"
"1222","P33322","S+LYT","YLR175W"
"1223","P33324","S+LYT","YKL091C"
"1224","P33327","S+LYT","YDL215C"
"1225","P33328","S+LYT","YOR327C"
"1226","P33330","S+LYT","YOR184W"
"1227","P33331","S+LYT","YER009W"
"1228","P33332","S+LYT","YER008C"
"1229","P33333","S+LYT","YDL052C"
"1230","P33334","S+LYT","YHR165C"
"1231","P33335","S+LYT","YPR198W"
"1232","P33338","S+LYT","YNL243W"
"1233","P33339","S+LYT","YGR047C"
"1234","P33399","S+LYT","YDL051W"
"1235","P33400","S+LYT","YHL027W"
"1236","P33411","S+LYT","YGR006W"
"1237","P33412","S+LYT","YGR007W"
"1238","P33413","S+LYT","YHL016C"
"1239","P33416","S+LYT","YDR258C"
"1240","P33418","S+LYT","YKL205W"
"1241","P33421","S+LYT","YKL141W"
"1242","P33442","S+LYT","YLR441C"
"1243","P33734","S+LYT","YBR248C"
"1244","P33750","S+LYT","YLL011W"
"1245","P33751","S+LYT","YDR538W"
"1246","P33753","S+LYT","YKR056W"
"1247","P33754","S+LYT","YBR171W"
"1248","P33755","S+LYT","YBR170C"
"1249","P33759","S+LYT","YBR251W"
"1250","P33760","S+LYT","YNL329C"
"1251","P33767","S+LYT","YEL002C"
"1252","P33775","S+LYT","YDL095W"
"1253","P33892","S+LYT","YGL195W"
"1254","P33893","S+LYT","YBL080C"
"1255","P33895","S+LYT","YOL069W"
"1256","P34077","S+LYT","YFR002W"
"1257","P34078","S+LYT","YKL143W"
"1258","P34087","S+LYT","YDR404C"
"1259","P34110","S+LYT","YJL154C"
"1260","P34111","S+LYT","YAL001C"
"1261","P34160","S+LYT","YMR125W"
"1262","P34161","S+LYT","YML027W"
"1263","P34162","S+LYT","YHR041C"
"1264","P34163","S+LYT","YKL140W"
"1265","P34164","S+LYT","YGL208W"
"1266","P34167","S+LYT","YPR163C"
"1267","P34216","S+LYT","YBL047C"
"1268","P34217","S+LYT","YBL051C"
"1269","P34219","S+LYT","YBL054W"
"1270","P34220","S+LYT","YBL055C"
"1271","P34221","S+LYT","YBL056W"
"1272","P34222","S+LYT","YBL057C"
"1273","P34223","S+LYT","YBL058W"
"1274","P34225","S+LYT","YBL060W"
"1275","P34226","S+LYT","YBL061C"
"1276","P34227","S+LYT","YBL064C"
"1277","P34228","S+LYT","YBL066C"
"1278","P34230","S+LYT","YKL188C"
"1279","P34233","S+LYT","YKL185W"
"1280","P34234","S+LYT","YKL183W"
"1281","P34237","S+LYT","YKL179C"
"1282","P34240","S+LYT","YKL175W"
"1283","P34241","S+LYT","YKL014C"
"1284","P34243","S+LYT","YKL017C"
"1285","P34244","S+LYT","YKL101W"
"1286","P34246","S+LYT","YKL098W"
"1287","P34247","S+LYT","YKL099C"
"1288","P34248","S+LYT","YKL100C"
"1289","P34251","S+LYT","YKL107W"
"1290","P34253","S+LYT","YKL110C"
"1291","P34730","S+LYT","YDR099W"
"1292","P34756","S+LYT","YFR019W"
"1293","P34758","S+LYT","YOR329C"
"1294","P34760","S+LYT","YML028W"
"1295","P34761","S+LYT","YNL197C"
"1296","P34909","S+LYT","YER068W"
"1297","P35056","S+LYT","YDR244W"
"1298","P35127","S+LYT","YJR099W"
"1299","P35172","S+LYT","YBR001C"
"1300","P35177","S+LYT","YBR081C"
"1301","P35178","S+LYT","YDR087C"
"1302","P35179","S+LYT","YDR086C"
"1303","P35180","S+LYT","YGR082W"
"1304","P35181","S+LYT","YLR170C"
"1305","P35182","S+LYT","YDL006W"
"1306","P35183","S+LYT","YBL069W"
"1307","P35184","S+LYT","YIR012W"
"1308","P35187","S+LYT","YMR190C"
"1309","P35189","S+LYT","YPL129W"
"1310","P35190","S+LYT","YGL215W"
"1311","P35191","S+LYT","YFL016C"
"1312","P35194","S+LYT","YBL004W"
"1313","P35195","S+LYT","YBL001C"
"1314","P35196","S+LYT","YBR002C"
"1315","P35197","S+LYT","YDL226C"
"1316","P35198","S+LYT","YDR277C"
"1317","P35200","S+LYT","YLR168C"
"1318","P35201","S+LYT","YKL089W"
"1319","P35202","S+LYT","YOR143C"
"1320","P35207","S+LYT","YLR398C"
"1321","P35208","S+LYT","YJL127C"
"1322","P35210","S+LYT","YKL020C"
"1323","P35497","S+LYT","YJR159W"
"1324","P35688","S+LYT","YDL240W"
"1325","P35691","S+LYT","YKL056C"
"1326","P35718","S+LYT","YKL144C"
"1327","P35719","S+LYT","YKL142W"
"1328","P35724","S+LYT","YKL064W"
"1329","P35728","S+LYT","YKL059C"
"1330","P35731","S+LYT","YKL055C"
"1331","P35732","S+LYT","YKL054C"
"1332","P35734","S+LYT","YKL052C"
"1333","P35735","S+LYT","YKL051W"
"1334","P35736","S+LYT","YKL050C"
"1335","P35817","S+LYT","YLR399C"
"1336","P35842","S+LYT","YAR071W"
"1337","P35843","S+LYT","YOR237W"
"1338","P35844","S+LYT","YPL145C"
"1339","P35845","S+LYT","YAR042W"
"1340","P35996","S+LYT","YKL170W"
"1341","P35997","S+LYT","YKL156W"
"1342","P35999","S+LYT","YKL134C"
"1343","P36000","S+LYT","YKL135C"
"1344","P36001","S+LYT","YKL132C"
"1345","P36007","S+LYT","YKL218C"
"1346","P36008","S+LYT","YKL081W"
"1347","P36009","S+LYT","YKL078W"
"1348","P36010","S+LYT","YKL067W"
"1349","P36013","S+LYT","YKL029C"
"1350","P36015","S+LYT","YKL196C"
"1351","P36016","S+LYT","YKL073W"
"1352","P36017","S+LYT","YOR089C"
"1353","P36022","S+LYT","YKR054C"
"1354","P36023","S+LYT","YKR064W"
"1355","P36024","S+LYT","YKR072C"
"1356","P36032","S+LYT","YKL221W"
"1357","P36033","S+LYT","YKL220C"
"1358","P36035","S+LYT","YKL217W"
"1359","P36037","S+LYT","YKL213C"
"1360","P36039","S+LYT","YKL207W"
"1361","P36040","S+LYT","YKL206C"
"1362","P36044","S+LYT","YKL201C"
"1363","P36046","S+LYT","YKL195W"
"1364","P36047","S+LYT","YKL193C"
"1365","P36048","S+LYT","YKL173W"
"1366","P36049","S+LYT","YKL172W"
"1367","P36051","S+LYT","YKL165C"
"1368","P36052","S+LYT","YKL162C"
"1369","P36053","S+LYT","YKL160W"
"1370","P36056","S+LYT","YKL155C"
"1371","P36057","S+LYT","YKL154W"
