Orthogroup	S.cerevisiae	L.starkeyi	T.caseinolytica	Y.lipo-CLIB122
OG0000269	P36110, P47032		Tortispora_caseinolytica@Seq_371, Tortispora_caseinolytica@Seq_4018	tr|Q6C9V2|Q6C9V2_YARLI, tr|Q6CA40|Q6CA40_YARLI
OG0000270	P32338		Tortispora_caseinolytica@Seq_4089	tr|Q6C244|Q6C244_YARLI, tr|Q6C595|Q6C595_YARLI, tr|Q6C5K7|Q6C5K7_YARLI, tr|Q6CH39|Q6CH39_YARLI
OG0000271	P02407, P14127	tr|A0A1E3Q391|A0A1E3Q391_LIPST, tr|A0A1E3QAB1|A0A1E3QAB1_LIPST	Tortispora_caseinolytica@Seq_2500	tr|Q6C1P8|Q6C1P8_YARLI
OG0000272	P32844	tr|A0A1E3Q7W6|A0A1E3Q7W6_LIPST, tr|A0A1E3Q807|A0A1E3Q807_LIPST	Tortispora_caseinolytica@Seq_3996	tr|Q6C628|Q6C628_YARLI, tr|Q6C9T6|Q6C9T6_YARLI
OG0000273	Q12204	tr|A0A1E3PZ50|A0A1E3PZ50_LIPST, tr|A0A1E3QAI8|A0A1E3QAI8_LIPST	Tortispora_caseinolytica@Seq_2322	tr|Q6C3H4|Q6C3H4_YARLI, tr|Q6CFK7|Q6CFK7_YARLI
OG0000274	P53329, Q03559	tr|A0A1E3QCW1|A0A1E3QCW1_LIPST	Tortispora_caseinolytica@Seq_3549, Tortispora_caseinolytica@Seq_728	tr|Q6CFP9|Q6CFP9_YARLI
OG0000275	P12688, P18961	tr|A0A1E3QBS8|A0A1E3QBS8_LIPST	Tortispora_caseinolytica@Seq_3846	tr|Q6C6T3|Q6C6T3_YARLI, tr|Q6CD34|Q6CD34_YARLI
OG0000276	Q12424	tr|A0A1E3PYS0|A0A1E3PYS0_LIPST, tr|A0A1E3Q2W0|A0A1E3Q2W0_LIPST	Tortispora_caseinolytica@Seq_2856	tr|Q6C1A1|Q6C1A1_YARLI, tr|Q6C8W2|Q6C8W2_YARLI
OG0000277	P53981	tr|A0A1E3Q748|A0A1E3Q748_LIPST, tr|A0A1E3Q863|A0A1E3Q863_LIPST	Tortispora_caseinolytica@Seq_2753, Tortispora_caseinolytica@Seq_2950	tr|Q6CF90|Q6CF90_YARLI
OG0000278	Q05131	tr|A0A1E3PW80|A0A1E3PW80_LIPST, tr|A0A1E3Q9K3|A0A1E3Q9K3_LIPST	Tortispora_caseinolytica@Seq_96	tr|Q6C170|Q6C170_YARLI, tr|Q6CF22|Q6CF22_YARLI
OG0000279	P38776	tr|A0A1E3PW36|A0A1E3PW36_LIPST, tr|A0A1E3Q1T1|A0A1E3Q1T1_LIPST	Tortispora_caseinolytica@Seq_3150	tr|Q6C1S6|Q6C1S6_YARLI, tr|Q6CGJ0|Q6CGJ0_YARLI
OG0000280	P38848, Q03370	tr|A0A1E3QAA2|A0A1E3QAA2_LIPST	Tortispora_caseinolytica@Seq_2624	tr|F2Z6I0|F2Z6I0_YARLI, tr|Q6C135|Q6C135_YARLI
OG0000281	P61830	tr|A0A1E3Q0Z0|A0A1E3Q0Z0_LIPST, tr|A0A1E3Q4W7|A0A1E3Q4W7_LIPST	Tortispora_caseinolytica@Seq_1808	sp|Q6C0C4|H3_YARLI, sp|Q6CER9|CENPA_YARLI
OG0000282	P53109, Q12209	tr|A0A1E3QCT0|A0A1E3QCT0_LIPST	Tortispora_caseinolytica@Seq_2210	sp|Q6C188|AIM14_YARLI, tr|Q6CEA2|Q6CEA2_YARLI
OG0000283	P25641	tr|A0A1E3QBF8|A0A1E3QBF8_LIPST, tr|A0A1E3QF63|A0A1E3QF63_LIPST, tr|A0A1E3QFC7|A0A1E3QFC7_LIPST	Tortispora_caseinolytica@Seq_1885	sp|Q6C2N7|ATG15_YARLI
OG0000284	P53983, P54074	tr|A0A1E3QAF8|A0A1E3QAF8_LIPST, tr|A0A1E3QCI6|A0A1E3QCI6_LIPST	Tortispora_caseinolytica@Seq_964	tr|Q6C5F9|Q6C5F9_YARLI
OG0000285	P15790, P19454	tr|A0A1E3Q523|A0A1E3Q523_LIPST	Tortispora_caseinolytica@Seq_2797	tr|Q6C8U8|Q6C8U8_YARLI, tr|Q6CE43|Q6CE43_YARLI
OG0000286	P20604, P32345	tr|A0A1E3Q107|A0A1E3Q107_LIPST, tr|A0A1E3QA80|A0A1E3QA80_LIPST	Tortispora_caseinolytica@Seq_3489	tr|Q6C264|Q6C264_YARLI
OG0000287	P14747, P23287	tr|A0A1E3QGN6|A0A1E3QGN6_LIPST	Tortispora_caseinolytica@Seq_848	tr|Q6C5D3|Q6C5D3_YARLI, tr|Q6CHY9|Q6CHY9_YARLI
OG0000288	P43553, Q08269	tr|A0A1E3QHX7|A0A1E3QHX7_LIPST	Tortispora_caseinolytica@Seq_142	tr|Q6C7J0|Q6C7J0_YARLI, tr|Q6CAS6|Q6CAS6_YARLI
OG0000289	P53868	tr|A0A1E3QDS3|A0A1E3QDS3_LIPST, tr|A0A1E3QE22|A0A1E3QE22_LIPST	Tortispora_caseinolytica@Seq_4003	tr|Q6C0C3|Q6C0C3_YARLI, tr|Q6C483|Q6C483_YARLI
OG0000290	P39721	tr|A0A1E3PUJ3|A0A1E3PUJ3_LIPST, tr|A0A1E3QB40|A0A1E3QB40_LIPST, tr|A0A1E3QF23|A0A1E3QF23_LIPST	Tortispora_caseinolytica@Seq_2281	tr|Q6BZV7|Q6BZV7_YARLI
OG0000291	P14904	tr|A0A1E3Q2C1|A0A1E3Q2C1_LIPST, tr|A0A1E3Q8P5|A0A1E3Q8P5_LIPST	Tortispora_caseinolytica@Seq_2543	tr|Q6C0Z2|Q6C0Z2_YARLI, tr|Q6CCD1|Q6CCD1_YARLI
OG0000292	Q02804	tr|A0A1E3PV64|A0A1E3PV64_LIPST	Tortispora_caseinolytica@Seq_1124, Tortispora_caseinolytica@Seq_2645, Tortispora_caseinolytica@Seq_509	tr|Q6CAG2|Q6CAG2_YARLI
OG0000293	P05744, P41056	tr|A0A1E3PWV7|A0A1E3PWV7_LIPST	Tortispora_caseinolytica@Seq_3406	tr|Q6BZR8|Q6BZR8_YARLI, tr|Q6C3V0|Q6C3V0_YARLI
OG0000294		tr|A0A1E3PY87|A0A1E3PY87_LIPST, tr|A0A1E3QF55|A0A1E3QF55_LIPST	Tortispora_caseinolytica@Seq_132, Tortispora_caseinolytica@Seq_2651	tr|Q6CBE0|Q6CBE0_YARLI, tr|Q6CBT5|Q6CBT5_YARLI
OG0000295		tr|A0A1E3PVL3|A0A1E3PVL3_LIPST, tr|A0A1E3PZI3|A0A1E3PZI3_LIPST, tr|A0A1E3Q183|A0A1E3Q183_LIPST	Tortispora_caseinolytica@Seq_525	tr|Q6C659|Q6C659_YARLI, tr|Q6C7G4|Q6C7G4_YARLI
OG0000296		tr|A0A1E3PXN1|A0A1E3PXN1_LIPST, tr|A0A1E3Q701|A0A1E3Q701_LIPST, tr|A0A1E3QCC6|A0A1E3QCC6_LIPST, tr|A0A1E3QCF8|A0A1E3QCF8_LIPST	Tortispora_caseinolytica@Seq_28	tr|Q6CDL1|Q6CDL1_YARLI
OG0000297		tr|A0A1E3PY48|A0A1E3PY48_LIPST, tr|A0A1E3Q6R4|A0A1E3Q6R4_LIPST, tr|A0A1E3Q6V5|A0A1E3Q6V5_LIPST	Tortispora_caseinolytica@Seq_2474, Tortispora_caseinolytica@Seq_670	tr|Q6CBE6|Q6CBE6_YARLI
OG0000298		tr|A0A1E3PUH2|A0A1E3PUH2_LIPST, tr|A0A1E3QA49|A0A1E3QA49_LIPST	Tortispora_caseinolytica@Seq_3259, Tortispora_caseinolytica@Seq_3854	tr|Q6CCP7|Q6CCP7_YARLI, tr|Q6CDG8|Q6CDG8_YARLI
OG0000299		tr|A0A1E3Q284|A0A1E3Q284_LIPST	Tortispora_caseinolytica@Seq_4171	tr|Q6CBW6|Q6CBW6_YARLI, tr|Q6CDC6|Q6CDC6_YARLI, tr|Q6CGY7|Q6CGY7_YARLI, tr|Q6CGZ8|Q6CGZ8_YARLI
OG0000300		tr|A0A1E3QE50|A0A1E3QE50_LIPST	Tortispora_caseinolytica@Seq_3804	tr|Q6CC69|Q6CC69_YARLI, tr|Q6CFF8|Q6CFF8_YARLI, tr|Q6CFK8|Q6CFK8_YARLI, tr|Q6CH97|Q6CH97_YARLI
OG0000301	P38212, Q03446	tr|A0A1E3PWW9|A0A1E3PWW9_LIPST, tr|A0A1E3QEF2|A0A1E3QEF2_LIPST		tr|Q6C5L1|Q6C5L1_YARLI
OG0000302	P02400, P05319	tr|A0A1E3PWL7|A0A1E3PWL7_LIPST	Tortispora_caseinolytica@Seq_884	tr|Q6C2R2|Q6C2R2_YARLI
OG0000303	P38344, Q06709	tr|A0A1E3Q049|A0A1E3Q049_LIPST	Tortispora_caseinolytica@Seq_3204	tr|Q6CFB1|Q6CFB1_YARLI
OG0000304	P0CX27, P0CX28	tr|A0A1E3QI89|A0A1E3QI89_LIPST	Tortispora_caseinolytica@Seq_891	sp|Q6CFS7|RL44_YARLI
OG0000305	P13298, P30402	tr|A0A1E3QG46|A0A1E3QG46_LIPST	Tortispora_caseinolytica@Seq_1165	sp|P41923|PYRE_YARLI
OG0000306	P35196	tr|A0A1E3Q0V6|A0A1E3Q0V6_LIPST	Tortispora_caseinolytica@Seq_2793	tr|Q6C8R7|Q6C8R7_YARLI, tr|Q6CBH1|Q6CBH1_YARLI
OG0000307	P16664	tr|A0A1E3Q3A3|A0A1E3Q3A3_LIPST	Tortispora_caseinolytica@Seq_1389	tr|Q6BZZ5|Q6BZZ5_YARLI, tr|Q6C7L7|Q6C7L7_YARLI
OG0000308	Q12090	tr|A0A1E3Q8E8|A0A1E3Q8E8_LIPST	Tortispora_caseinolytica@Seq_2580, Tortispora_caseinolytica@Seq_3927	sp|Q6CFE7|REXO3_YARLI
OG0000309	P06780	tr|A0A1E3QG39|A0A1E3QG39_LIPST	Tortispora_caseinolytica@Seq_3667	tr|Q6C4X3|Q6C4X3_YARLI, tr|Q6CAP4|Q6CAP4_YARLI
OG0000310	Q02753, Q12672	tr|A0A1E3QBG7|A0A1E3QBG7_LIPST	Tortispora_caseinolytica@Seq_383	tr|Q6C2S6|Q6C2S6_YARLI
OG0000311	P0CX41, P0CX42	tr|A0A1E3QE75|A0A1E3QE75_LIPST	Tortispora_caseinolytica@Seq_4420	tr|Q6C9L1|Q6C9L1_YARLI
OG0000312	P0C2H8, P0C2H9	tr|A0A1E3Q0X6|A0A1E3Q0X6_LIPST	Tortispora_caseinolytica@Seq_2385	tr|Q6C4Q8|Q6C4Q8_YARLI
OG0000313	P05739, Q02326	tr|A0A1E3PYK7|A0A1E3PYK7_LIPST	Tortispora_caseinolytica@Seq_3133	tr|Q6C4C8|Q6C4C8_YARLI
OG0000314	P05738, P51401	tr|A0A1E3QC42|A0A1E3QC42_LIPST	Tortispora_caseinolytica@Seq_4107	tr|Q6C477|Q6C477_YARLI
OG0000315	P0CX23, P0CX24	tr|A0A1E3PWM5|A0A1E3PWM5_LIPST	Tortispora_caseinolytica@Seq_837	tr|Q6C0J5|Q6C0J5_YARLI
OG0000316	P0C2H6, P0C2H7	tr|A0A1E3Q303|A0A1E3Q303_LIPST	Tortispora_caseinolytica@Seq_3230	tr|Q6CFL3|Q6CFL3_YARLI
OG0000317	P05743, P53221	tr|A0A1E3QHR9|A0A1E3QHR9_LIPST	Tortispora_caseinolytica@Seq_914	tr|Q6C540|Q6C540_YARLI
OG0000318	P0CX45, P0CX46	tr|A0A1E3PUU0|A0A1E3PUU0_LIPST	Tortispora_caseinolytica@Seq_2680	tr|Q6C0H1|Q6C0H1_YARLI
OG0000319	P38732, Q08961	tr|A0A1E3PXR7|A0A1E3PXR7_LIPST	Tortispora_caseinolytica@Seq_3282	tr|Q6C3J1|Q6C3J1_YARLI
OG0000320	P26784, P26785	tr|A0A1E3Q8E0|A0A1E3Q8E0_LIPST	Tortispora_caseinolytica@Seq_2490	tr|Q6CCI0|Q6CCI0_YARLI
OG0000321	P53832, P54867	tr|A0A1E3PXV1|A0A1E3PXV1_LIPST	Tortispora_caseinolytica@Seq_1854	tr|Q6CGU2|Q6CGU2_YARLI
OG0000322	P38128, Q12224	tr|A0A1E3QGX8|A0A1E3QGX8_LIPST	Tortispora_caseinolytica@Seq_4132	tr|Q6C168|Q6C168_YARLI
OG0000323	P32568, Q02785	tr|A0A1E3PX53|A0A1E3PX53_LIPST, tr|A0A1E3Q5E4|A0A1E3Q5E4_LIPST		tr|Q6C1A3|Q6C1A3_YARLI
OG0000324	P38789, Q12153	tr|A0A1E3Q0W5|A0A1E3Q0W5_LIPST	Tortispora_caseinolytica@Seq_557	tr|Q6CH57|Q6CH57_YARLI
OG0000325	P38704, Q00947	tr|A0A1E3PV54|A0A1E3PV54_LIPST	Tortispora_caseinolytica@Seq_3087	tr|Q6C4N8|Q6C4N8_YARLI
OG0000326	P16965, Q06177	tr|A0A1E3Q558|A0A1E3Q558_LIPST	Tortispora_caseinolytica@Seq_4182	tr|Q6CCV3|Q6CCV3_YARLI
OG0000327	P32597	tr|A0A1E3Q3T7|A0A1E3Q3T7_LIPST	Tortispora_caseinolytica@Seq_530	tr|Q6C828|Q6C828_YARLI, tr|Q6CDE1|Q6CDE1_YARLI
OG0000328	P36085, P46679	tr|A0A1E3Q1A3|A0A1E3Q1A3_LIPST	Tortispora_caseinolytica@Seq_1045	tr|Q6C6F5|Q6C6F5_YARLI
OG0000329	P38163, Q12038	tr|A0A1E3QGV6|A0A1E3QGV6_LIPST	Tortispora_caseinolytica@Seq_2952	tr|Q6C8J6|Q6C8J6_YARLI
OG0000330	P11484, P40150	tr|A0A1E3Q3F6|A0A1E3Q3F6_LIPST	Tortispora_caseinolytica@Seq_2499	tr|Q6CIA7|Q6CIA7_YARLI
OG0000331	P25390, P53599	tr|A0A1E3Q2U3|A0A1E3Q2U3_LIPST	Tortispora_caseinolytica@Seq_1576	tr|Q6CHT2|Q6CHT2_YARLI
OG0000332	P38359, Q12325	tr|A0A1E3QCD7|A0A1E3QCD7_LIPST	Tortispora_caseinolytica@Seq_1865	tr|Q6CE75|Q6CE75_YARLI
OG0000333	P25567, Q12034	tr|A0A1E3Q5N4|A0A1E3Q5N4_LIPST	Tortispora_caseinolytica@Seq_1994	tr|Q6CCG7|Q6CCG7_YARLI
OG0000334	P41930	tr|A0A1E3PW54|A0A1E3PW54_LIPST, tr|A0A1E3QCK3|A0A1E3QCK3_LIPST	Tortispora_caseinolytica@Seq_4331	tr|Q6C4S2|Q6C4S2_YARLI
OG0000335	P35198, Q02794	tr|A0A1E3Q884|A0A1E3Q884_LIPST	Tortispora_caseinolytica@Seq_1586	tr|W0TYN7|W0TYN7_YARLI
OG0000336	Q05937, Q07351	tr|A0A1E3QBU0|A0A1E3QBU0_LIPST	Tortispora_caseinolytica@Seq_3566	tr|Q6CFN1|Q6CFN1_YARLI
OG0000337	P32832, P43554	tr|A0A1E3Q7J4|A0A1E3Q7J4_LIPST	Tortispora_caseinolytica@Seq_1340	tr|Q6CC56|Q6CC56_YARLI
OG0000338	P0CX25, P0CX26	tr|A0A1E3Q5F1|A0A1E3Q5F1_LIPST	Tortispora_caseinolytica@Seq_1021	tr|Q6C3I3|Q6C3I3_YARLI
OG0000339	Q07800, Q07949	tr|A0A1E3QC82|A0A1E3QC82_LIPST	Tortispora_caseinolytica@Seq_149	tr|Q6C9F0|Q6C9F0_YARLI
OG0000340	P32857, P38745	tr|A0A1E3QCZ0|A0A1E3QCZ0_LIPST	Tortispora_caseinolytica@Seq_2677	tr|Q6CGI7|Q6CGI7_YARLI
OG0000341	P0CX84, P0CX85	tr|A0A1E3QDA6|A0A1E3QDA6_LIPST	Tortispora_caseinolytica@Seq_2708	tr|Q6CHD7|Q6CHD7_YARLI
OG0000342	P39955, P40328	tr|A0A1E3Q7I8|A0A1E3Q7I8_LIPST	Tortispora_caseinolytica@Seq_3931	tr|Q6CDV8|Q6CDV8_YARLI
OG0000343	P23833, P38072	tr|A0A1E3PX89|A0A1E3PX89_LIPST	Tortispora_caseinolytica@Seq_3543	tr|Q6C4X1|Q6C4X1_YARLI
OG0000344	P40025, P53078	tr|A0A1E3PUE7|A0A1E3PUE7_LIPST	Tortispora_caseinolytica@Seq_2476	tr|Q6C090|Q6C090_YARLI
OG0000345	P53836, Q06315	tr|A0A1E3QBF4|A0A1E3QBF4_LIPST	Tortispora_caseinolytica@Seq_397	tr|Q6C0S3|Q6C0S3_YARLI
OG0000346	P48562, Q12469	tr|A0A1E3Q3J2|A0A1E3Q3J2_LIPST	Tortispora_caseinolytica@Seq_2153	tr|F2Z617|F2Z617_YARLI
OG0000347	P40485, P53955	tr|A0A1E3PXF7|A0A1E3PXF7_LIPST	Tortispora_caseinolytica@Seq_4457	tr|Q6C9T4|Q6C9T4_YARLI
OG0000348	Q08204	tr|A0A1E3QES8|A0A1E3QES8_LIPST	Tortispora_caseinolytica@Seq_321	tr|Q6C5K8|Q6C5K8_YARLI, tr|Q6CI53|Q6CI53_YARLI
OG0000349	P33328	tr|A0A1E3PW95|A0A1E3PW95_LIPST	Tortispora_caseinolytica@Seq_1452	tr|Q6C7I4|Q6C7I4_YARLI, tr|Q6CHZ4|Q6CHZ4_YARLI
OG0000350	P06700, P53685	tr|A0A1E3QBL7|A0A1E3QBL7_LIPST	Tortispora_caseinolytica@Seq_1280	tr|Q6C219|Q6C219_YARLI
OG0000351	Q12749	tr|A0A1E3Q8A1|A0A1E3Q8A1_LIPST	Tortispora_caseinolytica@Seq_3375	tr|Q6C360|Q6C360_YARLI, tr|W0TYQ3|W0TYQ3_YARLI
OG0000352	P32909, Q02875	tr|A0A1E3QCL1|A0A1E3QCL1_LIPST	Tortispora_caseinolytica@Seq_746	tr|Q6C621|Q6C621_YARLI
OG0000353	P17121, Q12128	tr|A0A1E3QFD2|A0A1E3QFD2_LIPST	Tortispora_caseinolytica@Seq_1394	tr|Q6C964|Q6C964_YARLI
OG0000354	P40482, P53953	tr|A0A1E3Q8V4|A0A1E3Q8V4_LIPST	Tortispora_caseinolytica@Seq_3631	sp|Q6C2T4|SEC24_YARLI
OG0000355	P35207	tr|A0A1E3PV73|A0A1E3PV73_LIPST	Tortispora_caseinolytica@Seq_2025	tr|Q6CH23|Q6CH23_YARLI, tr|Q6CH67|Q6CH67_YARLI
OG0000356	P40072	tr|A0A1E3PV91|A0A1E3PV91_LIPST	Tortispora_caseinolytica@Seq_3695	tr|Q6C9J9|Q6C9J9_YARLI, tr|Q6CG78|Q6CG78_YARLI
OG0000357	P47052, Q00711	tr|A0A1E3PX90|A0A1E3PX90_LIPST	Tortispora_caseinolytica@Seq_614	tr|Q6C9G6|Q6C9G6_YARLI
OG0000358	Q12158	tr|A0A1E3PWB0|A0A1E3PWB0_LIPST, tr|A0A1E3QEL6|A0A1E3QEL6_LIPST	Tortispora_caseinolytica@Seq_1879	tr|Q6CFB9|Q6CFB9_YARLI
OG0000359	P40075, Q6Q595	tr|A0A1E3Q387|A0A1E3Q387_LIPST		tr|Q6CA74|Q6CA74_YARLI, tr|Q6CA78|Q6CA78_YARLI
OG0000360	P53969	tr|A0A1E3PYV5|A0A1E3PYV5_LIPST	Tortispora_caseinolytica@Seq_296	tr|Q6CAA3|Q6CAA3_YARLI, tr|Q6CCS3|Q6CCS3_YARLI
OG0000361	P53334, Q04951	tr|A0A1E3Q1Y3|A0A1E3Q1Y3_LIPST	Tortispora_caseinolytica@Seq_3559	tr|Q6C8C9|Q6C8C9_YARLI
OG0000362	P38314, P53172	tr|A0A1E3QID9|A0A1E3QID9_LIPST	Tortispora_caseinolytica@Seq_416	sp|Q6C5K4|SDS23_YARLI
OG0000363	P33332	tr|A0A1E3Q383|A0A1E3Q383_LIPST	Tortispora_caseinolytica@Seq_3070	tr|Q6C0U5|Q6C0U5_YARLI, tr|Q6CBS6|Q6CBS6_YARLI
OG0000364	P23776, P32603	tr|A0A1E3Q9N6|A0A1E3Q9N6_LIPST	Tortispora_caseinolytica@Seq_4031	sp|Q12725|EXG_YARLI
OG0000365	P36123, P40856	tr|A0A1E3Q9U0|A0A1E3Q9U0_LIPST	Tortispora_caseinolytica@Seq_70	tr|Q6C206|Q6C206_YARLI
OG0000366	P38717, P38851	tr|A0A1E3QCF4|A0A1E3QCF4_LIPST	Tortispora_caseinolytica@Seq_1163	tr|Q6CHH1|Q6CHH1_YARLI
OG0000367	P53285, Q06466	tr|A0A1E3PU13|A0A1E3PU13_LIPST	Tortispora_caseinolytica@Seq_1547	tr|Q6C6U8|Q6C6U8_YARLI
OG0000368	P48231, Q12466	tr|A0A1E3Q681|A0A1E3Q681_LIPST	Tortispora_caseinolytica@Seq_3829	tr|Q6C3Y8|Q6C3Y8_YARLI
OG0000369	Q03761	tr|A0A1E3PUP5|A0A1E3PUP5_LIPST, tr|A0A1E3Q7S1|A0A1E3Q7S1_LIPST	Tortispora_caseinolytica@Seq_2775	tr|Q6CD69|Q6CD69_YARLI
OG0000370	P36115, P47030	tr|A0A1E3Q9K1|A0A1E3Q9K1_LIPST	Tortispora_caseinolytica@Seq_3302	sp|Q6C449|IRS4_YARLI
OG0000371	Q99190	tr|A0A1E3Q0N4|A0A1E3Q0N4_LIPST, tr|A0A1E3Q539|A0A1E3Q539_LIPST	Tortispora_caseinolytica@Seq_1866	tr|Q6CHU1|Q6CHU1_YARLI
OG0000372	Q03785, Q12505	tr|A0A1E3QBC2|A0A1E3QBC2_LIPST	Tortispora_caseinolytica@Seq_2107	tr|Q6CFB5|Q6CFB5_YARLI
OG0000373	P36101, P38756	tr|A0A1E3Q1I6|A0A1E3Q1I6_LIPST	Tortispora_caseinolytica@Seq_3700	tr|Q6C125|Q6C125_YARLI
OG0000374	P42883, P43534, P47183, Q07748	tr|A0A1E3PXM1|A0A1E3PXM1_LIPST		
OG0000375	P53929, Q12415	tr|A0A1E3Q8T0|A0A1E3Q8T0_LIPST	Tortispora_caseinolytica@Seq_2093	tr|Q6C0R4|Q6C0R4_YARLI
OG0000376	P43625, P43634, P47988	tr|A0A1E3PVH6|A0A1E3PVH6_LIPST	Tortispora_caseinolytica@Seq_3094	
OG0000377	P06634, P24784	tr|A0A1E3Q139|A0A1E3Q139_LIPST	Tortispora_caseinolytica@Seq_2494	sp|Q6CB69|DED1_YARLI
OG0000378	Q12091	tr|A0A1E3PYI1|A0A1E3PYI1_LIPST, tr|A0A1E3QFP7|A0A1E3QFP7_LIPST		tr|Q6C4S6|Q6C4S6_YARLI, tr|Q6CGC8|Q6CGC8_YARLI
OG0000379	Q06151, Q12123	tr|A0A1E3PYG9|A0A1E3PYG9_LIPST	Tortispora_caseinolytica@Seq_626	tr|Q6BZT0|Q6BZT0_YARLI
OG0000380	P22204, P32328	tr|A0A1E3PWN4|A0A1E3PWN4_LIPST	Tortispora_caseinolytica@Seq_2121	tr|Q6CEN9|Q6CEN9_YARLI
OG0000381	P00044, P00045	tr|A0A1E3Q0Y5|A0A1E3Q0Y5_LIPST	Tortispora_caseinolytica@Seq_1303	sp|Q6C9Q0|CYC_YARLI
OG0000382	P25628, P53629	tr|A0A1E3QD40|A0A1E3QD40_LIPST	Tortispora_caseinolytica@Seq_1912	tr|Q6C2M6|Q6C2M6_YARLI
OG0000383	P32660, Q12675	tr|A0A1E3QCR0|A0A1E3QCR0_LIPST	Tortispora_caseinolytica@Seq_845	tr|Q6CDH4|Q6CDH4_YARLI
OG0000384	P38891, P47176	tr|A0A1E3QC12|A0A1E3QC12_LIPST	Tortispora_caseinolytica@Seq_3546	tr|Q6CAN4|Q6CAN4_YARLI
OG0000385	Q12186	tr|A0A1E3Q552|A0A1E3Q552_LIPST	Tortispora_caseinolytica@Seq_2239	sp|Q6C187|BBP_YARLI, tr|Q6CCZ3|Q6CCZ3_YARLI
OG0000386	P38346, P47041	tr|A0A1E3QD28|A0A1E3QD28_LIPST	Tortispora_caseinolytica@Seq_1342	tr|Q6BZW5|Q6BZW5_YARLI
OG0000387	P38041, P39969	tr|A0A1E3Q6H5|A0A1E3Q6H5_LIPST	Tortispora_caseinolytica@Seq_1357	tr|Q6C9X3|Q6C9X3_YARLI
OG0000388	P39713, P39714	tr|A0A1E3Q5D6|A0A1E3Q5D6_LIPST	Tortispora_caseinolytica@Seq_1814, Tortispora_caseinolytica@Seq_4246	
OG0000389	Q05029, Q08754	tr|A0A1E3PYP6|A0A1E3PYP6_LIPST	Tortispora_caseinolytica@Seq_3343	tr|Q6CDA2|Q6CDA2_YARLI
OG0000390	P36107	tr|A0A1E3QCR6|A0A1E3QCR6_LIPST, tr|A0A1E3QEN3|A0A1E3QEN3_LIPST	Tortispora_caseinolytica@Seq_1436	tr|Q6C5P1|Q6C5P1_YARLI
OG0000391	P31386	tr|A0A1E3QAP1|A0A1E3QAP1_LIPST	Tortispora_caseinolytica@Seq_1917, Tortispora_caseinolytica@Seq_4238	tr|Q6C3R9|Q6C3R9_YARLI
OG0000392	P81449	tr|A0A1E3Q940|A0A1E3Q940_LIPST	Tortispora_caseinolytica@Seq_3844	tr|B5FVG3|B5FVG3_YARLI, tr|Q6C260|Q6C260_YARLI
OG0000393	P38623, P39009	tr|A0A1E3Q9Z2|A0A1E3Q9Z2_LIPST	Tortispora_caseinolytica@Seq_3362	tr|Q6C5Z7|Q6C5Z7_YARLI
OG0000394	P33413	tr|A0A1E3Q0B5|A0A1E3Q0B5_LIPST	Tortispora_caseinolytica@Seq_3749	tr|Q6CBT1|Q6CBT1_YARLI, tr|Q6CFS8|Q6CFS8_YARLI
OG0000395	P38428, Q04201	tr|A0A1E3PYW2|A0A1E3PYW2_LIPST	Tortispora_caseinolytica@Seq_171	tr|Q6C131|Q6C131_YARLI
OG0000396	P53202	tr|A0A1E3PXB3|A0A1E3PXB3_LIPST, tr|A0A1E3Q970|A0A1E3Q970_LIPST	Tortispora_caseinolytica@Seq_479	tr|Q6CFU9|Q6CFU9_YARLI
OG0000397	P32528	tr|A0A1E3Q1Z3|A0A1E3Q1Z3_LIPST	Tortispora_caseinolytica@Seq_992	tr|Q6C3G2|Q6C3G2_YARLI, tr|Q6C6Q4|Q6C6Q4_YARLI
OG0000398	P41817, P53147	tr|A0A1E3PXW6|A0A1E3PXW6_LIPST	Tortispora_caseinolytica@Seq_2389	tr|Q6C469|Q6C469_YARLI
OG0000399	P00175	tr|A0A1E3Q6Z0|A0A1E3Q6Z0_LIPST, tr|A0A1E3QBX2|A0A1E3QBX2_LIPST	Tortispora_caseinolytica@Seq_758	tr|Q6C538|Q6C538_YARLI
OG0000400	P39110	tr|A0A1E3Q2Z8|A0A1E3Q2Z8_LIPST	Tortispora_caseinolytica@Seq_387, Tortispora_caseinolytica@Seq_4519	tr|B5FVF4|B5FVF4_YARLI
OG0000401	P32891	tr|A0A1E3Q789|A0A1E3Q789_LIPST	Tortispora_caseinolytica@Seq_3836, Tortispora_caseinolytica@Seq_3980	tr|Q6C773|Q6C773_YARLI
OG0000402	P07267	tr|A0A1E3Q5Z9|A0A1E3Q5Z9_LIPST	Tortispora_caseinolytica@Seq_1471, Tortispora_caseinolytica@Seq_3882	tr|Q6C080|Q6C080_YARLI
OG0000403	P25656, P53740	tr|A0A1E3PV43|A0A1E3PV43_LIPST	Tortispora_caseinolytica@Seq_2705	tr|Q6C355|Q6C355_YARLI
OG0000404	P35201	tr|A0A1E3Q9N7|A0A1E3Q9N7_LIPST, tr|A0A1E3QA31|A0A1E3QA31_LIPST	Tortispora_caseinolytica@Seq_2146	tr|Q6C048|Q6C048_YARLI
OG0000405	P36130, P47025	tr|A0A1E3PYM7|A0A1E3PYM7_LIPST	Tortispora_caseinolytica@Seq_3681	sp|Q6CB13|MDV1_YARLI
