Orthogroup	A.gossypii	K.marxianus	L.fermentati	s288c
OG0000722	sp|Q751B2|EBS1_ASHGO	KMXK_0D02290	tr|A0A1G4MJP8|A0A1G4MJP8_LACFM	sp|Q03466|EBS1_YEAST
OG0000723	sp|Q75EV6|EF3_ASHGO	KMXK_0C01560	tr|A0A1G4MF72|A0A1G4MF72_LACFM	sp|P53978|EF3B_YEAST
OG0000724	sp|Q75CZ5|EFGM_ASHGO	KMXK_0H00440	tr|A0A1G4M798|A0A1G4M798_LACFM	sp|P25039|EFGM_YEAST
OG0000725	sp|Q756C4|EFR3_ASHGO	KMXK_0D04500	tr|A0A1G4MD67|A0A1G4MD67_LACFM	sp|Q03653|EFR3_YEAST
OG0000726	sp|Q750A4|DPB4_ASHGO	KMXK_0D01750	tr|A0A1G4MK30|A0A1G4MK30_LACFM	sp|Q04603|DPB4_YEAST
OG0000727	sp|Q759T0|DYL1_ASHGO	KMXK_0D06420	tr|A0A1G4MFX0|A0A1G4MFX0_LACFM	sp|Q02647|DYL1_YEAST
OG0000728	sp|Q75AH9|EAF3_ASHGO	KMXK_0H04070	tr|A0A1G4MB94|A0A1G4MB94_LACFM	sp|Q12432|EAF3_YEAST
OG0000729	sp|Q8J1F7|ECM15_ASHGO	KMXK_0F04550	tr|A0A1G4MA17|A0A1G4MA17_LACFM	sp|P35195|ECM15_YEAST
OG0000730	sp|Q75D81|EFG1P_ASHGO	KMXK_0A03450	tr|A0A1G4MEB0|A0A1G4MEB0_LACFM	sp|Q3E705|EFG1P_YEAST
OG0000731	sp|Q74ZB5|EFM7_ASHGO	KMXK_0A06430	tr|A0A1G4M9V1|A0A1G4M9V1_LACFM	sp|Q05874|EFM7_YEAST
OG0000732	sp|Q754K8|FKBP_ASHGO	KMXK_0G00620	tr|A0A1G4MID3|A0A1G4MID3_LACFM	sp|P20081|FKBP_YEAST
OG0000733	sp|Q756C7|DML1_ASHGO	KMXK_0D04470	tr|A0A1G4MD32|A0A1G4MD32_LACFM	sp|Q03652|DML1_YEAST
OG0000734	sp|Q75DC5|ERB1_ASHGO	KMXK_0D03230	tr|A0A1G4MJ52|A0A1G4MJ52_LACFM	sp|Q04660|ERB1_YEAST
OG0000735	sp|Q758G1|ERFD_ASHGO	KMXK_0A04380	tr|A0A1G4MLA7|A0A1G4MLA7_LACFM	sp|P41912|ERFD_YEAST
OG0000736	sp|Q756J5|ESF1_ASHGO	KMXK_0G04030	tr|A0A1G4MET3|A0A1G4MET3_LACFM	sp|Q06344|ESF1_YEAST
OG0000737	sp|Q75AD3|EST3_ASHGO	KMXK_0E04080	tr|A0A1G4MHX6|A0A1G4MHX6_LACFM	sp|Q03096|EST3_YEAST
OG0000738	sp|Q75BT5|EAF6_ASHGO	KMXK_0H01240	tr|A0A1G4M8H7|A0A1G4M8H7_LACFM	sp|P47128|EAF6_YEAST
OG0000739	sp|Q757N6|ECO1_ASHGO	KMXK_0E02310	tr|A0A1G4MFC4|A0A1G4MFC4_LACFM	sp|P43605|ECO1_YEAST
OG0000740	sp|Q750X2|BBP_ASHGO	KMXK_0D01130	tr|A0A1G4MK07|A0A1G4MK07_LACFM	sp|Q12186|BBP_YEAST
OG0000741	sp|Q756K9|BCP1_ASHGO	KMXK_0B04600	tr|A0A1G4MEE5|A0A1G4MEE5_LACFM	sp|Q06338|BCP1_YEAST
OG0000742	sp|Q75C26|CIAO1_ASHGO	KMXK_0A01500	tr|A0A1G4MEA8|A0A1G4MEA8_LACFM	sp|Q05583|CIAO1_YEAST
OG0000743	sp|Q9HFW2|CLA4_ASHGO	KMXK_0A04440	tr|A0A1G4MLC1|A0A1G4MLC1_LACFM	sp|P48562|CLA4_YEAST
OG0000744	sp|Q751B5|COQ4_ASHGO	KMXK_0E05810	tr|A0A1G4MJP0|A0A1G4MJP0_LACFM	sp|O13525|COQ4_YEAST
OG0000745	sp|Q74ZX0|CSF1_ASHGO	KMXK_0D01600	tr|A0A1G4MKB3|A0A1G4MKB3_LACFM	sp|Q12150|CSF1_YEAST
OG0000746	sp|Q75AS3|CSN10_ASHGO	KMXK_0A04490	tr|A0A1G4ML39|A0A1G4ML39_LACFM	sp|Q12348|CSN10_YEAST
OG0000747	sp|Q75E19|CSN5_ASHGO	KMXK_0B07480	tr|A0A1G4MJC9|A0A1G4MJC9_LACFM	sp|Q12468|CSN5_YEAST
OG0000748	sp|Q750S5|CSN9_ASHGO	KMXK_0E05480	tr|A0A1G4MJS9|A0A1G4MJS9_LACFM	sp|Q03981|CSN9_YEAST
OG0000749	sp|Q75D23|COX20_ASHGO	KMXK_0C05250	tr|A0A1G4MJY8|A0A1G4MJY8_LACFM	sp|Q04935|COX20_YEAST
OG0000750	sp|Q756K8|CTM1_ASHGO	KMXK_0B04590	tr|A0A1G4MES2|A0A1G4MES2_LACFM	sp|P38818|CTM1_YEAST
OG0000751	sp|Q755T1|CTU1_ASHGO	KMXK_0D06440	tr|A0A1G4MG65|A0A1G4MG65_LACFM	sp|P53088|CTU1_YEAST
OG0000752	sp|Q750V7|CWC15_ASHGO	KMXK_0E05140	tr|A0A1G4MJW8|A0A1G4MJW8_LACFM	sp|Q03772|CWC15_YEAST
OG0000753	sp|Q752S4|CWC24_ASHGO	KMXK_0D00510	tr|A0A1G4MAT4|A0A1G4MAT4_LACFM	sp|P53769|CWC24_YEAST
OG0000754	sp|Q755Z9|CSM2_ASHGO	KMXK_0F00340	tr|A0A1G4ME46|A0A1G4ME46_LACFM	sp|P40465|CSM2_YEAST
OG0000755	sp|Q75DC6|CSM3_ASHGO	KMXK_0D03240	tr|A0A1G4MJ67|A0A1G4MJ67_LACFM	sp|Q04659|CSM3_YEAST
OG0000756	sp|Q75CD6|CSN11_ASHGO	KMXK_0D04320	tr|A0A1G4M7U2|A0A1G4M7U2_LACFM	sp|P40512|CSN11_YEAST
OG0000757	sp|Q75BU2|CSN12_ASHGO	KMXK_0H01190	tr|A0A1G4M8U9|A0A1G4M8U9_LACFM	sp|P47130|CSN12_YEAST
OG0000758	sp|Q75CC1|COQ10_ASHGO	KMXK_0A05940	tr|A0A1G4MCG1|A0A1G4MCG1_LACFM	sp|Q08058|COQ10_YEAST
OG0000759	sp|Q75A41|CRR1_ASHGO	KMXK_0F00450	tr|A0A1G4M7J2|A0A1G4M7J2_LACFM	sp|Q05790|CRR1_YEAST
OG0000760	sp|Q757H2|CSR1_ASHGO	KMXK_0H00760	tr|A0A1G4MDA2|A0A1G4MDA2_LACFM	sp|Q06705|CSR1_YEAST
OG0000761	sp|Q75DR9|CLU_ASHGO	KMXK_0F02690	tr|A0A1G4MKU3|A0A1G4MKU3_LACFM	sp|Q03690|CLU_YEAST
OG0000762	sp|Q759W0|CP51_ASHGO	KMXK_0B05660	tr|A0A1G4MFR3|A0A1G4MFR3_LACFM	sp|P10614|CP51_YEAST
OG0000763	sp|Q759Y1|AEP1_ASHGO	KMXK_0F03910	tr|A0A1G4MJ49|A0A1G4MJ49_LACFM	sp|P32493|AEP1_YEAST
OG0000764	sp|Q755P0|AF9_ASHGO	KMXK_0F03450	tr|A0A1G4MEZ5|A0A1G4MEZ5_LACFM	sp|P53930|AF9_YEAST
OG0000765	sp|Q751C1|AIM39_ASHGO	KMXK_0G03300	tr|A0A1G4MCR7|A0A1G4MCR7_LACFM	sp|Q08223|AIM39_YEAST
OG0000766	sp|Q75C17|AIM41_ASHGO	KMXK_0B08170	tr|A0A1G4MHM7|A0A1G4MHM7_LACFM	sp|Q12032|AIM41_YEAST
OG0000767	sp|Q75BX3|AIM44_ASHGO	KMXK_0H00200	tr|A0A1G4MHN3|A0A1G4MHN3_LACFM	sp|Q99299|AIM44_YEAST
OG0000768	sp|Q759J5|AIM36_ASHGO	KMXK_0B06660	tr|A0A1G4MDC1|A0A1G4MDC1_LACFM	sp|Q03798|AIM36_YEAST
OG0000769	sp|Q755J5|BBP1_ASHGO	KMXK_0B04300	tr|A0A1G4M971|A0A1G4M971_LACFM	sp|Q12365|BBP1_YEAST
OG0000770	sp|Q754G0|CHO2_ASHGO	KMXK_0D01260	tr|A0A1G4MAN0|A0A1G4MAN0_LACFM	sp|P05374|CHO2_YEAST
OG0000771	sp|Q755T5|CHZ1_ASHGO	KMXK_0D06480	tr|A0A1G4MGD7|A0A1G4MGD7_LACFM	sp|P40019|CHZ1_YEAST
OG0000772	sp|Q753F5|ENOPH_ASHGO	KMXK_0A01350	tr|A0A1G4M8J6|A0A1G4M8J6_LACFM	sp|P32626|ENOPH_YEAST
OG0000773	sp|Q74ZZ0|ERG27_ASHGO	KMXK_0D01900	tr|A0A1G4MK27|A0A1G4MK27_LACFM	sp|Q12452|ERG27_YEAST
OG0000774	sp|Q75BB5|ERO1_ASHGO	KMXK_0B06820	tr|A0A1G4M8S1|A0A1G4M8S1_LACFM	sp|Q03103|ERO1_YEAST
OG0000775	sp|Q756K3|ESC2_ASHGO	KMXK_0G04080	tr|A0A1G4MEQ4|A0A1G4MEQ4_LACFM	sp|Q06340|ESC2_YEAST
OG0000776	sp|Q757U3|ETR1_ASHGO	KMXK_0F03040	tr|A0A1G4MCS3|A0A1G4MCS3_LACFM	sp|P38071|ETR1_YEAST
OG0000777	sp|Q74ZA4|ETT1_ASHGO	KMXK_0C02500	tr|A0A1G4MER7|A0A1G4MER7_LACFM	sp|Q08421|ETT1_YEAST
OG0000778	sp|Q75DA3|ESF2_ASHGO	KMXK_0D00250	tr|A0A1G4M975|A0A1G4M975_LACFM	sp|P53743|ESF2_YEAST
OG0000779	sp|Q754V2|ERT1_ASHGO	KMXK_0B02560	tr|A0A1G4M9H8|A0A1G4M9H8_LACFM	sp|P38140|ERT1_YEAST
OG0000780	sp|Q750R7|ERFB_ASHGO	KMXK_0E05590	tr|A0A1G4MJS5|A0A1G4MJS5_LACFM	sp|Q06551|ERFB_YEAST
OG0000781	sp|Q75F69|ERG1_ASHGO	KMXK_0C02060	tr|A0A1G4M6Y1|A0A1G4M6Y1_LACFM	sp|P32476|ERG1_YEAST
OG0000782	sp|Q754B9|ERG3_ASHGO	KMXK_0B03240	tr|A0A1G4M8A1|A0A1G4M8A1_LACFM	sp|P32353|ERG3_YEAST
OG0000783	sp|Q75D30|ERI1_ASHGO	KMXK_0A00460	tr|A0A1G4MII6|A0A1G4MII6_LACFM	sp|P62651|ERI1_YEAST
OG0000784	sp|Q75BY2|ESA1_ASHGO	KMXK_0B02190	tr|A0A1G4MHZ9|A0A1G4MHZ9_LACFM	sp|Q08649|ESA1_YEAST
OG0000785	sp|Q756P0|FBRL_ASHGO	KMXK_0A06580	tr|A0A1G4M8R8|A0A1G4M8R8_LACFM	sp|P15646|FBRL_YEAST
OG0000786	sp|Q757V8|GAR1_ASHGO	KMXK_0D02630	tr|A0A1G4MBE0|A0A1G4MBE0_LACFM	sp|P28007|GAR1_YEAST
OG0000787	sp|Q755W0|FAL1_ASHGO	KMXK_0A03140	tr|A0A1G4MCX2|A0A1G4MCX2_LACFM	sp|Q12099|FAL1_YEAST
OG0000788	sp|Q756V1|FKBP3_ASHGO	KMXK_0D04660	tr|A0A1G4M6B4|A0A1G4M6B4_LACFM	sp|Q06205|FKBP4_YEAST
OG0000789	sp|Q75AB3|FMP52_ASHGO	KMXK_0E03870	tr|A0A1G4MKR9|A0A1G4MKR9_LACFM	sp|P40008|FMP52_YEAST
OG0000790	sp|Q757E3|DUS3_ASHGO	KMXK_0D04810	tr|A0A1G4MDC9|A0A1G4MDC9_LACFM	sp|Q06053|DUS3_YEAST
OG0000791	sp|Q758L0|G6PI_ASHGO	KMXK_0A00760	tr|A0A1G4MIB5|A0A1G4MIB5_LACFM	sp|P12709|G6PI_YEAST
OG0000792	sp|Q752D7|DPH4_ASHGO	KMXK_0A07190	tr|A0A1G4MH66|A0A1G4MH66_LACFM	sp|P47138|DPH4_YEAST
OG0000793	sp|Q757B6|DPH2_ASHGO	KMXK_0A02050	tr|A0A1G4M6W4|A0A1G4M6W4_LACFM	sp|P32461|DPH2_YEAST
OG0000794	sp|Q751D1|DBP6_ASHGO	KMXK_0B04120	tr|A0A1G4M8W9|A0A1G4M8W9_LACFM	sp|P53734|DBP6_YEAST
OG0000795	sp|Q754J2|DBP7_ASHGO	KMXK_0B01530	tr|A0A1G4M8L5|A0A1G4M8L5_LACFM	sp|P36120|DBP7_YEAST
OG0000796	sp|Q75EM1|CTR86_ASHGO	KMXK_0C04890	tr|A0A1G4M908|A0A1G4M908_LACFM	sp|P25355|CTR86_YEAST
OG0000797	sp|Q759Q6|DAD2_ASHGO	KMXK_0A04220	tr|A0A1G4MED8|A0A1G4MED8_LACFM	sp|P36162|DAD2_YEAST
OG0000798	sp|Q75EQ0|DAM1_ASHGO	KMXK_0H03060	tr|A0A1G4MF00|A0A1G4MF00_LACFM	sp|P53267|DAM1_YEAST
OG0000799	sp|Q759P0|COFI_ASHGO	KMXK_0G04220	tr|A0A1G4MAJ7|A0A1G4MAJ7_LACFM	sp|Q03048|COFI_YEAST
OG0000800	sp|Q75D94|COX23_ASHGO	KMXK_0F03270	tr|A0A1G4MF99|A0A1G4MF99_LACFM	sp|P38824|COX23_YEAST
OG0000801	sp|Q75E95|DAD1_ASHGO	KMXK_0E02420	tr|A0A1G4MCJ2|A0A1G4MCJ2_LACFM	sp|Q12248|DAD1_YEAST
OG0000802	sp|Q754U2|DAD3_ASHGO	KMXK_0B02460	tr|A0A1G4M9I8|A0A1G4M9I8_LACFM	sp|P69850|DAD3_YEAST
OG0000803	sp|Q74Z51|DAD4_ASHGO	KMXK_0H02570	tr|A0A1G4M6L8|A0A1G4M6L8_LACFM	sp|P69851|DAD4_YEAST
OG0000804	sp|Q751G9|CWC21_ASHGO	KMXK_0C03400	tr|A0A1G4MI29|A0A1G4MI29_LACFM	sp|Q03375|CWC21_YEAST
OG0000805	sp|Q751P4|CWC22_ASHGO	KMXK_0G02090	tr|A0A1G4MDX2|A0A1G4MDX2_LACFM	sp|P53333|CWC22_YEAST
OG0000806	sp|Q752B6|CWC23_ASHGO	KMXK_0A07390	tr|A0A1G4MGR8|A0A1G4MGR8_LACFM	sp|P52868|CWC23_YEAST
OG0000807	sp|Q75AF9|COX19_ASHGO	KMXK_0A01650	tr|A0A1G4MKK2|A0A1G4MKK2_LACFM	sp|Q3E731|COX19_YEAST
OG0000808	sp|Q75BK0|CTU2_ASHGO	KMXK_0F03280	tr|A0A1G4MEU1|A0A1G4MEU1_LACFM	sp|P53923|CTU2_YEAST
OG0000809	sp|Q756I2|CUE1_ASHGO	KMXK_0B00810	tr|A0A1G4MCW6|A0A1G4MCW6_LACFM	sp|P38428|CUE1_YEAST
OG0000810	sp|Q75AR4|CWC25_ASHGO	KMXK_0A07150	tr|A0A1G4MGV6|A0A1G4MGV6_LACFM	sp|P53854|CWC25_YEAST
OG0000811	sp|Q75AG5|CWC26_ASHGO	KMXK_0D02990	tr|A0A1G4MB70|A0A1G4MB70_LACFM	sp|P46947|CWC26_YEAST
OG0000812	sp|Q758H6|CPD1_ASHGO	KMXK_0A05300	tr|A0A1G4MJB5|A0A1G4MJB5_LACFM	sp|P53314|CPD1_YEAST
OG0000813	sp|Q755F7|CET1_ASHGO	KMXK_0H02230	tr|A0A1G4M989|A0A1G4M989_LACFM	sp|O13297|CET1_YEAST
OG0000814	sp|Q756G5|DBP8_ASHGO	KMXK_0D04520	tr|A0A1G4MJA5|A0A1G4MJA5_LACFM	sp|P38719|DBP8_YEAST
OG0000815	sp|Q75BK1|DCP2_ASHGO	KMXK_0F03290	tr|A0A1G4MF56|A0A1G4MF56_LACFM	sp|P53550|DCP2_YEAST
OG0000816	sp|Q75AZ8|COG6_ASHGO	KMXK_0G01530	tr|A0A1G4ME05|A0A1G4ME05_LACFM	sp|P53959|COG6_YEAST
OG0000817	sp|Q757F0|COX9_ASHGO	KMXK_0D04900	tr|A0A1G4MDF3|A0A1G4MDF3_LACFM	sp|P07255|COX9_YEAST
OG0000818	sp|Q752B8|DPOE_ASHGO	KMXK_0A07370	tr|A0A1G4MH45|A0A1G4MH45_LACFM	sp|P21951|DPOE_YEAST
OG0000819	sp|Q755M5|FMP46_ASHGO	KMXK_0F05530	tr|A0A1G4MHC0|A0A1G4MHC0_LACFM	sp|P36141|FMP46_YEAST
OG0000820	sp|Q75ED7|DUO1_ASHGO	KMXK_0A06060	tr|A0A1G4M9R9|A0A1G4M9R9_LACFM	sp|P53168|DUO1_YEAST
OG0000821	sp|Q75EE0|DRE2_ASHGO	KMXK_0C02540	tr|A0A1G4MEN4|A0A1G4MEN4_LACFM	sp|P36152|DRE2_YEAST
OG0000822	sp|Q75CA4|DNLI4_ASHGO	KMXK_0G00430	tr|A0A1G4MCA3|A0A1G4MCA3_LACFM	sp|Q08387|DNLI4_YEAST
OG0000823	sp|Q75F95|DRS1_ASHGO	KMXK_0C02290	tr|A0A1G4M6V7|A0A1G4M6V7_LACFM	sp|P32892|DRS1_YEAST
OG0000824	sp|Q75AI1|DSE1_ASHGO	KMXK_0H04090	tr|A0A1G4MB47|A0A1G4MB47_LACFM	sp|P40077|DSE1_YEAST
OG0000825	sp|Q75E22|DTD_ASHGO	KMXK_0B07410	tr|A0A1G4MJE4|A0A1G4MJE4_LACFM	sp|Q07648|DTD_YEAST
OG0000826	sp|Q752Z8|DOHH_ASHGO	KMXK_0C00430	tr|A0A1G4MAR0|A0A1G4MAR0_LACFM	sp|P47120|DOHH_YEAST
OG0000827	sp|Q75AZ9|DPH1_ASHGO	KMXK_0G01540	tr|A0A1G4MDM7|A0A1G4MDM7_LACFM	sp|P40487|DPH1_YEAST
OG0000828	sp|Q75BS7|CMR1_ASHGO	KMXK_0H02450	tr|A0A1G4M7I3|A0A1G4M7I3_LACFM	sp|Q12510|CMR1_YEAST
OG0000829	sp|Q9HF56|CDC42_ASHGO	KMXK_0E01350	tr|A0A1G4MK20|A0A1G4MK20_LACFM	sp|P19073|CDC42_YEAST
OG0000830	sp|Q9HF75|BEM2_ASHGO	KMXK_0B04470	tr|A0A1G4MKA5|A0A1G4MKA5_LACFM	sp|P39960|BEM2_YEAST
OG0000831	sp|Q74ZH7|BEM3_ASHGO	KMXK_0E00350	tr|A0A1G4MHR6|A0A1G4MHR6_LACFM	sp|P32873|BEM3_YEAST
OG0000832	sp|Q75D21|CG121_ASHGO	KMXK_0C05310	tr|A0A1G4MFT5|A0A1G4MFT5_LACFM	sp|Q03705|CG121_YEAST
OG0000833	sp|Q74ZX6|GEP5_ASHGO	KMXK_0D01660	tr|A0A1G4MKG5|A0A1G4MKG5_LACFM	sp|Q12393|GEP5_YEAST
OG0000834	sp|Q751K8|FIP1_ASHGO	KMXK_0H01070	tr|A0A1G4M8L0|A0A1G4M8L0_LACFM	sp|P45976|FIP1_YEAST
OG0000835	sp|Q75B55|GEP3_ASHGO	KMXK_0E00520	tr|A0A1G4MHM6|A0A1G4MHM6_LACFM	sp|Q08622|GEP3_YEAST
OG0000836	sp|Q74ZH9|GDE1_ASHGO	KMXK_0E00280	tr|A0A1G4MIE5|A0A1G4MIE5_LACFM	sp|Q02979|GDE1_YEAST
OG0000837	sp|Q75B89|FES1_ASHGO	KMXK_0B00910	tr|A0A1G4MBW2|A0A1G4MBW2_LACFM	sp|P38260|FES1_YEAST
OG0000838	sp|Q756G9|GCN5_ASHGO	KMXK_0D04560	tr|A0A1G4MJ64|A0A1G4MJ64_LACFM	sp|Q03330|GCN5_YEAST
OG0000839	sp|Q753Y3|GRC3_ASHGO	KMXK_0B04510	tr|A0A1G4MBC2|A0A1G4MBC2_LACFM	sp|Q07845|GRC3_YEAST
OG0000840	sp|O60027|LEU3_ASHGO	KMXK_0B04960	tr|A0A1G4MFQ2|A0A1G4MFQ2_LACFM	sp|P04173|LEU3_YEAST
OG0000841	sp|Q75A59|LGE1_ASHGO	KMXK_0C03500	tr|A0A1G4MIC5|A0A1G4MIC5_LACFM	sp|Q02796|LGE1_YEAST
OG0000842	sp|Q751A7|LIC4_ASHGO	KMXK_0E05570	tr|A0A1G4MJR7|A0A1G4MJR7_LACFM	sp|Q04005|LIC4_YEAST
OG0000843	sp|Q751Y8|LCD1_ASHGO	KMXK_0A07680	tr|A0A1G4MGN7|A0A1G4MGN7_LACFM	sp|Q04377|LCD1_YEAST
OG0000844	sp|Q74ZY6|LCL2_ASHGO	KMXK_0D01940	tr|A0A1G4MKE6|A0A1G4MKE6_LACFM	sp|Q08045|LCL2_YEAST
OG0000845	sp|Q74ZM9|LEUC_ASHGO	KMXK_0E01590	tr|A0A1G4MB39|A0A1G4MB39_LACFM	sp|P07264|LEUC_YEAST
OG0000846	sp|Q74ZH6|LIPA_ASHGO	KMXK_0E00360	tr|A0A1G4MHW4|A0A1G4MHW4_LACFM	sp|P32875|LIPA_YEAST
OG0000847	sp|Q750F4|LOC1_ASHGO	KMXK_0H04440	tr|A0A1G4M897|A0A1G4M897_LACFM	sp|P43586|LOC1_YEAST
OG0000848	sp|Q751M6|LIP1_ASHGO	KMXK_0A03410	tr|A0A1G4MED5|A0A1G4MED5_LACFM	sp|Q03579|LIP1_YEAST
OG0000849	sp|Q75B10|LKHA4_ASHGO	KMXK_0G01580	tr|A0A1G4MDH2|A0A1G4MDH2_LACFM	sp|Q10740|LKHA4_YEAST
OG0000850	sp|Q754Q9|LONM_ASHGO	KMXK_0B00460	tr|A0A1G4MKG2|A0A1G4MKG2_LACFM	sp|P36775|LONM_YEAST
OG0000851	sp|Q74Z32|DPH3_ASHGO	KMXK_0G03700	tr|A0A1G4M7M2|A0A1G4M7M2_LACFM	sp|Q3E840|DPH3_YEAST
OG0000852	sp|Q9C1M7|DYHC_ASHGO	KMXK_0A05200	tr|A0A1G4MH42|A0A1G4MH42_LACFM	sp|P36022|DYHC_YEAST
OG0000853	sp|Q759T4|EIF3G_ASHGO	KMXK_0D06390	tr|A0A1G4MG45|A0A1G4MG45_LACFM	sp|Q04067|EIF3G_YEAST
OG0000854	sp|Q759L2|EIF3I_ASHGO	KMXK_0B03910	tr|A0A1G4MAP4|A0A1G4MAP4_LACFM	sp|P40217|EIF3I_YEAST
OG0000855	sp|Q75BP2|EIF3J_ASHGO	KMXK_0E03070	tr|A0A1G4M7W0|A0A1G4M7W0_LACFM	sp|Q05775|EIF3J_YEAST
OG0000856	sp|Q75CQ8|FRE8_ASHGO	KMXK_0F05050	tr|A0A1G4MAB5|A0A1G4MAB5_LACFM	sp|Q12209|FRE8_YEAST
OG0000857	sp|Q751F9|ELOC_ASHGO	KMXK_0F01740	tr|A0A1G4MI20|A0A1G4MI20_LACFM	sp|Q03071|ELOC_YEAST
OG0000858	sp|Q755V2|END3_ASHGO	KMXK_0C03820	tr|A0A1G4MDV8|A0A1G4MDV8_LACFM	sp|P39013|END3_YEAST
OG0000859	sp|Q757C7|LOT5_ASHGO	KMXK_0D05530	tr|A0A1G4MD94|A0A1G4MD94_LACFM	sp|P34234|LOT5_YEAST
OG0000860	sp|Q759U7|LIS1_ASHGO	KMXK_0D04400	tr|A0A1G4MD50|A0A1G4MD50_LACFM	sp|P39946|LIS1_YEAST
OG0000861	sp|Q75A69|LPE10_ASHGO	KMXK_0D03840	tr|A0A1G4MI35|A0A1G4MI35_LACFM	sp|Q02783|LPE10_YEAST
OG0000862	sp|Q75BN0|OAF3_ASHGO	KMXK_0A05000	tr|A0A1G4MH77|A0A1G4MH77_LACFM	sp|P36023|OAF3_YEAST
OG0000863	sp|Q75EA2|MON1_ASHGO	KMXK_0B02850	tr|A0A1G4M9X3|A0A1G4M9X3_LACFM	sp|P53129|MON1_YEAST
OG0000864	sp|Q75A83|MRD1_ASHGO	KMXK_0E04310	tr|A0A1G4MDB5|A0A1G4MDB5_LACFM	sp|Q06106|MRD1_YEAST
OG0000865	sp|Q756Q5|MRP10_ASHGO	KMXK_0H04000	tr|A0A1G4MD14|A0A1G4MD14_LACFM	sp|O75012|MRP10_YEAST
OG0000866	sp|Q754C9|MUS81_ASHGO	KMXK_0B05950	tr|A0A1G4MEH9|A0A1G4MEH9_LACFM	sp|Q04149|MUS81_YEAST
OG0000867	sp|Q753C6|PNO1_ASHGO	KMXK_0A05780	tr|A0A1G4MGA9|A0A1G4MGA9_LACFM	sp|Q99216|PNO1_YEAST
OG0000868	sp|Q753Y0|OCA5_ASHGO	KMXK_0A01690	tr|A0A1G4MBD9|A0A1G4MBD9_LACFM	sp|P38738|OCA5_YEAST
OG0000869	sp|Q74Z52|NOP10_ASHGO	KMXK_0H02560	tr|A0A1G4M6L0|A0A1G4M6L0_LACFM	sp|Q6Q547|NOP10_YEAST
OG0000870	sp|Q756Z0|NTE1_ASHGO	KMXK_0E01830	tr|A0A1G4M6D8|A0A1G4M6D8_LACFM	sp|Q04958|NTE1_YEAST
OG0000871	sp|Q750J0|NPR3_ASHGO	KMXK_0D01230	tr|A0A1G4MBJ5|A0A1G4MBJ5_LACFM	sp|P38742|NPR3_YEAST
OG0000872	sp|Q753X4|PMIP_ASHGO	KMXK_0C01200	tr|A0A1G4M9Y7|A0A1G4M9Y7_LACFM	sp|P35999|PMIP_YEAST
OG0000873	sp|P62511|NRK1_ASHGO	KMXK_0F03140	tr|A0A1G4MEW8|A0A1G4MEW8_LACFM	sp|P53915|NRK1_YEAST
OG0000874	sp|Q753D9|PKH3_ASHGO	KMXK_0B05690	tr|A0A1G4MG30|A0A1G4MG30_LACFM	sp|Q03306|PKH3_YEAST
OG0000875	sp|Q75B37|OCA1_ASHGO	KMXK_0G02380	tr|A0A1G4MF24|A0A1G4MF24_LACFM	sp|P50946|OCA1_YEAST
OG0000876	sp|Q75CG9|NSA2_ASHGO	KMXK_0H04120	tr|A0A1G4MB28|A0A1G4MB28_LACFM	sp|P40078|NSA2_YEAST
OG0000877	sp|Q756Q3|NPC2_ASHGO	KMXK_0H03980	tr|A0A1G4MCU2|A0A1G4MCU2_LACFM	sp|Q12408|NPC2_YEAST
OG0000878	sp|Q754U4|NSA1_ASHGO	KMXK_0B02480	tr|A0A1G4M9L6|A0A1G4M9L6_LACFM	sp|P53136|NSA1_YEAST
OG0000879	sp|Q75C70|NOP9_ASHGO	KMXK_0H04150	tr|A0A1G4M6V2|A0A1G4M6V2_LACFM	sp|P47077|NOP9_YEAST
OG0000880	sp|Q75BJ7|NOP12_ASHGO	KMXK_0B03740	tr|A0A1G4MC20|A0A1G4MC20_LACFM	sp|Q08208|NOP12_YEAST
OG0000881	sp|Q75DT8|EIF3A_ASHGO	KMXK_0C05490	tr|A0A1G4MIV3|A0A1G4MIV3_LACFM	sp|P38249|EIF3A_YEAST
OG0000882	sp|Q758X9|EIF3B_ASHGO	KMXK_0C05920	tr|A0A1G4MC61|A0A1G4MC61_LACFM	sp|P06103|EIF3B_YEAST
OG0000883	sp|Q751S5|EIF3C_ASHGO	KMXK_0G01970	tr|A0A1G4MED2|A0A1G4MED2_LACFM	sp|P32497|EIF3C_YEAST
OG0000884	sp|Q75B47|HIS7_ASHGO	KMXK_0E00440	tr|A0A1G4MI72|A0A1G4MI72_LACFM	sp|P06633|HIS7_YEAST
OG0000885	sp|Q75AI5|FIS1_ASHGO	KMXK_0H01690	tr|A0A1G4M7R3|A0A1G4M7R3_LACFM	sp|P40515|FIS1_YEAST
OG0000886	sp|Q757K7|GPI18_ASHGO	KMXK_0F04610	tr|A0A1G4MAB4|A0A1G4MAB4_LACFM	sp|P38211|GPI18_YEAST
OG0000887	sp|Q75C01|GRPE_ASHGO	KMXK_0B07970	tr|A0A1G4MHR5|A0A1G4MHR5_LACFM	sp|P38523|GRPE_YEAST
OG0000888	sp|Q755E7|HOT1_ASHGO	KMXK_0F01520	tr|A0A1G4M998|A0A1G4M998_LACFM	sp|Q03213|HOT1_YEAST
