"protein","Gene","orthogroup"
"P31383","YAL016W","S+YLT-Single"
"P31384","YAL021C","S+YLT-Single"
"P31385","YAL013W","S+YLT-Single"
"P31386","YAL020C","S+YLT-Single"
"P31412","YKL080W","S+YLT-Single"
"P31539","YLL026W","S+YLT-Single"
"P31688","YDR074W","S+YLT-Single"
"P31787","YGR037C","S+YLT-Single"
"P32048","YNL073W","S+YLT-Single"
"P32074","YNL287W","S+YLT-Single"
"P32178","YPR060C","S+YLT-Single"
"P32179","YOL064C","S+YLT-Single"
"P32190","YHL032C","S+YLT-Single"
"P32191","YIL155C","S+YLT-Single"
"P32259","YNL236W","S+YLT-Single"
"P32263","YER023W","S+YLT-Single"
"P32266","YOR211C","S+YLT-Single"
"P32288","YPR035W","S+YLT-Single"
"P32316","YBL015W","S+YLT-Single"
"P32317","YEL052W","S+YLT-Single"
"P32318","YGR144W","S+YLT-Single"
"P32324","YOR133W, YDR385W","S+YLT-Single"
"P32325","YDR052C","S+YLT-Single"
"P32332","YKL120W","S+YLT-Single"
"P32333","YPL082C","S+YLT-Single"
"P32334","YGR014W","S+YLT-Single"
"P32335","YLR203C","S+YLT-Single"
"P32336","YOR373W","S+YLT-Single"
"P32337","YMR308C","S+YLT-Single"
"P32338","YGR044C","S+YLT-Single"
"P32339","YLR205C","S+YLT-Single"
"P32341","YKL119C","S+YLT-Single"
"P32342","YKL122C","S+YLT-Single"
"P32347","YDR047W","S+YLT-Single"
"P32349","YPR190C","S+YLT-Single"
"P32350","YLL019C","S+YLT-Single"
"P32351","YIL154C","S+YLT-Single"
"P32352","YMR202W","S+YLT-Single"
"P32353","YLR056W","S+YLT-Single"
"P32354","YIL150C","S+YLT-Single"
"P32361","YHR079C","S+YLT-Single"
"P32363","YPL175W","S+YLT-Single"
"P32366","YLR447C","S+YLT-Single"
"P32367","YBR123C","S+YLT-Single"
"P32368","YKL212W","S+YLT-Single"
"P32375","YIR027C","S+YLT-Single"
"P32377","YNR043W","S+YLT-Single"
"P32378","YNR041C","S+YLT-Single"
"P32379","YGR253C","S+YLT-Single"
"P32381","YDL029W","S+YLT-Single"
"P32383","YPL268W","S+YLT-Single"
"P32386","YLL048C","S+YLT-Single"
"P32387","YDR405W","S+YLT-Single"
"P32388","YKL167C","S+YLT-Single"
"P32432","YLR403W","S+YLT-Single"
"P32445","YCR028C-A","S+YLT-Single"
"P32447","YJL115W","S+YLT-Single"
"P32451","YGR286C","S+YLT-Single"
"P32452","YNL316C","S+YLT-Single"
"P32453","YNL315C","S+YLT-Single"
"P32457","YLR314C","S+YLT-Single"
"P32458","YJR076C","S+YLT-Single"
"P32459","YIR032C","S+YLT-Single"
"P32460","YIR030C","S+YLT-Single"
"P32461","YKL191W","S+YLT-Single"
"P32462","YNL280C","S+YLT-Single"
"P32463","YKL192C","S+YLT-Single"
"P32464","YKL189W","S+YLT-Single"
"P32468","YHR107C","S+YLT-Single"
"P32469","YLR172C","S+YLT-Single"
"P32471","YAL003W","S+YLT-Single"
"P32472","YDR519W","S+YLT-Single"
"P32473","YBR221C","S+YLT-Single"
"P32476","YGR175C","S+YLT-Single"
"P32477","YJL101C","S+YLT-Single"
"P32479","YBL008W","S+YLT-Single"
"P32481","YER025W","S+YLT-Single"
"P32485","YLR113W","S+YLT-Single"
"P32486","YPR159W","S+YLT-Single"
"P32494","YDR176W","S+YLT-Single"
"P32495","YDL208W","S+YLT-Single"
"P32496","YFR052W","S+YLT-Single"
"P32497","YMR309C","S+YLT-Single"
"P32500","YML031W","S+YLT-Single"
"P32501","YDR211W","S+YLT-Single"
"P32502","YLR291C","S+YLT-Single"
"P32505","YGL122C","S+YLT-Single"
"P32521","YIR006C","S+YLT-Single"
"P32522","YLR067C","S+YLT-Single"
"P32523","YLL036C","S+YLT-Single"
"P32524","YJL203W","S+YLT-Single"
"P32525","YJL201W","S+YLT-Single"
"P32527","YGR285C","S+YLT-Single"
"P32528","YBR208C","S+YLT-Single"
"P32529","YJR063W","S+YLT-Single"
"P32558","YGL207W","S+YLT-Single"
"P32559","YMR023C","S+YLT-Single"
"P32561","YNL330C","S+YLT-Single"
"P32562","YMR001C","S+YLT-Single"
"P32563","YOR270C","S+YLT-Single"
"P32565","YIL075C","S+YLT-Single"
"P32566","YGR229C","S+YLT-Single"
"P32567","YMR165C","S+YLT-Single"
"P32569","YER022W","S+YLT-Single"
"P32570","YBR253W","S+YLT-Single"
"P32573","YNL202W","S+YLT-Single"
"P32579","YGL169W","S+YLT-Single"
"P32580","YPL029W","S+YLT-Single"
"P32581","YJL106W","S+YLT-Single"
"P32582","YGR155W","S+YLT-Single"
"P32583","YKR092C","S+YLT-Single"
"P32584","YDR410C","S+YLT-Single"
"P32585","YGR104C","S+YLT-Single"
"P32588","YNL016W","S+YLT-Single"
"P32597","YIL126W","S+YLT-Single"
"P32598","YER133W","S+YLT-Single"
"P32599","YDR129C","S+YLT-Single"
"P32601","YPR017C","S+YLT-Single"
"P32602","YBL050W","S+YLT-Single"
"P32604","YJL155C","S+YLT-Single"
"P32605","YBR119W","S+YLT-Single"
"P32606","YOR017W","S+YLT-Single"
"P32607","YOL067C","S+YLT-Single"
"P32608","YGL252C","S+YLT-Single"
"P32609","YDR323C","S+YLT-Single"
"P32610","YEL051W","S+YLT-Single"
"P32611","YEL050C","S+YLT-Single"
"P32617","YEL044W","S+YLT-Single"
"P32618","YEL043W","S+YLT-Single"
"P32621","YEL042W","S+YLT-Single"
"P32623","YEL040W","S+YLT-Single"
"P32626","YEL038W","S+YLT-Single"
"P32628","YEL037C","S+YLT-Single"
"P32629","YEL036C","S+YLT-Single"
"P32639","YER172C","S+YLT-Single"
"P32641","YER173W","S+YLT-Single"
"P32643","YER175C","S+YLT-Single"
"P32656","YER163C","S+YLT-Single"
"P32657","YER164W","S+YLT-Single"
"P32767","YGL016W","S+YLT-Single"
"P32769","YKR084C","S+YLT-Single"
"P32770","YDL167C","S+YLT-Single"
"P32771","YDL168W","S+YLT-Single"
"P32773","YOR194C","S+YLT-Single"
"P32774","YKL058W","S+YLT-Single"
"P32775","YEL011W","S+YLT-Single"
"P32776","YDR311W","S+YLT-Single"
"P32783","YBR236C","S+YLT-Single"
"P32784","YBL011W","S+YLT-Single"
"P32785","YBL013W","S+YLT-Single"
"P32786","YBL014C","S+YLT-Single"
"P32787","YJR144W","S+YLT-Single"
"P32790","YBL007C","S+YLT-Single"
"P32794","YLR397C","S+YLT-Single"
"P32795","YPR024W","S+YLT-Single"
"P32796","YML042W","S+YLT-Single"
"P32799","YGL191W","S+YLT-Single"
"P32800","YJL210W","S+YLT-Single"
"P32803","YGL200C","S+YLT-Single"
"P32804","YGL255W","S+YLT-Single"
"P32806","YJL044C","S+YLT-Single"
"P32807","YMR284W","S+YLT-Single"
"P32829","YMR224C","S+YLT-Single"
"P32833","YBR060C","S+YLT-Single"
"P32837","YDL210W","S+YLT-Single"
"P32838","YNR032W","S+YLT-Single"
"P32839","YDR375C","S+YLT-Single"
"P32842","YPL234C","S+YLT-Single"
"P32843","YMR302C","S+YLT-Single"
"P32844","YIL068C","S+YLT-Single"
"P32854","YOR036W","S+YLT-Single"
"P32855","YPR055W","S+YLT-Single"
"P32860","YKL040C","S+YLT-Single"
"P32861","YKL035W","S+YLT-Single"
"P32863","YGL163C","S+YLT-Single"
"P32864","YOR370C","S+YLT-Single"
"P32875","YOR196C","S+YLT-Single"
"P32891","YDL174C","S+YLT-Single"
"P32892","YLL008W","S+YLT-Single"
"P32895","YKL181W","S+YLT-Single"
"P32896","YDR081C","S+YLT-Single"
"P32897","YNR017W","S+YLT-Single"
"P32898","YDR430C","S+YLT-Single"
"P32899","YHR148W","S+YLT-Single"
"P32901","YKR093W","S+YLT-Single"
"P32902","YHL004W","S+YLT-Single"
"P32904","YHR147C","S+YLT-Single"
"P32910","YNR003C","S+YLT-Single"
"P32911","YNL244C","S+YLT-Single"
"P32912","YGL212W","S+YLT-Single"
"P32913","YOR132W","S+YLT-Single"
"P32915","YLR378C","S+YLT-Single"
"P32916","YDR292C","S+YLT-Single"
"P32917","YDR103W","S+YLT-Single"
"P32939","YML001W","S+YLT-Single"
"P32944","YJL187C","S+YLT-Single"
"P33201","YKL009W","S+YLT-Single"
"P33202","YKL010C","S+YLT-Single"
"P33203","YKL012W","S+YLT-Single"
"P33204","YKL013C","S+YLT-Single"
"P33296","YER100W","S+YLT-Single"
"P33297","YOR117W","S+YLT-Single"
"P33298","YDR394W","S+YLT-Single"
"P33299","YKL145W","S+YLT-Single"
"P33303","YJR095W","S+YLT-Single"
"P33307","YGL238W","S+YLT-Single"
"P33310","YLR188W","S+YLT-Single"
"P33312","YBR153W","S+YLT-Single"
"P33313","YBR155W","S+YLT-Single"
"P33314","YKL092C","S+YLT-Single"
"P33317","YBR252W","S+YLT-Single"
"P33322","YLR175W","S+YLT-Single"
"P33327","YDL215C","S+YLT-Single"
"P33328","YOR327C","S+YLT-Single"
"P33330","YOR184W","S+YLT-Single"
"P33331","YER009W","S+YLT-Single"
"P33332","YER008C","S+YLT-Single"
"P33333","YDL052C","S+YLT-Single"
"P33334","YHR165C","S+YLT-Single"
"P33338","YNL243W","S+YLT-Single"
"P33339","YGR047C","S+YLT-Single"
"P33399","YDL051W","S+YLT-Single"
"P33400","YHL027W","S+YLT-Single"
"P33411","YGR006W","S+YLT-Single"
"P33412","YGR007W","S+YLT-Single"
"P33413","YHL016C","S+YLT-Single"
"P33416","YDR258C","S+YLT-Single"
"P33418","YKL205W","S+YLT-Single"
"P33734","YBR248C","S+YLT-Single"
"P33750","YLL011W","S+YLT-Single"
"P33751","YDR538W","S+YLT-Single"
"P33753","YKR056W","S+YLT-Single"
"P33754","YBR171W","S+YLT-Single"
"P33755","YBR170C","S+YLT-Single"
"P33759","YBR251W","S+YLT-Single"
"P33760","YNL329C","S+YLT-Single"
"P33767","YEL002C","S+YLT-Single"
"P33892","YGL195W","S+YLT-Single"
"P33893","YBL080C","S+YLT-Single"
"P33895","YOL069W","S+YLT-Single"
"P34077","YFR002W","S+YLT-Single"
"P34078","YKL143W","S+YLT-Single"
"P34087","YDR404C","S+YLT-Single"
"P34110","YJL154C","S+YLT-Single"
"P34111","YAL001C","S+YLT-Single"
"P34160","YMR125W","S+YLT-Single"
"P34162","YHR041C","S+YLT-Single"
"P34163","YKL140W","S+YLT-Single"
"P34167","YPR163C","S+YLT-Single"
"P34216","YBL047C","S+YLT-Single"
"P34217","YBL051C","S+YLT-Single"
"P34219","YBL054W","S+YLT-Single"
"P34220","YBL055C","S+YLT-Single"
"P34222","YBL057C","S+YLT-Single"
"P34223","YBL058W","S+YLT-Single"
"P34225","YBL060W","S+YLT-Single"
"P34226","YBL061C","S+YLT-Single"
"P34227","YBL064C","S+YLT-Single"
"P34228","YBL066C","S+YLT-Single"
"P34233","YKL185W","S+YLT-Single"
"P34234","YKL183W","S+YLT-Single"
"P34237","YKL179C","S+YLT-Single"
"P34240","YKL175W","S+YLT-Single"
"P34241","YKL014C","S+YLT-Single"
"P34243","YKL017C","S+YLT-Single"
"P34246","YKL098W","S+YLT-Single"
"P34247","YKL099C","S+YLT-Single"
"P34248","YKL100C","S+YLT-Single"
"P34251","YKL107W","S+YLT-Single"
"P34756","YFR019W","S+YLT-Single"
"P34758","YOR329C","S+YLT-Single"
"P34909","YER068W","S+YLT-Single"
"P35056","YDR244W","S+YLT-Single"
"P35127","YJR099W","S+YLT-Single"
"P35177","YBR081C","S+YLT-Single"
"P35178","YDR087C","S+YLT-Single"
"P35179","YDR086C","S+YLT-Single"
"P35180","YGR082W","S+YLT-Single"
"P35181","YLR170C","S+YLT-Single"
"P35182","YDL006W","S+YLT-Single"
"P35184","YIR012W","S+YLT-Single"
"P35187","YMR190C","S+YLT-Single"
"P35189","YPL129W","S+YLT-Single"
"P35190","YGL215W","S+YLT-Single"
"P35191","YFL016C","S+YLT-Single"
"P35194","YBL004W","S+YLT-Single"
"P35195","YBL001C","S+YLT-Single"
"P35196","YBR002C","S+YLT-Single"
"P35197","YDL226C","S+YLT-Single"
"P35201","YKL089W","S+YLT-Single"
"P35202","YOR143C","S+YLT-Single"
"P35207","YLR398C","S+YLT-Single"
"P35208","YJL127C","S+YLT-Single"
"P35688","YDL240W","S+YLT-Single"
"P35691","YKL056C","S+YLT-Single"
"P35718","YKL144C","S+YLT-Single"
"P35719","YKL142W","S+YLT-Single"
"P35724","YKL064W","S+YLT-Single"
"P35728","YKL059C","S+YLT-Single"
"P35731","YKL055C","S+YLT-Single"
"P35732","YKL054C","S+YLT-Single"
"P35734","YKL052C","S+YLT-Single"
"P35735","YKL051W","S+YLT-Single"
"P35817","YLR399C","S+YLT-Single"
"P35996","YKL170W","S+YLT-Single"
"P35999","YKL134C","S+YLT-Single"
"P36007","YKL218C","S+YLT-Single"
"P36009","YKL078W","S+YLT-Single"
"P36010","YKL067W","S+YLT-Single"
"P36013","YKL029C","S+YLT-Single"
"P36015","YKL196C","S+YLT-Single"
"P36016","YKL073W","S+YLT-Single"
"P36017","YOR089C","S+YLT-Single"
"P36022","YKR054C","S+YLT-Single"
"P36035","YKL217W","S+YLT-Single"
"P36037","YKL213C","S+YLT-Single"
"P36039","YKL207W","S+YLT-Single"
"P36040","YKL206C","S+YLT-Single"
"P36046","YKL195W","S+YLT-Single"
"P36047","YKL193C","S+YLT-Single"
"P36048","YKL173W","S+YLT-Single"
"P36049","YKL172W","S+YLT-Single"
"P36051","YKL165C","S+YLT-Single"
"P36052","YKL162C","S+YLT-Single"
"P36053","YKL160W","S+YLT-Single"
"P36056","YKL155C","S+YLT-Single"
"P36057","YKL154W","S+YLT-Single"
"P36059","YKL151C","S+YLT-Single"
"P36060","YKL150W","S+YLT-Single"
"P36062","YKL146W","S+YLT-Single"
"P36064","YKL137W","S+YLT-Single"
"P36069","YKL128C","S+YLT-Single"
"P36070","YKL125W","S+YLT-Single"
"P36075","YKL090W","S+YLT-Single"
"P36077","YKL086W","S+YLT-Single"
"P36078","YKL084W","S+YLT-Single"
"P36080","YKL082C","S+YLT-Single"
"P36081","YKL077W","S+YLT-Single"
"P36084","YKL074C","S+YLT-Single"
"P36086","YKL071W","S+YLT-Single"
"P36087","YKL070W","S+YLT-Single"
"P36088","YKL069W","S+YLT-Single"
"P36090","YKL047W","S+YLT-Single"
"P36095","YKL041W","S+YLT-Single"
"P36096","YKL034W","S+YLT-Single"
"P36097","YKL033W","S+YLT-Single"
"P36100","YKL028W","S+YLT-Single"
"P36102","YKL025C","S+YLT-Single"
"P36104","YKL018W","S+YLT-Single"
"P36107","YKL004W","S+YLT-Single"
"P36108","YKL002W","S+YLT-Single"
"P36112","YKR016W","S+YLT-Single"
"P36113","YKR017C","S+YLT-Single"
"P36119","YKR023W","S+YLT-Single"
"P36120","YKR024C","S+YLT-Single"
"P36121","YKR025W","S+YLT-Single"
"P36126","YKR031C","S+YLT-Single"
"P36132","YKR038C","S+YLT-Single"
"P36136","YKR043C","S+YLT-Single"
"P36142","YKR051W","S+YLT-Single"
"P36144","YKR060W","S+YLT-Single"
"P36145","YKR062W","S+YLT-Single"
"P36146","YKR063C","S+YLT-Single"
"P36147","YKR065C","S+YLT-Single"
"P36149","YKR068C","S+YLT-Single"
"P36150","YKR069W","S+YLT-Single"
"P36151","YKR070W","S+YLT-Single"
"P36152","YKR071C","S+YLT-Single"
"P36154","YKR074W","S+YLT-Single"
"P36159","YKR079C","S+YLT-Single"
"P36160","YKR081C","S+YLT-Single"
"P36161","YKR082W","S+YLT-Single"
"P36162","YKR083C","S+YLT-Single"
"P36163","YKR087C","S+YLT-Single"
"P36164","YKR088C","S+YLT-Single"
"P36166","YKR090W","S+YLT-Single"
"P36421","YGR185C","S+YLT-Single"
"P36516","YMR024W","S+YLT-Single"
"P36517","YLR439W","S+YLT-Single"
"P36519","YDR237W","S+YLT-Single"
"P36520","YNL284C","S+YLT-Single"
"P36521","YDL202W","S+YLT-Single"
"P36523","YLR312W-A","S+YLT-Single"
"P36525","YMR193W","S+YLT-Single"
"P36526","YBR282W","S+YLT-Single"
"P36527","YDR462W","S+YLT-Single"
"P36528","YNL252C","S+YLT-Single"
"P36531","YBR122C","S+YLT-Single"
"P36532","YBR268W","S+YLT-Single"
"P36533","YML009C","S+YLT-Single"
"P36534","YPL173W","S+YLT-Single"
"P36775","YBL022C","S+YLT-Single"
"P37020","YJR040W","S+YLT-Single"
"P37254","YNR033W","S+YLT-Single"
"P37263","YCR087C-A","S+YLT-Single"
"P37267","YGR174C","S+YLT-Single"
"P37291","YLR058C","S+YLT-Single"
"P37292","YBR263W","S+YLT-Single"
"P37293","YGR147C","S+YLT-Single"
"P37297","YLR305C","S+YLT-Single"
"P37302","YBR286W","S+YLT-Single"
"P37303","YEL046C","S+YLT-Single"
"P37366","YPR025C","S+YLT-Single"
"P37370","YLR337C","S+YLT-Single"
"P37838","YPL043W","S+YLT-Single"
"P38011","YMR116C","S+YLT-Single"
"P38013","YLR109W","S+YLT-Single"
"P38042","YBL084C","S+YLT-Single"
"P38061","YBL092W","S+YLT-Single"
"P38064","YBL038W","S+YLT-Single"
"P38065","YBL037W","S+YLT-Single"
"P38066","YBL033C","S+YLT-Single"
"P38067","YBR006W","S+YLT-Single"
"P38070","YBR028C","S+YLT-Single"
"P38071","YBR026C","S+YLT-Single"
"P38074","YBR034C","S+YLT-Single"
"P38075","YBR035C","S+YLT-Single"
"P38077","YBR039W","S+YLT-Single"
"P38081","YBR056W","S+YLT-Single"
"P38086","YBR073W","S+YLT-Single"
"P38088","YBR121C","S+YLT-Single"
"P38090","YBR132C","S+YLT-Single"
"P38110","YBL088C","S+YLT-Single"
"P38111","YBR136W","S+YLT-Single"
"P38112","YBR142W","S+YLT-Single"
"P38116","YBR164C","S+YLT-Single"
"P38120","YBR146W","S+YLT-Single"
"P38121","YBL035C","S+YLT-Single"
"P38122","YBR176W","S+YLT-Single"
"P38123","YBR175W","S+YLT-Single"
"P38126","YBR186W","S+YLT-Single"
"P38127","YBR192W","S+YLT-Single"
"P38129","YBR198C","S+YLT-Single"
"P38132","YBR202W","S+YLT-Single"
"P38137","YBR222C","S+YLT-Single"
"P38138","YBR229C","S+YLT-Single"
"P38139","YBR204C","S+YLT-Single"
"P38140","YBR239C","S+YLT-Single"
"P38145","YBR256C","S+YLT-Single"
"P38148","YBR276C","S+YLT-Single"
"P38149","YBR281C","S+YLT-Single"
"P38152","YBR291C","S+YLT-Single"
"P38153","YBR288C","S+YLT-Single"
"P38162","YBL107C","S+YLT-Single"
"P38164","YBL104C","S+YLT-Single"
"P38165","YBL103C","S+YLT-Single"
"P38166","YBL102W","S+YLT-Single"
"P38169","YBL098W","S+YLT-Single"
"P38170","YBL097W","S+YLT-Single"
"P38174","YBL091C","S+YLT-Single"
"P38177","YBL086C","S+YLT-Single"
"P38179","YBL082C","S+YLT-Single"
"P38182","YBL078C","S+YLT-Single"
"P38191","YBL049W","S+YLT-Single"
"P38193","YBL046W","S+YLT-Single"
"P38197","YBL036C","S+YLT-Single"
"P38198","YBL034C","S+YLT-Single"
"P38201","YBL029W","S+YLT-Single"
"P38205","YBL024W","S+YLT-Single"
"P38206","YBL020W","S+YLT-Single"
"P38208","YBL018C","S+YLT-Single"
"P38211","YBR004C","S+YLT-Single"
"P38213","YBR007C","S+YLT-Single"
"P38217","YBR017C","S+YLT-Single"
"P38218","YBR022W","S+YLT-Single"
"P38219","YBR025C","S+YLT-Single"
"P38221","YBR029C","S+YLT-Single"
"P38222","YBR030W","S+YLT-Single"
"P38224","YBR040W","S+YLT-Single"
"P38225","YBR041W","S+YLT-Single"
"P38230","YBR046C","S+YLT-Single"
"P38235","YBR053C","S+YLT-Single"
"P38236","YBR057C","S+YLT-Single"
"P38237","YBR058C","S+YLT-Single"
"P38238","YBR061C","S+YLT-Single"
"P38239","YBR062C","S+YLT-Single"
"P38241","YBR065C","S+YLT-Single"
"P38242","YBR070C","S+YLT-Single"
"P38244","YBR074W","S+YLT-Single"
"P38249","YBR079C","S+YLT-Single"
"P38251","YBR087W","S+YLT-Single"
"P38254","YBR094W","S+YLT-Single"
"P38255","YBR095C","S+YLT-Single"
"P38256","YBR096W","S+YLT-Single"
"P38260","YBR101C","S+YLT-Single"
"P38261","YBR102C","S+YLT-Single"
"P38262","YBR103W","S+YLT-Single"
"P38264","YBR106W","S+YLT-Single"
"P38274","YBR133C","S+YLT-Single"
"P38276","YBR137W","S+YLT-Single"
"P38278","YBR141C","S+YLT-Single"
"P38283","YBR156C","S+YLT-Single"
"P38285","YBR158W","S+YLT-Single"
"P38286","YBR159W","S+YLT-Single"
"P38291","YBR167C","S+YLT-Single"
"P38293","YBR173C","S+YLT-Single"
"P38297","YBR179C","S+YLT-Single"
"P38300","YBR185C","S+YLT-Single"
"P38301","YBR187W","S+YLT-Single"
"P38304","YBR193C","S+YLT-Single"
"P38308","YBR203W","S+YLT-Single"
"P38316","YBR217W","S+YLT-Single"
"P38318","YBR220C","S+YLT-Single"
"P38319","YBR223C","S+YLT-Single"
"P38323","YBR227C","S+YLT-Single"
"P38324","YBR228W","S+YLT-Single"
"P38326","YBR231C","S+YLT-Single"
"P38328","YBR234C","S+YLT-Single"
"P38329","YBR235W","S+YLT-Single"
"P38332","YBR246W","S+YLT-Single"
"P38333","YBR247C","S+YLT-Single"
"P38334","YBR254C","S+YLT-Single"
"P38335","YBR255W","S+YLT-Single"
"P38336","YBR257W","S+YLT-Single"
"P38339","YBR260C","S+YLT-Single"
"P38340","YBR261C","S+YLT-Single"
"P38342","YBR265W","S+YLT-Single"
"P38345","YBR269C","S+YLT-Single"
"P38347","YBR271W","S+YLT-Single"
"P38351","YBR279W","S+YLT-Single"
"P38352","YBR280C","S+YLT-Single"
"P38355","YBR287W","S+YLT-Single"
"P38356","YBR290W","S+YLT-Single"
"P38360","YBR295W","S+YLT-Single"
"P38361","YBR296C","S+YLT-Single"
"P38374","YBR162W-A","S+YLT-Single"
"P38429","YMR263W","S+YLT-Single"
"P38431","YPR041W","S+YLT-Single"
"P38439","YOR123C","S+YLT-Single"
"P38523","YOR232W","S+YLT-Single"
"P38604","YHR072W","S+YLT-Single"
"P38615","YMR139W","S+YLT-Single"
"P38624","YJL001W","S+YLT-Single"
"P38625","YMR217W","S+YLT-Single"
"P38626","YIL043C","S+YLT-Single"
"P38628","YEL058W","S+YLT-Single"
"P38629","YNL290W","S+YLT-Single"
"P38630","YOR217W","S+YLT-Single"
"P38633","YGL127C","S+YLT-Single"
"P38635","YFR025C","S+YLT-Single"
"P38636","YNL259C","S+YLT-Single"
"P38637","YIR011C","S+YLT-Single"
"P38682","YER122C","S+YLT-Single"
"P38687","YPL243W","S+YLT-Single"
"P38688","YPL210C","S+YLT-Single"
"P38691","YHR082C","S+YLT-Single"
"P38694","YHR039C","S+YLT-Single"
"P38698","YHR201C","S+YLT-Single"
"P38701","YHL015W","S+YLT-Single"
"P38702","YHR002W","S+YLT-Single"
"P38705","YHR011W","S+YLT-Single"
"P38707","YHR019C","S+YLT-Single"
"P38708","YHR020W","S+YLT-Single"
"P38712","YHR065C","S+YLT-Single"
"P38713","YHR073W","S+YLT-Single"
"P38715","YHR104W","S+YLT-Single"
"P38716","YHR112C","S+YLT-Single"
"P38719","YHR169W","S+YLT-Single"
"P38736","YHL031C","S+YLT-Single"
"P38737","YHL030W","S+YLT-Single"
"P38738","YHL029C","S+YLT-Single"
"P38739","YHL028W","S+YLT-Single"
"P38741","YHL024W","S+YLT-Single"
"P38742","YHL023C","S+YLT-Single"
"P38747","YHL013C","S+YLT-Single"
"P38748","YHL010C","S+YLT-Single"
"P38749","YHL009C","S+YLT-Single"
"P38750","YHL008C","S+YLT-Single"
"P38753","YHL002W","S+YLT-Single"
"P38757","YHR004C","S+YLT-Single"
"P38758","YHR009C","S+YLT-Single"
"P38759","YHR012W","S+YLT-Single"
"P38765","YHR029C","S+YLT-Single"
"P38768","YHR034C","S+YLT-Single"
"P38771","YHR038W","S+YLT-Single"
"P38772","YHR040W","S+YLT-Single"
"P38775","YHR045W","S+YLT-Single"
"P38776","YHR048W","S+YLT-Single"
"P38782","YHR058C","S+YLT-Single"
"P38783","YHR059W","S+YLT-Single"
"P38786","YHR062C","S+YLT-Single"
"P38787","YHR063C","S+YLT-Single"
"P38788","YHR064C","S+YLT-Single"
"P38790","YHR067W","S+YLT-Single"
"P38791","YHR068W","S+YLT-Single"
"P38792","YHR069C","S+YLT-Single"
"P38793","YHR070W","S+YLT-Single"
"P38794","YHR071W","S+YLT-Single"
"P38795","YHR074W","S+YLT-Single"
"P38796","YHR075C","S+YLT-Single"
"P38797","YHR076W","S+YLT-Single"
"P38798","YHR077C","S+YLT-Single"
"P38799","YHR078W","S+YLT-Single"
"P38803","YHR085W","S+YLT-Single"
"P38804","YHR087W","S+YLT-Single"
"P38805","YHR088W","S+YLT-Single"
"P38806","YHR090C","S+YLT-Single"
"P38810","YHR098C","S+YLT-Single"
"P38811","YHR099W","S+YLT-Single"
"P38812","YHR100C","S+YLT-Single"
"P38813","YHR101C","S+YLT-Single"
"P38820","YHR111W","S+YLT-Single"
"P38821","YHR113W","S+YLT-Single"
"P38822","YHR114W","S+YLT-Single"
"P38824","YHR116W","S+YLT-Single"
"P38827","YHR119W","S+YLT-Single"
"P38828","YHR121W","S+YLT-Single"
"P38829","YHR122W","S+YLT-Single"
"P38830","YHR124W","S+YLT-Single"
"P38836","YHR132C","S+YLT-Single"
"P38838","YHR134W","S+YLT-Single"
"P38842","YHR140W","S+YLT-Single"
"P38843","YHR142W","S+YLT-Single"
"P38849","YHR151C","S+YLT-Single"
"P38850","YHR154W","S+YLT-Single"
"P38859","YHR164C","S+YLT-Single"
"P38860","YHR168W","S+YLT-Single"
"P38861","YHR170W","S+YLT-Single"
"P38862","YHR171W","S+YLT-Single"
"P38863","YHR172W","S+YLT-Single"
"P38865","YHR175W","S+YLT-Single"
"P38866","YHR176W","S+YLT-Single"
"P38869","YHR181W","S+YLT-Single"
"P38873","YHR186C","S+YLT-Single"
"P38874","YHR187W","S+YLT-Single"
"P38875","YHR188C","S+YLT-Single"
"P38876","YHR189W","S+YLT-Single"
"P38877","YHR191C","S+YLT-Single"
"P38879","YHR193C","S+YLT-Single"
"P38880","YHR194W","S+YLT-Single"
"P38886","YHR200W","S+YLT-Single"
"P38887","YHR202W","S+YLT-Single"
"P38888","YHR204W","S+YLT-Single"
"P38889","YHR206W","S+YLT-Single"
"P38890","YHR207C","S+YLT-Single"
"P38902","YOL005C","S+YLT-Single"
"P38903","YOR014W","S+YLT-Single"
"P38904","YDR464W","S+YLT-Single"
"P38907","YDR254W","S+YLT-Single"
"P38909","YOR037W","S+YLT-Single"
"P38910","YOR020C","S+YLT-Single"
"P38912","YMR260C","S+YLT-Single"
"P38913","YDL045C","S+YLT-Single"
"P38915","YLR055C","S+YLT-Single"
"P38920","YMR167W","S+YLT-Single"
"P38921","YNL003C","S+YLT-Single"
"P38929","YGL006W","S+YLT-Single"
"P38930","YOR039W","S+YLT-Single"
"P38931","YDR443C","S+YLT-Single"
"P38932","YGL095C","S+YLT-Single"
"P38953","YDR076W","S+YLT-Single"
"P38958","YDR079W","S+YLT-Single"
"P38959","YDR080W","S+YLT-Single"
"P38961","YDR083W","S+YLT-Single"
"P38962","YDR084C","S+YLT-Single"
"P38966","YDR089W","S+YLT-Single"
"P38968","YDL195W","S+YLT-Single"
"P38972","YGR061C","S+YLT-Single"
"P38985","YDL092W","S+YLT-Single"
"P38987","YML064C","S+YLT-Single"
"P38988","YDL198C","S+YLT-Single"
"P38989","YFR031C","S+YLT-Single"
"P38991","YPL209C","S+YLT-Single"
"P38992","YDR297W","S+YLT-Single"
"P38994","YDR208W","S+YLT-Single"
"P38995","YDR270W","S+YLT-Single"
