"protein","Gene","Group"
"Q12469","YOL113W","WGD"
"Q12355","YDR055W","WGD"
"P25036","YOR003W","WGD"
"P36110","YKR013W","WGD"
"Q07950","YLR020C","WGD"
"Q12466","YOR086C","WGD"
"P40092","YER150W","WGD"
"P53173","YGL054C","WGD"
"Q12246","YOR171C","WGD"
"P17898","YNL130C","WGD"
"P35200","YLR168C","WGD"
"P09938","YJL026W","WGD"
"P38426","YMR261C","WGD"
"Q12335","YDR032C","WGD"
"P39540","YJL196C","WGD"
"Q12038","YPR032W","WGD"
"P36014","YKL026C","WGD"
"Q03178","YKL164C","WGD"
"P23285","YHR057C","WGD"
"Q00955","YNR016C","WGD"
"P53739","YNR047W","WGD"
"P13186","YLR096W","WGD"
"P32798","YOR316C","WGD"
"P53740","YNR048W","WGD"
"P53897","YNL157W","WGD"
"P53632","YOL115W","WGD"
"Q02891","YPL095C","WGD"
"P22517","YOL016C","WGD"
"Q08217","YOL045W","WGD"
"Q08929","YPL189W","WGD"
"Q12300","YDL138W","WGD"
"Q04533","YML082W","WGD"
"Q12207","YPR149W","WGD"
"P40556","YIL006W","WGD"
"P49435","YML022W","WGD"
"P40215","YMR145C","WGD"
"Q03263","YMR279C","WGD"
"P36017","YOR089C","WGD"
"P01119","YOR101W","WGD"
"Q06466","YPR157W","WGD"
"P23833","YBR037C","WGD"
"Q08754","YOR299W","WGD"
"P38714","YHR091C","WGD"
"P24869","YPR119W","WGD"
"Q3E827","YJR005C-A","WGD"
"Q12415","YOR110W","WGD"
"Q12010","YOL092W","WGD"
"P53746","YNR060W","WGD"
"P26570","YML016C","WGD"
"Q12320","YOR040W","WGD"
"P20438","YPL256C","WGD"
"P53198","YGL002W","WGD"
"Q02725","YPL019C","WGD"
"Q02794","YOR047C","WGD"
"P22108","YDR530C","WGD"
"Q12362","YOL066C","WGD"
"P32491","YPL140C","WGD"
"A2P2R3","YMR084W","WGD"
"Q12271","YOR109W","WGD"
"Q06817","YPR081C","WGD"
"P53924","YNL116W","WGD"
"P12683","YML075C","WGD"
"P53172","YGL056C","WGD"
"P38911","YML074C","WGD"
"P53685","YOL068C","WGD"
"P30624","YOR317W","WGD"
"Q99252","YOR092W","WGD"
"Q08108","YOL011W","WGD"
"P52893","YLR089C","WGD"
"Q03028","YPL134C","WGD"
"P33550","YKR061W","WGD"
"P39966","YER089C","WGD"
"P38216","YBR016W","WGD"
"Q04951","YMR305C","WGD"
"P38615","YMR139W","WGD"
"P53953","YNL049C","WGD"
"P24280","YMR079W","WGD"
"P53144","YGL101W","WGD"
"P00425","YIL111W","WGD"
"P01149","YPL187W","WGD"
"P32793","YHR016C","WGD"
"P38690","YHR033W","WGD"
"P21375","YJR051W","WGD"
"P48813","YDR508C","WGD"
"Q05785","YLR206W","WGD"
"P23292","YNL154C","WGD"
"P36135","YKR042W","WGD"
"Q12525","YLL062C","WGD"
"P04817","YEL063C","WGD"
"Q06449","YPR154W","WGD"
"Q08967","YPL221W","WGD"
"P14747","YML057W","WGD"
"P47190","YOR321W","WGD"
"P32603","YOR190W","WGD"
"Q12326","YOL056W","WGD"
"P17695","YDR513W","WGD"
"P32600","YKL203C","WGD"
"P32642","YER174C","WGD"
"P18961","YMR104C","WGD"
"P33300","YPL057C","WGD"
"P39945","YER101C","WGD"
"P36114","YKR018C","WGD"
"P39535","YJL198W","WGD"
"P14065","YOR120W","WGD"
"P32331","YPR058W","WGD"
"Q12123","YOR173W","WGD"
"P40188","YIL057C","WGD"
"P35844","YPL145C","WGD"
"Q12117","YDR033W","WGD"
"P53616","YNL066W","WGD"
"P39704","YAL007C","WGD"
"P17536","YNL079C","WGD"
"Q06177","YLR327C","WGD"
"P28496","YKL008C","WGD"
"Q06144","YLR350W","WGD"
"P24784","YPL119C","WGD"
"P15019","YLR354C","WGD"
"P32660","YER166W","WGD"
"P32486","YPR159W","WGD"
"P23254","YPR074C","WGD"
"Q04409","YDR516C","WGD"
"P05986","YKL166C","WGD"
"P23500","YKR052C","WGD"
"P38857","YHR162W","WGD"
"P32465","YHR094C","WGD"
"Q08986","YPL274W","WGD"
"P32454","YKL157W","WGD"
"P52489","YOR347C","WGD"
"P32466","YDR345C","WGD"
"P41815","YDR046C","WGD"
"Q02201","YKR003W","WGD"
"P50278","YNR034W","WGD"
"P30402","YMR271C","WGD"
"P41911","YOL059W","WGD"
"P32802","YLR083C","WGD"
"P40185","YIL051C","WGD"
"P38891","YHR208W","WGD"
"P33328","YOR327C","WGD"
"Q06178","YLR328W","WGD"
"P53982","YNL009W","WGD"
"P13045","YDR009W","WGD"
"Q04439","YMR109W","WGD"
"P53390","YPR138C","WGD"
"Q03020","YPL135W","WGD"
"P32589","YPL106C","WGD"
"P32328","YPR111W","WGD"
"P32867","YPL232W","WGD"
"P32907","YNR002C","WGD"
"P00330","YOL086C","WGD"
"P32356","YDR001C","WGD"
"P40107","YGL225W","WGD"
"P22217","YLR043C","WGD"
"Q03180","YKL163W","WGD"
"P30606","YOL103W","WGD"
"P00890","YNR001C","WGD"
"P37012","YMR105C","WGD"
"P38627","YJR103W","WGD"
"P04807","YGL253W","WGD"
"P51996","YGL210W","WGD"
"P27472","YLR258W","WGD"
"P0CS90","YJR045C","WGD"
"P21672","YIL066C","WGD"
"Q12166","YOR108W","WGD"
"P38009","YMR120C","WGD"
"P53978","YNL014W","WGD"
"P38816","YHR106W","WGD"
"Q00711","YKL148C","WGD"
"P00044","YJR048W","WGD"
"P05749","YLR061W","WGD"
"P07262","YOR375C","WGD"
"P34760","YML028W","WGD"
"P49089","YPR145W","WGD"
"P11632","YPR052C","WGD"
"P38631","YLR342W","WGD"
"P38620","YER099C","WGD"
"P26786","YOR096W","WGD"
"Q06451","YPR156C","WGD"
"P18238","YBR085W","WGD"
"P38720","YHR183W","WGD"
"Q12122","YDL131W","WGD"
"P40510","YIL074C","WGD"
"P23594","YDL134C","WGD"
"P09733","YML085C","WGD"
"P26785","YNL069C","WGD"
"P10659","YLR180W","WGD"
"P11154","YGL062W","WGD"
"P49166","YLR185W","WGD"
"P41277","YIL053W","WGD"
"P19211","YJR047C","WGD"
"P15732","YDR059C","WGD"
"P29311","YER177W","WGD"
"P40975","YEL017C-A","WGD"
"P41057","YLR388W","WGD"
"P46654","YLR048W","WGD"
"P38789","YHR066W","WGD"
"Q02326","YML073C","WGD"
"P05743","YLR344W","WGD"
"P00925","YHR174W","WGD"
"Q3E7X9","YOR167C","WGD"
"P11076","YDL192W","WGD"
"P24000","YGR148C","WGD"
"P23248","YML063W","WGD"
"O14455","YPL249C-A","WGD"
"O13516","YPL081W","WGD"
"Q08745","YOR293W","WGD"
"P29453","YLL045C","WGD"
"P32836","YOR185C","WGD"
"P0CX24","YOR312C","WGD"
"P0C2H9","YLR406C","WGD"
"P35997","YKL156W","WGD"
"P02829","YPL240C","WGD"
"P0C0V8","YKR057W","WGD"
"P0C2H6","YHR010W","WGD"
"P0C0T4","YLR333C","WGD"
"Q12213","YPL198W","WGD"
"P39938","YGL189C","WGD"
"P40525","YIL052C","WGD"
"Q12672","YPL079W","WGD"
"P40212","YMR142C","WGD"
"P02407","YML024W","WGD"
"P39516","YJL191W","WGD"
"P25594","YCL069W","WGD"
"P0C0W9","YPR102C","WGD"
"P0CX25","YPR043W","WGD"
"P05740","YKL180W","WGD"
"P05744","YPL143W","WGD"
"P53823","YNL334C","WGD"
"P54780","YMR121C","WGD"
"P40150","YNL209W","WGD"
"P36105","YKL006W","WGD"
"P07280","YOL121C","WGD"
"P36173","YKR106W","WGD"
"P53824","YNL333W","WGD"
"P49626","YDR012W","WGD"
NA,"YOR133W","WGD"
"P0CX37","YPL090C","WGD"
"P0CX42","YER117W","WGD"
NA,"YPR080W","WGD"
"P0CX40","YER102W","WGD"
"P0CX34","YOR182C","WGD"
"P0CX30","YPR132W","WGD"
"Q12127","YLR110C","WGD"
"P0CX35","YJR145C","WGD"
"P0CX51","YMR143W","WGD"
"P0CX82","YBR084C-A","WGD"
"P0CX43","YPL220W","WGD"
"P0CX27","YNL162W","WGD"
"P0CH09","YKR094C","WGD"
NA,"YKR059W","WGD"
"P0CX49","YOL120C","WGD"
"P0CX32","YIL069C","WGD"
"P0CX47","YDR025W","WGD"
"P0CX56","YML026C","WGD"
"P0CX85","YDL136W","WGD"
"P0CX53","YEL054C","WGD"
"P0CX87","YDL133C-A","WGD"
"P0CX46","YIL018W","WGD"
"P05030","YGL008C","GroupIV"
"P06169","YLR044C","GroupIV"
"P0C0W1","YJL190C","GroupIV"
"P0CY06","YCR040W","GroupIV"
"P0CY07","YCL066W","GroupIV"
"P16467","YLR134W","GroupIV"
"P17064","YER056C","GroupIV"
"P19657","YPL036W","GroupIV"
"P21826","YIR031C","GroupIV"
"P26263","YGR087C","GroupIV"
"P30952","YNL117W","GroupIV"
"P33302","YOR153W","GroupIV"
"P42883","YNL332W","GroupIV"
"P43534","YFL058W","GroupIV"
"P47183","YJR156C","GroupIV"
"P51533","YOR328W","GroupIV"
"P53058","YGL258W","GroupIV"
"Q04182","YDR406W","GroupIV"
"Q05998","YLR237W","GroupIV"
"Q06490","YPR121W","GroupIV"
"Q07748","YDL244W","GroupIV"
"Q08224","YOL055C","GroupIV"
"Q08485","YOR071C","GroupIV"
"Q08579","YOR192C","GroupIV"
"Q08910","YOR387C","GroupIV"
"Q08975","YPL258C","GroupIV"
"Q12119","YER060W-A","GroupIV"
"Q3E7Y3","YLR367W","GroupIV"
"A0A0B7P3V8","YPL060C-A","GroupV"
"O13559","YLR466W","GroupV"
"P00331","YMR303C","GroupV"
"P00635","YBR093C","GroupV"
"P09435","YBL075C","GroupV"
"P0CD99","YDL247W","GroupV"
"P0CE00","YJR160C","GroupV"
"P0CE85","YMR325W","GroupV"
"P0CE86","YOR394W","GroupV"
"P0CE87","YPL282C","GroupV"
"P0CE88","YJL223C","GroupV"
"P0CE89","YIL176C","GroupV"
"P0CE90","YNR076W","GroupV"
"P0CE91","YLL064C","GroupV"
"P0CE92","YAL068C","GroupV"
"P0CE93","YGL261C","GroupV"
"P0CE96","YLR156W","GroupV"
"P0CE97","YLR159W","GroupV"
"P0CE98","YLR161W","GroupV"
"P0CH63","YFL061W","GroupV"
"P0CH64","YNL335W","GroupV"
"P0CW40","YIL172C","GroupV"
"P0CW41","YJL221C","GroupV"
"P0CX10","YOR393W","GroupV"
"P0CX11","YPL281C","GroupV"
"P0CX12","YBR302C","GroupV"
"P0CX13","YML132W","GroupV"
"P0CX14","YGR296W","GroupV"
"P0CX15","YPL283C","GroupV"
"P0CX16","YEL076C-A","GroupV"
"P0CX17","YLR464W","GroupV"
"P0CX18","YAR066W","GroupV"
"P0CX19","YHR214W","GroupV"
"P0CX20","YDR545W","GroupV"
"P0CX21","YLR467W","GroupV"
"P0CX22","YOR396W","GroupV"
"P0CX68","YLR035C-B","GroupV"
"P0CX77","YLR157C","GroupV"
"P0CX78","YLR158C","GroupV"
"P0CX79","YLR160C","GroupV"
"P0CX80","YHR053C","GroupV"
"P0CX81","YHR055C","GroupV"
"P0CX94","YER190C-B","GroupV"
"P0CX95","YEL077W-A","GroupV"
"P0CX96","YGR296C-B","GroupV"
"P0CX97","YPL283W-B","GroupV"
"P0CX98","YPR204C-A","GroupV"
"P0CX99","YFL068W","GroupV"
"P0CY00","YLL066W-A","GroupV"
"P0CY01","YLL067W-A","GroupV"
"P0CY02","YLR154C-H","GroupV"
"P0CY03","YLR156C-A","GroupV"
"P0CY04","YLR157C-C","GroupV"
"P0CY05","YLR159C-A","GroupV"
"P0CY08","YCR039C","GroupV"
"P0CY09","YCL067C","GroupV"
"P0CZ17","YLR155C","GroupV"
"P10591","YAL005C","GroupV"
"P10592","YLL024C","GroupV"
"P13587","YDR040C","GroupV"
"P22202","YER103W","GroupV"
"P23585","YMR011W","GroupV"
"P24031","YBR092C","GroupV"
"P25608","YCR102C","GroupV"
"P25610","YCR104W","GroupV"
"P32319","YBL017C","GroupV"
"P32467","YHR092C","GroupV"
"P32568","YDR011W","GroupV"
"P32612","YEL049W","GroupV"
"P33890","YOR010C","GroupV"
"P35497","YJR159W","GroupV"
"P35842","YAR071W","GroupV"
"P35994","YKL224C","GroupV"
"P38155","YBR301W","GroupV"
"P38158","YBR299W","GroupV"
"P38693","YHR215W","GroupV"
"P38697","YHR216W","GroupV"
"P38721","YHL050C","GroupV"
"P38725","YHL046C","GroupV"
"P38773","YHR043C","GroupV"
"P38774","YHR044C","GroupV"
"P38899","YHR218W","GroupV"
"P38900","YHR219W","GroupV"
"P39002","YIL009W","GroupV"
"P39003","YDR343C","GroupV"
"P39004","YDR342C","GroupV"
"P39552","YAR033W","GroupV"
"P39712","YAL063C","GroupV"
"P39924","YEL069C","GroupV"
"P39972","YEL075C","GroupV"
"P40104","YER189W","GroupV"
"P40105","YER190W","GroupV"
"P40434","YIL177C","GroupV"
"P40438","YIL173W","GroupV"
"P40442","YIL169C","GroupV"
"P40585","YIR041W","GroupV"
"P40885","YJL219W","GroupV"
"P40889","YJL225C","GroupV"
"P40890","YJL222W","GroupV"
"P42222","YMR323W","GroupV"
"P42884","YNL331C","GroupV"
"P43539","YFL065C","GroupV"
"P43542","YFL062W","GroupV"
"P43581","YFL011W","GroupV"
"P47182","YJR155W","GroupV"
"P47185","YJR158W","GroupV"
"P47187","YJR161C","GroupV"
"P47771","YMR170C","GroupV"
"P50094","YML056C","GroupV"
"P50095","YLR432W","GroupV"
"P53051","YGR287C","GroupV"
"P53176","YGL051W","GroupV"
"P53341","YGR292W","GroupV"
"P53343","YGR294W","GroupV"
"P53344","YGR295C","GroupV"
"P53427","YLR461W","GroupV"
"P53631","YNR072W","GroupV"
"P53751","YNR065C","GroupV"
"P53756","YNR070W","GroupV"
"P53819","YNL339C","GroupV"
"P53822","YNL336W","GroupV"
"P53963","YNL034W","GroupV"
"P53964","YNL033W","GroupV"
"P53975","YNL019C","GroupV"
"P53976","YNL018C","GroupV"
"P54007","YLR460C","GroupV"
"P54114","YMR169C","GroupV"
"P54854","YDL245C","GroupV"
"P54862","YOL156W","GroupV"
"Q01896","YDR039C","GroupV"
"Q03050","YDR542W","GroupV"
"Q03099","YML133C","GroupV"
"Q04902","YMR322C","GroupV"
"Q05164","YOL155C","GroupV"
"Q07747","YDL243C","GroupV"
"Q07786","YDL246C","GroupV"
"Q07788","YDL248W","GroupV"
"Q07888","YLL067C","GroupV"
"Q07987","YLR037C","GroupV"
"Q08295","YOL157C","GroupV"
"Q08322","YOL161C","GroupV"
"Q08912","YOR389W","GroupV"
"Q08913","YOR390W","GroupV"
"Q08914","YOR391C","GroupV"
"Q08989","YPL277C","GroupV"
"Q08991","YPL279C","GroupV"
"Q08992","YPL280W","GroupV"
"Q08994","YPR203W","GroupV"
"Q08995","YPR204W","GroupV"
"Q12218","YOR009W","GroupV"
"Q12370","YLL025W","GroupV"
"Q12691","YDR038C","GroupV"
"Q3E770","YBL108C-A","GroupV"
"Q3E7X8","YEL077C","GroupV"
"Q3E7Y5","YBL111C","GroupV"
"Q6B2U8","YAL064C-A","GroupV"
"Q7M4S9","YBL113C","GroupV"
"Q99208","YLL066C","GroupV"
