"protein","Gene","Group"
"P53733","YNR037C","GroupI"
"Q03919","YDR139C","GroupI"
"Q12751","YMR185W","GroupI"
"Q07458","YDL076C","GroupI"
"P42941","YGR208W","GroupI"
"Q04675","YMR059W","GroupI"
"Q04172","YDR393W","GroupI"
"P40486","YIL104C","GroupI"
"P38262","YBR103W","GroupI"
"P00958","YGR264C","GroupI"
"P25623","YCR030C","GroupI"
"P25345","YCR024C","GroupI"
"P53065","YGL243W","GroupI"
"Q03750","YML114C","GroupI"
"P53040","YGL112C","GroupI"
"Q06510","YPR140W","GroupI"
"P35691","YKL056C","GroupI"
"Q12297","YPL011C","GroupI"
"P53230","YGR046W","GroupI"
"P53904","YNL148C","GroupI"
"Q02457","YPL128C","GroupI"
"P38129","YBR198C","GroupI"
"Q03761","YDR145W","GroupI"
"P13393","YER148W","GroupI"
"P47079","YJL008C","GroupI"
"P41895","YGR186W","GroupI"
"P02557","YFL037W","GroupI"
"P47058","YJL035C","GroupI"
"P32774","YKL058W","GroupI"
"Q04226","YML015C","GroupI"
"P40085","YER140W","GroupI"
"Q12104","YOR166C","GroupI"
"P36145","YKR062W","GroupI"
"P41896","YGR005C","GroupI"
"Q05027","YMR236W","GroupI"
"Q12030","YDR167W","GroupI"
"P32048","YNL073W","GroupI"
"P38707","YHR019C","GroupI"
"P07806","YGR094W","GroupI"
"Q12109","YOL097C","GroupI"
"P36421","YGR185C","GroupI"
"P48527","YPL097W","GroupI"
"P36100","YKL028W","GroupI"
"Q06163","YLR318W","GroupI"
"P29056","YGR246C","GroupI"
"Q05021","YMR227C","GroupI"
"Q04372","YMR028W","GroupI"
"P48606","YOR265W","GroupI"
"P42943","YJL111W","GroupI"
"P39079","YDR188W","GroupI"
"Q99190","YDL015C","GroupI"
"P22438","YGR171C","GroupI"
"P39965","YER087W","GroupI"
"P11325","YLR382C","GroupI"
"Q9URQ3","YLR316C","GroupI"
"Q05506","YDR341C","GroupI"
"P36104","YKL018W","GroupI"
"Q05515","YDR346C","GroupI"
"P41544","YJL004C","GroupI"
"P32944","YJL187C","GroupI"
"P53873","YNL187W","GroupI"
"P53277","YGR129W","GroupI"
"P15180","YDR037W","GroupI"
"P38827","YHR119W","GroupI"
"P47008","YJL145W","GroupI"
"P53266","YGR112W","GroupI"
"Q06677","YDR320C","GroupI"
"P38992","YDR297W","GroupI"
"Q05471","YDR334W","GroupI"
"P53937","YNL081C","GroupI"
"P26637","YPL160W","GroupI"
"P04803","YDR268W","GroupI"
"P38088","YBR121C","GroupI"
"P07236","YKL194C","GroupI"
"Q07395","YDL063C","GroupI"
"P46655","YGL245W","GroupI"
"Q04048","YDR416W","GroupI"
"Q03290","YDR460W","GroupI"
"Q07914","YLR008C","GroupI"
"P42949","YJL104W","GroupI"
"Q01852","YIL022W","GroupI"
"P36101","YKL027W","GroupI"
"Q3E7C1","YDR079C-A","GroupI"
"Q06339","YDR362C","GroupI"
"Q12052","YPL157W","GroupI"
"P07273","YGL043W","GroupI"
"P53916","YNL128W","GroupI"
"P54857","YDR058C","GroupI"
"P53552","YNL139C","GroupI"
"P12612","YDR212W","GroupI"
"P39076","YIL142W","GroupI"
"P53038","YGR099W","GroupI"
"P40533","YIL039W","GroupI"
"P29055","YPR086W","GroupI"
"Q12004","YPR056W","GroupI"
"P33339","YGR047C","GroupI"
"P00927","YER086W","GroupI"
"P18412","YBR083W","GroupI"
"P32776","YDR311W","GroupI"
"P32318","YGR144W","GroupI"
"Q07904","YLR004C","GroupI"
"P32367","YBR123C","GroupI"
"Q02939","YPL122C","GroupI"
"P39078","YDL143W","GroupI"
"P38758","YHR009C","GroupI"
"P46678","YNL039W","GroupI"
"P42938","YGR205W","GroupI"
"P34163","YKL140W","GroupI"
"P41835","YPL214C","GroupI"
"P53201","YGR002C","GroupI"
"P48525","YOL033W","GroupI"
"P34111","YAL001C","GroupI"
"P47153","YJR116W","GroupI"
"P26343","YKR034W","GroupI"
"Q02647","YDR424C","GroupI"
"P69850","YBR233W-A","GroupI"
"Q12389","YDL031W","GroupI"
"P24783","YNL112W","GroupI"
"Q04792","YMR250W","GroupI"
"P32460","YIR030C","GroupI"
"P35732","YKL054C","GroupI"
"P38307","YBR201W","GroupI"
"P54838","YML070W","GroupI"
"P18962","YHR028C","GroupI"
"P33750","YLL011W","GroupI"
"P25559","YCL016C","GroupI"
"P40087","YER143W","GroupI"
"P47089","YJR014W","GroupI"
"P36022","YKR054C","GroupI"
"P15365","YJR152W","GroupI"
"Q12091","YPL170W","GroupI"
"P21182","YOL052C","GroupI"
"P32324","YOR133W, YDR385W","GroupI"
"Q12395","YLR128W","GroupI"
"Q05924","YLR361C","GroupI"
"P69851","YDR320C-A","GroupI"
"P25039","YLR069C","GroupI"
"P32347","YDR047W","GroupI"
"Q12248","YDR016C","GroupI"
"P43550","YFL053W","GroupI"
"P20448","YJL033W","GroupI"
"P53550","YNL118C","GroupI"
"Q00873","YKL087C","GroupI"
"P53206","YGR012W","GroupI"
"P53267","YGR113W","GroupI"
"P32325","YDR052C","GroupI"
"Q06218","YLR276C","GroupI"
"P32898","YDR430C","GroupI"
"P36120","YKR024C","GroupI"
"P20449","YOR046C","GroupI"
"P53734","YNR038W","GroupI"
"P20447","YGL078C","GroupI"
"P24309","YKL149C","GroupI"
"P38865","YHR175W","GroupI"
"Q06686","YLR411W","GroupI"
"P14922","YBR112C","GroupI"
"Q01454","YPR135W","GroupI"
"Q06053","YLR401C","GroupI"
"P53088","YGL211W","GroupI"
"P38116","YBR164C","GroupI"
"P38929","YGL006W","GroupI"
"Q12674","YMR162C","GroupI"
"P43601","YFR021W","GroupI"
"Q00684","YFR028C","GroupI"
"P00830","YJR121W","GroupI"
"Q12165","YDL004W","GroupI"
"P38995","YDR270W","GroupI"
"P08566","YDR127W","GroupI"
"Q05791","YLR215C","GroupI"
"Q12233","YPR020W","GroupI"
"Q12186","YLR116W","GroupI"
"Q06338","YDR361C","GroupI"
"P32839","YDR375C","GroupI"
"P47082","YJR001W","GroupI"
"P36062","YKL146W","GroupI"
"Q08236","YOL078W","GroupI"
"Q04749","YMR068W","GroupI"
"Q12226","YLL063C","GroupI"
"P47068","YJL020C","GroupI"
"Q02948","YPL120W","GroupI"
"P25342","YCR002C","GroupI"
"P07251","YBL099W","GroupI"
"P41696","YOR113W","GroupI"
"Q03630","YML077W","GroupI"
"P38934","YOR198C","GroupI"
"P30902","YKL016C","GroupI"
"Q12500","YLR114C","GroupI"
"Q12067","YOR079C","GroupI"
"P39981","YEL064C","GroupI"
"P38772","YHR040W","GroupI"
"Q08347","YOL164W","GroupI"
"P47113","YJR053W","GroupI"
"P22804","YIL004C","GroupI"
"P32873","YPL115C","GroupI"
"Q06631","YDR299W","GroupI"
"Q08965","YPL217C","GroupI"
"P48445","YDL141W","GroupI"
"P25385","YLR078C","GroupI"
"P22035","YKR099W","GroupI"
"Q12291","YLR063W","GroupI"
"P38278","YBR141C","GroupI"
"Q12509","YLR085C","GroupI"
"Q05933","YLR370C","GroupI"
"Q05123","YMR033W","GroupI"
"P06182","YAL039C","GroupI"
"P22137","YGL206C","GroupI"
"P38170","YBL097W","GroupI"
"Q3E846","YMR244C-A","GroupI"
"Q12309","YLR117C","GroupI"
"P38323","YBR227C","GroupI"
"P33313","YBR155W","GroupI"
"Q05583","YDR267C","GroupI"
"P17891","YGR167W","GroupI"
"P53951","YNL051W","GroupI"
"P32378","YNR041C","GroupI"
"Q08058","YOL008W","GroupI"
"P40452","YIL157C","GroupI"
"P53332","YGR277C","GroupI"
"P27680","YOL096C","GroupI"
"O13525","YDR204W","GroupI"
"P41811","YGL137W","GroupI"
"Q05779","YLR201C","GroupI"
"P41810","YDR238C","GroupI"
"P41735","YOR125C","GroupI"
"P53264","YGR110W","GroupI"
"Q08685","YOR250C","GroupI"
"Q06096","YPR105C","GroupI"
"P32074","YNL287W","GroupI"
"Q08225","YOL057W","GroupI"
"Q05892","YLR290C","GroupI"
"P49017","YML110C","GroupI"
"P53318","YGR255C","GroupI"
"P43621","YFR051C","GroupI"
"P13382","YNL102W","GroupI"
"P40094","YER157W","GroupI"
"Q06440","YLR429W","GroupI"
"P21592","YPL172C","GroupI"
"Q01519","YLR038C","GroupI"
"P32799","YGL191W","GroupI"
"Q12287","YLL009C","GroupI"
"Q01389","YJL095W","GroupI"
"P32458","YJR076C","GroupI"
"P32468","YHR107C","GroupI"
"P38111","YBR136W","GroupI"
"P36107","YKL004W","GroupI"
"P38636","YNL259C","GroupI"
"P38360","YBR295W","GroupI"
"P38147","YBR274W","GroupI"
"P09457","YDR298C","GroupI"
"P31386","YAL020C","GroupI"
"P05626","YPL078C","GroupI"
"P38077","YBR039W","GroupI"
"Q06405","YDR377W","GroupI"
"P38928","YIL140W","GroupI"
"P81449","YDR322C-A","GroupI"
"P22516","YPL008W","GroupI"
"P40471","YIL124W","GroupI"
"P53871","YNL191W","GroupI"
"P33413","YHL016C","GroupI"
"P53759","YML080W","GroupI"
"P53137","YGL110C","GroupI"
"P53008","YGL027C","GroupI"
"P40312","YNL111C","GroupI"
"P18900","YBR003W","GroupI"
"P36152","YKR071C","GroupI"
"Q02554","YMR240C","GroupI"
"P53333","YGR278W","GroupI"
"P32623","YEL040W","GroupI"
"P53968","YNL027W","GroupI"
"Q12150","YLR087C","GroupI"
"P32528","YBR208C","GroupI"
"P53923","YNL119W","GroupI"
"P00175","YML054C","GroupI"
"P06106","YLR303W","GroupI"
"Q07533","YDL117W","GroupI"
"Q06705","YLR380W","GroupI"
"Q08923","YPL181W","GroupI"
"Q04201","YML101C","GroupI"
"P53830","YNL286W","GroupI"
"Q12046","YDL209C","GroupI"
"P00163","Q0105","GroupI"
"P31373","YAL012W","GroupI"
"P89105","YOL145C","GroupI"
"P53899","YNL155W","GroupI"
"Q03375","YDR482C","GroupI"
"P53854","YNL245C","GroupI"
"P28320","YKL095W","GroupI"
"P46947","YGL174W","GroupI"
"P53769","YLR323C","GroupI"
"P25618","YCR017C","GroupI"
"P08678","YJL005W","GroupI"
"P38909","YOR037W","GroupI"
"P21657","YIR023W","GroupI"
"P07143","YOR065W","GroupI"
"D6W196","YNL083W","GroupI"
"Q06680","YDR325W","GroupI"
"Q3E7B2","YJL062W-A","GroupI"
"P34237","YKL179C","GroupI"
"P16522","YHR166C","GroupI"
"P04821","YLR310C","GroupI"
"Q06697","YLR418C","GroupI"
"P41733","YLR459W","GroupI"
"P25694","YDL126C","GroupI"
"P46681","YDL178W","GroupI"
"Q03690","YMR012W","GroupI"
"P38910","YOR020C","GroupI"
"Q3E7A9","YMR194C-B","GroupI"
"P32656","YER163C","GroupI"
"P32891","YDL174C","GroupI"
"P38221","YBR029C","GroupI"
"P40558","YIL003W","GroupI"
"Q06632","YDR301W","GroupI"
"P32657","YER164W","GroupI"
"P05374","YGR157W","GroupI"
"P35190","YGL215W","GroupI"
"P53615","YNL036W","GroupI"
"P53223","YGR036C","GroupI"
"Q03705","YML036W","GroupI"
"P21623","YDR403W","GroupI"
"P15703","YGR282C","GroupI"
"P11709","YCL029C","GroupI"
"P48582","YPL084W","GroupI"
"P28495","YKL007W","GroupI"
"P07258","YOR303W","GroupI"
"P07267","YPL154C","GroupI"
"Q04199","YML102W","GroupI"
"P32457","YLR314C","GroupI"
"P11433","YAL041W","GroupI"
"P38042","YBL084C","GroupI"
"P06704","YOR257W","GroupI"
"P09119","YJL194W","GroupI"
"P32562","YMR001C","GroupI"
"P35201","YKL089W","GroupI"
"P32796","YML042W","GroupI"
"P06787","YBR109C","GroupI"
"Q3E835","YOL086W-A","GroupI"
"Q06350","YDR371W","GroupI"
"P17106","YJR060W","GroupI"
"Q12453","YOR112W","GroupI"
"Q12114","YLR330W","GroupI"
"P29465","YBR023C","GroupI"
"P38907","YDR254W","GroupI"
"P39525","YER061C","GroupI"
"P29029","YLR286C","GroupI"
"P32178","YPR060C","GroupI"
"P38843","YHR142W","GroupI"
"P48237","YGR150C","GroupI"
"Q12102","YLR115W","GroupI"
"P38328","YBR234C","GroupI"
"Q06541","YLR242C","GroupI"
"Q03862","YDR101C","GroupI"
"Q06822","YPR085C","GroupI"
"P32447","YJL115W","GroupI"
"P28777","YGL148W","GroupI"
"Q04549","YDR106W","GroupI"
"P32381","YDL029W","GroupI"
"P53946","YNL059C","GroupI"
"P53731","YNR035C","GroupI"
"Q12386","YOR141C","GroupI"
"P33204","YKL013C","GroupI"
"Q06597","YPR200C","GroupI"
"Q06598","YPR201W","GroupI"
"P21269","YER168C","GroupI"
"P53933","YNL094W","GroupI"
"P05085","YML099C","GroupI"
"Q00381","YJR058C","GroupI"
"P04076","YHR018C","GroupI"
"P32582","YGR155W","GroupI"
"Q12354","YLR118C","GroupI"
"P38281","YBR151W","GroupI"
"Q08702","YOR258W","GroupI"
"Q04371","YMR027W","GroupI"
"P29366","YBR200W","GroupI"
"P47039","YJL060W","GroupI"
"Q3E793","YAL044W-A","GroupI"
"P25356","YCR032W","GroupI"
"Q07457","YDL074C","GroupI"
"P27637","YAR014C","GroupI"
"P40013","YER016W","GroupI"
"Q01532","YNL239W","GroupI"
"Q08280","YOL137W","GroupI"
"Q08004","YLR074C","GroupI"
"P47134","YJR089W","GroupI"
"P43583","YFL007W","GroupI"
"P26448","YMR055C","GroupI"
"P48558","YNL305C","GroupI"
"P43569","YFL028C","GroupI"
"P32451","YGR286C","GroupI"
"P40493","YIL096C","GroupI"
"P50084","YGR230W","GroupI"
"P53082","YGL220W","GroupI"
"P38356","YBR290W","GroupI"
"P43571","YFL025C","GroupI"
"P23293","YPR161C","GroupI"
"P53323","YGR262C","GroupI"
"P33314","YKL092C","GroupI"
"P43568","YFL029C","GroupI"
"P25296","YKL190W","GroupI"
"P53741","YNR051C","GroupI"
"P36149","YKR068C","GroupI"
"P16474","YJL034W","GroupI"
"P39724","YAL046C","GroupI"
"P43132","YLR015W","GroupI"
"P53062","YGL247W","GroupI"
"P53838","YNL275W","GroupI"
"P41832","YNL271C","GroupI"
"P53858","YNL233W","GroupI"
"P47040","YJL059W","GroupI"
"P41697","YLR319C","GroupI"
"P38822","YHR114W","GroupI"
"P17555","YNL138W","GroupI"
"P19073","YLR229C","GroupI"
"P06243","YDL017W","GroupI"
"Q03654","YMR213W","GroupI"
"P25337","YCR063W","GroupI"
"Q04347","YMR014W","GroupI"
"P80235","YAR035W","GroupI"
"P53934","YNL092W","GroupI"
"P33322","YLR175W","GroupI"
"P47136","YJR092W","GroupI"
"P25627","YCR047C","GroupI"
"Q03941","YDR196C","GroupI"
"P27825","YAL058W","GroupI"
"P13517","YIL034C","GroupI"
"P37267","YGR174C","GroupI"
"Q08235","YOL077C","GroupI"
"P53894","YNL161W","GroupI"
"P40969","YMR168C","GroupI"
"P27614","YJL172W","GroupI"
"P47818","YLR220W","GroupI"
"P06101","YDR168W","GroupI"
"Q08032","YLR103C","GroupI"
"P53197","YGL003C","GroupI"
"Q06549","YLR245C","GroupI"
"P32639","YER172C","GroupI"
"P53829","YNL288W","GroupI"
"P47158","YJR122W","GroupI"
"P00546","YBR160W","GroupI"
"P39113","YMR280C","GroupI"
"P03965","YJR109C","GroupI"
"P21560","YPL215W","GroupI"
"Q08979","YPL263C","GroupI"
"P40206","YMR132C","GroupI"
"Q07551","YDL124W","GroupI"
"P07278","YIL033C","GroupI"
"P40309","YJL094C","GroupI"
"P28743","YPL155C","GroupI"
"P06242","YDL108W","GroupI"
"P47170","YJR138W","GroupI"
"Q06346","YDR367W","GroupI"
"P13134","YNL238W","GroupI"
"Q04066","YDR428C","GroupI"
"P17423","YHR025W","GroupI"
"P28742","YBL063W","GroupI"
"Q06683","YDR332W","GroupI"
"P40015","YER019W","GroupI"
"Q12280","YPL242C","GroupI"
"Q08773","YOR304W","GroupI"
"Q07959","YLR023C","GroupI"
"Q12425","YPR067W","GroupI"
"Q6Q560","YER048W-A","GroupI"
"P47822","YDR308C","GroupI"
"Q12494","YDR017C","GroupI"
"P38991","YPL209C","GroupI"
"Q06554","YLR247C","GroupI"
"P36035","YKL217W","GroupI"
"Q12350","YPR061C","GroupI"
"P15700","YKL024C","GroupI"
"P05694","YER091C","GroupI"
"P36132","YKR038C","GroupI"
"Q02196","YKL001C","GroupI"
"Q04746","YMR065W","GroupI"
"P07250","YDR173C","GroupI"
"P40034","YER051W","GroupI"
"P47156","YJR119C","GroupI"
"P22209","YAR018C","GroupI"
"P38169","YBL098W","GroupI"
"P38131","YBR199W","GroupI"
"P32807","YMR284W","GroupI"
"Q04437","YMR106C","GroupI"
"P32895","YKL181W","GroupI"
"P42846","YNL308C","GroupI"
"P25586","YCL059C","GroupI"
"P32787","YJR144W","GroupI"
"P26188","YDL200C","GroupI"
"P15454","YDR454C","GroupI"
"P32350","YLL019C","GroupI"
"Q12446","YOR181W","GroupI"
"P24583","YBL105C","GroupI"
"P25045","YMR296C","GroupI"
"Q8TGJ3","YNL024C-A","GroupI"
"P07277","YMR208W","GroupI"
"P00549","YAL038W","GroupI"
"P38691","YHR082C","GroupI"
"P28321","YKL094W","GroupI"
"P32266","YOR211C","GroupI"
"P34253","YKL110C","GroupI"
"P00572","YJR057W","GroupI"
"Q05979","YLR231C","GroupI"
"P39526","YJL207C","GroupI"
"P09620","YGL203C","GroupI"
"P53086","YGL216W","GroupI"
"P40081","YER134C","GroupI"
"Q02889","YPL098C","GroupI"
"Q12265","YOL061W","GroupI"
"P38439","YOR123C","GroupI"
"P15496","YPL117C","GroupI"
"P43610","YFR038W","GroupI"
"P47026","YJL091C","GroupI"
"P54839","YML126C","GroupI"
"P32191","YIL155C","GroupI"
"P38875","YHR188C","GroupI"
"P38523","YOR232W","GroupI"
"P28817","YDR036C","GroupI"
"Q00582","YML121W","GroupI"
"Q08484","YOR070C","GroupI"
"P53258","YGR100W","GroupI"
"Q05580","YDR266C","GroupI"
"P32477","YJL101C","GroupI"
"P48365","YDL234C","GroupI"
"P46943","YLR289W","GroupI"
"P40857","YJL097W","GroupI"
"P06774","YGL237C","GroupI"
"P36113","YKR017C","GroupI"
"Q12390","YLL060C","GroupI"
"P43570","YFL027C","GroupI"
"P40531","YIL041W","GroupI"
"P02309","YBR009C, YNL030W","GroupI"
"P13434","YBL021C","GroupI"
"P25364","YCR065W","GroupI"
"P47171","YJR140C","GroupI"
"Q02516","YOR358W","GroupI"
"P09950","YDR232W","GroupI"
"P47119","YJR069C","GroupI"
"P53193","YGL018C","GroupI"
"Q12358","YLL057C","GroupI"
"Q06214","YPR169W","GroupI"
"P53863","YNL227C","GroupI"
"Q12055","YDL166C","GroupI"
"Q02932","YPL125W","GroupI"
"P32190","YHL032C","GroupI"
"Q06543","YLR243W","GroupI"
"P40367","YJL062W","GroupI"
"P53877","YNL182C","GroupI"
"P17119","YPR141C","GroupI"
"Q08220","YOL049W","GroupI"
"P53290","YGR163W","GroupI"
"Q07729","YDL238C","GroupI"
"P00498","YER055C","GroupI"
"P06633","YOR202W","GroupI"
"P46973","YJR055W","GroupI"
"P38074","YBR034C","GroupI"
"P53843","YNL265C","GroupI"
"P38250","YBR086C","GroupI"
"P36224","YMR294W","GroupI"
"P07170","YDR226W","GroupI"
"Q12442","YOL002C","GroupI"
"Q04934","YDR229W","GroupI"
"P26364","YER170W","GroupI"
"P28627","YMR150C","GroupI"
"P53219","YGR031W","GroupI"
"P40565","YIR005W","GroupI"
"P21374","YJR050W","GroupI"
"Q04638","YML068W","GroupI"
"Q06505","YPR133C","GroupI"
"P07342","YMR108W","GroupI"
"Q03554","YMR292W","GroupI"
"P40481","YIL110W","GroupI"
"P40107","YGL225W","GroupI"
"P46961","YPL076W","GroupI"
"Q12315","YDL207W","GroupI"
"P40066","YER107C","GroupI"
"P37303","YEL046C","GroupI"
"Q12096","YOR320C","GroupI"
"Q03786","YDR248C","GroupI"
"Q02784","YPL059W","GroupI"
"P14742","YKL104C","GroupI"
"Q12051","YPL069C","GroupI"
"Q03768","YDR152W","GroupI"
"P43577","YFL017C","GroupI"
"P53306","YGR216C","GroupI"
"P07286","YBR243C","GroupI"
"P32621","YEL042W","GroupI"
"Q12680","YDL171C","GroupI"
"P53551","YPL127C","GroupI"
"P30777","YGL142C","GroupI"
"Q06636","YDR302W","GroupI"
"P23797","YMR281W","GroupI"
"Q07830","YLL031C","GroupI"
"P47122","YJR072C","GroupI"
"Q08726","YOR262W","GroupI"
"Q07845","YLL035W","GroupI"
"P38715","YHR104W","GroupI"
"P38625","YMR217W","GroupI"
"P33734","YBR248C","GroupI"
"Q04344","YDL125C","GroupI"
"Q12347","YLR097C","GroupI"
"P10961","YGL073W","GroupI"
"Q12398","YOR032C","GroupI"
"P00815","YCL030C","GroupI"
"P19807","YGL077C","GroupI"
"Q12692","YOL012C","GroupI"
"P51979","YGL251C","GroupI"
"P32339","YLR205C","GroupI"
"P20050","YIL072W","GroupI"
"Q05549","YDR291W","GroupI"
"P38274","YBR133C","GroupI"
"P32363","YPL175W","GroupI"
"Q04080","YDR434W","GroupI"
"P38211","YBR004C","GroupI"
"P40545","YIL020C","GroupI"
"P53389","YNR055C","GroupI"
"P36078","YKL084W","GroupI"
"P48362","YGR187C","GroupI"
"P36125","YKR030W","GroupI"
"P49018","YDR331W","GroupI"
"P47088","YJR013W","GroupI"
"Q04082","YDR437W","GroupI"
"P41921","YPL091W","GroupI"
"P53901","YNL152W","GroupI"
"P11986","YJL153C","GroupI"
"P00817","YBR011C","GroupI"
"Q99312","YOR155C","GroupI"
"Q06142","YLR347C","GroupI"
"P32581","YJL106W","GroupI"
"P00724","YIL162W","GroupI"
"P13902","YOL108C","GroupI"
"P53067","YGL241W","GroupI"
"P25605","YCL009C","GroupI"
"P40069","YER110C","GroupI"
"P09064","YPL237W","GroupI"
"P25038","YOL023W","GroupI"
"P38803","YHR085W","GroupI"
"P32361","YHR079C","GroupI"
"P25626","YCR046C","GroupI"
"Q06704","YLR309C","GroupI"
"Q04772","YMR073C","GroupI"
"Q07821","YLL027W","GroupI"
"P53941","YNL075W","GroupI"
"P49775","YDR305C","GroupI"
"Q01448","YBR215W","GroupI"
"P53686","YPL015C","GroupI"
"Q02959","YPL116W","GroupI"
"P24814","YJR090C","GroupI"
"P40582","YIR038C","GroupI"
"Q03532","YMR290C","GroupI"
"P38635","YFR025C","GroupI"
"P53119","YGL141W","GroupI"
"P50079","YGR223C","GroupI"
"P38790","YHR067W","GroupI"
"P31539","YLL026W","GroupI"
"P38753","YHL002W","GroupI"
"P53187","YGL033W","GroupI"
"P32464","YKL189W","GroupI"
"P22943","YFL014W","GroupI"
"Q08109","YOL013C","GroupI"
"P29295","YPL204W","GroupI"
"P33416","YDR258C","GroupI"
"Q6Q546","YNR032C-A","GroupI"
"P48353","YMR161W","GroupI"
"P32485","YLR113W","GroupI"
"P53096","YGL194C","GroupI"
"Q99383","YOL123W","GroupI"
"Q05787","YLR207W","GroupI"
"P47125","YJR078W","GroupI"
"P39730","YAL035W","GroupI"
"Q02821","YNL189W","GroupI"
"P39522","YJR016C","GroupI"
"P38217","YBR017C","GroupI"
"P40499","YIL090W","GroupI"
"P43579","YFL013C","GroupI"
"P32899","YHR148W","GroupI"
"P25642","YCR071C","GroupI"
"P32337","YMR308C","GroupI"
"P53115","YGL150C","GroupI"
"P06168","YLR355C","GroupI"
"P47042","YJL057C","GroupI"
"P32351","YIL154C","GroupI"
"P46972","YMR035W","GroupI"
"P28834","YNL037C","GroupI"
"P32481","YER025W","GroupI"
"P38431","YPR041W","GroupI"
"P07260","YOL139C","GroupI"
"P38912","YMR260C","GroupI"
"P41734","YOR126C","GroupI"
"P47124","YJR075W","GroupI"
"P40325","YGR268C","GroupI"
"P40051","YER078C","GroupI"
"P20459","YJR007W","GroupI"
"P32617","YEL044W","GroupI"
"P07172","YIL116W","GroupI"
"Q99181","YOR319W","GroupI"
"Q12520","YPL244C","GroupI"
"P40985","YJR036C","GroupI"
"P28241","YOR136W","GroupI"
"P19882","YLR259C","GroupI"
"Q12522","YPR016C","GroupI"
"P53840","YNL273W","GroupI"
"P35180","YGR082W","GroupI"
"Q12400","YOL093W","GroupI"
"Q12463","YOL124C","GroupI"
"Q12383","YOL125W","GroupI"
"P33753","YKR056W","GroupI"
"P40554","YIL008W","GroupI"
"Q12220","YLR129W","GroupI"
"P40362","YJL069C","GroupI"
"Q12339","YOR004W","GroupI"
"Q04235","YML005W","GroupI"
"P52491","YLR306W","GroupI"
"P21734","YDR177W","GroupI"
"Q03327","YDR470C","GroupI"
"Q04511","YML088W","GroupI"
"P47108","YJR041C","GroupI"
"P34247","YKL099C","GroupI"
"Q08960","YPL207W","GroupI"
"P43123","YDL103C","GroupI"
"P52492","YOR339C","GroupI"
"P52490","YDR092W","GroupI"
"P41834","YOR075W","GroupI"
"P34223","YBL058W","GroupI"
"Q12229","YDL091C","GroupI"
"P32837","YDL210W","GroupI"
"P0CF17","YML002W","GroupI"
"Q99344","YPR066W","GroupI"
"P22515","YKL210W","GroupI"
"Q02159","YMR022W","GroupI"
"P28263","YEL012W","GroupI"
"P29340","YGR133W","GroupI"
"P19812","YGR184C","GroupI"
"P53250","YGR080W","GroupI"
"P38152","YBR291C","GroupI"
"Q08282","YOL141W","GroupI"
"Q02863","YPL072W","GroupI"
"P25037","YDL122W","GroupI"
"P43593","YFR010W","GroupI"
"Q01476","YOR124C","GroupI"
"P32861","YKL035W","GroupI"
"P38067","YBR006W","GroupI"
"Q08562","YOR191W","GroupI"
"P36164","YKR088C","GroupI"
"P16649","YCR084C","GroupI"
"P06785","YOR074C","GroupI"
"P54860","YDL190C","GroupI"
"Q07381","YDL060W","GroupI"
"Q03280","YDR457W","GroupI"
"P13099","YLR234W","GroupI"
"P36029","YKL174C","GroupI"
"P53738","YNR046W","GroupI"
"P28584","YKR050W","GroupI"
"P54837","YML012W","GroupI"
"Q08422","YOR052C","GroupI"
"Q12094","YOR006C","GroupI"
"P38237","YBR058C","GroupI"
"P38319","YBR223C","GroupI"
"P35127","YJR099W","GroupI"
"P50102","YMR223W","GroupI"
"P50101","YMR304W","GroupI"
"P39538","YJL197W","GroupI"
"P38342","YBR265W","GroupI"
"P33296","YER100W","GroupI"
"P50623","YDL064W","GroupI"
"P00937","YKL211C","GroupI"
"Q99394","YOR115C","GroupI"
"Q03860","YDR100W","GroupI"
"P36096","YKL034W","GroupI"
"Q06412","YLR425W","GroupI"
"P20049","YBR166C","GroupI"
"P38820","YHR111W","GroupI"
"P52488","YDR390C","GroupI"
"P06104","YGL058W","GroupI"
"P14682","YDR054C","GroupI"
"P0CG63","YLL039C","GroupI"
"Q01477","YER151C","GroupI"
"P33202","YKL010C","GroupI"
"P08067","YEL024W","GroupI"
"P53044","YGR048W","GroupI"
"P38334","YBR254C","GroupI"
"P46944","YDR108W","GroupI"
"P25040","YOL022C","GroupI"
"P38962","YDR084C","GroupI"
"Q06672","YLR435W","GroupI"
"P38254","YBR094W","GroupI"
"P36097","YKL033W","GroupI"
"Q04767","YMR071C","GroupI"
"P53177","YGL050W","GroupI"
"P26370","YDL170W","GroupI"
"Q04305","YMR093W","GroupI"
"P40055","YER082C","GroupI"
"Q02931","YPL126W","GroupI"
"P32610","YEL051W","GroupI"
"P31412","YKL080W","GroupI"
"Q06682","YDR330W","GroupI"
"P25386","YDL058W","GroupI"
"Q04177","YDR398W","GroupI"
"Q02724","YPL020C","GroupI"
"P40537","YIL031W","GroupI"
"P42945","YJL109C","GroupI"
"P40157","YNL212W","GroupI"
"Q04500","YML093W","GroupI"
"Q02354","YDR449C","GroupI"
"P35194","YBL004W","GroupI"
"P32366","YLR447C","GroupI"
"Q04301","YMR088C","GroupI"
"P22203","YOR332W","GroupI"
"Q05776","YLR193C","GroupI"
"Q04411","YDR520C","GroupI"
"P53950","YNL054W","GroupI"
"Q99385","YDL128W","GroupI"
