"protein","Gene","Group"
"Q08979","YPL263C","GroupI"
"P40206","YMR132C","GroupI"
"Q07551","YDL124W","GroupI"
"P07278","YIL033C","GroupI"
"P40309","YJL094C","GroupI"
"P28743","YPL155C","GroupI"
"P06242","YDL108W","GroupI"
"P47170","YJR138W","GroupI"
"Q06346","YDR367W","GroupI"
"P13134","YNL238W","GroupI"
"Q04066","YDR428C","GroupI"
"P17423","YHR025W","GroupI"
"P28742","YBL063W","GroupI"
"Q06683","YDR332W","GroupI"
"P40015","YER019W","GroupI"
"Q12280","YPL242C","GroupI"
"Q08773","YOR304W","GroupI"
"Q07959","YLR023C","GroupI"
"Q12425","YPR067W","GroupI"
"Q6Q560","YER048W-A","GroupI"
"P47822","YDR308C","GroupI"
"Q12494","YDR017C","GroupI"
"P38991","YPL209C","GroupI"
"Q06554","YLR247C","GroupI"
"P36035","YKL217W","GroupI"
"Q12350","YPR061C","GroupI"
"P15700","YKL024C","GroupI"
"P05694","YER091C","GroupI"
"P36132","YKR038C","GroupI"
"Q02196","YKL001C","GroupI"
"Q04746","YMR065W","GroupI"
"P07250","YDR173C","GroupI"
"P40034","YER051W","GroupI"
"P47156","YJR119C","GroupI"
"P22209","YAR018C","GroupI"
"P38169","YBL098W","GroupI"
"P38131","YBR199W","GroupI"
"P32807","YMR284W","GroupI"
"Q04437","YMR106C","GroupI"
"P32895","YKL181W","GroupI"
"P42846","YNL308C","GroupI"
"P25586","YCL059C","GroupI"
"P32787","YJR144W","GroupI"
"P26188","YDL200C","GroupI"
"P15454","YDR454C","GroupI"
"P32350","YLL019C","GroupI"
"Q12446","YOR181W","GroupI"
"P24583","YBL105C","GroupI"
"P25045","YMR296C","GroupI"
"Q8TGJ3","YNL024C-A","GroupI"
"P07277","YMR208W","GroupI"
"P38691","YHR082C","GroupI"
"P28321","YKL094W","GroupI"
"P32266","YOR211C","GroupI"
"P34253","YKL110C","GroupI"
"P00572","YJR057W","GroupI"
"Q05979","YLR231C","GroupI"
"P39526","YJL207C","GroupI"
"P09620","YGL203C","GroupI"
"P53086","YGL216W","GroupI"
"P40081","YER134C","GroupI"
"Q02889","YPL098C","GroupI"
"Q12265","YOL061W","GroupI"
"P38439","YOR123C","GroupI"
"P15496","YPL117C","GroupI"
"P43610","YFR038W","GroupI"
"P47026","YJL091C","GroupI"
"P54839","YML126C","GroupI"
"P32191","YIL155C","GroupI"
"P38875","YHR188C","GroupI"
"P38523","YOR232W","GroupI"
"P28817","YDR036C","GroupI"
"Q00582","YML121W","GroupI"
"Q08484","YOR070C","GroupI"
"P53258","YGR100W","GroupI"
"Q05580","YDR266C","GroupI"
"P32477","YJL101C","GroupI"
"P48365","YDL234C","GroupI"
"P46943","YLR289W","GroupI"
"P40857","YJL097W","GroupI"
"P06774","YGL237C","GroupI"
"P36113","YKR017C","GroupI"
"Q12390","YLL060C","GroupI"
"P43570","YFL027C","GroupI"
"P40531","YIL041W","GroupI"
"P02309","YBR009C, YNL030W","GroupI"
"P13434","YBL021C","GroupI"
"P25364","YCR065W","GroupI"
"P47171","YJR140C","GroupI"
"Q02516","YOR358W","GroupI"
"P09950","YDR232W","GroupI"
"P47119","YJR069C","GroupI"
"P53193","YGL018C","GroupI"
"Q12358","YLL057C","GroupI"
"Q06214","YPR169W","GroupI"
"P53863","YNL227C","GroupI"
"Q12055","YDL166C","GroupI"
"Q02932","YPL125W","GroupI"
"P32190","YHL032C","GroupI"
"Q06543","YLR243W","GroupI"
"P40367","YJL062W","GroupI"
"P53877","YNL182C","GroupI"
"P17119","YPR141C","GroupI"
"Q08220","YOL049W","GroupI"
"P53290","YGR163W","GroupI"
"Q07729","YDL238C","GroupI"
"P00498","YER055C","GroupI"
"P06633","YOR202W","GroupI"
"P46973","YJR055W","GroupI"
"P38074","YBR034C","GroupI"
"P53843","YNL265C","GroupI"
"P38250","YBR086C","GroupI"
"P36224","YMR294W","GroupI"
"P07170","YDR226W","GroupI"
"Q12442","YOL002C","GroupI"
"Q04934","YDR229W","GroupI"
"P26364","YER170W","GroupI"
"P28627","YMR150C","GroupI"
"P53219","YGR031W","GroupI"
"P40565","YIR005W","GroupI"
"P21374","YJR050W","GroupI"
"Q04638","YML068W","GroupI"
"Q06505","YPR133C","GroupI"
"P07342","YMR108W","GroupI"
"Q03554","YMR292W","GroupI"
"P40481","YIL110W","GroupI"
"P46961","YPL076W","GroupI"
"Q12315","YDL207W","GroupI"
"P40066","YER107C","GroupI"
"P37303","YEL046C","GroupI"
"Q12096","YOR320C","GroupI"
"Q03786","YDR248C","GroupI"
"Q02784","YPL059W","GroupI"
"Q12051","YPL069C","GroupI"
"Q03768","YDR152W","GroupI"
"P43577","YFL017C","GroupI"
"P53306","YGR216C","GroupI"
"P07286","YBR243C","GroupI"
"P32621","YEL042W","GroupI"
"Q12680","YDL171C","GroupI"
"P53551","YPL127C","GroupI"
"P30777","YGL142C","GroupI"
"Q06636","YDR302W","GroupI"
"P23797","YMR281W","GroupI"
"Q07830","YLL031C","GroupI"
"P47122","YJR072C","GroupI"
"Q08726","YOR262W","GroupI"
"Q07845","YLL035W","GroupI"
"P38715","YHR104W","GroupI"
"P38625","YMR217W","GroupI"
"P33734","YBR248C","GroupI"
"Q04344","YDL125C","GroupI"
"Q12347","YLR097C","GroupI"
"P10961","YGL073W","GroupI"
"Q12398","YOR032C","GroupI"
"P00815","YCL030C","GroupI"
"P19807","YGL077C","GroupI"
"Q12692","YOL012C","GroupI"
"P51979","YGL251C","GroupI"
"P32339","YLR205C","GroupI"
"P20050","YIL072W","GroupI"
"Q05549","YDR291W","GroupI"
"P38274","YBR133C","GroupI"
"P32363","YPL175W","GroupI"
"Q04080","YDR434W","GroupI"
"P38211","YBR004C","GroupI"
"P40545","YIL020C","GroupI"
"P53389","YNR055C","GroupI"
"P36078","YKL084W","GroupI"
"P48362","YGR187C","GroupI"
"P36125","YKR030W","GroupI"
"P49018","YDR331W","GroupI"
"P47088","YJR013W","GroupI"
"Q04082","YDR437W","GroupI"
"P41921","YPL091W","GroupI"
"P53901","YNL152W","GroupI"
"P11986","YJL153C","GroupI"
"P00817","YBR011C","GroupI"
"Q99312","YOR155C","GroupI"
"Q06142","YLR347C","GroupI"
"P32581","YJL106W","GroupI"
"P00724","YIL162W","GroupI"
"P13902","YOL108C","GroupI"
"P53067","YGL241W","GroupI"
"P25605","YCL009C","GroupI"
"P40069","YER110C","GroupI"
"P09064","YPL237W","GroupI"
"P25038","YOL023W","GroupI"
"P38803","YHR085W","GroupI"
"P32361","YHR079C","GroupI"
"P25626","YCR046C","GroupI"
"Q06704","YLR309C","GroupI"
"Q04772","YMR073C","GroupI"
"Q07821","YLL027W","GroupI"
"P53941","YNL075W","GroupI"
"P49775","YDR305C","GroupI"
"Q01448","YBR215W","GroupI"
"P53686","YPL015C","GroupI"
"Q02959","YPL116W","GroupI"
"P24814","YJR090C","GroupI"
"P40582","YIR038C","GroupI"
"Q03532","YMR290C","GroupI"
"P38635","YFR025C","GroupI"
"P53119","YGL141W","GroupI"
"P50079","YGR223C","GroupI"
"P38790","YHR067W","GroupI"
"P31539","YLL026W","GroupI"
"P38753","YHL002W","GroupI"
"P53187","YGL033W","GroupI"
"P32464","YKL189W","GroupI"
"P22943","YFL014W","GroupI"
"Q08109","YOL013C","GroupI"
"P29295","YPL204W","GroupI"
"P33416","YDR258C","GroupI"
"Q6Q546","YNR032C-A","GroupI"
"P48353","YMR161W","GroupI"
"P32485","YLR113W","GroupI"
"P53096","YGL194C","GroupI"
"Q99383","YOL123W","GroupI"
"Q05787","YLR207W","GroupI"
"P47125","YJR078W","GroupI"
"P39730","YAL035W","GroupI"
"Q02821","YNL189W","GroupI"
"P39522","YJR016C","GroupI"
"P38217","YBR017C","GroupI"
"P40499","YIL090W","GroupI"
"P43579","YFL013C","GroupI"
"P32899","YHR148W","GroupI"
"P25642","YCR071C","GroupI"
"P32337","YMR308C","GroupI"
"P53115","YGL150C","GroupI"
"P06168","YLR355C","GroupI"
"P47042","YJL057C","GroupI"
"P32351","YIL154C","GroupI"
"P46972","YMR035W","GroupI"
"P28834","YNL037C","GroupI"
"P32481","YER025W","GroupI"
"P38431","YPR041W","GroupI"
"P07260","YOL139C","GroupI"
"P38912","YMR260C","GroupI"
"P41734","YOR126C","GroupI"
"P47124","YJR075W","GroupI"
"P40325","YGR268C","GroupI"
"P40051","YER078C","GroupI"
"P20459","YJR007W","GroupI"
"P32617","YEL044W","GroupI"
"P07172","YIL116W","GroupI"
"Q99181","YOR319W","GroupI"
"Q12520","YPL244C","GroupI"
"P40985","YJR036C","GroupI"
"P28241","YOR136W","GroupI"
"P19882","YLR259C","GroupI"
"Q12522","YPR016C","GroupI"
"P53840","YNL273W","GroupI"
"P35180","YGR082W","GroupI"
"Q12400","YOL093W","GroupI"
"Q12463","YOL124C","GroupI"
"Q12383","YOL125W","GroupI"
"P33753","YKR056W","GroupI"
"P40554","YIL008W","GroupI"
"Q12220","YLR129W","GroupI"
"P40362","YJL069C","GroupI"
"Q12339","YOR004W","GroupI"
"Q04235","YML005W","GroupI"
"P52491","YLR306W","GroupI"
"P21734","YDR177W","GroupI"
"Q03327","YDR470C","GroupI"
"Q04511","YML088W","GroupI"
"P47108","YJR041C","GroupI"
"P34247","YKL099C","GroupI"
"Q08960","YPL207W","GroupI"
"P43123","YDL103C","GroupI"
"P52492","YOR339C","GroupI"
"P52490","YDR092W","GroupI"
"P41834","YOR075W","GroupI"
"P34223","YBL058W","GroupI"
"Q12229","YDL091C","GroupI"
"P32837","YDL210W","GroupI"
"P0CF17","YML002W","GroupI"
"Q99344","YPR066W","GroupI"
"P22515","YKL210W","GroupI"
"Q02159","YMR022W","GroupI"
"P28263","YEL012W","GroupI"
"P29340","YGR133W","GroupI"
"P19812","YGR184C","GroupI"
"P53250","YGR080W","GroupI"
"P38152","YBR291C","GroupI"
"Q08282","YOL141W","GroupI"
"Q02863","YPL072W","GroupI"
"P25037","YDL122W","GroupI"
"P43593","YFR010W","GroupI"
"Q01476","YOR124C","GroupI"
"P38067","YBR006W","GroupI"
"Q08562","YOR191W","GroupI"
"P36164","YKR088C","GroupI"
"P16649","YCR084C","GroupI"
"P06785","YOR074C","GroupI"
"P54860","YDL190C","GroupI"
"Q07381","YDL060W","GroupI"
"Q03280","YDR457W","GroupI"
"P13099","YLR234W","GroupI"
"P36029","YKL174C","GroupI"
"P53738","YNR046W","GroupI"
"P54837","YML012W","GroupI"
"Q08422","YOR052C","GroupI"
"Q12094","YOR006C","GroupI"
"P38237","YBR058C","GroupI"
"P38319","YBR223C","GroupI"
"P35127","YJR099W","GroupI"
"P50102","YMR223W","GroupI"
"P50101","YMR304W","GroupI"
"P39538","YJL197W","GroupI"
"P38342","YBR265W","GroupI"
"P33296","YER100W","GroupI"
"P50623","YDL064W","GroupI"
"P00937","YKL211C","GroupI"
"Q99394","YOR115C","GroupI"
"Q03860","YDR100W","GroupI"
"P36096","YKL034W","GroupI"
"Q06412","YLR425W","GroupI"
"P20049","YBR166C","GroupI"
"P38820","YHR111W","GroupI"
"P52488","YDR390C","GroupI"
"P06104","YGL058W","GroupI"
"P14682","YDR054C","GroupI"
"P0CG63","YLL039C","GroupI"
"Q01477","YER151C","GroupI"
"P33202","YKL010C","GroupI"
"P08067","YEL024W","GroupI"
"P53044","YGR048W","GroupI"
"P38334","YBR254C","GroupI"
"P46944","YDR108W","GroupI"
"P25040","YOL022C","GroupI"
"P38962","YDR084C","GroupI"
"Q06672","YLR435W","GroupI"
"P38254","YBR094W","GroupI"
"P36097","YKL033W","GroupI"
"Q04767","YMR071C","GroupI"
"P53177","YGL050W","GroupI"
"P26370","YDL170W","GroupI"
"Q04305","YMR093W","GroupI"
"P40055","YER082C","GroupI"
"Q02931","YPL126W","GroupI"
"P32610","YEL051W","GroupI"
"P31412","YKL080W","GroupI"
"Q06682","YDR330W","GroupI"
"P25386","YDL058W","GroupI"
"Q04177","YDR398W","GroupI"
"Q02724","YPL020C","GroupI"
"P40537","YIL031W","GroupI"
"P42945","YJL109C","GroupI"
"P40157","YNL212W","GroupI"
"Q04500","YML093W","GroupI"
"Q02354","YDR449C","GroupI"
"P35194","YBL004W","GroupI"
"P32366","YLR447C","GroupI"
"Q04301","YMR088C","GroupI"
"P22203","YOR332W","GroupI"
"Q05776","YLR193C","GroupI"
"Q04411","YDR520C","GroupI"
"P53950","YNL054W","GroupI"
"Q99385","YDL128W","GroupI"
"P38293","YBR173C","GroupI"
"Q12208","YLR132C","GroupI"
"P16140","YBR127C","GroupI"
"Q04179","YDR400W","GroupI"
"P53254","YGR090W","GroupI"
"Q07468","YDL077C","GroupI"
"Q06708","YLR386W","GroupI"
"P32912","YGL212W","GroupI"
"P41807","YPR036W","GroupI"
"P12887","YML021C","GroupI"
"Q12063","YDL193W","GroupI"
"P23202","YNL229C","GroupI"
"P27515","YNR012W","GroupI"
"P46683","YPL239W","GroupI"
"P34241","YKL014C","GroupI"
"P18562","YHR128W","GroupI"
"P40498","YIL091C","GroupI"
"Q06078","YLR409C","GroupI"
"Q06679","YDR324C","GroupI"
"P09880","YJL087C","GroupI"
"P53220","YGR033C","GroupI"
"P32897","YNR017W","GroupI"
"P53322","YGR260W","GroupI"
"Q00764","YBR126C","GroupI"
"Q04183","YDR407C","GroupI"
"Q03660","YMR218C","GroupI"
"P38238","YBR061C","GroupI"
"Q12009","YDL201W","GroupI"
"P40310","YJL093C","GroupI"
"P53099","YGL186C","GroupI"
"P49957","YML014W","GroupI"
"Q08686","YOR251C","GroupI"
"P47045","YJL054W","GroupI"
"P49334","YNL131W","GroupI"
"P38288","YBR162C","GroupI"
"P40032","YER049W","GroupI"
"P53257","YGR096W","GroupI"
"Q12116","YDR105C","GroupI"
"Q03496","YMR259C","GroupI"
"P00899","YER090W","GroupI"
"P32773","YOR194C","GroupI"
"P04786","YOL006C","GroupI"
"P06786","YNL088W","GroupI"
"Q07824","YLL028W","GroupI"
"Q12239","YOL107W","GroupI"
"Q08687","YOR252W","GroupI"
"Q04600","YDR117C","GroupI"
"P23644","YMR203W","GroupI"
"Q12272","YOL102C","GroupI"
"P46959","YJL125C","GroupI"
"Q03337","YDR472W","GroupI"
"P07285","YDR354W","GroupI"
"P00931","YGL026C","GroupI"
"O74700","YEL020W-A","GroupI"
"P39515","YJL143W","GroupI"
"Q03796","YMR156C","GroupI"
"P38811","YHR099W","GroupI"
"Q12059","YPL003W","GroupI"
"P48412","YGR072W","GroupI"
"Q02767","YPL065W","GroupI"
"P39111","YGR020C","GroupI"
"P53212","YGR021W","GroupI"
"P34110","YJL154C","GroupI"
"Q06263","YLR181C","GroupI"
"P17255","YDL185W","GroupI"
"Q06685","YLR410W","GroupI"
"P23643","YDR495C","GroupI"
"P22219","YBR097W","GroupI"
"Q08924","YPL183C","GroupI"
"P38838","YHR134W","GroupI"
"P38959","YDR080W","GroupI"
"P22543","YLR240W","GroupI"
"P22147","YGL173C","GroupI"
"P42826","YGR194C","GroupI"
"P33418","YKL205W","GroupI"
"P53853","YNL246W","GroupI"
"P54787","YML097C","GroupI"
"Q07878","YLL040C","GroupI"
"P40046","YER072W","GroupI"
"P43582","YFL010C","GroupI"
"P40489","YIL101C","GroupI"
"P32563","YOR270C","GroupI"
"P53227","YGR042W","GroupI"
"P38329","YBR235W","GroupI"
"Q04311","YDR049W","GroupI"
"P52917","YPR173C","GroupI"
"Q03308","YPL045W","GroupI"
"Q04338","YMR197C","GroupI"
"P37370","YLR337C","GroupI"
"P47075","YJL012C","GroupI"
"P40151","YNL218W","GroupI"
"P30822","YGR218W","GroupI"
"P12611","YOR043W","GroupI"
"P47165","YJR133W","GroupI"
"Q08831","YOR359W","GroupI"
"Q02792","YOR048C","GroupI"
"P20795","YLR396C","GroupI"
"P38932","YGL095C","GroupI"
"Q12016","YOL129W","GroupI"
"P39702","YAL002W","GroupI"
"Q3E7B6","YCL005W-A","GroupI"
"P23968","YHR026W","GroupI"
"P32341","YKL119C","GroupI"
"P47142","YJR102C","GroupI"
"Q06696","YLR417W","GroupI"
"Q03631","YML076C","GroupI"
"P36015","YKL196C","GroupI"
"P41806","YGR105W","GroupI"
"P38759","YHR012W","GroupI"
"P40343","YNR006W","GroupI"
"P39904","YDR484W","GroupI"
"P39968","YEL013W","GroupI"
"P48836","YHR039C-A","GroupI"
"P38358","YBR293W","GroupI"
"P53076","YGL227W","GroupI"
"Q06385","YDR372C","GroupI"
"P42839","YNL321W","GroupI"
"P21576","YKR001C","GroupI"
"P36095","YKL041W","GroupI"
"P40547","YIL017C","GroupI"
"Q04272","YMR077C","GroupI"
"Q12071","YDR027C","GroupI"
"P47111","YJR044C","GroupI"
"Q03390","YDR486C","GroupI"
"P47061","YJL029C","GroupI"
"P32913","YOR132W","GroupI"
"Q03897","YDR128W","GroupI"
"P41814","YNL062C","GroupI"
"Q03784","YDR246W","GroupI"
"P40061","YER093C","GroupI"
"P39077","YJL014W","GroupI"
"P38141","YBR240C","GroupI"
"Q12199","YPR040W","GroupI"
"Q12328","YDL217C","GroupI"
"Q3E764","YLR262C-A","GroupI"
"P53378","YLR212C","GroupI"
"P40340","YGR270W","GroupI"
"P40413","YJR064W","GroupI"
"P38987","YML064C","GroupI"
"P53215","YGR024C","GroupI"
"P35202","YOR143C","GroupI"
"P53507","YNL070W","GroupI"
"Q02776","YPL063W","GroupI"
"P57744","YJR135W-A","GroupI"
"P27796","YIL160C","GroupI"
"Q03525","YMR269W","GroupI"
"P16120","YCR053W","GroupI"
"P87108","YHR005C-A","GroupI"
"P53299","YGR181W","GroupI"
"Q03322","YDR468C","GroupI"
"P41338","YPL028W","GroupI"
"Q08144","YOL018C","GroupI"
"Q12049","YPR045C","GroupI"
"P36142","YKR051W","GroupI"
"P89886","YER007C-A","GroupI"
"Q12000","YOR091W","GroupI"
"P38256","YBR096W","GroupI"
"Q8J0M4","YCL012C","GroupI"
"P34225","YBL060W","GroupI"
"P38177","YBL086C","GroupI"
"P38235","YBR053C","GroupI"
"P38081","YBR056W","GroupI"
"P42937","YGR203W","GroupI"
"P38318","YBR220C","GroupI"
"P25617","YCR016W","GroupI"
"P08458","YDR523C","GroupI"
"P35184","YIR012W","GroupI"
"P38687","YPL243W","GroupI"
"P25379","YCL064C","GroupI"
"P06784","YDL159W","GroupI"
"P38869","YHR181W","GroupI"
"P15179","YPL104W","GroupI"
"P17649","YGR019W","GroupI"
"P28789","YDL205C","GroupI"
"P33893","YBL080C","GroupI"
"P11353","YDR044W","GroupI"
"P48015","YDR019C","GroupI"
"P28007","YHR089C","GroupI"
"Q03655","YMR215W","GroupI"
"P38011","YMR116C","GroupI"
"P38812","YHR100C","GroupI"
"P12709","YBR196C","GroupI"
"P15442","YDR283C","GroupI"
"P37020","YJR040W","GroupI"
"P25569","YCL039W","GroupI"
"P39958","YER136W","GroupI"
"P38988","YDL198C","GroupI"
"P38138","YBR229C","GroupI"
"Q04924","YDR221W","GroupI"
"P39722","YAL048C","GroupI"
"P40208","YMR135C","GroupI"
"Q04458","YMR110C","GroupI"
"P38682","YER122C","GroupI"
"P39726","YAL044C","GroupI"
"Q06625","YPR184W","GroupI"
"P38301","YBR187W","GroupI"
"P25346","YCR098C","GroupI"
"Q12125","YOR164C","GroupI"
"P49095","YMR189W","GroupI"
"P41818","YMR311C","GroupI"
"Q12434","YDL135C","GroupI"
"Q12060","YPL254W","GroupI"
"P32288","YPR035W","GroupI"
"Q02979","YPL110C","GroupI"
"P53192","YGL020C","GroupI"
"Q12154","YDL100C","GroupI"
"P32775","YEL011W","GroupI"
"P25574","YCL045C","GroupI"
"Q03071","YPL046C","GroupI"
"P53861","YNL230C","GroupI"
"P32803","YGL200C","GroupI"
"P32352","YMR202W","GroupI"
"Q08822","YOR356W","GroupI"
"P38748","YHL010C","GroupI"
"P12385","YBR143C","GroupI"
"P27882","YGR029W","GroupI"
"Q12284","YPR037C","GroupI"
"Q03018","YGR098C","GroupI"
"Q12480","YPR004C","GroupI"
"P38913","YDL045C","GroupI"
"P25087","YML008C","GroupI"
"P38604","YHR072W","GroupI"
"P43613","YFR041C","GroupI"
"Q12361","YDL035C","GroupI"
"P17261","YCR075C","GroupI"
"P38071","YBR026C","GroupI"
"P09201","YLR377C","GroupI"
"Q06551","YLR246W","GroupI"
"P22696","YJR017C","GroupI"
"Q04410","YDR517W","GroupI"
"P54781","YMR015C","GroupI"
"P32476","YGR175C","GroupI"
"P24521","YMR220W","GroupI"
"P38289","YBR163W","GroupI"
"P19658","YJL085W","GroupI"
"P35731","YKL055C","GroupI"
"Q04660","YMR049C","GroupI"
"P40030","YER044C","GroupI"
"Q06344","YDR365C","GroupI"
"P38261","YBR102C","GroupI"
"P32497","YMR309C","GroupI"
"P32462","YNL280C","GroupI"
"Q05040","YMR029C","GroupI"
"P36039","YKL207W","GroupI"
"P53938","YNL080C","GroupI"
"P25340","YGL012W","GroupI"
"P16151","YDR414C","GroupI"
"P18414","YBL040C","GroupI"
"P38140","YBR239C","GroupI"
"Q03103","YML130C","GroupI"
"P05453","YDR172W","GroupI"
"P53839","YNL274C","GroupI"
"P53337","YGR284C","GroupI"
"Q08650","YOR245C","GroupI"
"P53970","YNL024C","GroupI"
"P12754","YGR083C","GroupI"
"Q04651","YML067C","GroupI"
"P39727","YAL042W","GroupI"
"Q08649","YOR244W","GroupI"
"P53743","YNR054C","GroupI"
"P40217","YMR146C","GroupI"
"P36053","YKL160W","GroupI"
"Q05874","YLR285W","GroupI"
"Q04067","YDR429C","GroupI"
"Q06706","YLR384C","GroupI"
"P38736","YHL031C","GroupI"
"P42935","YGR200C","GroupI"
"Q02884","YPL101W","GroupI"
"P47160","YJR125C","GroupI"
"P43572","YFL024C","GroupI"
"P38333","YBR247C","GroupI"
"Q12382","YOR311C","GroupI"
"P39517","YDL160C","GroupI"
"Q04217","YMR128W","GroupI"
"P36009","YKL078W","GroupI"
"P40099","YER183C","GroupI"
"P40088","YER145C","GroupI"
"P08417","YPL262W","GroupI"
"P31380","YAL019W","GroupI"
"P43557","YFL046W","GroupI"
"P53973","YNL021W","GroupI"
"P42837","YNL325C","GroupI"
"P32599","YDR129C","GroupI"
"P38124","YBR008C","GroupI"
"Q08968","YPL222W","GroupI"
"P22007","YDL090C","GroupI"
"P53848","YNL256W","GroupI"
"Q08023","YLR077W","GroupI"
"P38866","YHR176W","GroupI"
"Q02207","YKR009C","GroupI"
"P36088","YKL069W","GroupI"
"P40464","YIL134W","GroupI"
"P32785","YBL013W","GroupI"
"P15646","YDL014W","GroupI"
"Q08911","YOR388C","GroupI"
"Q02883","YPL103C","GroupI"
"P53889","YNL168C","GroupI"
"P40008","YER004W","GroupI"
"P29704","YHR190W","GroupI"
"P40988","YMR319C","GroupI"
"P40491","YIL098C","GroupI"
"Q03034","YDR539W","GroupI"
"P0CE41","YLR256W","GroupI"
"P38260","YBR101C","GroupI"
"P45976","YJR093C","GroupI"
"Q12341","YPL001W","GroupI"
"P07149","YKL182W","GroupI"
"P26793","YKL113C","GroupI"
"P39676","YGR234W","GroupI"
"Q03254","YMR277W","GroupI"
"Q12035","YLR051C","GroupI"
"P25621","YCR028C","GroupI"
"P53971","YNL023C","GroupI"
"P53917","YNL127W","GroupI"
"P19097","YPL231W","GroupI"
"P25333","YCR008W","GroupI"
"P34756","YFR019W","GroupI"
"P32771","YDL168W","GroupI"
"P53199","YGL001C","GroupI"
"Q12452","YLR100W","GroupI"
"P42940","YGR207C","GroupI"
"P38137","YBR222C","GroupI"
"P38874","YHR187W","GroupI"
"P32353","YLR056W","GroupI"
"Q05498","YDR339C","GroupI"
"P32472","YDR519W","GroupI"
"P38225","YBR041W","GroupI"
"Q12178","YPR062W","GroupI"
"P41546","YFL031W","GroupI"
"Q06143","YLR348C","GroupI"
"Q08496","YOR080W","GroupI"
"P41819","YPL266W","GroupI"
"P47027","YJL090C","GroupI"
"P47138","YJR097W","GroupI"
"P53388","YPL265W","GroupI"
"P38791","YHR068W","GroupI"
"P69771","YKR035W-A","GroupI"
"Q03652","YMR211W","GroupI"
"P40553","YIL010W","GroupI"
"P38821","YHR113W","GroupI"
"P14284","YPL167C","GroupI"
"Q06063","YLR405W","GroupI"
"P40526","YIL049W","GroupI"
"P38859","YHR164C","GroupI"
"Q12429","YLR143W","GroupI"
"P38332","YBR246W","GroupI"
"P14020","YPR183W","GroupI"
"Q05521","YDR284C","GroupI"
"P36108","YKL002W","GroupI"
"Q07505","YDL086W","GroupI"
"P36037","YKL213C","GroupI"
"P32461","YKL191W","GroupI"
"Q06819","YPR082C","GroupI"
"P32469","YLR172C","GroupI"
"P53063","YGL246C","GroupI"
"P07807","YOR236W","GroupI"
"P21951","YNL262W","GroupI"
"P38121","YBL035C","GroupI"
"P53095","YGL196W","GroupI"
"P54858","YDR068W","GroupI"
"P47120","YJR070C","GroupI"
"Q04603","YDR121W","GroupI"
"P53255","YGR093W","GroupI"
"P40516","YIL064W","GroupI"
"P38737","YHL030W","GroupI"
"P39985","YEL055C","GroupI"
"P32892","YLL008W","GroupI"
"P38836","YHR132C","GroupI"
"P34216","YBL047C","GroupI"
"P40318","YIL030C","GroupI"
"P54861","YLL001W","GroupI"
"Q04089","YDR440W","GroupI"
"Q12432","YPR023C","GroupI"
"P32471","YAL003W","GroupI"
"P04819","YDL164C","GroupI"
"Q03921","YDR141C","GroupI"
"P15801","YOR330C","GroupI"
"Q08387","YOR005C","GroupI"
"P24482","YPR175W","GroupI"
"P36049","YKL172W","GroupI"
"Q03212","YMR171C","GroupI"
"P40487","YIL103W","GroupI"
"P38213","YBR007C","GroupI"
"P31385","YAL013W","GroupI"
"P53911","YNL136W","GroupI"
"P35195","YBL001C","GroupI"
"Q3E840","YBL071W-A","GroupI"
"P38347","YBR271W","GroupI"
"P47163","YJR129C","GroupI"
"P39013","YNL084C","GroupI"
"P42842","YNL313C","GroupI"
"Q04406","YDR512C","GroupI"
"P32626","YEL038W","GroupI"
"Q12003","YPL236C","GroupI"
"Q08651","YOR246C","GroupI"
"Q3E705","YGR271C-A","GroupI"
"Q03653","YMR212C","GroupI"
"Q02908","YPL086C","GroupI"
"P40564","YIR004W","GroupI"
"P25615","YCR014C","GroupI"
"P33317","YBR252W","GroupI"
"P14741","YKR026C","GroupI"
"P32502","YLR291C","GroupI"
"P06103","YOR361C","GroupI"
"P02992","YOR187W","GroupI"
"P53073","YGL231C","GroupI"
"Q04868","YMR312W","GroupI"
"P02994","YPR080W, YBR118W","GroupI"
"P39998","YEL015W","GroupI"
"Q05902","YLR299W","GroupI"
"P53200","YGR001C","GroupI"
"P33412","YGR007W","GroupI"
"P38249","YBR079C","GroupI"
"P32501","YDR211W","GroupI"
"P53235","YGR054W","GroupI"
"P43605","YFR027W","GroupI"
"Q12050","YOR144C","GroupI"
"Q06337","YDR359C","GroupI"
"P09032","YOR260W","GroupI"
"P47133","YJR088C","GroupI"
"P38182","YBL078C","GroupI"
"Q12142","YDL149W","GroupI"
"P31384","YAL021C","GroupI"
"P40202","YMR038C","GroupI"
"P22135","YJL180C","GroupI"
"P53722","YNR020C","GroupI"
"P00856","Q0080","GroupI"
"P09798","YKL022C","GroupI"
"P61829","Q0130","GroupI"
"P34243","YKL017C","GroupI"
"P22146","YMR307W","GroupI"
"P06174","YOR278W","GroupI"
"P22023","YOR336W","GroupI"
"P33399","YDL051W","GroupI"
"P08638","YLR451W","GroupI"
"P32875","YOR196C","GroupI"
"P43586","YFR001W","GroupI"
"Q07923","YLR011W","GroupI"
"P38162","YBL107C","GroupI"
"Q10740","YNL045W","GroupI"
"Q06508","YPR139C","GroupI"
"P36146","YKR063C","GroupI"
"Q12502","YOR322C","GroupI"
"P07264","YGL009C","GroupI"
"P50087","YGR235C","GroupI"
"P40079","YER127W","GroupI"
