# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "8" "-s" "2" "-p" "-t" "CDS" "-g" "Name" "-a" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/CBS6556TD.gff" "-o" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KM_STAR_March2019.txt" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Kcl1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH351NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH352NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH353NewGenome_STARAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Kcl1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH351NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH352NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH353NewGenome_STARAligned.out.bam
KMXK0B06680	ChrII	1335053	1335769	+	717	440	46	505	630	626	556	324	351	497	396	321	291
KMXK0B06690	ChrII	1335820	1337094	-	1275	2934	397	2889	3376	3302	3515	2282	2504	2831	2513	2491	2472
KMXK0B06700	ChrII	1337900	1340401	+	2502	7529	638	6454	7478	6706	7151	6550	6540	6563	7524	8065	7665
KMXK0B06710	ChrII	1340590	1342437	-	1848	1524	434	2068	1983	1760	1852	2191	1960	2825	3002	2792	3116
KMXK0B06720	ChrII	1343684	1345138	+	1455	26532	26380	38712	47605	39691	44443	26297	22562	43853	23556	29732	16959
KMXK0B06730	ChrII	1345796	1345882	-	87	0	0	2	0	0	2	2	1	1	3	1	5
KMXK0B06740	ChrII	1345824	1346021	+	198	2130	910	2001	2565	2976	2597	1700	2160	2036	1917	1600	1701
KMXK0B06750	ChrII	1346452	1347027	-	576	731	150	815	690	628	457	485	578	820	643	474	522
KMXK0B06760	ChrII	1347559	1348311	+	753	2538	220	2964	3317	3414	3353	2356	2413	3110	2691	2537	2720
KMXK0B06770	ChrII	1348591	1351227	-	2637	1070	680	1186	1150	1059	1273	1207	1922	1434	1274	1165	2247
KMXK0B06780	ChrII	1351646	1352095	-	450	918	97	772	959	991	1180	781	914	929	776	806	736
KMXK0B06790	ChrII	1352433	1353104	+	672	383	48	372	483	452	572	376	404	441	435	436	378
KMXK0B06800	ChrII	1353108	1354682	-	1575	364	43	355	432	405	434	319	343	359	339	316	363
KMXK0B06810	ChrII	1355051	1356361	+	1311	1591	412	1455	1411	1333	1441	1251	1227	1371	1323	1314	1280
KMXK0B06820	ChrII	1356706	1358361	+	1656	2755	9311	2890	1645	1553	1724	1877	2176	2135	1942	2019	1826
KMXK0B06830	ChrII	1358546	1359064	-	519	893	165	742	1027	925	800	473	461	757	693	528	542
KMXK0B06840	ChrII	1359580	1362360	+	2781	304	84	398	374	394	257	292	263	332	282	230	435
KMXK0B06850	ChrII	1362943	1364364	+	1422	4371	2874	4789	3883	3895	3361	3499	3291	4360	4275	4314	4110
KMXK0B06860	ChrII	1364815	1366356	-	1542	2509	3437	2266	2899	2840	2699	2226	2228	2849	2349	1960	2208
KMXK0B06870	ChrII	1367078	1368589	-	1512	953	72	1616	1990	1458	2032	837	925	792	1404	1572	1181
KMXK0B06880	ChrII	1369886	1371391	+	1506	463	13	481	578	532	637	424	509	328	582	647	889
KMXK0B06890	ChrII	1371717	1373567	+	1851	295	11	235	416	427	403	365	347	288	324	351	329
KMXK0B06900	ChrII	1373620	1375773	-	2154	398	67	347	257	276	244	277	240	237	283	259	493
KMXK0B06910	ChrII	1376047	1377198	+	1152	830	99	696	911	884	786	719	700	780	750	768	725
KMXK0B06920	ChrII	1377286	1378467	-	1182	496	203	361	508	507	511	377	418	461	407	369	366
KMXK0B06930	ChrII	1379069	1380169	+	1101	825	38	666	980	1013	948	850	875	900	734	668	825
KMXK0B06940	ChrII	1380746	1383271	+	2526	2286	312	2388	2291	2121	2363	1996	2256	2266	2254	2293	2146
KMXK0B06950	ChrII	1384480	1385025	+	546	671	275	751	661	548	578	795	997	971	1373	1030	1149
KMXK0B06960	ChrII	1386455	1389070	-	2616	1232	179	1152	1381	1264	1364	1287	1621	1193	1262	1276	1289
KMXK0B06970	ChrII	1390005	1391891	+	1887	1128	62	1220	973	954	1193	940	948	972	1330	1347	1482
KMXK0B06980	ChrII	1392313	1394160	+	1848	1004	927	1067	1191	1123	1161	838	1692	1196	872	868	1514
KMXK0B06990	ChrII	1394275	1396254	-	1980	735	345	787	663	634	684	625	1621	875	776	721	1506
KMXK0B07000	ChrII	1396649	1397296	+	648	504	23	449	381	365	335	413	731	459	463	406	417
KMXK0B07010	ChrII	1397377	1398936	-	1560	994	40	817	832	845	870	636	755	688	870	843	986
KMXK0B07020	ChrII	1399532	1399933	-	402	282	35	202	270	283	283	309	271	280	246	227	248
KMXK0B07030	ChrII	1400176	1401384	+	1209	370	27	317	507	489	543	370	381	427	454	449	412
KMXK0B07040	ChrII	1401720	1402457	+	738	560	64	587	780	723	738	588	686	684	596	604	633
KMXK0B07050	ChrII	1402512	1404926	-	2415	1515	228	1431	1797	1669	1587	1568	1398	1535	1648	1666	1689
KMXK0B07060	ChrII	1405371	1407149	-	1779	1321	427	978	1580	1572	1463	1098	1271	1349	1334	1233	1432
KMXK0B07070	ChrII	1408677	1410716	+	2040	7072	8048	5610	4085	3948	4108	5556	4749	4598	4788	5191	5953
KMXK0B07080	ChrII	1411524	1412135	-	612	242	11	203	211	248	229	159	279	243	198	179	249
KMXK0B07090	ChrII	1412513	1414843	+	2331	609	323	622	458	467	520	467	1183	555	594	626	1254
KMXK0B07100	ChrII	1415240	1416211	+	972	511	81	396	661	658	717	549	713	661	572	561	597
KMXK0B07110	ChrII	1416256	1417236	-	981	578	55	594	610	653	570	456	476	532	561	547	512
KMXK0B07120	ChrII	1417548	1418141	+	594	186	6	145	270	269	255	182	193	204	171	193	178
KMXK0B07130	ChrII	1418281	1418898	-	618	15	1	9	5	8	1	5	1	3	3	4	1
KMXK0B07140	ChrII	1419230	1421641	-	2412	1794	183	1626	2103	1946	2151	1380	1588	1653	1748	1748	1803
KMXK0B07150	ChrII	1422343	1424058	+	1716	2154	170	2572	2591	2432	2805	2067	2104	2029	2227	2207	2396
KMXK0B07160	ChrII	1424914	1428057	+	3144	917	373	1027	905	863	966	842	926	936	869	814	966
KMXK0B07170	ChrII	1428152	1432714	-	4563	3140	1530	3030	2695	2330	2643	2580	2643	3591	2718	2381	2590
KMXK0B07180	ChrII	1433175	1433471	-	297	1044	238	1115	1182	1154	1051	730	849	1277	1013	896	912
KMXK0B07190	ChrII	1433801	1436041	-	2241	2198	665	2788	3104	3006	2868	2823	3006	3578	2670	2527	2619
KMXK0B07200	ChrII	1439738	1442044	+	2307	4234	7115	6199	5787	6111	5849	7851	10880	10379	9349	6977	10816
KMXK0B07210	ChrII	1442884	1443294	+	411	158	17	94	102	91	28	53	46	90	44	24	25
KMXK0B07220	ChrII	1444721	1445623	-	903	1489	4480	1460	1838	1628	1645	1464	1654	1793	1756	1538	1718
KMXK0B07230	ChrII	1447565	1449268	+	1704	1489	389	1436	2076	1713	1937	1450	1610	2435	1794	1335	1723
KMXK0B07240	ChrII	1449566	1451116	-	1551	3950	188	4083	4001	4046	4648	4388	4623	4345	4649	4722	5949
KMXK0B07250	ChrII	1451568	1452485	-	918	383	59	449	315	253	279	191	182	260	361	315	544
KMXK0B07260	ChrII	1452885	1454243	+	1359	1533	583	1435	1391	1319	1425	1035	1154	1218	1211	1426	1245
KMXK0B07270	ChrII	1454268	1455623	-	1356	418	69	312	339	319	312	275	306	338	304	281	275
KMXK0B07280	ChrII	1455709	1456626	-	918	847	1008	934	966	951	1069	917	1031	1004	894	853	782
KMXK0B07290	ChrII	1457107	1458174	-	1068	2073	154	1613	1766	1597	1535	1502	1369	1648	2004	1881	1607
KMXK0B07300	ChrII	1458574	1460175	-	1602	1690	113	1507	1808	1877	2101	1879	1847	1664	1644	1667	1846
KMXK0B07310	ChrII	1460560	1462437	+	1878	579	28	577	642	585	585	548	544	556	534	453	587
KMXK0B07320	ChrII	1462537	1463232	-	696	872	3222	1011	134	134	102	838	288	807	539	263	258
KMXK0B07330	ChrII	1464714	1465298	+	585	107	524	154	94	115	112	177	197	304	157	137	148
KMXK0B07340	ChrII	1465389	1466228	-	840	6452	4953	6312	6446	5996	6843	6080	6024	6801	5843	5700	6120
KMXK0B07350	ChrII	1466724	1467329	-	606	934	534	921	1122	1011	1030	737	1108	1022	940	841	1317
KMXK0B07360	ChrII	1467678	1470593	+	2916	1101	232	942	707	772	937	961	1129	842	685	793	1024
KMXK0B07370	ChrII	1471009	1472334	-	1326	2810	109	4247	2841	3229	2748	2445	3116	2941	2678	2970	2474
KMXK0B07380	ChrII	1473692	1474261	+	570	913	307	774	1016	1014	1242	995	1038	1044	1086	974	984
KMXK0B07390	ChrII	1474878	1475903	+	1026	773	29	725	875	832	886	670	755	828	800	691	717
KMXK0B07400	ChrII	1476652	1478709	+	2058	4658	212	6145	5259	6150	4302	3281	3762	4597	3804	4169	3563
KMXK0B07410	ChrII	1479148	1479594	+	447	630	55	546	814	701	594	570	543	779	698	521	750
KMXK0B07420	ChrII	1480026	1481219	+	1194	670	496	744	522	493	415	619	633	659	498	388	715
KMXK0B07430	ChrII	1482108	1482602	+	495	7279	18030	8141	8803	7925	7938	9074	10130	10248	10822	9820	10242
KMXK0B07440	ChrII	1484238	1485854	+	1617	6170	2709	5787	5355	5210	5596	4264	4589	4821	4418	4212	4294
KMXK0B07450	ChrII	1486228	1487037	+	810	172	58	145	264	234	216	178	205	249	209	206	181
KMXK0B07460	ChrII	1487093	1487683	-	591	768	232	748	934	927	913	645	812	868	720	696	713
KMXK0B07470	ChrII	1487956	1489221	+	1266	166	8	150	180	170	167	134	149	133	129	174	169
KMXK0B07480	ChrII	1489205	1490347	-	1143	279	16	231	319	306	262	267	297	296	234	242	238
KMXK0B07490	ChrII	1490749	1493853	-	3105	6260	38947	9027	9103	16686	9732	7169	6949	9759	4734	4575	5887
KMXK0B07500	ChrII	1496391	1498718	+	2328	1533	1477	2124	1443	1423	1513	1077	1600	1368	1356	1334	1842
KMXK0B07510	ChrII	1499019	1499468	-	450	794	153	648	690	682	792	501	560	513	478	570	470
KMXK0B07520	ChrII	1499958	1502345	-	2388	1604	359	1278	1774	1526	1685	2081	1916	1735	2102	1794	2315
KMXK0B07530	ChrII	1503697	1504356	-	660	759	414	867	891	794	828	563	963	890	831	695	1065
KMXK0B07540	ChrII	1504697	1506229	-	1533	638	103	712	533	607	635	584	1011	584	613	545	1159
KMXK0B07550	ChrII	1506561	1507814	+	1254	1299	43	1155	1211	1203	1234	1002	1168	1019	1154	1052	1334
KMXK0B07560	ChrII	1508541	1509146	-	606	1744	352	1646	1939	2154	2070	1391	1316	1095	1745	1841	1897
KMXK0B07570	ChrII	1511199	1511912	+	714	8518	1832	8781	13180	13599	15395	12475	15743	12405	11200	11998	16402
KMXK0B07580	ChrII	1512377	1512991	+	615	1282	169	1200	1828	1504	1897	1382	1209	1319	1460	1451	1549
KMXK0B07590	ChrII	1513169	1514065	-	897	3122	653	2198	3471	3327	3607	2217	2471	2808	2281	2253	2228
KMXK0B07600	ChrII	1514548	1515837	-	1290	6061	5629	5406	2022	2296	1936	3310	2880	3053	4763	5120	4465
KMXK0B07610	ChrII	1516368	1517540	-	1173	930	417	1034	553	485	530	549	1253	599	840	854	1854
KMXK0B07620	ChrII	1518171	1519559	-	1389	7104	3221	7202	8164	7161	8184	8355	8523	8575	9349	8919	9100
KMXK0B07630	ChrII	1521170	1526179	+	5010	577	49	597	537	618	581	598	642	468	596	599	743
KMXK0B07640	ChrII	1526412	1527965	-	1554	4001	943	3164	3748	3451	3440	3299	3167	3759	3858	3613	4255
KMXK0B07650	ChrII	1528428	1529390	+	963	791	45	656	820	791	793	871	781	808	1034	911	1363
KMXK0B07660	ChrII	1529484	1530275	-	792	1545	35	1193	2862	2797	2858	1864	1831	2225	2117	1975	2083
KMXK0B07670	ChrII	1530796	1532493	-	1698	1831	785	1627	2157	2099	1989	2015	2215	2042	2005	1867	1928
KMXK0B07680	ChrII	1533074	1533286	-	213	708	722	609	684	729	676	611	655	713	634	545	788
KMXK0B07690	ChrII	1533699	1534829	-	1131	2346	843	2230	1833	1623	1667	1650	1456	2020	1763	1684	1821
KMXK0B07700	ChrII	1535140	1536228	+	1089	1016	331	1021	733	772	738	722	706	962	839	682	948
KMXK0B07710	ChrII	1536497	1537147	-	651	2304	234	1337	4693	3424	3837	2567	2003	2334	2060	2192	2245
KMXK0B07720	ChrII	1538024	1539067	-	1044	1114	445	913	1005	1043	1002	733	938	1018	913	847	913
KMXK0B07730	ChrII	1539397	1542825	-	3429	1831	333	1746	2155	2069	2336	1757	2055	1926	1609	1710	1873
KMXK0B07740	ChrII	1543116	1543337	+	222	176	86	145	161	155	156	95	160	164	117	106	226
KMXK0B07750	ChrII	1543538	1544491	-	954	849	19	547	511	645	574	660	719	502	757	720	880
KMXK0B07760	ChrII	1545811	1546128	+	318	5532	629	6099	7349	7810	9941	7518	10184	6453	6252	7366	10053
KMXK0B07770	ChrII	1546581	1548833	+	2253	3802	718	3629	3041	2752	2703	3081	3032	3345	3593	3479	3556
KMXK0B07780	ChrII	1549612	1550280	-	669	791	357	614	569	492	539	526	591	497	686	569	879
KMXK0B07790	ChrII	1552224	1553705	+	1482	5034	36	1281	773	43	2139	4453	1601	1374	6910	7103	8808
KMXK0B07800	ChrII	1554419	1554946	+	528	136	3	154	173	185	214	125	168	133	151	132	165
KMXK0B07810	ChrII	1555078	1555545	+	468	1878	199	1404	2549	2271	2013	1164	1297	1592	1655	1453	1396
KMXK0B07820	ChrII	1555596	1555796	-	201	508	212	466	560	519	528	514	503	764	568	463	384
KMXK0B07830	ChrII	1556283	1557683	-	1401	5770	11904	3651	4142	4720	4619	2732	2769	3343	3363	3217	3186
KMXK0B07840	ChrII	1559186	1559500	+	315	28974	40924	42687	37533	30344	41477	33176	28010	35358	31054	39328	19306
KMXK0B07850	ChrII	1559797	1560645	+	849	398	162	420	355	363	374	450	343	401	414	354	381
KMXK0B07860	ChrII	1560677	1562761	-	2085	5450	2072	5732	7831	7668	7090	5932	6155	10376	6287	6827	6182
KMXK0B07870	ChrII	1563441	1564538	-	1098	2535	243	8750	1587	1550	1359	5269	5937	9511	6746	2962	4946
KMXK0B07880	ChrII	1565543	1567507	+	1965	3309	1992	3923	2908	2406	2894	4092	4379	7254	5095	4377	4884
KMXK0B07890	ChrII	1568283	1568696	+	414	3572	1216	5297	5153	5751	5205	3004	3172	3453	3154	3687	2911
KMXK0B07900	ChrII	1569490	1573218	+	3729	1703	97	1678	1806	1595	1491	1737	1835	1698	1694	1533	1805
KMXK0B07910	ChrII	1573495	1574742	-	1248	3906	698	4048	4182	3741	4234	3384	3748	3229	4145	4393	3762
KMXK0B07920	ChrII	1575454	1576134	-	681	261	33	226	525	411	451	308	334	350	355	307	366
KMXK0B07930	ChrII	1576372	1576839	+	468	96	9	109	165	139	143	44	84	82	98	93	134
KMXK0B07940	ChrII	1577793	1579883	+	2091	98598	100673	73833	63040	72925	70629	72556	75019	69511	68598	86620	70961
KMXK0B07950	ChrII	1582334	1582639	+	306	3396	1230	3585	4232	4654	5713	4647	6062	3800	4001	4773	5801
KMXK0B07960	ChrII	1582934	1585636	-	2703	2236	450	1992	1775	1699	1541	1688	1902	1631	2576	2578	2665
KMXK0B07970	ChrII	1586414	1587184	-	771	4786	2937	4339	6398	7047	6887	4610	5348	5621	4469	4336	4386
KMXK0B07980	ChrII	1587490	1589007	-	1518	1475	255	1322	1403	1343	1283	1425	1331	1497	1613	1378	1681
KMXK0B07990	ChrII	1589917	1591284	-	1368	807	74	704	904	823	953	737	679	708	748	801	644
KMXK0B08000	ChrII	1591581	1592672	-	1092	459	106	346	441	443	418	415	407	519	403	368	372
KMXK0B08010	ChrII	1592937	1593800	+	864	756	283	708	646	669	861	744	751	762	697	721	644
KMXK0B08020	ChrII	1593927	1597685	-	3759	1295	396	1196	1379	995	1290	1837	1653	1997	1647	1637	2248
KMXK0B08030	ChrII	1598536	1599006	-	471	26	10	13	17	21	17	14	12	31	12	9	12
KMXK0B08040	ChrII	1599456	1599992	+	537	5774	7458	4132	3989	4634	4185	3826	4072	5365	4249	3767	4502
KMXK0B08050	ChrII	1600634	1601071	+	438	1503	406	1484	1301	1291	1353	1376	1597	1457	1345	1329	1825
KMXK0B08060	ChrII	1601582	1602235	+	654	3093	226	3184	5030	3992	4687	2183	2802	2369	3348	3877	3904
KMXK0B08070	ChrII	1602380	1603120	-	741	870	98	819	758	703	708	737	665	826	772	648	766
KMXK0B08080	ChrII	1604111	1605007	-	897	1067	122	1130	978	1205	1113	1712	2182	1558	1572	1358	2663
KMXK0B08090	ChrII	1606227	1607183	+	957	684	91	615	1087	988	1110	1167	1074	1066	875	988	884
KMXK0B08100	ChrII	1607258	1608697	-	1440	1383	631	1090	1246	1241	1275	1335	1595	1861	1253	1208	1261
KMXK0B08110	ChrII	1608971	1609750	+	780	840	91	726	830	878	936	655	805	754	597	557	697
KMXK0B08120	ChrII	1610074	1610841	-	768	2326	5773	2508	1597	1443	1455	1917	2127	1857	2437	2373	2420
KMXK0B08130	ChrII	1612570	1613463	+	894	21966	7139	20153	27290	27301	27859	21046	24768	22551	19949	19704	26508
KMXK0B08140	ChrII	1613998	1616613	+	2616	1416	247	1416	2531	2283	2446	1923	1857	1990	1917	2084	1981
KMXK0B08150	ChrII	1616642	1619131	-	2490	2009	94	1862	2444	2205	2291	1621	1636	1717	1671	1636	1664
KMXK0B08160	ChrII	1619542	1620993	+	1452	1197	79	966	2207	1974	1810	969	862	1087	964	975	915
KMXK0B08170	ChrII	1621348	1621908	+	561	1467	142	965	11134	10822	7575	1352	1447	2360	1562	1389	1143
KMXK0B08180	ChrII	1622648	1623325	+	678	1961	577	1698	2713	2779	2515	1619	1636	1966	1752	1619	1473
KMXK0B08190	ChrII	1624055	1624471	+	417	257	58	243	357	383	373	317	296	375	283	269	290
KMXK0B08200	ChrII	1624567	1625847	-	1281	6480	712	5689	6754	4815	5265	3393	3174	3058	3725	3758	1281
KMXK0B08210	ChrII	1626601	1628106	-	1506	1084	2160	944	771	764	654	421	1089	598	638	581	812
KMXK0B08220	ChrII	1629671	1629865	-	195	721	193	713	853	962	887	956	836	719	820	894	952
KMXK0B08230	ChrII	1631343	1633985	+	2643	2327	1106	2203	2886	2735	2901	2014	2549	2589	2265	2176	2083
KMXK0B08240	ChrII	1634255	1634467	-	213	1110	251	858	870	759	954	622	894	722	680	772	797
KMXK0B08250	ChrII	1634856	1637429	+	2574	1564	776	1827	1495	1661	1797	1321	2418	1675	1530	1491	2473
KMXK0B08260	ChrII	1638247	1639530	+	1284	3996	1194	8717	6169	6925	2237	3194	2867	4393	3062	2917	3157
KMXK0B08270	ChrII	1640081	1643152	+	3072	1465	267	1410	1444	1478	1317	1276	1280	1326	1189	1262	1186
KMXK0B08280	ChrII	1643242	1645929	-	2688	5671	3962	6485	2822	2498	2681	2425	2948	2502	3073	4135	2440
KMXK0B08290	ChrII	1648155	1649036	+	882	950	57	876	768	676	622	528	619	618	759	762	666
KMXK0B08300	ChrII	1649106	1650383	-	1278	492	26	724	587	510	675	350	555	395	649	657	1368
KMXK0B08310	ChrII	1650819	1652084	-	1266	53	2	157	37	40	7	8	19	16	12	11	7
KMXK0B08320	ChrII	1653342	1655033	-	1692	778	18	595	1081	1006	1026	774	1207	825	919	781	1134
KMXK0B08330	ChrII	1655351	1655956	+	606	253	17	213	323	317	322	270	430	278	319	252	455
KMXK0B08340	ChrII	1657213	1657695	+	483	713	28	374	1121	873	689	633	554	573	1177	1358	631
KMXK0B08350	ChrII	1658889	1661564	+	2676	9	2	15	1	7	0	26	57	14	3	0	2
KMXK0B08360	ChrII	1663413	1664960	+	1548	3661	85	3374	3569	3314	4129	2805	3031	2384	3290	3580	3987
KMXK0B08370	ChrII	1665199	1667097	-	1899	849	415	651	924	788	774	668	759	677	752	748	574
KMXK0B08380	ChrII	1668575	1669867	+	1293	3719	18959	3537	3623	3816	3920	2250	3208	3176	3229	3329	2846
KMXK0B08390	ChrII	1670966	1671580	-	615	1537	184	1530	1976	1811	1751	1284	1497	1771	2022	1914	1813
KMXK0B08400	ChrII	1672219	1674582	+	2364	2812	788	3195	2485	2679	2644	2145	2419	2229	2404	2555	2436
KMXK0B08410	ChrII	1675313	1676845	-	1533	456	31	425	262	243	299	275	277	262	296	305	264
KMXK0B08420	ChrII	1677860	1679533	+	1674	19	0	37	9	13	2	6	13	5	18	8	11
KMXK0B08430	ChrII	1680727	1682562	+	1836	2623	131	1975	3131	2688	2870	2492	2348	2036	2278	2330	2242
KMXK0B08440	ChrII	1683070	1684485	-	1416	68	2	64	187	192	108	139	89	135	78	64	51
KMXK0B08450	ChrII	1685553	1687295	-	1743	6752	3694	2698	5623	5202	7525	3359	4023	4356	3832	4052	2386
KMXK0B08460	ChrII	1688697	1689539	-	843	102	10	134	285	285	209	53	78	85	139	125	58
KMXK0C00110	ChrIII	8053	11130	-	3078	203925	1762	3653	10139	10530	61866	6161	3298	5170	2331	1988	1438
KMXK0C00120	ChrIII	14323	16086	+	1764	119150	399	1194	365	323	3824	2160	569	1034	581	708	326
KMXK0C00130	ChrIII	16769	19306	-	2538	14733	127	4868	14960	19047	23388	6780	7172	7171	7077	6821	9323
KMXK0C00140	ChrIII	20530	22425	-	1896	413	43	254	5347	5450	4562	2461	1736	1541	2548	2731	998
KMXK0C00150	ChrIII	24797	26488	-	1692	388	29	318	609	576	492	396	279	316	501	602	355
KMXK0C00160	ChrIII	27543	29180	+	1638	926	185	863	894	787	930	1045	755	818	1790	1925	1684
KMXK0C00170	ChrIII	30202	31620	+	1419	163	1	183	1377	557	1066	452	631	283	2536	3065	1441
KMXK0C00180	ChrIII	32380	33309	+	930	3344	106	4632	7027	5710	7912	4460	3494	6237	4612	4194	4620
KMXK0C00190	ChrIII	34178	35887	+	1710	229	60	234	4064	5619	3820	1344	2072	1489	1361	1332	893
KMXK0C00200	ChrIII	35995	37020	-	1026	603	66	511	439	365	344	161	174	264	180	176	89
KMXK0C00210	ChrIII	37498	39111	+	1614	817	45	636	531	598	502	235	278	356	359	391	225
KMXK0C00220	ChrIII	40894	42099	+	1206	753	135	858	792	762	655	741	707	573	843	997	795
KMXK0C00230	ChrIII	42150	42914	-	765	18	9	49	553	288	176	135	176	112	19	22	22
KMXK0C00240	ChrIII	43780	44421	+	642	0	0	0	237	100	160	83	173	66	33	88	63
KMXK0C00250	ChrIII	44444	44764	-	321	30	12	43	130	74	127	92	107	45	53	116	103
KMXK0C00260	ChrIII	45420	46607	-	1188	882	127	822	1757	1337	1777	1248	1418	992	1183	823	1053
KMXK0C00270	ChrIII	48316	49239	+	924	6586	283	5940	13125	14452	15000	10122	9131	8480	9709	10107	10200
KMXK0C00280	ChrIII	50137	50673	-	537	1176	131	1185	1892	1638	1442	1441	1281	1686	1407	1355	1169
KMXK0C00290	ChrIII	51336	53513	-	2178	1071	37	1259	1329	1277	1439	1109	1104	1204	1155	1245	1415
KMXK0C00300	ChrIII	53865	55736	+	1872	3277	167	3586	6086	5825	5754	4519	4558	4660	4994	5157	5076
KMXK0C00310	ChrIII	55912	57390	-	1479	1924	37	1556	1769	1742	1679	1599	1758	1845	1669	1590	1845
KMXK0C00320	ChrIII	58149	59417	+	1269	6760	449	6222	5887	5132	4862	4796	4501	5328	6050	6064	5466
KMXK0C00330	ChrIII	60207	61418	-	1212	2640	877	2592	2420	2311	2326	2019	2154	2289	2368	2178	2093
KMXK0C00340	ChrIII	61848	62516	-	669	1350	691	1413	2225	1906	1862	1047	972	1381	1182	1180	910
KMXK0C00350	ChrIII	62870	65932	+	3063	5945	1224	6315	7792	6869	8020	5740	5537	7599	6691	6095	8006
KMXK0C00360	ChrIII	66161	70150	-	3990	484	21	436	985	759	883	1221	1023	888	964	691	1248
KMXK0C00370	ChrIII	70865	71518	+	654	2224	305	2395	5133	5222	5012	5207	4376	4576	4537	3896	4473
KMXK0C00380	ChrIII	72125	72847	+	723	964	289	1031	778	780	710	477	492	762	679	598	547
KMXK0C00390	ChrIII	73032	74858	+	1827	1054	345	1505	620	578	581	541	563	626	802	976	848
KMXK0C00400	ChrIII	75189	76001	+	813	612	13	538	833	797	885	595	561	684	717	625	747
KMXK0C00410	ChrIII	76357	77538	+	1182	1605	929	1744	1178	987	1126	1032	1281	1508	1232	1067	1440
KMXK0C00420	ChrIII	77614	78438	-	825	1021	207	1047	842	843	849	691	710	774	777	747	659
KMXK0C00430	ChrIII	79425	80393	+	969	2032	1352	2647	1604	1613	1629	1399	2185	2101	1666	1647	2341
KMXK0C00440	ChrIII	80647	81231	+	585	994	60	992	1514	1210	1152	632	773	1003	928	841	1290
KMXK0C00450	ChrIII	81638	84922	+	3285	1598	210	1384	2050	1895	1974	1695	1926	1991	1960	1796	2496
KMXK0C00460	ChrIII	85475	87442	+	1968	3289	1283	3582	4406	3677	4021	3594	3794	5084	4275	3535	3494
KMXK0C00470	ChrIII	87556	88611	-	1056	710	27	675	827	778	847	779	688	807	715	769	719
KMXK0C00480	ChrIII	88851	89267	+	417	368	45	476	537	396	498	392	440	673	481	446	478
