"","protein","Gene","orthogroup"
"687","P21375","YJR051W","S+KZC"
"688","P21524","YER070W","S+KZC"
"689","P21538","YBR049C","S+KZC"
"690","P21560","YPL215W","S+KZC"
"691","P21576","YKR001C","S+KZC"
"692","P21592","YPL172C","S+KZC"
"693","P21595","YDR402C","S+KZC"
"694","P21623","YDR403W","S+KZC"
"695","P21651","YJR021C","S+KZC"
"696","P21657","YIR023W","S+KZC"
"697","P21672","YIL066C","S+KZC"
"698","P21705","YNL314W","S+KZC"
"699","P21734","YDR177W","S+KZC"
"700","P21771","YDR337W","S+KZC"
"701","P21801","YLL041C","S+KZC"
"702","P21825","YPL094C","S+KZC"
"703","P21826","YIR031C","S+KZC"
"704","P21827","YGL097W","S+KZC"
"705","P21951","YNL262W","S+KZC"
"706","P21954","YDL066W","S+KZC"
"707","P21957","YHL020C","S+KZC"
"708","P21965","YNL307C","S+KZC"
"709","P22007","YDL090C","S+KZC"
"710","P22023","YOR336W","S+KZC"
"711","P22035","YKR099W","S+KZC"
"712","P22082","YOR290C","S+KZC"
"713","P22108","YDR530C","S+KZC"
"714","P22133","YOL126C","S+KZC"
"715","P22134","YER142C","S+KZC"
"716","P22135","YJL180C","S+KZC"
"717","P22136","YMR282C","S+KZC"
"718","P22137","YGL206C","S+KZC"
"719","P22138","YPR010C","S+KZC"
"720","P22139","YOR210W","S+KZC"
"721","P22140","YHR123W","S+KZC"
"722","P22141","YER012W","S+KZC"
"723","P22146","YMR307W","S+KZC"
"724","P22147","YGL173C","S+KZC"
"725","P22148","YOL116W","S+KZC"
"726","P22149","YGL071W","S+KZC"
"727","P22202","YER103W","S+KZC"
"728","P22203","YOR332W","S+KZC"
"729","P22204","YGR092W","S+KZC"
"730","P22209","YAR018C","S+KZC"
"731","P22211","YNL183C","S+KZC"
"732","P22213","YDR189W","S+KZC"
"733","P22214","YLR268W","S+KZC"
"734","P22215","YOR307C","S+KZC"
"735","P22216","YPL153C","S+KZC"
"736","P22217","YLR043C","S+KZC"
"737","P22219","YBR097W","S+KZC"
"738","P22224","YGL233W","S+KZC"
"739","P22276","YOR207C","S+KZC"
"740","P22289","YGR183C","S+KZC"
"741","P22336","YAR007C","S+KZC"
"742","P22353","YJL063C","S+KZC"
"743","P22354","YKR085C","S+KZC"
"744","P22434","YGL248W","S+KZC"
"745","P22438","YGR171C","S+KZC"
"746","P22470","YDR143C","S+KZC"
"747","P22515","YKL210W","S+KZC"
"748","P22516","YPL008W","S+KZC"
"749","P22517","YOL016C","S+KZC"
"750","P22543","YLR240W","S+KZC"
"751","P22579","YOL004W","S+KZC"
"752","P22580","YDR242W","S+KZC"
"753","P22696","YJR017C","S+KZC"
"754","P22768","YOL058W","S+KZC"
"755","P22803","YGR209C","S+KZC"
"756","P22804","YIL004C","S+KZC"
"757","P22855","YGL156W","S+KZC"
"758","P22936","YKL114C","S+KZC"
"759","P22943","YFL014W","S+KZC"
"760","P23059","YCR020C-A","S+KZC"
"761","P23060","YCR019W","S+KZC"
"762","P23179","YHL022C","S+KZC"
"763","P23180","YHL021C","S+KZC"
"764","P23201","YLL021W","S+KZC"
"765","P23202","YNL229C","S+KZC"
"766","P23250","YIL119C","S+KZC"
"767","P23254","YPR074C","S+KZC"
"768","P23255","YCR042C","S+KZC"
"769","P23287","YLR433C","S+KZC"
"770","P23291","YHR135C","S+KZC"
"771","P23293","YPR161C","S+KZC"
"772","P23301","YEL034W","S+KZC"
"773","P23337","YFR015C","S+KZC"
"774","P23369","YGR076C","S+KZC"
"775","P23394","YDR243C","S+KZC"
"776","P23493","YKL093W","S+KZC"
"777","P23500","YKR052C","S+KZC"
"778","P23501","YKR053C","S+KZC"
"779","P23503","YNL240C","S+KZC"
"780","P23542","YLR027C","S+KZC"
"781","P23561","YLR362W","S+KZC"
"782","P23585","YMR011W","S+KZC"
"783","P23594","YDL134C","S+KZC"
"784","P23595","YDL188C","S+KZC"
"785","P23615","YGR116W","S+KZC"
"786","P23638","YGR135W","S+KZC"
"787","P23639","YML092C","S+KZC"
"788","P23641","YJR077C","S+KZC"
"789","P23642","YML115C","S+KZC"
"790","P23643","YDR495C","S+KZC"
"791","P23644","YMR203W","S+KZC"
"792","P23724","YBL041W","S+KZC"
"793","P23748","YMR036C","S+KZC"
"794","P23776","YLR300W","S+KZC"
"795","P23796","YMR283C","S+KZC"
"796","P23797","YMR281W","S+KZC"
"797","P23833","YBR037C","S+KZC"
"798","P23900","YLL043W","S+KZC"
"799","P23968","YHR026W","S+KZC"
"800","P24000","YGR148C","S+KZC"
"801","P24004","YKL197C","S+KZC"
"802","P24031","YBR092C","S+KZC"
"803","P24276","YDR293C","S+KZC"
"804","P24279","YEL032W","S+KZC"
"805","P24280","YMR079W","S+KZC"
"806","P24309","YKL149C","S+KZC"
"807","P24384","YER013W","S+KZC"
"808","P24482","YPR175W","S+KZC"
"809","P24521","YMR220W","S+KZC"
"810","P24583","YBL105C","S+KZC"
"811","P24719","YOR351C","S+KZC"
"812","P24720","YOR350C","S+KZC"
"813","P24783","YNL112W","S+KZC"
"814","P24784","YPL119C","S+KZC"
"815","P24813","YDR423C","S+KZC"
"816","P24814","YJR090C","S+KZC"
"817","P24867","YNL289W","S+KZC"
"818","P24869","YPR119W","S+KZC"
"819","P24870","YDL155W","S+KZC"
"820","P24871","YLR210W","S+KZC"
"821","P25037","YDL122W","S+KZC"
"822","P25038","YOL023W","S+KZC"
"823","P25039","YLR069C","S+KZC"
"824","P25040","YOL022C","S+KZC"
"825","P25042","YPR065W","S+KZC"
"826","P25043","YOR157C","S+KZC"
"827","P25044","YDL230W","S+KZC"
"828","P25045","YMR296C","S+KZC"
"829","P25046","YBL093C","S+KZC"
"830","P25087","YML008C","S+KZC"
"831","P25270","YOR201C","S+KZC"
"832","P25293","YKR048C","S+KZC"
"833","P25294","YNL007C","S+KZC"
"834","P25296","YKL190W","S+KZC"
"835","P25297","YML123C","S+KZC"
"836","P25298","YMR061W","S+KZC"
"837","P25299","YGL044C","S+KZC"
"838","P25300","YCR038C","S+KZC"
"839","P25301","YDR004W","S+KZC"
"840","P25302","YER111C","S+KZC"
"841","P25303","YMR214W","S+KZC"
"842","P25332","YCR036W","S+KZC"
"843","P25333","YCR008W","S+KZC"
"844","P25334","YCR069W","S+KZC"
"845","P25335","YIR029W","S+KZC"
"846","P25336","YCR092C","S+KZC"
"847","P25337","YCR063W","S+KZC"
"848","P25338","YGL010W","S+KZC"
"849","P25339","YGL014W","S+KZC"
"850","P25340","YGL012W","S+KZC"
"851","P25342","YCR002C","S+KZC"
"852","P25343","YCR009C","S+KZC"
"853","P25344","YCL032W","S+KZC"
"854","P25345","YCR024C","S+KZC"
"855","P25346","YCR098C","S+KZC"
"856","P25348","YCR003W","S+KZC"
"857","P25349","YCR004C","S+KZC"
"858","P25351","YCR023C","S+KZC"
"859","P25353","YCR026C","S+KZC"
"860","P25355","YCR054C","S+KZC"
"861","P25356","YCR032W","S+KZC"
"862","P25357","YCR033W","S+KZC"
"863","P25358","YCR034W","S+KZC"
"864","P25359","YCR035C","S+KZC"
"865","P25360","YCR037C","S+KZC"
"866","P25361","YCR043C","S+KZC"
"867","P25362","YCR020C","S+KZC"
"868","P25364","YCR065W","S+KZC"
"869","P25366","YCR095C","S+KZC"
"870","P25367","YCL028W","S+KZC"
"871","P25368","YCL031C","S+KZC"
"872","P25369","YCL034W","S+KZC"
"873","P25370","YCL036W","S+KZC"
"874","P25371","YCR011C","S+KZC"
"875","P25372","YCR083W","S+KZC"
"876","P25373","YCL035C","S+KZC"
"877","P25374","YCL017C","S+KZC"
"878","P25375","YCL057W","S+KZC"
"879","P25376","YCL025C","S+KZC"
"880","P25377","YCR105W","S+KZC"
"881","P25378","YCR027C","S+KZC"
"882","P25379","YCL064C","S+KZC"
"883","P25380","YCL048W","S+KZC"
"884","P25381","YCR045C","S+KZC"
"885","P25382","YCR072C","S+KZC"
"886","P25384","YCL019W","S+KZC"
"887","P25385","YLR078C","S+KZC"
"888","P25386","YDL058W","S+KZC"
"889","P25390","YCR073C","S+KZC"
"890","P25441","YDL150W","S+KZC"
"891","P25443","YGL123W","S+KZC"
"892","P25451","YER094C","S+KZC"
"893","P25453","YER179W","S+KZC"
"894","P25454","YER095W","S+KZC"
"895","P25491","YNL064C","S+KZC"
"896","P25502","YKL015W","S+KZC"
"897","P25515","YEL027W","S+KZC"
"898","P25554","YCL010C","S+KZC"
"899","P25555","YCL011C","S+KZC"
"900","P25558","YCL014W","S+KZC"
"901","P25559","YCL016C","S+KZC"
"902","P25560","YCL001W","S+KZC"
"903","P25565","YCL002C","S+KZC"
"904","P25566","YCL033C","S+KZC"
"905","P25567","YCL037C","S+KZC"
"906","P25568","YCL038C","S+KZC"
"907","P25569","YCL039W","S+KZC"
"908","P25573","YCL044C","S+KZC"
"909","P25574","YCL045C","S+KZC"
"910","P25576","YCL047C","S+KZC"
"911","P25578","YCL004W","S+KZC"
"912","P25579","YCL051W","S+KZC"
"913","P25580","YCL052C","S+KZC"
"914","P25582","YCL054W","S+KZC"
"915","P25583","YCL055W","S+KZC"
"916","P25586","YCL059C","S+KZC"
"917","P25587","YCL005W","S+KZC"
"918","P25588","YCL061C","S+KZC"
"919","P25591","YCL063W","S+KZC"
"920","P25593","YCL068C","S+KZC"
"921","P25604","YCL008C","S+KZC"
"922","P25605","YCL009C","S+KZC"
"923","P25608","YCR102C","S+KZC"
"924","P25610","YCR104W","S+KZC"
"925","P25611","YCR106W","S+KZC"
"926","P25613","YCR010C","S+KZC"
"927","P25615","YCR014C","S+KZC"
"928","P25616","YCR015C","S+KZC"
"929","P25617","YCR016W","S+KZC"
"930","P25618","YCR017C","S+KZC"
"931","P25619","YCR021C","S+KZC"
"932","P25621","YCR028C","S+KZC"
"933","P25623","YCR030C","S+KZC"
"934","P25625","YCR044C","S+KZC"
"935","P25626","YCR046C","S+KZC"
"936","P25627","YCR047C","S+KZC"
"937","P25628","YCR048W","S+KZC"
"938","P25631","YCR051W","S+KZC"
"939","P25632","YCR052W","S+KZC"
"940","P25635","YCR057C","S+KZC"
"941","P25637","YCR059C","S+KZC"
"942","P25638","YCR060W","S+KZC"
"943","P25639","YCR061W","S+KZC"
"944","P25641","YCR068W","S+KZC"
"945","P25642","YCR071C","S+KZC"
"946","P25644","YCR077C","S+KZC"
"947","P25646","YCR079W","S+KZC"
"948","P25648","YCR081W","S+KZC"
"949","P25649","YCR082W","S+KZC"
"950","P25651","YCR086W","S+KZC"
"951","P25654","YCR090C","S+KZC"
"952","P25655","YCR093W","S+KZC"
"953","P25656","YCR094W","S+KZC"
"954","P25659","YCR076C","S+KZC"
"955","P25693","YDL127W","S+KZC"
"956","P25694","YDL126C","S+KZC"
"957","P25719","YML078W","S+KZC"
"958","P25808","YFL002C","S+KZC"
"959","P25846","YHR120W","S+KZC"
"960","P25847","YOL090W","S+KZC"
"961","P26188","YDL200C","S+KZC"
"962","P26309","YGL116W","S+KZC"
"963","P26321","YPL131W","S+KZC"
"964","P26343","YKR034W","S+KZC"
"965","P26364","YER170W","S+KZC"
"966","P26370","YDL170W","S+KZC"
"967","P26448","YMR055C","S+KZC"
"968","P26449","YOR026W","S+KZC"
"969","P26570","YML016C","S+KZC"
"970","P26637","YPL160W","S+KZC"
"971","P26725","YJL139C","S+KZC"
"972","P26754","YNL312W","S+KZC"
"973","P26755","YJL173C","S+KZC"
"974","P26783","YJR123W","S+KZC"
"975","P26784","YIL133C","S+KZC"
"976","P26785","YNL069C","S+KZC"
"977","P26786","YOR096W","S+KZC"
"978","P26793","YKL113C","S+KZC"
"979","P26798","YDR123C","S+KZC"
"980","P27344","YBR278W","S+KZC"
"981","P27351","YJR005W","S+KZC"
"982","P27472","YLR258W","S+KZC"
"983","P27476","YGR159C","S+KZC"
"984","P27514","YNR013C","S+KZC"
"985","P27515","YNR012W","S+KZC"
"986","P27614","YJL172W","S+KZC"
"987","P27616","YAR015W","S+KZC"
"988","P27636","YAR019C","S+KZC"
"989","P27637","YAR014C","S+KZC"
"990","P27654","YBR067C","S+KZC"
"991","P27680","YOL096C","S+KZC"
"992","P27692","YML010W","S+KZC"
"993","P27697","YGL119W","S+KZC"
"994","P27705","YGL035C","S+KZC"
"995","P27796","YIL160C","S+KZC"
"996","P27801","YLR148W","S+KZC"
"997","P27809","YDR483W","S+KZC"
"998","P27810","YOR099W","S+KZC"
"999","P27825","YAL058W","S+KZC"
"1000","P27882","YGR029W","S+KZC"
"1001","P27895","YEL061C","S+KZC"
"1002","P27929","YNL137C","S+KZC"
"1003","P27999","YGL070C","S+KZC"
"1004","P28000","YNL113W","S+KZC"
"1005","P28003","YAL034C","S+KZC"
"1006","P28004","YAL032C","S+KZC"
"1007","P28005","YAL033W","S+KZC"
"1008","P28006","YOR178C","S+KZC"
"1009","P28007","YHR089C","S+KZC"
"1010","P28239","YMR267W","S+KZC"
"1011","P28240","YER065C","S+KZC"
"1012","P28241","YOR136W","S+KZC"
"1013","P28263","YEL012W","S+KZC"
"1014","P28272","YKL216W","S+KZC"
"1015","P28273","YKL215C","S+KZC"
"1016","P28274","YBL039C","S+KZC"
"1017","P28319","YKL096W","S+KZC"
"1018","P28320","YKL095W","S+KZC"
"1019","P28321","YKL094W","S+KZC"
"1020","P28495","YKL007W","S+KZC"
"1021","P28496","YKL008C","S+KZC"
"1022","P28519","YMR201C","S+KZC"
"1023","P28584","YKR050W","S+KZC"
"1024","P28625","YMR152W","S+KZC"
"1025","P28627","YMR150C","S+KZC"
"1026","P28707","YKL117W","S+KZC"
"1027","P28708","YKL116C","S+KZC"
"1028","P28737","YGR028W","S+KZC"
"1029","P28742","YBL063W","S+KZC"
"1030","P28743","YPL155C","S+KZC"
"1031","P28777","YGL148W","S+KZC"
"1032","P28778","YKL003C","S+KZC"
"1033","P28789","YDL205C","S+KZC"
"1034","P28791","YDR498C","S+KZC"
"1035","P28795","YDR329C","S+KZC"
"1036","P28817","YDR036C","S+KZC"
"1037","P28834","YNL037C","S+KZC"
"1038","P29029","YLR286C","S+KZC"
"1039","P29055","YPR086W","S+KZC"
"1040","P29056","YGR246C","S+KZC"
"1041","P29295","YPL204W","S+KZC"
"1042","P29311","YER177W","S+KZC"
"1043","P29340","YGR133W","S+KZC"
"1044","P29366","YBR200W","S+KZC"
"1045","P29453","YLL045C","S+KZC"
"1046","P29461","YOR208W","S+KZC"
"1047","P29465","YBR023C","S+KZC"
"1048","P29467","YER044C-A","S+KZC"
"1049","P29468","YKR002W","S+KZC"
"1050","P29469","YBL023C","S+KZC"
"1051","P29478","YML105C","S+KZC"
"1052","P29496","YLR274W","S+KZC"
"1053","P29509","YDR353W","S+KZC"
"1054","P29539","YBR275C","S+KZC"
"1055","P29547","YPL048W","S+KZC"
"1056","P29703","YKL019W","S+KZC"
"1057","P29704","YHR190W","S+KZC"
"1058","P29952","YER003C","S+KZC"
"1059","P30283","YPR120C","S+KZC"
"1060","P30605","YDR497C","S+KZC"
"1061","P30606","YOL103W","S+KZC"
"1062","P30619","YDR164C","S+KZC"
"1063","P30620","YMR137C","S+KZC"
"1064","P30624","YOR317W","S+KZC"
"1065","P30656","YPR103W","S+KZC"
"1066","P30657","YFR050C","S+KZC"
"1067","P30665","YPR019W","S+KZC"
"1068","P30771","YMR080C","S+KZC"
"1069","P30775","YGL143C","S+KZC"
"1070","P30777","YGL142C","S+KZC"
"1071","P30822","YGR218W","S+KZC"
"1072","P30902","YKL016C","S+KZC"
"1073","P30952","YNL117W","S+KZC"
"1074","P31111","YDR285W","S+KZC"
"1075","P31115","YFL001W","S+KZC"
"1076","P31116","YJR139C","S+KZC"
"1077","P31244","YBR114W","S+KZC"
"1078","P31334","YGR220C","S+KZC"
"1079","P31373","YAL012W","S+KZC"
"1080","P31374","YAL017W","S+KZC"
"1081","P31376","YAL011W","S+KZC"
"1082","P31377","YAL014C","S+KZC"
"1083","P31378","YAL015C","S+KZC"
"1084","P31379","YAL018C","S+KZC"
"1085","P31380","YAL019W","S+KZC"
"1086","P31381","YAL022C","S+KZC"
"1087","P31382","YAL023C","S+KZC"
"1088","P31383","YAL016W","S+KZC"
"1089","P31384","YAL021C","S+KZC"
"1090","P31385","YAL013W","S+KZC"
"1091","P31386","YAL020C","S+KZC"
"1092","P31412","YKL080W","S+KZC"
"1093","P31539","YLL026W","S+KZC"
"1094","P31688","YDR074W","S+KZC"
"1095","P31755","YGL038C","S+KZC"
"1096","P31787","YGR037C","S+KZC"
"1097","P32048","YNL073W","S+KZC"
"1098","P32074","YNL287W","S+KZC"
"1099","P32178","YPR060C","S+KZC"
"1100","P32179","YOL064C","S+KZC"
"1101","P32190","YHL032C","S+KZC"
"1102","P32191","YIL155C","S+KZC"
"1103","P32259","YNL236W","S+KZC"
"1104","P32263","YER023W","S+KZC"
"1105","P32264","YDR300C","S+KZC"
"1106","P32266","YOR211C","S+KZC"
"1107","P32288","YPR035W","S+KZC"
"1108","P32316","YBL015W","S+KZC"
"1109","P32317","YEL052W","S+KZC"
"1110","P32318","YGR144W","S+KZC"
"1111","P32319","YBL017C","S+KZC"
"1112","P32324","YOR133W, YDR385W","S+KZC"
"1113","P32325","YDR052C","S+KZC"
"1114","P32327","YBR218C","S+KZC"
"1115","P32328","YPR111W","S+KZC"
"1116","P32329","YLR120C","S+KZC"
"1117","P32330","YKL121W","S+KZC"
"1118","P32331","YPR058W","S+KZC"
"1119","P32332","YKL120W","S+KZC"
"1120","P32333","YPL082C","S+KZC"
"1121","P32334","YGR014W","S+KZC"
"1122","P32335","YLR203C","S+KZC"
"1123","P32336","YOR373W","S+KZC"
"1124","P32337","YMR308C","S+KZC"
"1125","P32338","YGR044C","S+KZC"
"1126","P32339","YLR205C","S+KZC"
"1127","P32340","YML120C","S+KZC"
"1128","P32341","YKL119C","S+KZC"
"1129","P32342","YKL122C","S+KZC"
"1130","P32343","YKL124W","S+KZC"
"1131","P32345","YDR075W","S+KZC"
"1132","P32347","YDR047W","S+KZC"
"1133","P32349","YPR190C","S+KZC"
"1134","P32350","YLL019C","S+KZC"
"1135","P32351","YIL154C","S+KZC"
"1136","P32352","YMR202W","S+KZC"
"1137","P32353","YLR056W","S+KZC"
"1138","P32354","YIL150C","S+KZC"
"1139","P32356","YDR001C","S+KZC"
"1140","P32357","YBL074C","S+KZC"
"1141","P32361","YHR079C","S+KZC"
"1142","P32363","YPL175W","S+KZC"
"1143","P32364","YKL079W","S+KZC"
"1144","P32366","YLR447C","S+KZC"
"1145","P32367","YBR123C","S+KZC"
"1146","P32368","YKL212W","S+KZC"
"1147","P32375","YIR027C","S+KZC"
"1148","P32377","YNR043W","S+KZC"
"1149","P32378","YNR041C","S+KZC"
"1150","P32379","YGR253C","S+KZC"
"1151","P32380","YDR356W","S+KZC"
"1152","P32381","YDL029W","S+KZC"
"1153","P32383","YPL268W","S+KZC"
"1154","P32386","YLL048C","S+KZC"
"1155","P32387","YDR405W","S+KZC"
"1156","P32388","YKL167C","S+KZC"
"1157","P32389","YNL103W","S+KZC"
"1158","P32419","YDL078C","S+KZC"
"1159","P32432","YLR403W","S+KZC"
"1160","P32435","YGL089C","S+KZC"
"1161","P32445","YCR028C-A","S+KZC"
"1162","P32447","YJL115W","S+KZC"
"1163","P32449","YBR249C","S+KZC"
"1164","P32451","YGR286C","S+KZC"
"1165","P32452","YNL316C","S+KZC"
"1166","P32453","YNL315C","S+KZC"
"1167","P32454","YKL157W","S+KZC"
"1168","P32457","YLR314C","S+KZC"
"1169","P32458","YJR076C","S+KZC"
"1170","P32459","YIR032C","S+KZC"
"1171","P32460","YIR030C","S+KZC"
"1172","P32461","YKL191W","S+KZC"
"1173","P32462","YNL280C","S+KZC"
"1174","P32463","YKL192C","S+KZC"
"1175","P32464","YKL189W","S+KZC"
"1176","P32465","YHR094C","S+KZC"
"1177","P32466","YDR345C","S+KZC"
"1178","P32467","YHR092C","S+KZC"
"1179","P32468","YHR107C","S+KZC"
"1180","P32469","YLR172C","S+KZC"
"1181","P32471","YAL003W","S+KZC"
"1182","P32472","YDR519W","S+KZC"
"1183","P32473","YBR221C","S+KZC"
"1184","P32476","YGR175C","S+KZC"
"1185","P32477","YJL101C","S+KZC"
"1186","P32478","YJL159W","S+KZC"
"1187","P32479","YBL008W","S+KZC"
"1188","P32480","YOR038C","S+KZC"
"1189","P32481","YER025W","S+KZC"
"1190","P32485","YLR113W","S+KZC"
"1191","P32486","YPR159W","S+KZC"
"1192","P32487","YNL268W","S+KZC"
"1193","P32489","YPL121C","S+KZC"
"1194","P32490","YOR231W","S+KZC"
"1195","P32491","YPL140C","S+KZC"
"1196","P32493","YMR064W","S+KZC"
"1197","P32494","YDR176W","S+KZC"
"1198","P32495","YDL208W","S+KZC"
"1199","P32496","YFR052W","S+KZC"
"1200","P32497","YMR309C","S+KZC"
"1201","P32499","YLR335W","S+KZC"
"1202","P32500","YML031W","S+KZC"
"1203","P32501","YDR211W","S+KZC"
"1204","P32502","YLR291C","S+KZC"
"1205","P32504","YGR140W","S+KZC"
"1206","P32505","YGL122C","S+KZC"
"1207","P32521","YIR006C","S+KZC"
"1208","P32522","YLR067C","S+KZC"
"1209","P32523","YLL036C","S+KZC"
"1210","P32524","YJL203W","S+KZC"
"1211","P32525","YJL201W","S+KZC"
"1212","P32526","YPL269W","S+KZC"
"1213","P32527","YGR285C","S+KZC"
"1214","P32528","YBR208C","S+KZC"
"1215","P32529","YJR063W","S+KZC"
"1216","P32558","YGL207W","S+KZC"
"1217","P32559","YMR023C","S+KZC"
"1218","P32561","YNL330C","S+KZC"
"1219","P32562","YMR001C","S+KZC"
"1220","P32563","YOR270C","S+KZC"
"1221","P32564","YGR049W","S+KZC"
"1222","P32565","YIL075C","S+KZC"
"1223","P32566","YGR229C","S+KZC"
"1224","P32567","YMR165C","S+KZC"
"1225","P32568","YDR011W","S+KZC"
"1226","P32569","YER022W","S+KZC"
"1227","P32570","YBR253W","S+KZC"
"1228","P32571","YDR069C","S+KZC"
"1229","P32573","YNL202W","S+KZC"
"1230","P32578","YDR422C","S+KZC"
"1231","P32579","YGL169W","S+KZC"
"1232","P32580","YPL029W","S+KZC"
"1233","P32581","YJL106W","S+KZC"
"1234","P32582","YGR155W","S+KZC"
"1235","P32583","YKR092C","S+KZC"
"1236","P32584","YDR410C","S+KZC"
"1237","P32585","YGR104C","S+KZC"
"1238","P32588","YNL016W","S+KZC"
"1239","P32589","YPL106C","S+KZC"
"1240","P32591","YJL176C","S+KZC"
"1241","P32597","YIL126W","S+KZC"
"1242","P32598","YER133W","S+KZC"
"1243","P32599","YDR129C","S+KZC"
"1244","P32600","YKL203C","S+KZC"
"1245","P32601","YPR017C","S+KZC"
"1246","P32602","YBL050W","S+KZC"
"1247","P32603","YOR190W","S+KZC"
"1248","P32604","YJL155C","S+KZC"
"1249","P32605","YBR119W","S+KZC"
"1250","P32606","YOR017W","S+KZC"
"1251","P32607","YOL067C","S+KZC"
"1252","P32608","YGL252C","S+KZC"
"1253","P32609","YDR323C","S+KZC"
"1254","P32610","YEL051W","S+KZC"
"1255","P32611","YEL050C","S+KZC"
"1256","P32612","YEL049W","S+KZC"
"1257","P32613","YEL048C","S+KZC"
"1258","P32614","YEL047C","S+KZC"
"1259","P32617","YEL044W","S+KZC"
"1260","P32618","YEL043W","S+KZC"
"1261","P32621","YEL042W","S+KZC"
"1262","P32623","YEL040W","S+KZC"
"1263","P32626","YEL038W","S+KZC"
"1264","P32628","YEL037C","S+KZC"
"1265","P32629","YEL036C","S+KZC"
"1266","P32634","YER132C","S+KZC"
"1267","P32639","YER172C","S+KZC"
"1268","P32641","YER173W","S+KZC"
"1269","P32642","YER174C","S+KZC"
"1270","P32643","YER175C","S+KZC"
"1271","P32644","YER176W","S+KZC"
"1272","P32645","YER180C","S+KZC"
"1273","P32656","YER163C","S+KZC"
"1274","P32657","YER164W","S+KZC"
"1275","P32660","YER166W","S+KZC"
"1276","P32767","YGL016W","S+KZC"
"1277","P32768","YAR050W","S+KZC"
"1278","P32769","YKR084C","S+KZC"
"1279","P32770","YDL167C","S+KZC"
"1280","P32771","YDL168W","S+KZC"
"1281","P32772","YDL169C","S+KZC"
"1282","P32773","YOR194C","S+KZC"
"1283","P32774","YKL058W","S+KZC"
"1284","P32775","YEL011W","S+KZC"
"1285","P32776","YDR311W","S+KZC"
"1286","P32781","YGL032C","S+KZC"
"1287","P32783","YBR236C","S+KZC"
"1288","P32784","YBL011W","S+KZC"
"1289","P32785","YBL013W","S+KZC"
"1290","P32786","YBL014C","S+KZC"
"1291","P32787","YJR144W","S+KZC"
"1292","P32788","YBL010C","S+KZC"
"1293","P32789","YBL009W","S+KZC"
"1294","P32790","YBL007C","S+KZC"
"1295","P32791","YLR214W","S+KZC"
"1296","P32792","YHR017W","S+KZC"
"1297","P32793","YHR016C","S+KZC"
"1298","P32794","YLR397C","S+KZC"
"1299","P32795","YPR024W","S+KZC"
"1300","P32796","YML042W","S+KZC"
"1301","P32797","YDL220C","S+KZC"
"1302","P32799","YGL191W","S+KZC"
"1303","P32800","YJL210W","S+KZC"
"1304","P32801","YKL048C","S+KZC"
"1305","P32802","YLR083C","S+KZC"
"1306","P32803","YGL200C","S+KZC"
"1307","P32804","YGL255W","S+KZC"
"1308","P32805","YGL254W","S+KZC"
"1309","P32806","YJL044C","S+KZC"
"1310","P32807","YMR284W","S+KZC"
"1311","P32828","YDL013W","S+KZC"
"1312","P32829","YMR224C","S+KZC"
"1313","P32830","YBR091C","S+KZC"
"1314","P32831","YBR212W","S+KZC"
"1315","P32832","YMR091C","S+KZC"
"1316","P32833","YBR060C","S+KZC"
"1317","P32835","YLR293C","S+KZC"
"1318","P32836","YOR185C","S+KZC"
"1319","P32837","YDL210W","S+KZC"
"1320","P32838","YNR032W","S+KZC"
"1321","P32839","YDR375C","S+KZC"
"1322","P32841","YMR133W","S+KZC"
"1323","P32842","YPL234C","S+KZC"
"1324","P32843","YMR302C","S+KZC"
"1325","P32844","YIL068C","S+KZC"
"1326","P32849","YLR032W","S+KZC"
"1327","P32854","YOR036W","S+KZC"
"1328","P32855","YPR055W","S+KZC"
"1329","P32857","YKL039W","S+KZC"
"1330","P32860","YKL040C","S+KZC"
"1331","P32861","YKL035W","S+KZC"
"1332","P32862","YKL038W","S+KZC"
"1333","P32863","YGL163C","S+KZC"
"1334","P32864","YOR370C","S+KZC"
"1335","P32867","YPL232W","S+KZC"
"1336","P32873","YPL115C","S+KZC"
"1337","P32875","YOR196C","S+KZC"
"1338","P32891","YDL174C","S+KZC"
"1339","P32892","YLL008W","S+KZC"
"1340","P32893","YGR166W","S+KZC"
"1341","P32895","YKL181W","S+KZC"
"1342","P32896","YDR081C","S+KZC"
"1343","P32897","YNR017W","S+KZC"
"1344","P32898","YDR430C","S+KZC"
"1345","P32899","YHR148W","S+KZC"
"1346","P32900","YHR149C","S+KZC"
"1347","P32901","YKR093W","S+KZC"
"1348","P32902","YHL004W","S+KZC"
"1349","P32903","YCR024C-A","S+KZC"
"1350","P32904","YHR147C","S+KZC"
"1351","P32905","YGR214W","S+KZC"
"1352","P32906","YJR131W","S+KZC"
"1353","P32907","YNR002C","S+KZC"
"1354","P32908","YFL008W","S+KZC"
"1355","P32910","YNR003C","S+KZC"
"1356","P32911","YNL244C","S+KZC"
"1357","P32912","YGL212W","S+KZC"
"1358","P32913","YOR132W","S+KZC"
"1359","P32914","YGR063C","S+KZC"
"1360","P32915","YLR378C","S+KZC"
"1361","P32916","YDR292C","S+KZC"
"1362","P32917","YDR103W","S+KZC"
"1363","P32939","YML001W","S+KZC"
"1364","P32943","YGR109C","S+KZC"
"1365","P32944","YJL187C","S+KZC"
"1366","P32945","YPL179W","S+KZC"
"1367","P33122","YOR344C","S+KZC"
"1368","P33200","YBL005W","S+KZC"
