Orthogroup	S.cerevisiae	C.glabrata	K.marxianus	Z.rouxii
OG0000378	P53389		KMXK_0D00130, KMXK_0E03310, KMXK_0G00810	tr|C5E428|C5E428_ZYGRC
OG0000379	P19211, P23301	tr|Q6FLR2|Q6FLR2_CANGA	KMXK_0A01320	tr|C5DXH6|C5DXH6_ZYGRC
OG0000380	P02829, P15108	tr|Q6FLU9|Q6FLU9_CANGA	KMXK_0E03480	tr|C5E4Q6|C5E4Q6_ZYGRC
OG0000381	P0CY06, P0CY07	sp|Q874P0|MTAL1_CANGA	KMXK_0A08330	tr|C5DZ67|C5DZ67_ZYGRC
OG0000382	P40037, P40185	tr|Q6FIR3|Q6FIR3_CANGA	KMXK_0H01900	tr|C5DTF3|C5DTF3_ZYGRC
OG0000383	P39734, Q99332	tr|Q6FT08|Q6FT08_CANGA	KMXK_0E01230	tr|C5DVA3|C5DVA3_ZYGRC
OG0000384	Q99383	tr|Q6FJT3|Q6FJT3_CANGA, tr|Q6FVH0|Q6FVH0_CANGA	KMXK_0G02570	tr|C5DSS3|C5DSS3_ZYGRC
OG0000385	P39522	tr|Q6FXQ1|Q6FXQ1_CANGA	KMXK_0D02830	tr|C5DSB2|C5DSB2_ZYGRC, tr|C5E0C7|C5E0C7_ZYGRC
OG0000386	P17709, Q04409	tr|Q6FUU4|Q6FUU4_CANGA	KMXK_0A08010	tr|C5DZ34|C5DZ34_ZYGRC
OG0000387	P15731, P15732	tr|Q6FV50|Q6FV50_CANGA	KMXK_0H03610	tr|C5E0H9|C5E0H9_ZYGRC
OG0000388	P16649	tr|Q6FVN2|Q6FVN2_CANGA, tr|Q6FWR0|Q6FWR0_CANGA	KMXK_0B02630	tr|C5DWS9|C5DWS9_ZYGRC
OG0000389	P22217, P22803	tr|Q6FND5|Q6FND5_CANGA	KMXK_0F04980	tr|C5DX24|C5DX24_ZYGRC
OG0000390	Q04383, Q06266	tr|F2Z6H4|F2Z6H4_CANGA	KMXK_0A07700	tr|C5DZ05|C5DZ05_ZYGRC
OG0000391	P12685, P28584	tr|Q6FL73|Q6FL73_CANGA	KMXK_0F05430	tr|C5DV25|C5DV25_ZYGRC
OG0000392	Q3E790	tr|B4UN12|B4UN12_CANGA	KMXK_0D01340	tr|C5E4K3|C5E4K3_ZYGRC, tr|C5E4K4|C5E4K4_ZYGRC
OG0000393	P38749	tr|Q6FJ09|Q6FJ09_CANGA, tr|Q6FN56|Q6FN56_CANGA	KMXK_0C00590	tr|C5DQK6|C5DQK6_ZYGRC
OG0000394	P21373	tr|Q6FLR6|Q6FLR6_CANGA, tr|Q6FR29|Q6FR29_CANGA	KMXK_0C02800	tr|C5DXI3|C5DXI3_ZYGRC
OG0000395	P53322	tr|Q6FTW2|Q6FTW2_CANGA	KMXK_0A03640, KMXK_0D00200	tr|C5E1P9|C5E1P9_ZYGRC
OG0000396	P32802, Q04562	tr|Q6FXE0|Q6FXE0_CANGA	KMXK_0D01530	tr|C5DSP2|C5DSP2_ZYGRC
OG0000397	P53283, Q06451	sp|Q6FQ03|TPO3_CANGA	KMXK_0B05590	tr|C5E1B5|C5E1B5_ZYGRC
OG0000398	P04786	tr|Q6FNH4|Q6FNH4_CANGA, tr|Q6FVE9|Q6FVE9_CANGA	KMXK_0A05910	tr|C5DTC9|C5DTC9_ZYGRC
OG0000399	Q07824	sp|Q6FTB1|TPO11_CANGA, sp|Q6FV98|TPO12_CANGA	KMXK_0D01170	tr|C5DQK1|C5DQK1_ZYGRC
OG0000400	P29509	sp|Q6FR39|TRXB_CANGA, tr|Q6FY28|Q6FY28_CANGA	KMXK_0A01580	tr|C5DPV0|C5DPV0_ZYGRC
OG0000401	P38142, P53142	tr|Q6FWZ2|Q6FWZ2_CANGA	KMXK_0B04160	tr|C5E1K2|C5E1K2_ZYGRC
OG0000402	P34231, Q06689	tr|Q6FUA0|Q6FUA0_CANGA, tr|Q6FWG3|Q6FWG3_CANGA	KMXK_0D05580	
OG0000403	P47161	tr|Q6FK72|Q6FK72_CANGA	KMXK_0D05440, KMXK_0E05000	tr|C5DS90|C5DS90_ZYGRC
OG0000404	P35497, Q07786, Q07993		KMXK_0H00420	tr|C5DX64|C5DX64_ZYGRC
OG0000405	P53241	tr|Q6FMW8|Q6FMW8_CANGA, tr|Q6FMX0|Q6FMX0_CANGA	KMXK_0E02820	tr|C5DRD6|C5DRD6_ZYGRC
OG0000406	P40041, P40522	tr|Q6FPK9|Q6FPK9_CANGA	KMXK_0H01790	tr|C5DTG1|C5DTG1_ZYGRC
OG0000407	P07213	tr|Q6FKB3|Q6FKB3_CANGA, tr|Q6FLE4|Q6FLE4_CANGA	KMXK_0F03260	tr|C5DZR1|C5DZR1_ZYGRC
OG0000408	P36165	tr|Q6FMS4|Q6FMS4_CANGA, tr|Q6FTH9|Q6FTH9_CANGA	KMXK_0A04370	tr|C5E0P4|C5E0P4_ZYGRC
OG0000409	P23254, P33315	tr|Q6FWC3|Q6FWC3_CANGA	KMXK_0G03120	tr|C5DUG8|C5DUG8_ZYGRC
OG0000410	P39953, P40556	tr|Q6FPQ2|Q6FPQ2_CANGA	KMXK_0E04020	tr|C5DVT3|C5DVT3_ZYGRC
OG0000411	P38315, P53169	tr|Q6FMM8|Q6FMM8_CANGA	KMXK_0A06080	tr|C5DT26|C5DT26_ZYGRC
OG0000412	P25565	tr|Q6FJ01|Q6FJ01_CANGA, tr|Q6FXM0|Q6FXM0_CANGA	KMXK_0A03950	tr|C5E4B2|C5E4B2_ZYGRC
OG0000413	P38138	tr|Q6FML8|Q6FML8_CANGA	KMXK_0B02870	tr|C5E407|C5E407_ZYGRC, tr|C5E408|C5E408_ZYGRC
OG0000414	P25346	tr|Q6FXZ7|Q6FXZ7_CANGA	KMXK_0C06010, KMXK_0C06710	tr|C5DW79|C5DW79_ZYGRC
OG0000415	P36143, P47011	tr|Q6FS82|Q6FS82_CANGA	KMXK_0A05150	tr|C5DV14|C5DV14_ZYGRC
OG0000416	P09201	tr|Q6FQR9|Q6FQR9_CANGA, tr|Q6FRY4|Q6FRY4_CANGA	KMXK_0F01110	tr|C5DRC2|C5DRC2_ZYGRC
OG0000417	Q05785, Q12518	tr|Q6FYA1|Q6FYA1_CANGA	KMXK_0H02540	tr|C5DYA7|C5DYA7_ZYGRC
OG0000418	P39875, Q12086	tr|Q6FRJ4|Q6FRJ4_CANGA	KMXK_0F04800	tr|C5DTT2|C5DTT2_ZYGRC
OG0000419	P42835	tr|Q6FW69|Q6FW69_CANGA	KMXK_0B06390	tr|C5DSW1|C5DSW1_ZYGRC, tr|C5E0D0|C5E0D0_ZYGRC
OG0000420	P53918	tr|Q6FQ52|Q6FQ52_CANGA, tr|Q6FQ53|Q6FQ53_CANGA	KMXK_0F03190	tr|C5DZQ5|C5DZQ5_ZYGRC
OG0000421	P53198, Q05359	tr|Q6FTQ2|Q6FTQ2_CANGA	KMXK_0A03880	tr|C5E082|C5E082_ZYGRC
OG0000422	P17214, Q03466	tr|Q6FU90|Q6FU90_CANGA	KMXK_0D02290	tr|C5DT17|C5DT17_ZYGRC
OG0000423	P43555	tr|Q6FK99|Q6FK99_CANGA, tr|Q6FLW6|Q6FLW6_CANGA	KMXK_0H00260	tr|C5DX51|C5DX51_ZYGRC
OG0000424	P07262, P39708	tr|Q6FWH3|Q6FWH3_CANGA	KMXK_0E00250	tr|C5DSI5|C5DSI5_ZYGRC
OG0000425	P40466, P41813	tr|Q6FNP4|Q6FNP4_CANGA	KMXK_0F00330	tr|C5DP84|C5DP84_ZYGRC
OG0000426	Q08911			tr|C5DQ30|C5DQ30_ZYGRC, tr|C5DW02|C5DW02_ZYGRC, tr|C5E184|C5E184_ZYGRC, tr|C5E1C4|C5E1C4_ZYGRC
OG0000427	P0CE41	tr|Q6FMR4|Q6FMR4_CANGA, tr|Q6FXJ5|Q6FXJ5_CANGA	KMXK_0D03200	tr|C5E4F0|C5E4F0_ZYGRC
OG0000428	P25621	tr|Q6FKW8|Q6FKW8_CANGA	KMXK_0A04930, KMXK_0B08410	tr|C5DWR8|C5DWR8_ZYGRC
OG0000429	P25333	tr|Q6FKX7|Q6FKX7_CANGA	KMXK_0B01150, KMXK_0B01160	tr|C5E4A4|C5E4A4_ZYGRC
OG0000430	Q08913, Q08991	tr|Q6FVY7|Q6FVY7_CANGA	KMXK_0E02430	tr|C5DYN9|C5DYN9_ZYGRC
OG0000431	P38823, P53924	tr|Q6FLE8|Q6FLE8_CANGA	KMXK_0F03320	tr|C5DSE7|C5DSE7_ZYGRC
OG0000432	P38167	tr|Q6FJ39|Q6FJ39_CANGA, tr|Q6FMU1|Q6FMU1_CANGA	KMXK_0H01340	tr|C5DYH9|C5DYH9_ZYGRC
OG0000433	P33309	tr|Q6FS28|Q6FS28_CANGA, tr|Q6FXM2|Q6FXM2_CANGA	KMXK_0A03930	tr|C5E4B0|C5E4B0_ZYGRC
OG0000434	P32502	tr|Q6FSL4|Q6FSL4_CANGA	KMXK_0A06340, KMXK_0E01400	tr|C5DWG9|C5DWG9_ZYGRC
OG0000435	P02992	tr|Q6FSL8|Q6FSL8_CANGA	KMXK_0A06290, KMXK_0E01440	tr|C5DWH6|C5DWH6_ZYGRC
OG0000436	P38760, P39684	tr|Q6FQ59|Q6FQ59_CANGA	KMXK_0A04050	tr|C5E1R8|C5E1R8_ZYGRC
OG0000437	P32490, P32491	tr|Q6FPH3|Q6FPH3_CANGA	KMXK_0B07980	tr|C5DXP9|C5DXP9_ZYGRC
OG0000438	Q07684	tr|Q6FMV6|Q6FMV6_CANGA, tr|Q6FWI2|Q6FWI2_CANGA	KMXK_0E05970	tr|C5DTR3|C5DTR3_ZYGRC
OG0000439	P47164, Q04533	tr|Q6FK75|Q6FK75_CANGA	KMXK_0D05350	tr|C5DRG8|C5DRG8_ZYGRC
OG0000440	Q99271	tr|Q6FJQ4|Q6FJQ4_CANGA	KMXK_0E05100	tr|C5DWE3|C5DWE3_ZYGRC, tr|C5DYK7|C5DYK7_ZYGRC
OG0000441	P21826, P30952	tr|Q6FLE7|Q6FLE7_CANGA	KMXK_0F03310	tr|C5DSE8|C5DSE8_ZYGRC
OG0000442	P40356	sp|Q6FXZ4|MED3_CANGA, tr|B4UMX1|B4UMX1_CANGA	KMXK_0B00560	tr|C5E049|C5E049_ZYGRC
OG0000443	P19659	sp|Q6FRS9|MED15_CANGA, tr|Q6FUT5|Q6FUT5_CANGA	KMXK_0B03840	tr|C5DVB5|C5DVB5_ZYGRC
OG0000444	Q08268	tr|Q6FVG6|Q6FVG6_CANGA	KMXK_0A04510	tr|C5DSR8|C5DSR8_ZYGRC, tr|C5DSR9|C5DSR9_ZYGRC
OG0000445	P11746	tr|Q6FPY6|Q6FPY6_CANGA, tr|Q6FU54|Q6FU54_CANGA	KMXK_0D03280	tr|C5DWY7|C5DWY7_ZYGRC
OG0000446	P38295, Q02891	tr|Q6FJH6|Q6FJH6_CANGA	KMXK_0A00480	tr|C5DYP7|C5DYP7_ZYGRC
OG0000447	P38157, P43551, P53338, Q06595		KMXK_0C06340	
OG0000448	P32793, P43603	tr|Q6FQ58|Q6FQ58_CANGA	KMXK_0A04040	tr|C5E1R7|C5E1R7_ZYGRC
OG0000449	P53281, Q06449	tr|Q6FUB3|Q6FUB3_CANGA	KMXK_0B05570	tr|C5DVV4|C5DVV4_ZYGRC
OG0000450	P50276	tr|Q6FMX9|Q6FMX9_CANGA, tr|Q6FXH6|Q6FXH6_CANGA	KMXK_0C00790	tr|C5DRF4|C5DRF4_ZYGRC
OG0000451	P41940	sp|Q6FRY2|MPG12_CANGA, sp|Q9Y725|MPG11_CANGA	KMXK_0H00790	tr|C5DRB6|C5DRB6_ZYGRC
OG0000452	P53045	tr|Q6FMX4|Q6FMX4_CANGA	KMXK_0E02880	tr|C5DRB7|C5DRB7_ZYGRC, tr|C5DRE2|C5DRE2_ZYGRC
OG0000453	P38079, Q12117	tr|Q6FM12|Q6FM12_CANGA, tr|Q6FRA9|Q6FRA9_CANGA		tr|C5DPG4|C5DPG4_ZYGRC
OG0000454	P0CX35, P0CX36	tr|Q6FTT4|Q6FTT4_CANGA	KMXK_0D05050	tr|C5E1Q8|C5E1Q8_ZYGRC
OG0000455	P41057, P41058	sp|Q6FWE3|RS29_CANGA	KMXK_0H00650	tr|C5DRY4|C5DRY4_ZYGRC
OG0000456	P39938, P39939	tr|Q6FN77|Q6FN77_CANGA	KMXK_0B05050	tr|C5E1A0|C5E1A0_ZYGRC
OG0000457	P40100, P53047	tr|Q6FND9|Q6FND9_CANGA	KMXK_0F03300	tr|C5E1N8|C5E1N8_ZYGRC
OG0000458	P05748, P54780	tr|Q6FY78|Q6FY78_CANGA	KMXK_0D00960	tr|C5DQ69|C5DQ69_ZYGRC
OG0000459	P0CX43, P0CX44	sp|Q6FRF5|RL10A_CANGA	KMXK_0D05850	tr|C5E4M7|C5E4M7_ZYGRC
OG0000460	P10664, P49626	tr|Q6FXP0|Q6FXP0_CANGA	KMXK_0E02480	tr|C5DPJ3|C5DPJ3_ZYGRC
OG0000461	P17076, P29453	tr|Q6FV86|Q6FV86_CANGA	KMXK_0G04170	tr|C5DZW1|C5DZW1_ZYGRC
OG0000462	P05740, P46990	tr|Q6FJ95|Q6FJ95_CANGA	KMXK_0A04870	tr|C5DTF2|C5DTF2_ZYGRC
OG0000463	P0CX82, P0CX83	tr|Q6FYA5|Q6FYA5_CANGA	KMXK_0H03540	tr|C5E0I3|C5E0I3_ZYGRC
OG0000464	P40525, P87262	tr|Q6FIR2|Q6FIR2_CANGA	KMXK_0H01910	tr|C5DWR1|C5DWR1_ZYGRC
OG0000465	P38330	sp|Q6FML6|RMD9L_CANGA, sp|Q6FU02|RMD9_CANGA	KMXK_0B02540	tr|C5E0R6|C5E0R6_ZYGRC
OG0000466	P05737, Q12213	sp|Q6FSN6|RL7_CANGA	KMXK_0A01880	tr|C5E004|C5E004_ZYGRC
OG0000467	P0CX55, P0CX56	tr|Q6FSW9|Q6FSW9_CANGA	KMXK_0D06060	tr|C5DWB9|C5DWB9_ZYGRC
OG0000468	P0C0V8, Q3E754	sp|Q6FMF8|RS21_CANGA	KMXK_0A05160	tr|C5DV15|C5DV15_ZYGRC
OG0000469	P0CX39, P0CX40	tr|Q6FXS5|Q6FXS5_CANGA	KMXK_0G03710	tr|C5DQW0|C5DQW0_ZYGRC
OG0000470	P35997, P38711	tr|Q6FPV0|Q6FPV0_CANGA	KMXK_0B01030	tr|C5DTS9|C5DTS9_ZYGRC
OG0000471	P0CX31, P0CX32	tr|Q6FPJ9|Q6FPJ9_CANGA	KMXK_0D04270	tr|C5DTH8|C5DTH8_ZYGRC
OG0000472	P43609	tr|Q6FPM5|Q6FPM5_CANGA, tr|Q6FQL5|Q6FQL5_CANGA	KMXK_0B05450	tr|C5DWM6|C5DWM6_ZYGRC
OG0000473	P0CX37, P0CX38	sp|Q6FJH3|RS6_CANGA	KMXK_0A00550	tr|C5DYP0|C5DYP0_ZYGRC
OG0000474	P0CX29, P0CX30	sp|Q6FLA8|RS23_CANGA	KMXK_0H02970	tr|C5DR07|C5DR07_ZYGRC
OG0000475	P26786, P48164	tr|Q6FT00|Q6FT00_CANGA	KMXK_0G02300	tr|C5E420|C5E420_ZYGRC
OG0000476	P07280, P07281	tr|Q6FVG8|Q6FVG8_CANGA	KMXK_0A04530	tr|C5DSS1|C5DSS1_ZYGRC
OG0000477	P0CX49, P0CX50	tr|Q6FVG7|Q6FVG7_CANGA	KMXK_0A04520	tr|C5DSS0|C5DSS0_ZYGRC
OG0000478	P0C0W9, Q3E757	sp|Q6FTK4|RL11_CANGA	KMXK_0B03540	tr|C5DUL1|C5DUL1_ZYGRC
OG0000479	P36105, P38754	tr|Q6FJ02|Q6FJ02_CANGA	KMXK_0C00720	tr|C5DQL8|C5DQL8_ZYGRC
OG0000480	P04449, P24000	sp|Q6FXY9|RL24_CANGA	KMXK_0B00660	tr|C5E039|C5E039_ZYGRC
OG0000481	P25042	tr|Q6FVU9|Q6FVU9_CANGA	KMXK_0H03090	tr|C5DUF0|C5DUF0_ZYGRC, tr|C5DWJ3|C5DWJ3_ZYGRC
OG0000482	P40212, Q12690	tr|Q6FL18|Q6FL18_CANGA	KMXK_0A01390	tr|C5DQ36|C5DQ36_ZYGRC
OG0000483	P0CX53, P0CX54	tr|Q6FUJ6|Q6FUJ6_CANGA	KMXK_0C06630	tr|C5DW71|C5DW71_ZYGRC
OG0000484	P50109	tr|Q6FNM2|Q6FNM2_CANGA, tr|Q6FT74|Q6FT74_CANGA	KMXK_0D06250	tr|C5DW99|C5DW99_ZYGRC
OG0000485	P41903	tr|Q6FXP8|Q6FXP8_CANGA	KMXK_0F04900	tr|C5DYJ6|C5DYJ6_ZYGRC, tr|C5E0C2|C5E0C2_ZYGRC
OG0000486	Q02933	sp|Q6FP42|RNY1_CANGA	KMXK_0B08300, KMXK_0B08310	tr|C5DXL7|C5DXL7_ZYGRC
OG0000487	Q02805	tr|Q6FM62|Q6FM62_CANGA, tr|Q6FY06|Q6FY06_CANGA	KMXK_0B04860	tr|C5E1S1|C5E1S1_ZYGRC
OG0000488	P0CX47, P0CX48	tr|Q6FM18|Q6FM18_CANGA	KMXK_0A03200	tr|C5DPH1|C5DPH1_ZYGRC
OG0000489	P02407, P14127	tr|Q6FMQ4|Q6FMQ4_CANGA	KMXK_0D06100	tr|C5DWB5|C5DWB5_ZYGRC
OG0000490	P46784, Q08745	tr|Q6FJN5|Q6FJN5_CANGA	KMXK_0E02930	tr|C5E0U4|C5E0U4_ZYGRC
OG0000491	P0CX51, P0CX52	sp|Q6FR56|RS16_CANGA	KMXK_0A01400	tr|C5DQ35|C5DQ35_ZYGRC
OG0000492	P0CX33, P0CX34	tr|Q6FSL2|Q6FSL2_CANGA	KMXK_0A06390	tr|C5DWG4|C5DWG4_ZYGRC
OG0000493	P0C0T4, Q3E792	sp|Q6FPX5|RS25_CANGA	KMXK_0E02140	tr|C5DNW9|C5DNW9_ZYGRC
OG0000494	P53189	tr|Q6FVC8|Q6FVC8_CANGA, tr|Q6FXZ1|Q6FXZ1_CANGA	KMXK_0B00600	tr|C5E045|C5E045_ZYGRC
OG0000495	P38835, P53907	tr|Q6FT13|Q6FT13_CANGA	KMXK_0A01010	tr|C5DZM4|C5DZM4_ZYGRC
OG0000496	P38833	tr|Q6FM99|Q6FM99_CANGA, tr|Q6FRF0|Q6FRF0_CANGA	KMXK_0A02680	tr|C5DZN5|C5DZN5_ZYGRC
OG0000497	P46996	tr|Q6FJ82|Q6FJ82_CANGA	KMXK_0A00180, KMXK_0E02520	tr|C5E166|C5E166_ZYGRC
OG0000498	P39523, Q07978	tr|Q6FN08|Q6FN08_CANGA	KMXK_0D00910	tr|C5DQ65|C5DQ65_ZYGRC
OG0000499	Q04925, Q05948	tr|Q6FV49|Q6FV49_CANGA	KMXK_0B01360	tr|C5DQ89|C5DQ89_ZYGRC
OG0000500	P40476, P53947	sp|Q6FNP6|YNF8_CANGA	KMXK_0G01760	sp|C5DPA1|YNF8_ZYGRC
OG0000501	Q04336	tr|Q6FKL7|Q6FKL7_CANGA, tr|Q6FSG6|Q6FSG6_CANGA	KMXK_0C03310	tr|C5DT61|C5DT61_ZYGRC
OG0000502	P38809, Q05518	tr|Q6FY33|Q6FY33_CANGA	KMXK_0D02880	tr|C5DPW2|C5DPW2_ZYGRC
OG0000503	P39728, Q12182	tr|Q6FV15|Q6FV15_CANGA	KMXK_0F03590	tr|C5DV81|C5DV81_ZYGRC
OG0000504	P36025, P36155	tr|Q6FKM7|Q6FKM7_CANGA	KMXK_0C02630	tr|C5DSD8|C5DSD8_ZYGRC
OG0000505	Q03508	tr|Q6FS99|Q6FS99_CANGA	KMXK_0B00780, KMXK_0B00790	tr|C5E0L0|C5E0L0_ZYGRC
OG0000506	Q03231, Q99395	tr|Q6FUZ1|Q6FUZ1_CANGA	KMXK_0H02220	tr|C5E4P4|C5E4P4_ZYGRC
OG0000507	P34161, Q04116	tr|Q6FSW8|Q6FSW8_CANGA	KMXK_0D06050	tr|C5DWC0|C5DWC0_ZYGRC
OG0000508	P38355	tr|Q6FSV2|Q6FSV2_CANGA	KMXK_0B08380, KMXK_0C04710	tr|C5E1I5|C5E1I5_ZYGRC
OG0000509	P33304, P40095	tr|Q6FQ72|Q6FQ72_CANGA	KMXK_0F03690	tr|C5DRU5|C5DRU5_ZYGRC
OG0000510	P32386	sp|Q6FWS5|YBT1_CANGA, tr|Q6FV84|Q6FV84_CANGA	KMXK_0G04190	tr|C5DZV9|C5DZV9_ZYGRC
OG0000511	Q07950	tr|Q6FVU3|Q6FVU3_CANGA, tr|Q6FW36|Q6FW36_CANGA	KMXK_0C02210	tr|C5DRR0|C5DRR0_ZYGRC
OG0000512	P25353, P39997	tr|Q6FKX1|Q6FKX1_CANGA	KMXK_0A02810	tr|C5E478|C5E478_ZYGRC
OG0000513	P53204, Q06178	tr|Q6FXW7|Q6FXW7_CANGA	KMXK_0D00590	tr|C5E0A7|C5E0A7_ZYGRC
OG0000514	P38082, Q03125	tr|Q6FM04|Q6FM04_CANGA	KMXK_0D01390	tr|C5DU33|C5DU33_ZYGRC
OG0000515	P11632, P11633	tr|B4UN11|B4UN11_CANGA	KMXK_0H03330	tr|C5DUC9|C5DUC9_ZYGRC
OG0000516	P61830	sp|P61833|H3_CANGA	KMXK_0F04390, KMXK_0G01270	tr|C5DPC3|C5DPC3_ZYGRC
OG0000517	P28006	tr|Q6FS24|Q6FS24_CANGA, tr|Q6FUA9|Q6FUA9_CANGA	KMXK_0B07200	tr|C5DWF0|C5DWF0_ZYGRC
OG0000518	Q04739	tr|Q6FMB8|Q6FMB8_CANGA, tr|Q6FY65|Q6FY65_CANGA	KMXK_0D06510	tr|C5E4S5|C5E4S5_ZYGRC
OG0000519	P23900	tr|Q6FV88|Q6FV88_CANGA, tr|Q6FWS6|Q6FWS6_CANGA	KMXK_0G04150	tr|C5DZW3|C5DZW3_ZYGRC
OG0000520	P40209	tr|Q6FL23|Q6FL23_CANGA, tr|Q6FR51|Q6FR51_CANGA	KMXK_0D00720	tr|C5DQ45|C5DQ45_ZYGRC
OG0000521	Q99288	tr|Q6FRI4|Q6FRI4_CANGA, tr|Q6FV76|Q6FV76_CANGA	KMXK_0D01480	tr|C5E0F9|C5E0F9_ZYGRC
OG0000522	P53090	tr|Q6FTM8|Q6FTM8_CANGA	KMXK_0B02740, KMXK_0E01570	tr|C5DT73|C5DT73_ZYGRC
OG0000523	P49089, P49090	tr|Q6FPZ1|Q6FPZ1_CANGA	KMXK_0H02790	tr|C5DQZ1|C5DQZ1_ZYGRC
OG0000524	P35183, P39945	tr|Q6FTD9|Q6FTD9_CANGA	KMXK_0G03690	tr|C5DQV8|C5DQV8_ZYGRC
OG0000525	P19524	tr|Q6FT07|Q6FT07_CANGA, tr|Q6FUU1|Q6FUU1_CANGA	KMXK_0E01220	tr|C5DV61|C5DV61_ZYGRC
OG0000526	P40038, P40186	tr|Q6FIR5|Q6FIR5_CANGA	KMXK_0H01880	tr|C5DTF5|C5DTF5_ZYGRC
OG0000527	P25360, P39535	tr|Q6FUM0|Q6FUM0_CANGA	KMXK_0A07000	tr|C5DUM3|C5DUM3_ZYGRC
OG0000528	P23594, P23595	tr|Q6FQS4|Q6FQS4_CANGA	KMXK_0F00650	tr|C5DXJ6|C5DXJ6_ZYGRC
OG0000529	P25693, Q12477	tr|Q6FNS9|Q6FNS9_CANGA	KMXK_0F00770	tr|C5DTK5|C5DTK5_ZYGRC
OG0000530	P38755, Q02201	tr|Q6FN45|Q6FN45_CANGA	KMXK_0C06250	tr|C5DQM6|C5DQM6_ZYGRC
OG0000531	Q06593		KMXK_0E04510, KMXK_0G04240	tr|C5DVW3|C5DVW3_ZYGRC, tr|C5DWB1|C5DWB1_ZYGRC
OG0000532	P36069	tr|Q6FMJ4|Q6FMJ4_CANGA, tr|Q6FMJ5|Q6FMJ5_CANGA, tr|Q6FMJ6|Q6FMJ6_CANGA	KMXK_0C01090	
OG0000533	P34221	tr|Q6FQM5|Q6FQM5_CANGA, tr|Q6FXT5|Q6FXT5_CANGA	KMXK_0G03510	tr|C5DQT9|C5DQT9_ZYGRC
OG0000534	Q12008, Q12326	tr|Q6FN95|Q6FN95_CANGA	KMXK_0A06730	tr|C5DPQ8|C5DPQ8_ZYGRC
OG0000535	P36093	tr|Q6FJB4|Q6FJB4_CANGA, tr|Q6FLP7|Q6FLP7_CANGA	KMXK_0F00420	tr|C5E4H8|C5E4H8_ZYGRC
OG0000536	Q06494	tr|Q6FR04|Q6FR04_CANGA, tr|Q6FVX6|Q6FVX6_CANGA	KMXK_0C03590	tr|C5DT88|C5DT88_ZYGRC
OG0000537	P05030, P19657	tr|Q6FXU5|Q6FXU5_CANGA	KMXK_0A03800	tr|C5E072|C5E072_ZYGRC
OG0000538	Q03028, Q99297	tr|Q6FPG0|Q6FPG0_CANGA	KMXK_0B08080	tr|C5DXP1|C5DXP1_ZYGRC
OG0000539	Q03790, Q05166	tr|Q6FL10|Q6FL10_CANGA	KMXK_0B04000	tr|C5DQ19|C5DQ19_ZYGRC
OG0000540	P32336	tr|Q6FVQ0|Q6FVQ0_CANGA, tr|Q6FWG9|Q6FWG9_CANGA	KMXK_0E00180	tr|C5DSI9|C5DSI9_ZYGRC
OG0000541	P14747, P23287	tr|Q6FKJ3|Q6FKJ3_CANGA	KMXK_0E01880	tr|C5DS53|C5DS53_ZYGRC
OG0000542	P32264	tr|Q6FSD3|Q6FSD3_CANGA, tr|Q6FW09|Q6FW09_CANGA	KMXK_0C04320	tr|C5DU45|C5DU45_ZYGRC
OG0000543	P09232	tr|Q6FVE0|Q6FVE0_CANGA, tr|Q6FXI6|Q6FXI6_CANGA	KMXK_0G00380	tr|C5DTE7|C5DTE7_ZYGRC
OG0000544	P31383	tr|Q6FRS6|Q6FRS6_CANGA, tr|Q6FUS9|Q6FUS9_CANGA	KMXK_0B03790	tr|C5DVC3|C5DVC3_ZYGRC
OG0000545	P40433	tr|Q6FWD2|Q6FWD2_CANGA, tr|Q6FX09|Q6FX09_CANGA	KMXK_0G01620	tr|C5DUY8|C5DUY8_ZYGRC
OG0000546	P38720, P53319	tr|Q6FIM1|Q6FIM1_CANGA	KMXK_0A03690	tr|C5DVM4|C5DVM4_ZYGRC
OG0000547	P43553, Q08269	tr|Q6FVI5|Q6FVI5_CANGA	KMXK_0H01640	tr|C5DST4|C5DST4_ZYGRC
OG0000548	P16550, P22108	tr|Q6FX60|Q6FX60_CANGA	KMXK_0A08140	tr|C5DZ50|C5DZ50_ZYGRC
OG0000549	P47771, P54114	tr|Q6FTY8|Q6FTY8_CANGA	KMXK_0B06880	tr|C5DPY9|C5DPY9_ZYGRC
OG0000550	P23542	tr|Q6FPE0|Q6FPE0_CANGA, tr|Q6FW98|Q6FW98_CANGA	KMXK_0D01000	tr|C5DRL3|C5DRL3_ZYGRC
OG0000551	P38872	tr|Q6FIL9|Q6FIL9_CANGA	KMXK_0A03660	tr|C5DVM1|C5DVM1_ZYGRC, tr|C5DX39|C5DX39_ZYGRC
OG0000552	P38884, P38885	sp|Q6FW60|AIM18_CANGA	KMXK_0D05190	sp|C5DRI2|AIM18_ZYGRC
OG0000553	P32789, P43633	tr|Q6FXV7|Q6FXV7_CANGA	KMXK_0C03750	tr|C5E056|C5E056_ZYGRC
OG0000554	P38266	sp|Q6FLZ3|AIM3B_CANGA, sp|Q6FWB5|AIM3A_CANGA	KMXK_0G02990	sp|C5DUF5|AIM3_ZYGRC
OG0000555	P38080	tr|Q6FM08|Q6FM08_CANGA, tr|Q6FRA3|Q6FRA3_CANGA	KMXK_0D01350	tr|C5E4K5|C5E4K5_ZYGRC
