Orthogroup	A_s288c	K.marxianus	L.fermentati	Z.rouxii
OG0000843	P33421	KMXK_0C01280	tr|A0A1G4MA09|A0A1G4MA09_LACFM	tr|C5E1E5|C5E1E5_ZYGRC
OG0000844	P49955	KMXK_0A03600	tr|A0A1G4ME62|A0A1G4ME62_LACFM	tr|C5DVL6|C5DVL6_ZYGRC
OG0000845	Q08490	KMXK_0A04230	tr|A0A1G4ME55|A0A1G4ME55_LACFM	tr|C5DNU9|C5DNU9_ZYGRC
OG0000846	P35187	KMXK_0E03350	tr|A0A1G4M9L2|A0A1G4M9L2_LACFM	tr|C5E4R8|C5E4R8_ZYGRC
OG0000847	P39954	KMXK_0C06930	tr|A0A1G4MG93|A0A1G4MG93_LACFM	tr|C5E4V4|C5E4V4_ZYGRC
OG0000848	Q12158	KMXK_0C01900	tr|A0A1G4MA52|A0A1G4MA52_LACFM	tr|C5DPL5|C5DPL5_ZYGRC
OG0000849	P25303	KMXK_0A05410	tr|A0A1G4MCV0|A0A1G4MCV0_LACFM	tr|C5DPU7|C5DPU7_ZYGRC
OG0000850	P40528	KMXK_0D03590	tr|A0A1G4M836|A0A1G4M836_LACFM	tr|C5DWQ7|C5DWQ7_ZYGRC
OG0000851	P40075	KMXK_0H01470	tr|A0A1G4M8C8|A0A1G4M8C8_LACFM	tr|C5DQY9|C5DQY9_ZYGRC
OG0000852	P53009	KMXK_0F02090	tr|A0A1G4M9D9|A0A1G4M9D9_LACFM	tr|C5DZZ0|C5DZZ0_ZYGRC
OG0000853	P30619	KMXK_0E05200	tr|A0A1G4MK03|A0A1G4MK03_LACFM	tr|C5DYL7|C5DYL7_ZYGRC
OG0000854	P28791	KMXK_0G02850	tr|A0A1G4MCR4|A0A1G4MCR4_LACFM	tr|C5DRA0|C5DRA0_ZYGRC
OG0000855	P48415	KMXK_0A00610	tr|A0A1G4MIM9|A0A1G4MIM9_LACFM	tr|C5DP17|C5DP17_ZYGRC
OG0000856	P18759	KMXK_0C05480	tr|A0A1G4MIF0|A0A1G4MIF0_LACFM	tr|C5E0H5|C5E0H5_ZYGRC
OG0000857	P38968	KMXK_0F00560	tr|A0A1G4M7V9|A0A1G4M7V9_LACFM	tr|C5DXK5|C5DXK5_ZYGRC
OG0000858	P40357	KMXK_0A02450	tr|A0A1G4MKT6|A0A1G4MKT6_LACFM	tr|C5E033|C5E033_ZYGRC
OG0000859	Q04279	KMXK_0B01670	tr|A0A1G4MF47|A0A1G4MF47_LACFM	tr|C5DZC8|C5DZC8_ZYGRC
OG0000860	Q02825	KMXK_0A00640	tr|A0A1G4MI84|A0A1G4MI84_LACFM	tr|C5DP14|C5DP14_ZYGRC
OG0000861	Q00416	KMXK_0E01910	tr|A0A1G4M6U2|A0A1G4M6U2_LACFM	tr|C5DS50|C5DS50_ZYGRC
OG0000862	P39709	KMXK_0E03360	tr|A0A1G4M940|A0A1G4M940_LACFM	tr|C5E4R7|C5E4R7_ZYGRC
OG0000863	P46995	KMXK_0A04790	tr|A0A1G4MH49|A0A1G4MH49_LACFM	tr|C5E179|C5E179_ZYGRC
OG0000864	P38890	KMXK_0A03300	tr|A0A1G4M6K2|A0A1G4M6K2_LACFM	tr|C5E1Q4|C5E1Q4_ZYGRC
OG0000865	P32432	KMXK_0D04800	tr|A0A1G4MDP1|A0A1G4MDP1_LACFM	tr|C5DS03|C5DS03_ZYGRC
OG0000866	Q12314	KMXK_0G00940	tr|A0A1G4MFY7|A0A1G4MFY7_LACFM	tr|C5DPR2|C5DPR2_ZYGRC
OG0000867	P43682	KMXK_0C00700	tr|A0A1G4MKP6|A0A1G4MKP6_LACFM	tr|C5DQL7|C5DQL7_ZYGRC
OG0000868	P38345	KMXK_0E00760	tr|A0A1G4MFF8|A0A1G4MFF8_LACFM	tr|C5E1F9|C5E1F9_ZYGRC
OG0000869	Q07953	KMXK_0C02190	tr|A0A1G4M6W8|A0A1G4M6W8_LACFM	tr|C5DRR2|C5DRR2_ZYGRC
OG0000870	Q04491	KMXK_0H02500	tr|A0A1G4M7P3|A0A1G4M7P3_LACFM	tr|C5DYA4|C5DYA4_ZYGRC
OG0000871	P22224	KMXK_0C07010	tr|A0A1G4MGK3|A0A1G4MGK3_LACFM	tr|C5E4W3|C5E4W3_ZYGRC
OG0000872	P39742	KMXK_0E01410	tr|A0A1G4M9U5|A0A1G4M9U5_LACFM	tr|C5DWH0|C5DWH0_ZYGRC
OG0000873	P53011	KMXK_0B04200	tr|A0A1G4M9I1|A0A1G4M9I1_LACFM	tr|C5E1K6|C5E1K6_ZYGRC
OG0000874	P50110	KMXK_0F03860	tr|A0A1G4MJ59|A0A1G4MJ59_LACFM	tr|C5E3Y6|C5E3Y6_ZYGRC
OG0000875	Q12136	KMXK_0H02390	tr|A0A1G4M7Q5|A0A1G4M7Q5_LACFM	tr|C5DY96|C5DY96_ZYGRC
OG0000876	P40963	KMXK_0D00870	tr|A0A1G4MA19|A0A1G4MA19_LACFM	tr|C5DQ61|C5DQ61_ZYGRC
OG0000877	P28707	KMXK_0C05600	tr|A0A1G4MKW8|A0A1G4MKW8_LACFM	tr|C5DZA5|C5DZA5_ZYGRC
OG0000878	P11792	KMXK_0D05030	tr|A0A1G4M6A1|A0A1G4M6A1_LACFM	tr|C5E1Q6|C5E1Q6_ZYGRC
OG0000879	P38164	KMXK_0H01300	tr|A0A1G4M8L4|A0A1G4M8L4_LACFM	tr|C5DYI4|C5DYI4_ZYGRC
OG0000880	P38804	KMXK_0D02710	tr|A0A1G4MBI8|A0A1G4MBI8_LACFM	tr|C5DPX7|C5DPX7_ZYGRC
OG0000881	Q12745	KMXK_0E01780	tr|A0A1G4M6E0|A0A1G4M6E0_LACFM	tr|C5DS63|C5DS63_ZYGRC
OG0000882	P07560	KMXK_0C01300	tr|A0A1G4M839|A0A1G4M839_LACFM	tr|C5DXC3|C5DXC3_ZYGRC
OG0000883	Q12464	KMXK_0H02160	tr|A0A1G4M9N2|A0A1G4M9N2_LACFM	tr|C5E4Q0|C5E4Q0_ZYGRC
OG0000884	P40204	KMXK_0B07820	tr|A0A1G4M7Y5|A0A1G4M7Y5_LACFM	tr|C5DXA9|C5DXA9_ZYGRC
OG0000885	P53969	KMXK_0G01220	tr|A0A1G4MDS2|A0A1G4MDS2_LACFM	tr|C5DPC9|C5DPC9_ZYGRC
OG0000886	P06105	KMXK_0A02290	tr|A0A1G4MKX2|A0A1G4MKX2_LACFM	tr|C5E1I9|C5E1I9_ZYGRC
OG0000887	Q03940	KMXK_0E05650	tr|A0A1G4MJQ9|A0A1G4MJQ9_LACFM	tr|C5DSZ7|C5DSZ7_ZYGRC
OG0000888	P22470	KMXK_0B05480	tr|A0A1G4MJY0|A0A1G4MJY0_LACFM	tr|C5DVD6|C5DVD6_ZYGRC
OG0000889	P39735	KMXK_0E01240	tr|A0A1G4MC22|A0A1G4MC22_LACFM	tr|C5DVA4|C5DVA4_ZYGRC
OG0000890	P53324	KMXK_0A00990	tr|A0A1G4MI52|A0A1G4MI52_LACFM	tr|C5DVL2|C5DVL2_ZYGRC
OG0000891	P36056	KMXK_0B01040	tr|A0A1G4M6Q0|A0A1G4M6Q0_LACFM	tr|C5DTS8|C5DTS8_ZYGRC
OG0000892	P38165	KMXK_0H01320	tr|A0A1G4M8E7|A0A1G4M8E7_LACFM	tr|C5DYI1|C5DYI1_ZYGRC
OG0000893	P32368	KMXK_0C00300	tr|A0A1G4M785|A0A1G4M785_LACFM	tr|C5DZ90|C5DZ90_ZYGRC
OG0000894	P38990	KMXK_0B07160	tr|A0A1G4MBA4|A0A1G4MBA4_LACFM	tr|C5E192|C5E192_ZYGRC
OG0000895	Q08230	KMXK_0H03990	tr|A0A1G4MCI4|A0A1G4MCI4_LACFM	tr|C5DR39|C5DR39_ZYGRC
OG0000896	P21801	KMXK_0G04120	tr|A0A1G4MBC6|A0A1G4MBC6_LACFM	tr|C5DZW6|C5DZW6_ZYGRC
OG0000897	Q06245	KMXK_0E05540	tr|A0A1G4MJT3|A0A1G4MJT3_LACFM	tr|C5DSY6|C5DSY6_ZYGRC
OG0000898	P21825	KMXK_0A00500	tr|A0A1G4MIB9|A0A1G4MIB9_LACFM	tr|C5DYP5|C5DYP5_ZYGRC
OG0000899	P07263	KMXK_0H01260	tr|A0A1G4M8E6|A0A1G4M8E6_LACFM	tr|C5DYI9|C5DYI9_ZYGRC
OG0000900	P34228	KMXK_0G03650	tr|A0A1G4M7G6|A0A1G4M7G6_LACFM	tr|C5DQV4|C5DQV4_ZYGRC
OG0000901	Q06058	KMXK_0D04790	tr|A0A1G4MD92|A0A1G4MD92_LACFM	tr|C5DS04|C5DS04_ZYGRC
OG0000902	P38810	KMXK_0D02870	tr|A0A1G4MBV2|A0A1G4MBV2_LACFM	tr|C5DPW1|C5DPW1_ZYGRC
OG0000903	P36124	KMXK_0C05700	tr|A0A1G4M8P1|A0A1G4M8P1_LACFM	tr|C5E107|C5E107_ZYGRC
OG0000904	Q12529	KMXK_0C04480	tr|A0A1G4MHJ8|A0A1G4MHJ8_LACFM	tr|C5DXT8|C5DXT8_ZYGRC
OG0000905	P40505	KMXK_0G01240	tr|A0A1G4MDX4|A0A1G4MDX4_LACFM	tr|C5DPC6|C5DPC6_ZYGRC
OG0000906	P33332	KMXK_0E03790	tr|A0A1G4MIA5|A0A1G4MIA5_LACFM	tr|C5DZF3|C5DZF3_ZYGRC
OG0000907	P20048	KMXK_0F01490	tr|A0A1G4ML40|A0A1G4ML40_LACFM	tr|C5E4H4|C5E4H4_ZYGRC
OG0000908	Q01590	KMXK_0D01020	tr|A0A1G4MAE9|A0A1G4MAE9_LACFM	tr|C5E1E9|C5E1E9_ZYGRC
OG0000909	P33303	KMXK_0G01870	tr|A0A1G4MG52|A0A1G4MG52_LACFM	tr|C5E129|C5E129_ZYGRC
OG0000910	P40363	KMXK_0E00910	tr|A0A1G4MFK3|A0A1G4MFK3_LACFM	tr|C5E1H2|C5E1H2_ZYGRC
OG0000911	Q06168	KMXK_0D00430	tr|A0A1G4MB37|A0A1G4MB37_LACFM	tr|C5E091|C5E091_ZYGRC
OG0000912	Q99287	KMXK_0D02140	tr|A0A1G4MCN0|A0A1G4MCN0_LACFM	sp|C5DTA7|SEY1_ZYGRC
OG0000913	P38889	KMXK_0A03310	tr|A0A1G4M678|A0A1G4M678_LACFM	tr|C5E1Q5|C5E1Q5_ZYGRC
OG0000914	P42843	KMXK_0D04220	tr|A0A1G4MIP9|A0A1G4MIP9_LACFM	tr|C5DST7|C5DST7_ZYGRC
OG0000915	P53135	KMXK_0B02440	tr|A0A1G4M9P1|A0A1G4M9P1_LACFM	tr|C5DU83|C5DU83_ZYGRC
OG0000916	P47057	KMXK_0C04030	tr|A0A1G4M6W3|A0A1G4M6W3_LACFM	tr|C5DQE8|C5DQE8_ZYGRC
OG0000917	Q05676	KMXK_0G00350	tr|A0A1G4MC85|A0A1G4MC85_LACFM	tr|C5DWY1|C5DWY1_ZYGRC
OG0000918	P39543	KMXK_0E02680	tr|A0A1G4MGU8|A0A1G4MGU8_LACFM	tr|C5DTX9|C5DTX9_ZYGRC
OG0000919	Q04969	KMXK_0A02210	tr|A0A1G4M6H3|A0A1G4M6H3_LACFM	tr|C5DS47|C5DS47_ZYGRC
OG0000920	Q12133	KMXK_0H00470	tr|A0A1G4M7A8|A0A1G4M7A8_LACFM	tr|C5DX70|C5DX70_ZYGRC
OG0000921	Q02521	KMXK_0A05760	tr|A0A1G4MG25|A0A1G4MG25_LACFM	tr|C5DW30|C5DW30_ZYGRC
OG0000922	P32573	KMXK_0E05830	tr|A0A1G4MJA9|A0A1G4MJA9_LACFM	tr|C5DTP7|C5DTP7_ZYGRC
OG0000923	P06844	KMXK_0B05820	tr|A0A1G4MGA7|A0A1G4MGA7_LACFM	tr|C5DW26|C5DW26_ZYGRC
OG0000924	P23615	KMXK_0H03040	tr|A0A1G4MEN1|A0A1G4MEN1_LACFM	tr|C5DT87|C5DT87_ZYGRC
OG0000925	P36057	KMXK_0B01050	tr|A0A1G4M6W2|A0A1G4M6W2_LACFM	tr|C5DTS7|C5DTS7_ZYGRC
OG0000926	Q03175	KMXK_0C00980	tr|A0A1G4ML80|A0A1G4ML80_LACFM	tr|C5DZA1|C5DZA1_ZYGRC
OG0000927	P39073	KMXK_0F01780	tr|A0A1G4MI65|A0A1G4MI65_LACFM	tr|C5DXW3|C5DXW3_ZYGRC
OG0000928	P32343	KMXK_0C01030	tr|A0A1G4ML87|A0A1G4ML87_LACFM	tr|C5DZ97|C5DZ97_ZYGRC
OG0000929	P11972	KMXK_0F01200	tr|A0A1G4MIQ0|A0A1G4MIQ0_LACFM	tr|C5DUV0|C5DUV0_ZYGRC
OG0000930	P23561	KMXK_0C00860	tr|A0A1G4MBK9|A0A1G4MBK9_LACFM	tr|C5DRE6|C5DRE6_ZYGRC
OG0000931	Q12427	KMXK_0E05320	tr|A0A1G4MJV2|A0A1G4MJV2_LACFM	tr|C5DYM9|C5DYM9_ZYGRC
OG0000932	P33894	KMXK_0B08140	tr|A0A1G4MHK2|A0A1G4MHK2_LACFM	tr|C5DXN5|C5DXN5_ZYGRC
OG0000933	D6VTK4	KMXK_0F02790	tr|A0A1G4M846|A0A1G4M846_LACFM	tr|C5DX97|C5DX97_ZYGRC
OG0000934	P32917	KMXK_0B01840	tr|A0A1G4MK69|A0A1G4MK69_LACFM	tr|C5DSP8|C5DSP8_ZYGRC
OG0000935	P32790	KMXK_0E01600	tr|A0A1G4MAU1|A0A1G4MAU1_LACFM	tr|C5E064|C5E064_ZYGRC
OG0000936	Q02793	KMXK_0C06740	tr|A0A1G4MG77|A0A1G4MG77_LACFM	tr|C5E4T4|C5E4T4_ZYGRC
OG0000937	P18480	KMXK_0F02310	tr|A0A1G4MKV4|A0A1G4MKV4_LACFM	tr|C5DQN6|C5DQN6_ZYGRC
OG0000938	P06782	KMXK_0C05820	tr|A0A1G4MG47|A0A1G4MG47_LACFM	tr|C5DPR8|C5DPR8_ZYGRC
OG0000939	P40548	KMXK_0E04710	tr|A0A1G4MBG1|A0A1G4MBG1_LACFM	tr|C5DWK5|C5DWK5_ZYGRC
OG0000940	P00445	KMXK_0H00850	tr|A0A1G4MIL8|A0A1G4MIL8_LACFM	tr|C5E138|C5E138_ZYGRC
OG0000941	P32380	KMXK_0B04640	tr|A0A1G4MEP3|A0A1G4MEP3_LACFM	sp|C5DY19|SP110_ZYGRC
OG0000942	P38839	KMXK_0F01430	tr|A0A1G4MJH8|A0A1G4MJH8_LACFM	tr|C5DZL3|C5DZL3_ZYGRC
OG0000943	P09937	KMXK_0B03330	tr|A0A1G4M6Y4|A0A1G4M6Y4_LACFM	tr|C5DYF4|C5DYF4_ZYGRC
OG0000944	P35208	KMXK_0F05470	tr|A0A1G4MH41|A0A1G4MH41_LACFM	tr|C5DV27|C5DV27_ZYGRC
OG0000945	P46677	KMXK_0A03400	tr|A0A1G4ME84|A0A1G4ME84_LACFM	tr|C5DVJ5|C5DVJ5_ZYGRC
OG0000946	Q12516	KMXK_0F00690	tr|A0A1G4M7R1|A0A1G4M7R1_LACFM	tr|C5DTL3|C5DTL3_ZYGRC
OG0000947	P45819	KMXK_0A02430	tr|A0A1G4MKH8|A0A1G4MKH8_LACFM	tr|C5E443|C5E443_ZYGRC
OG0000948	P18410	KMXK_0B03620	tr|A0A1G4MBS1|A0A1G4MBS1_LACFM	tr|C5E1U3|C5E1U3_ZYGRC
OG0000949	Q03012	KMXK_0B08000	tr|A0A1G4MHW8|A0A1G4MHW8_LACFM	tr|C5DXP7|C5DXP7_ZYGRC
OG0000950	P38904	KMXK_0B05650	tr|A0A1G4MGA0|A0A1G4MGA0_LACFM	tr|C5DWD9|C5DWD9_ZYGRC
OG0000951	Q06688	KMXK_0D05510	tr|A0A1G4MD89|A0A1G4MD89_LACFM	tr|C5DS16|C5DS16_ZYGRC
OG0000952	P32916	KMXK_0C04140	tr|A0A1G4MFP5|A0A1G4MFP5_LACFM	tr|C5E0Z1|C5E0Z1_ZYGRC
OG0000953	P13130, P38616		tr|A0A1G4MJI4|A0A1G4MJI4_LACFM	tr|C5DZK8|C5DZK8_ZYGRC
OG0000954	Q04673	KMXK_0G00820	tr|A0A1G4M730|A0A1G4M730_LACFM	tr|C5DQF9|C5DQF9_ZYGRC
OG0000955	P47821	KMXK_0G01320	tr|A0A1G4MDJ0|A0A1G4MDJ0_LACFM	tr|C5DPB9|C5DPB9_ZYGRC
OG0000956	P46965	KMXK_0G00780	tr|A0A1G4M700|A0A1G4M700_LACFM	tr|C5E0E0|C5E0E0_ZYGRC
OG0000957	Q04438	KMXK_0C01080	tr|A0A1G4M9Z5|A0A1G4M9Z5_LACFM	sp|C5E1C7|SPG4_ZYGRC
OG0000958	P53541	KMXK_0C01550	tr|A0A1G4MFE3|A0A1G4MFE3_LACFM	tr|C5E4D8|C5E4D8_ZYGRC
OG0000959	Q07798	KMXK_0C02320	tr|A0A1G4M6W0|A0A1G4M6W0_LACFM	tr|C5DRQ0|C5DRQ0_ZYGRC
OG0000960	P35209	KMXK_0H02250	tr|A0A1G4M9P3|A0A1G4M9P3_LACFM	tr|C5E4P1|C5E4P1_ZYGRC
OG0000961	P32914	KMXK_0E02840	tr|A0A1G4MDA5|A0A1G4MDA5_LACFM	tr|C5DRD8|C5DRD8_ZYGRC
OG0000962	P15019	KMXK_0C06330	tr|A0A1G4M852|A0A1G4M852_LACFM	tr|C5DNZ5|C5DNZ5_ZYGRC
OG0000963	P39931	KMXK_0C01540	tr|A0A1G4MF73|A0A1G4MF73_LACFM	tr|C5E4D7|C5E4D7_ZYGRC
OG0000964	P24276	KMXK_0C04200	tr|A0A1G4MFK9|A0A1G4MFK9_LACFM	tr|C5E0Z7|C5E0Z7_ZYGRC
OG0000965	P53304	KMXK_0G02880	tr|A0A1G4MAN3|A0A1G4MAN3_LACFM	tr|C5DX19|C5DX19_ZYGRC
OG0000966	P39928	KMXK_0C07180	tr|A0A1G4MEA2|A0A1G4MEA2_LACFM	tr|C5DZR7|C5DZR7_ZYGRC
OG0000967	Q04748	KMXK_0F03970	tr|A0A1G4MAL5|A0A1G4MAL5_LACFM	tr|C5E3X3|C5E3X3_ZYGRC
OG0000968	P53540	KMXK_0F03180	tr|A0A1G4MET1|A0A1G4MET1_LACFM	tr|C5DZQ4|C5DZQ4_ZYGRC
OG0000969	P38915	KMXK_0B03260	tr|A0A1G4M8G5|A0A1G4M8G5_LACFM	tr|C5DX95|C5DX95_ZYGRC
OG0000970	P38985	KMXK_0B04050	tr|A0A1G4MDK0|A0A1G4MDK0_LACFM	tr|C5DQ14|C5DQ14_ZYGRC
OG0000971	Q99176	KMXK_0B05460	tr|A0A1G4MJZ2|A0A1G4MJZ2_LACFM	tr|C5DVD8|C5DVD8_ZYGRC
OG0000972	P13856	KMXK_0F03740	tr|A0A1G4MKI7|A0A1G4MKI7_LACFM	tr|C5DZT3|C5DZT3_ZYGRC
OG0000973	P10663	KMXK_0H02690	tr|A0A1G4MIW5|A0A1G4MIW5_LACFM	tr|C5DUU2|C5DUU2_ZYGRC
OG0000974	P47150	KMXK_0H00940	tr|A0A1G4MIK8|A0A1G4MIK8_LACFM	tr|C5E145|C5E145_ZYGRC
OG0000975	P53732	KMXK_0B04090	tr|A0A1G4M8U5|A0A1G4M8U5_LACFM	tr|C5DTX0|C5DTX0_ZYGRC
OG0000976	Q03201	KMXK_0D01430	tr|A0A1G4MCR6|A0A1G4MCR6_LACFM	tr|C5E4L0|C5E4L0_ZYGRC
OG0000977	P53850	KMXK_0A07260	tr|A0A1G4MH16|A0A1G4MH16_LACFM	sp|C5DYV8|RTC4_ZYGRC
OG0000978	P53305	KMXK_0F05080	tr|A0A1G4MAR9|A0A1G4MAR9_LACFM	tr|C5DQB8|C5DQB8_ZYGRC
OG0000979	Q01163	KMXK_0D05750	tr|A0A1G4M997|A0A1G4M997_LACFM	tr|C5E4L7|C5E4L7_ZYGRC
OG0000980	P32607	KMXK_0C01850	tr|A0A1G4MCK7|A0A1G4MCK7_LACFM	tr|C5DR30|C5DR30_ZYGRC
OG0000981	P32608	KMXK_0F01640	tr|A0A1G4MGJ7|A0A1G4MGJ7_LACFM	tr|C5E4Y9|C5E4Y9_ZYGRC
OG0000982	P43612	KMXK_0C06950	tr|A0A1G4MG81|A0A1G4MG81_LACFM	tr|C5E4V6|C5E4V6_ZYGRC
OG0000983	P36123	KMXK_0C01600	tr|A0A1G4MA53|A0A1G4MA53_LACFM	tr|C5E0T1|C5E0T1_ZYGRC
OG0000984	P46674	KMXK_0E05090	tr|A0A1G4MJX0|A0A1G4MJX0_LACFM	tr|C5DYK6|C5DYK6_ZYGRC
OG0000985	P20134	KMXK_0B05870	tr|A0A1G4MEI6|A0A1G4MEI6_LACFM	tr|C5DW22|C5DW22_ZYGRC
OG0000986	P47166	KMXK_0D05250	tr|A0A1G4M695|A0A1G4M695_LACFM	tr|C5DRH7|C5DRH7_ZYGRC
OG0000987	P40561	KMXK_0E03910	tr|A0A1G4MI97|A0A1G4MI97_LACFM	tr|C5DVU4|C5DVU4_ZYGRC
OG0000988	P53075	KMXK_0C06940	tr|A0A1G4MGD0|A0A1G4MGD0_LACFM	sp|C5E4V5|SHE10_ZYGRC
OG0000989	P38200	KMXK_0H03490	tr|A0A1G4MIU1|A0A1G4MIU1_LACFM	tr|C5E0I8|C5E0I8_ZYGRC
OG0000990	Q08199	KMXK_0B03680	tr|A0A1G4MBQ6|A0A1G4MBQ6_LACFM	tr|C5DVD3|C5DVD3_ZYGRC
OG0000991	P25294	KMXK_0B04910	tr|A0A1G4MFL7|A0A1G4MFL7_LACFM	tr|C5E4B7|C5E4B7_ZYGRC
OG0000992	P17883	KMXK_0D05000	tr|A0A1G4ML94|A0A1G4ML94_LACFM	tr|C5DUR8|C5DUR8_ZYGRC
OG0000993	P38247	KMXK_0B02020	tr|A0A1G4MD34|A0A1G4MD34_LACFM	tr|C5E0H0|C5E0H0_ZYGRC
OG0000994	P11978	KMXK_0B01760	tr|A0A1G4MJZ8|A0A1G4MJZ8_LACFM	tr|C5DQ98|C5DQ98_ZYGRC
OG0000995	Q12232	KMXK_0A07540	tr|A0A1G4MGY3|A0A1G4MGY3_LACFM	tr|C5DYY8|C5DYY8_ZYGRC
OG0000996	Q12098	KMXK_0E04980	tr|A0A1G4MJY5|A0A1G4MJY5_LACFM	sp|C5DY61|SLX4_ZYGRC
OG0000997	P39940	KMXK_0H04100	tr|A0A1G4MB68|A0A1G4MB68_LACFM	tr|C5E186|C5E186_ZYGRC
OG0000998	P40825	KMXK_0E01130	tr|A0A1G4MBU8|A0A1G4MBU8_LACFM	tr|C5DV71|C5DV71_ZYGRC
OG0000999	P32902	KMXK_0C00660	tr|A0A1G4MKP0|A0A1G4MKP0_LACFM	tr|C5DQL3|C5DQL3_ZYGRC
OG0001000	P38120	KMXK_0D02440	tr|A0A1G4MA84|A0A1G4MA84_LACFM	tr|C5DR67|C5DR67_ZYGRC
OG0001001	Q03246	KMXK_0E03400	tr|A0A1G4M955|A0A1G4M955_LACFM	tr|C5E4R4|C5E4R4_ZYGRC
OG0001002	P53733	KMXK_0B04110	tr|A0A1G4M8Z7|A0A1G4M8Z7_LACFM	tr|C5DTX2|C5DTX2_ZYGRC
OG0001003	Q03919	KMXK_0D01110	tr|A0A1G4MK00|A0A1G4MK00_LACFM	tr|C5DVE2|C5DVE2_ZYGRC
OG0001004	Q12751	KMXK_0B07360	tr|A0A1G4M957|A0A1G4M957_LACFM	tr|C5E4Q5|C5E4Q5_ZYGRC
OG0001005	P17558	KMXK_0C06460	tr|A0A1G4MG56|A0A1G4MG56_LACFM	tr|C5DW53|C5DW53_ZYGRC
OG0001006	Q07458	KMXK_0D04730	tr|A0A1G4MDH7|A0A1G4MDH7_LACFM	tr|C5DS09|C5DS09_ZYGRC
OG0001007	P42941	KMXK_0F04970	tr|A0A1G4M729|A0A1G4M729_LACFM	tr|C5DX25|C5DX25_ZYGRC
OG0001008	Q04675	KMXK_0F03850	tr|A0A1G4MJ46|A0A1G4MJ46_LACFM	tr|C5E3Y7|C5E3Y7_ZYGRC
OG0001009	Q04172	KMXK_0A05750	tr|A0A1G4MG79|A0A1G4MG79_LACFM	tr|C5DW31|C5DW31_ZYGRC
OG0001010	P40486	KMXK_0G01550	tr|A0A1G4MDX7|A0A1G4MDX7_LACFM	tr|C5DUZ5|C5DUZ5_ZYGRC
OG0001011	P38262	KMXK_0B00890	tr|A0A1G4MBM6|A0A1G4MBM6_LACFM	tr|C5DUE0|C5DUE0_ZYGRC
OG0001012	Q07657	KMXK_0D02340	tr|A0A1G4MJA4|A0A1G4MJA4_LACFM	tr|C5DTP3|C5DTP3_ZYGRC
OG0001013	P00958	KMXK_0A03560	tr|A0A1G4MDX3|A0A1G4MDX3_LACFM	tr|C5DVL1|C5DVL1_ZYGRC
OG0001014	P25345	KMXK_0A02750	tr|A0A1G4MFY9|A0A1G4MFY9_LACFM	tr|C5E474|C5E474_ZYGRC
OG0001015	P53065	KMXK_0C07130	tr|A0A1G4MGE9|A0A1G4MGE9_LACFM	tr|C5E4X5|C5E4X5_ZYGRC
OG0001016	Q03750	KMXK_0A02630	tr|A0A1G4MHM9|A0A1G4MHM9_LACFM	tr|C5E0N0|C5E0N0_ZYGRC
OG0001017	P53040	KMXK_0B02450	tr|A0A1G4M9N9|A0A1G4M9N9_LACFM	tr|C5DU84|C5DU84_ZYGRC
OG0001018	Q06510	KMXK_0H02840	tr|A0A1G4MES9|A0A1G4MES9_LACFM	tr|C5DQZ6|C5DQZ6_ZYGRC
OG0001019	P35691	KMXK_0G02660	tr|A0A1G4MEX2|A0A1G4MEX2_LACFM	tr|C5E4J8|C5E4J8_ZYGRC
OG0001020	Q12297	KMXK_0D03500	tr|A0A1G4M813|A0A1G4M813_LACFM	tr|C5DXD0|C5DXD0_ZYGRC
OG0001021	P53230	KMXK_0A07450	tr|A0A1G4MGZ4|A0A1G4MGZ4_LACFM	tr|C5DYX8|C5DYX8_ZYGRC
OG0001022	P53904	KMXK_0A01070	tr|A0A1G4MHW7|A0A1G4MHW7_LACFM	tr|C5DZM9|C5DZM9_ZYGRC
OG0001023	Q02457	KMXK_0B08210	tr|A0A1G4MHN4|A0A1G4MHN4_LACFM	tr|C5DXM7|C5DXM7_ZYGRC
OG0001024	P39933	KMXK_0D04970	tr|A0A1G4ML42|A0A1G4ML42_LACFM	tr|C5DUS1|C5DUS1_ZYGRC
OG0001025	Q12466	KMXK_0G02160	tr|A0A1G4MDP7|A0A1G4MDP7_LACFM	tr|C5DUB4|C5DUB4_ZYGRC
OG0001026	P38129	KMXK_0A00790	tr|A0A1G4MIL3|A0A1G4MIL3_LACFM	tr|C5DNZ8|C5DNZ8_ZYGRC
OG0001027	Q03761	KMXK_0E04900	tr|A0A1G4MJY1|A0A1G4MJY1_LACFM	tr|C5DY55|C5DY55_ZYGRC
OG0001028	P13393	KMXK_0B00310	tr|A0A1G4MKC4|A0A1G4MKC4_LACFM	tr|C5E0Q7|C5E0Q7_ZYGRC
OG0001029	P47079	KMXK_0B07150	tr|A0A1G4M6U1|A0A1G4M6U1_LACFM	tr|C5DQD8|C5DQD8_ZYGRC
OG0001030	P41895	KMXK_0C02140	tr|A0A1G4M706|A0A1G4M706_LACFM	tr|C5DRR7|C5DRR7_ZYGRC
OG0001031	P02557	KMXK_0H00530	tr|A0A1G4M7Q6|A0A1G4M7Q6_LACFM	tr|C5DX78|C5DX78_ZYGRC
OG0001032	P47058	KMXK_0C04020	tr|A0A1G4M6S9|A0A1G4M6S9_LACFM	tr|C5DQE7|C5DQE7_ZYGRC
