"","protein","Gene","orthogroup"
"686","P21623","YDR403W","S+EMP"
"687","P21657","YIR023W","S+EMP"
"688","P21672","YIL066C","S+EMP"
"689","P21691","YKR101W","S+EMP"
"690","P21705","YNL314W","S+EMP"
"691","P21734","YDR177W","S+EMP"
"692","P21771","YDR337W","S+EMP"
"693","P21801","YLL041C","S+EMP"
"694","P21825","YPL094C","S+EMP"
"695","P21826","YIR031C","S+EMP"
"696","P21827","YGL097W","S+EMP"
"697","P21951","YNL262W","S+EMP"
"698","P21954","YDL066W","S+EMP"
"699","P21957","YHL020C","S+EMP"
"700","P21965","YNL307C","S+EMP"
"701","P22007","YDL090C","S+EMP"
"702","P22023","YOR336W","S+EMP"
"703","P22035","YKR099W","S+EMP"
"704","P22082","YOR290C","S+EMP"
"705","P22108","YDR530C","S+EMP"
"706","P22133","YOL126C","S+EMP"
"707","P22134","YER142C","S+EMP"
"708","P22135","YJL180C","S+EMP"
"709","P22137","YGL206C","S+EMP"
"710","P22138","YPR010C","S+EMP"
"711","P22139","YOR210W","S+EMP"
"712","P22140","YHR123W","S+EMP"
"713","P22141","YER012W","S+EMP"
"714","P22146","YMR307W","S+EMP"
"715","P22147","YGL173C","S+EMP"
"716","P22148","YOL116W","S+EMP"
"717","P22149","YGL071W","S+EMP"
"718","P22202","YER103W","S+EMP"
"719","P22203","YOR332W","S+EMP"
"720","P22204","YGR092W","S+EMP"
"721","P22209","YAR018C","S+EMP"
"722","P22211","YNL183C","S+EMP"
"723","P22213","YDR189W","S+EMP"
"724","P22215","YOR307C","S+EMP"
"725","P22216","YPL153C","S+EMP"
"726","P22217","YLR043C","S+EMP"
"727","P22219","YBR097W","S+EMP"
"728","P22224","YGL233W","S+EMP"
"729","P22276","YOR207C","S+EMP"
"730","P22289","YGR183C","S+EMP"
"731","P22336","YAR007C","S+EMP"
"732","P22353","YJL063C","S+EMP"
"733","P22434","YGL248W","S+EMP"
"734","P22438","YGR171C","S+EMP"
"735","P22470","YDR143C","S+EMP"
"736","P22515","YKL210W","S+EMP"
"737","P22516","YPL008W","S+EMP"
"738","P22517","YOL016C","S+EMP"
"739","P22543","YLR240W","S+EMP"
"740","P22579","YOL004W","S+EMP"
"741","P22580","YDR242W","S+EMP"
"742","P22696","YJR017C","S+EMP"
"743","P22768","YOL058W","S+EMP"
"744","P22803","YGR209C","S+EMP"
"745","P22804","YIL004C","S+EMP"
"746","P22855","YGL156W","S+EMP"
"747","P22943","YFL014W","S+EMP"
"748","P23059","YCR020C-A","S+EMP"
"749","P23060","YCR019W","S+EMP"
"750","P23201","YLL021W","S+EMP"
"751","P23202","YNL229C","S+EMP"
"752","P23248","YML063W","S+EMP"
"753","P23250","YIL119C","S+EMP"
"754","P23254","YPR074C","S+EMP"
"755","P23255","YCR042C","S+EMP"
"756","P23285","YHR057C","S+EMP"
"757","P23287","YLR433C","S+EMP"
"758","P23291","YHR135C","S+EMP"
"759","P23292","YNL154C","S+EMP"
"760","P23293","YPR161C","S+EMP"
"761","P23301","YEL034W","S+EMP"
"762","P23337","YFR015C","S+EMP"
"763","P23394","YDR243C","S+EMP"
"764","P23493","YKL093W","S+EMP"
"765","P23500","YKR052C","S+EMP"
"766","P23501","YKR053C","S+EMP"
"767","P23503","YNL240C","S+EMP"
"768","P23542","YLR027C","S+EMP"
"769","P23561","YLR362W","S+EMP"
"770","P23585","YMR011W","S+EMP"
"771","P23594","YDL134C","S+EMP"
"772","P23595","YDL188C","S+EMP"
"773","P23615","YGR116W","S+EMP"
"774","P23624","YHR014W","S+EMP"
"775","P23638","YGR135W","S+EMP"
"776","P23639","YML092C","S+EMP"
"777","P23641","YJR077C","S+EMP"
"778","P23642","YML115C","S+EMP"
"779","P23643","YDR495C","S+EMP"
"780","P23644","YMR203W","S+EMP"
"781","P23724","YBL041W","S+EMP"
"782","P23748","YMR036C","S+EMP"
"783","P23776","YLR300W","S+EMP"
"784","P23796","YMR283C","S+EMP"
"785","P23797","YMR281W","S+EMP"
"786","P23833","YBR037C","S+EMP"
"787","P23900","YLL043W","S+EMP"
"788","P23968","YHR026W","S+EMP"
"789","P24000","YGR148C","S+EMP"
"790","P24004","YKL197C","S+EMP"
"791","P24031","YBR092C","S+EMP"
"792","P24276","YDR293C","S+EMP"
"793","P24279","YEL032W","S+EMP"
"794","P24280","YMR079W","S+EMP"
"795","P24309","YKL149C","S+EMP"
"796","P24384","YER013W","S+EMP"
"797","P24482","YPR175W","S+EMP"
"798","P24521","YMR220W","S+EMP"
"799","P24583","YBL105C","S+EMP"
"800","P24719","YOR351C","S+EMP"
"801","P24720","YOR350C","S+EMP"
"802","P24783","YNL112W","S+EMP"
"803","P24784","YPL119C","S+EMP"
"804","P24814","YJR090C","S+EMP"
"805","P24867","YNL289W","S+EMP"
"806","P24868","YGR108W","S+EMP"
"807","P24869","YPR119W","S+EMP"
"808","P24870","YDL155W","S+EMP"
"809","P24871","YLR210W","S+EMP"
"810","P25036","YOR003W","S+EMP"
"811","P25037","YDL122W","S+EMP"
"812","P25038","YOL023W","S+EMP"
"813","P25039","YLR069C","S+EMP"
"814","P25040","YOL022C","S+EMP"
"815","P25042","YPR065W","S+EMP"
"816","P25043","YOR157C","S+EMP"
"817","P25044","YDL230W","S+EMP"
"818","P25045","YMR296C","S+EMP"
"819","P25046","YBL093C","S+EMP"
"820","P25087","YML008C","S+EMP"
"821","P25270","YOR201C","S+EMP"
"822","P25293","YKR048C","S+EMP"
"823","P25294","YNL007C","S+EMP"
"824","P25296","YKL190W","S+EMP"
"825","P25297","YML123C","S+EMP"
"826","P25298","YMR061W","S+EMP"
"827","P25299","YGL044C","S+EMP"
"828","P25300","YCR038C","S+EMP"
"829","P25301","YDR004W","S+EMP"
"830","P25302","YER111C","S+EMP"
"831","P25332","YCR036W","S+EMP"
"832","P25333","YCR008W","S+EMP"
"833","P25335","YIR029W","S+EMP"
"834","P25336","YCR092C","S+EMP"
"835","P25337","YCR063W","S+EMP"
"836","P25338","YGL010W","S+EMP"
"837","P25339","YGL014W","S+EMP"
"838","P25340","YGL012W","S+EMP"
"839","P25341","YCR091W","S+EMP"
"840","P25342","YCR002C","S+EMP"
"841","P25343","YCR009C","S+EMP"
"842","P25344","YCL032W","S+EMP"
"843","P25345","YCR024C","S+EMP"
"844","P25346","YCR098C","S+EMP"
"845","P25348","YCR003W","S+EMP"
"846","P25349","YCR004C","S+EMP"
"847","P25351","YCR023C","S+EMP"
"848","P25352","YCR025C","S+EMP"
"849","P25353","YCR026C","S+EMP"
"850","P25354","YCR007C","S+EMP"
"851","P25355","YCR054C","S+EMP"
"852","P25356","YCR032W","S+EMP"
"853","P25357","YCR033W","S+EMP"
"854","P25358","YCR034W","S+EMP"
"855","P25359","YCR035C","S+EMP"
"856","P25360","YCR037C","S+EMP"
"857","P25362","YCR020C","S+EMP"
"858","P25364","YCR065W","S+EMP"
"859","P25365","YCR067C","S+EMP"
"860","P25366","YCR095C","S+EMP"
"861","P25367","YCL028W","S+EMP"
"862","P25368","YCL031C","S+EMP"
"863","P25369","YCL034W","S+EMP"
"864","P25370","YCL036W","S+EMP"
"865","P25371","YCR011C","S+EMP"
"866","P25373","YCL035C","S+EMP"
"867","P25374","YCL017C","S+EMP"
"868","P25375","YCL057W","S+EMP"
"869","P25376","YCL025C","S+EMP"
"870","P25377","YCR105W","S+EMP"
"871","P25378","YCR027C","S+EMP"
"872","P25379","YCL064C","S+EMP"
"873","P25380","YCL048W","S+EMP"
"874","P25381","YCR045C","S+EMP"
"875","P25382","YCR072C","S+EMP"
"876","P25385","YLR078C","S+EMP"
"877","P25386","YDL058W","S+EMP"
"878","P25389","YCL024W","S+EMP"
"879","P25390","YCR073C","S+EMP"
"880","P25443","YGL123W","S+EMP"
"881","P25451","YER094C","S+EMP"
"882","P25453","YER179W","S+EMP"
"883","P25454","YER095W","S+EMP"
"884","P25491","YNL064C","S+EMP"
"885","P25502","YKL015W","S+EMP"
"886","P25515","YEL027W","S+EMP"
"887","P25555","YCL011C","S+EMP"
"888","P25558","YCL014W","S+EMP"
"889","P25559","YCL016C","S+EMP"
"890","P25560","YCL001W","S+EMP"
"891","P25566","YCL033C","S+EMP"
"892","P25567","YCL037C","S+EMP"
"893","P25568","YCL038C","S+EMP"
"894","P25569","YCL039W","S+EMP"
"895","P25573","YCL044C","S+EMP"
"896","P25574","YCL045C","S+EMP"
"897","P25576","YCL047C","S+EMP"
"898","P25577","YCL049C","S+EMP"
"899","P25578","YCL004W","S+EMP"
"900","P25579","YCL051W","S+EMP"
"901","P25580","YCL052C","S+EMP"
"902","P25582","YCL054W","S+EMP"
"903","P25583","YCL055W","S+EMP"
"904","P25584","YCL056C","S+EMP"
"905","P25586","YCL059C","S+EMP"
"906","P25587","YCL005W","S+EMP"
"907","P25588","YCL061C","S+EMP"
"908","P25591","YCL063W","S+EMP"
"909","P25593","YCL068C","S+EMP"
"910","P25594","YCL069W","S+EMP"
"911","P25596","YCL073C","S+EMP"
"912","P25605","YCL009C","S+EMP"
"913","P25608","YCR102C","S+EMP"
"914","P25610","YCR104W","S+EMP"
"915","P25611","YCR106W","S+EMP"
"916","P25613","YCR010C","S+EMP"
"917","P25615","YCR014C","S+EMP"
"918","P25616","YCR015C","S+EMP"
"919","P25617","YCR016W","S+EMP"
"920","P25618","YCR017C","S+EMP"
"921","P25619","YCR021C","S+EMP"
"922","P25621","YCR028C","S+EMP"
"923","P25623","YCR030C","S+EMP"
"924","P25627","YCR047C","S+EMP"
"925","P25628","YCR048W","S+EMP"
"926","P25630","YCR050C","S+EMP"
"927","P25631","YCR051W","S+EMP"
"928","P25632","YCR052W","S+EMP"
"929","P25635","YCR057C","S+EMP"
"930","P25637","YCR059C","S+EMP"
"931","P25638","YCR060W","S+EMP"
"932","P25639","YCR061W","S+EMP"
"933","P25641","YCR068W","S+EMP"
"934","P25642","YCR071C","S+EMP"
"935","P25644","YCR077C","S+EMP"
"936","P25646","YCR079W","S+EMP"
"937","P25648","YCR081W","S+EMP"
"938","P25651","YCR086W","S+EMP"
"939","P25653","YCR089W","S+EMP"
"940","P25654","YCR090C","S+EMP"
"941","P25655","YCR093W","S+EMP"
"942","P25659","YCR076C","S+EMP"
"943","P25693","YDL127W","S+EMP"
"944","P25694","YDL126C","S+EMP"
"945","P25719","YML078W","S+EMP"
"946","P25808","YFL002C","S+EMP"
"947","P25846","YHR120W","S+EMP"
"948","P25847","YOL090W","S+EMP"
"949","P26188","YDL200C","S+EMP"
"950","P26263","YGR087C","S+EMP"
"951","P26309","YGL116W","S+EMP"
"952","P26321","YPL131W","S+EMP"
"953","P26343","YKR034W","S+EMP"
"954","P26370","YDL170W","S+EMP"
"955","P26448","YMR055C","S+EMP"
"956","P26449","YOR026W","S+EMP"
"957","P26570","YML016C","S+EMP"
"958","P26637","YPL160W","S+EMP"
"959","P26725","YJL139C","S+EMP"
"960","P26754","YNL312W","S+EMP"
"961","P26755","YJL173C","S+EMP"
"962","P26783","YJR123W","S+EMP"
"963","P26784","YIL133C","S+EMP"
"964","P26785","YNL069C","S+EMP"
"965","P26786","YOR096W","S+EMP"
"966","P26793","YKL113C","S+EMP"
"967","P26798","YDR123C","S+EMP"
"968","P27344","YBR278W","S+EMP"
"969","P27351","YJR005W","S+EMP"
"970","P27466","YFR014C","S+EMP"
"971","P27472","YLR258W","S+EMP"
"972","P27476","YGR159C","S+EMP"
"973","P27514","YNR013C","S+EMP"
"974","P27515","YNR012W","S+EMP"
"975","P27614","YJL172W","S+EMP"
"976","P27616","YAR015W","S+EMP"
"977","P27636","YAR019C","S+EMP"
"978","P27637","YAR014C","S+EMP"
"979","P27654","YBR067C","S+EMP"
"980","P27692","YML010W","S+EMP"
"981","P27697","YGL119W","S+EMP"
"982","P27705","YGL035C","S+EMP"
"983","P27796","YIL160C","S+EMP"
"984","P27801","YLR148W","S+EMP"
"985","P27809","YDR483W","S+EMP"
"986","P27810","YOR099W","S+EMP"
"987","P27882","YGR029W","S+EMP"
"988","P27895","YEL061C","S+EMP"
"989","P27929","YNL137C","S+EMP"
"990","P27999","YGL070C","S+EMP"
"991","P28000","YNL113W","S+EMP"
"992","P28003","YAL034C","S+EMP"
"993","P28004","YAL032C","S+EMP"
"994","P28005","YAL033W","S+EMP"
"995","P28006","YOR178C","S+EMP"
"996","P28007","YHR089C","S+EMP"
"997","P28240","YER065C","S+EMP"
"998","P28241","YOR136W","S+EMP"
"999","P28263","YEL012W","S+EMP"
"1000","P28272","YKL216W","S+EMP"
"1001","P28273","YKL215C","S+EMP"
"1002","P28274","YBL039C","S+EMP"
"1003","P28319","YKL096W","S+EMP"
"1004","P28320","YKL095W","S+EMP"
"1005","P28321","YKL094W","S+EMP"
"1006","P28495","YKL007W","S+EMP"
"1007","P28496","YKL008C","S+EMP"
"1008","P28519","YMR201C","S+EMP"
"1009","P28584","YKR050W","S+EMP"
"1010","P28625","YMR152W","S+EMP"
"1011","P28627","YMR150C","S+EMP"
"1012","P28707","YKL117W","S+EMP"
"1013","P28708","YKL116C","S+EMP"
"1014","P28737","YGR028W","S+EMP"
"1015","P28742","YBL063W","S+EMP"
"1016","P28743","YPL155C","S+EMP"
"1017","P28777","YGL148W","S+EMP"
"1018","P28778","YKL003C","S+EMP"
"1019","P28789","YDL205C","S+EMP"
"1020","P28791","YDR498C","S+EMP"
"1021","P28795","YDR329C","S+EMP"
"1022","P28817","YDR036C","S+EMP"
"1023","P28834","YNL037C","S+EMP"
"1024","P29029","YLR286C","S+EMP"
"1025","P29055","YPR086W","S+EMP"
"1026","P29056","YGR246C","S+EMP"
"1027","P29295","YPL204W","S+EMP"
"1028","P29311","YER177W","S+EMP"
"1029","P29340","YGR133W","S+EMP"
"1030","P29366","YBR200W","S+EMP"
"1031","P29453","YLL045C","S+EMP"
"1032","P29461","YOR208W","S+EMP"
"1033","P29465","YBR023C","S+EMP"
"1034","P29467","YER044C-A","S+EMP"
"1035","P29468","YKR002W","S+EMP"
"1036","P29469","YBL023C","S+EMP"
"1037","P29478","YML105C","S+EMP"
"1038","P29496","YLR274W","S+EMP"
"1039","P29509","YDR353W","S+EMP"
"1040","P29539","YBR275C","S+EMP"
"1041","P29547","YPL048W","S+EMP"
"1042","P29703","YKL019W","S+EMP"
"1043","P29704","YHR190W","S+EMP"
"1044","P29952","YER003C","S+EMP"
"1045","P30283","YPR120C","S+EMP"
"1046","P30402","YMR271C","S+EMP"
"1047","P30605","YDR497C","S+EMP"
"1048","P30606","YOL103W","S+EMP"
"1049","P30619","YDR164C","S+EMP"
"1050","P30620","YMR137C","S+EMP"
"1051","P30624","YOR317W","S+EMP"
"1052","P30656","YPR103W","S+EMP"
"1053","P30657","YFR050C","S+EMP"
"1054","P30665","YPR019W","S+EMP"
"1055","P30771","YMR080C","S+EMP"
"1056","P30822","YGR218W","S+EMP"
"1057","P30902","YKL016C","S+EMP"
"1058","P30952","YNL117W","S+EMP"
"1059","P31109","YAL030W","S+EMP"
"1060","P31111","YDR285W","S+EMP"
"1061","P31115","YFL001W","S+EMP"
"1062","P31116","YJR139C","S+EMP"
"1063","P31244","YBR114W","S+EMP"
"1064","P31334","YGR220C","S+EMP"
"1065","P31373","YAL012W","S+EMP"
"1066","P31374","YAL017W","S+EMP"
"1067","P31376","YAL011W","S+EMP"
"1068","P31378","YAL015C","S+EMP"
"1069","P31379","YAL018C","S+EMP"
"1070","P31380","YAL019W","S+EMP"
"1071","P31381","YAL022C","S+EMP"
"1072","P31382","YAL023C","S+EMP"
"1073","P31383","YAL016W","S+EMP"
"1074","P31384","YAL021C","S+EMP"
"1075","P31385","YAL013W","S+EMP"
"1076","P31539","YLL026W","S+EMP"
"1077","P31688","YDR074W","S+EMP"
"1078","P31755","YGL038C","S+EMP"
"1079","P31787","YGR037C","S+EMP"
"1080","P32047","YNL074C","S+EMP"
"1081","P32048","YNL073W","S+EMP"
"1082","P32074","YNL287W","S+EMP"
"1083","P32178","YPR060C","S+EMP"
"1084","P32179","YOL064C","S+EMP"
"1085","P32190","YHL032C","S+EMP"
"1086","P32191","YIL155C","S+EMP"
"1087","P32259","YNL236W","S+EMP"
"1088","P32264","YDR300C","S+EMP"
"1089","P32266","YOR211C","S+EMP"
"1090","P32288","YPR035W","S+EMP"
"1091","P32316","YBL015W","S+EMP"
"1092","P32317","YEL052W","S+EMP"
"1093","P32318","YGR144W","S+EMP"
"1094","P32319","YBL017C","S+EMP"
"1095","P32323","YNR044W","S+EMP"
"1096","P32324","YOR133W, YDR385W","S+EMP"
"1097","P32325","YDR052C","S+EMP"
"1098","P32327","YBR218C","S+EMP"
"1099","P32328","YPR111W","S+EMP"
"1100","P32329","YLR120C","S+EMP"
"1101","P32330","YKL121W","S+EMP"
"1102","P32331","YPR058W","S+EMP"
"1103","P32332","YKL120W","S+EMP"
"1104","P32333","YPL082C","S+EMP"
"1105","P32334","YGR014W","S+EMP"
"1106","P32335","YLR203C","S+EMP"
"1107","P32336","YOR373W","S+EMP"
"1108","P32337","YMR308C","S+EMP"
"1109","P32338","YGR044C","S+EMP"
"1110","P32339","YLR205C","S+EMP"
"1111","P32340","YML120C","S+EMP"
"1112","P32341","YKL119C","S+EMP"
"1113","P32342","YKL122C","S+EMP"
"1114","P32343","YKL124W","S+EMP"
"1115","P32345","YDR075W","S+EMP"
"1116","P32347","YDR047W","S+EMP"
"1117","P32349","YPR190C","S+EMP"
"1118","P32350","YLL019C","S+EMP"
"1119","P32352","YMR202W","S+EMP"
"1120","P32353","YLR056W","S+EMP"
"1121","P32354","YIL150C","S+EMP"
"1122","P32356","YDR001C","S+EMP"
"1123","P32357","YBL074C","S+EMP"
"1124","P32361","YHR079C","S+EMP"
"1125","P32363","YPL175W","S+EMP"
"1126","P32364","YKL079W","S+EMP"
"1127","P32366","YLR447C","S+EMP"
"1128","P32367","YBR123C","S+EMP"
"1129","P32368","YKL212W","S+EMP"
"1130","P32375","YIR027C","S+EMP"
"1131","P32377","YNR043W","S+EMP"
"1132","P32378","YNR041C","S+EMP"
"1133","P32379","YGR253C","S+EMP"
"1134","P32380","YDR356W","S+EMP"
"1135","P32381","YDL029W","S+EMP"
"1136","P32383","YPL268W","S+EMP"
"1137","P32385","YLL046C","S+EMP"
"1138","P32386","YLL048C","S+EMP"
"1139","P32387","YDR405W","S+EMP"
"1140","P32388","YKL167C","S+EMP"
"1141","P32389","YNL103W","S+EMP"
"1142","P32419","YDL078C","S+EMP"
"1143","P32432","YLR403W","S+EMP"
"1144","P32435","YGL089C","S+EMP"
"1145","P32445","YCR028C-A","S+EMP"
"1146","P32447","YJL115W","S+EMP"
"1147","P32448","YDL197C","S+EMP"
"1148","P32449","YBR249C","S+EMP"
"1149","P32451","YGR286C","S+EMP"
"1150","P32452","YNL316C","S+EMP"
"1151","P32453","YNL315C","S+EMP"
"1152","P32454","YKL157W","S+EMP"
"1153","P32457","YLR314C","S+EMP"
"1154","P32458","YJR076C","S+EMP"
"1155","P32459","YIR032C","S+EMP"
"1156","P32460","YIR030C","S+EMP"
"1157","P32461","YKL191W","S+EMP"
"1158","P32462","YNL280C","S+EMP"
"1159","P32463","YKL192C","S+EMP"
"1160","P32464","YKL189W","S+EMP"
"1161","P32465","YHR094C","S+EMP"
"1162","P32466","YDR345C","S+EMP"
"1163","P32467","YHR092C","S+EMP"
"1164","P32468","YHR107C","S+EMP"
"1165","P32469","YLR172C","S+EMP"
"1166","P32471","YAL003W","S+EMP"
"1167","P32472","YDR519W","S+EMP"
"1168","P32473","YBR221C","S+EMP"
"1169","P32474","YDR518W","S+EMP"
"1170","P32476","YGR175C","S+EMP"
"1171","P32477","YJL101C","S+EMP"
"1172","P32479","YBL008W","S+EMP"
"1173","P32480","YOR038C","S+EMP"
"1174","P32481","YER025W","S+EMP"
"1175","P32485","YLR113W","S+EMP"
"1176","P32486","YPR159W","S+EMP"
"1177","P32487","YNL268W","S+EMP"
"1178","P32488","YMR081C","S+EMP"
"1179","P32489","YPL121C","S+EMP"
"1180","P32490","YOR231W","S+EMP"
"1181","P32492","YAL029C","S+EMP"
"1182","P32494","YDR176W","S+EMP"
"1183","P32495","YDL208W","S+EMP"
"1184","P32496","YFR052W","S+EMP"
"1185","P32497","YMR309C","S+EMP"
"1186","P32499","YLR335W","S+EMP"
"1187","P32500","YML031W","S+EMP"
"1188","P32501","YDR211W","S+EMP"
"1189","P32502","YLR291C","S+EMP"
"1190","P32504","YGR140W","S+EMP"
"1191","P32505","YGL122C","S+EMP"
"1192","P32521","YIR006C","S+EMP"
"1193","P32522","YLR067C","S+EMP"
"1194","P32523","YLL036C","S+EMP"
"1195","P32524","YJL203W","S+EMP"
"1196","P32525","YJL201W","S+EMP"
"1197","P32527","YGR285C","S+EMP"
"1198","P32528","YBR208C","S+EMP"
"1199","P32529","YJR063W","S+EMP"
"1200","P32558","YGL207W","S+EMP"
"1201","P32559","YMR023C","S+EMP"
"1202","P32561","YNL330C","S+EMP"
"1203","P32562","YMR001C","S+EMP"
"1204","P32563","YOR270C","S+EMP"
"1205","P32564","YGR049W","S+EMP"
"1206","P32565","YIL075C","S+EMP"
"1207","P32566","YGR229C","S+EMP"
"1208","P32567","YMR165C","S+EMP"
"1209","P32568","YDR011W","S+EMP"
"1210","P32569","YER022W","S+EMP"
"1211","P32570","YBR253W","S+EMP"
"1212","P32571","YDR069C","S+EMP"
"1213","P32572","YNL204C","S+EMP"
"1214","P32573","YNL202W","S+EMP"
"1215","P32578","YDR422C","S+EMP"
"1216","P32579","YGL169W","S+EMP"
"1217","P32580","YPL029W","S+EMP"
"1218","P32581","YJL106W","S+EMP"
"1219","P32582","YGR155W","S+EMP"
"1220","P32583","YKR092C","S+EMP"
"1221","P32584","YDR410C","S+EMP"
"1222","P32585","YGR104C","S+EMP"
"1223","P32588","YNL016W","S+EMP"
"1224","P32589","YPL106C","S+EMP"
"1225","P32590","YBR169C","S+EMP"
"1226","P32591","YJL176C","S+EMP"
"1227","P32597","YIL126W","S+EMP"
"1228","P32598","YER133W","S+EMP"
"1229","P32599","YDR129C","S+EMP"
"1230","P32600","YKL203C","S+EMP"
"1231","P32601","YPR017C","S+EMP"
"1232","P32602","YBL050W","S+EMP"
"1233","P32603","YOR190W","S+EMP"
"1234","P32604","YJL155C","S+EMP"
"1235","P32605","YBR119W","S+EMP"
"1236","P32606","YOR017W","S+EMP"
"1237","P32608","YGL252C","S+EMP"
"1238","P32609","YDR323C","S+EMP"
"1239","P32610","YEL051W","S+EMP"
"1240","P32611","YEL050C","S+EMP"
"1241","P32612","YEL049W","S+EMP"
"1242","P32614","YEL047C","S+EMP"
"1243","P32617","YEL044W","S+EMP"
"1244","P32618","YEL043W","S+EMP"
"1245","P32621","YEL042W","S+EMP"
"1246","P32622","YEL041W","S+EMP"
"1247","P32623","YEL040W","S+EMP"
"1248","P32626","YEL038W","S+EMP"
"1249","P32628","YEL037C","S+EMP"
"1250","P32629","YEL036C","S+EMP"
"1251","P32630","YEL035C","S+EMP"
"1252","P32633","YEL033W","S+EMP"
"1253","P32634","YER132C","S+EMP"
"1254","P32639","YER172C","S+EMP"
"1255","P32641","YER173W","S+EMP"
"1256","P32642","YER174C","S+EMP"
"1257","P32643","YER175C","S+EMP"
"1258","P32644","YER176W","S+EMP"
"1259","P32645","YER180C","S+EMP"
"1260","P32656","YER163C","S+EMP"
"1261","P32657","YER164W","S+EMP"
"1262","P32660","YER166W","S+EMP"
"1263","P32767","YGL016W","S+EMP"
"1264","P32769","YKR084C","S+EMP"
"1265","P32770","YDL167C","S+EMP"
"1266","P32771","YDL168W","S+EMP"
"1267","P32772","YDL169C","S+EMP"
"1268","P32773","YOR194C","S+EMP"
"1269","P32774","YKL058W","S+EMP"
"1270","P32775","YEL011W","S+EMP"
"1271","P32776","YDR311W","S+EMP"
"1272","P32781","YGL032C","S+EMP"
"1273","P32783","YBR236C","S+EMP"
"1274","P32784","YBL011W","S+EMP"
"1275","P32786","YBL014C","S+EMP"
"1276","P32787","YJR144W","S+EMP"
"1277","P32788","YBL010C","S+EMP"
"1278","P32789","YBL009W","S+EMP"
"1279","P32790","YBL007C","S+EMP"
"1280","P32791","YLR214W","S+EMP"
"1281","P32792","YHR017W","S+EMP"
"1282","P32793","YHR016C","S+EMP"
"1283","P32794","YLR397C","S+EMP"
"1284","P32795","YPR024W","S+EMP"
"1285","P32796","YML042W","S+EMP"
"1286","P32797","YDL220C","S+EMP"
"1287","P32798","YOR316C","S+EMP"
"1288","P32799","YGL191W","S+EMP"
"1289","P32801","YKL048C","S+EMP"
"1290","P32802","YLR083C","S+EMP"
"1291","P32803","YGL200C","S+EMP"
"1292","P32804","YGL255W","S+EMP"
"1293","P32805","YGL254W","S+EMP"
"1294","P32806","YJL044C","S+EMP"
"1295","P32807","YMR284W","S+EMP"
"1296","P32828","YDL013W","S+EMP"
"1297","P32829","YMR224C","S+EMP"
"1298","P32830","YBR091C","S+EMP"
"1299","P32831","YBR212W","S+EMP"
"1300","P32832","YMR091C","S+EMP"
"1301","P32833","YBR060C","S+EMP"
"1302","P32835","YLR293C","S+EMP"
"1303","P32836","YOR185C","S+EMP"
"1304","P32837","YDL210W","S+EMP"
"1305","P32838","YNR032W","S+EMP"
"1306","P32839","YDR375C","S+EMP"
"1307","P32842","YPL234C","S+EMP"
"1308","P32843","YMR302C","S+EMP"
"1309","P32844","YIL068C","S+EMP"
"1310","P32849","YLR032W","S+EMP"
"1311","P32855","YPR055W","S+EMP"
"1312","P32857","YKL039W","S+EMP"
"1313","P32860","YKL040C","S+EMP"
"1314","P32861","YKL035W","S+EMP"
"1315","P32862","YKL038W","S+EMP"
"1316","P32863","YGL163C","S+EMP"
"1317","P32864","YOR370C","S+EMP"
"1318","P32867","YPL232W","S+EMP"
"1319","P32873","YPL115C","S+EMP"
"1320","P32874","YMR207C","S+EMP"
"1321","P32875","YOR196C","S+EMP"
"1322","P32891","YDL174C","S+EMP"
"1323","P32892","YLL008W","S+EMP"
"1324","P32893","YGR166W","S+EMP"
"1325","P32895","YKL181W","S+EMP"
"1326","P32896","YDR081C","S+EMP"
"1327","P32897","YNR017W","S+EMP"
"1328","P32898","YDR430C","S+EMP"
"1329","P32899","YHR148W","S+EMP"
"1330","P32900","YHR149C","S+EMP"
"1331","P32901","YKR093W","S+EMP"
"1332","P32902","YHL004W","S+EMP"
"1333","P32903","YCR024C-A","S+EMP"
"1334","P32904","YHR147C","S+EMP"
"1335","P32905","YGR214W","S+EMP"
"1336","P32906","YJR131W","S+EMP"
"1337","P32907","YNR002C","S+EMP"
"1338","P32908","YFL008W","S+EMP"
"1339","P32909","YBR172C","S+EMP"
"1340","P32910","YNR003C","S+EMP"
"1341","P32911","YNL244C","S+EMP"
"1342","P32912","YGL212W","S+EMP"
"1343","P32913","YOR132W","S+EMP"
"1344","P32915","YLR378C","S+EMP"
"1345","P32916","YDR292C","S+EMP"
"1346","P32917","YDR103W","S+EMP"
"1347","P32939","YML001W","S+EMP"
"1348","P32943","YGR109C","S+EMP"
"1349","P32944","YJL187C","S+EMP"
"1350","P32945","YPL179W","S+EMP"
"1351","P33122","YOR344C","S+EMP"
"1352","P33199","YGL015C","S+EMP"
"1353","P33200","YBL005W","S+EMP"
"1354","P33201","YKL009W","S+EMP"
"1355","P33202","YKL010C","S+EMP"
"1356","P33203","YKL012W","S+EMP"
"1357","P33204","YKL013C","S+EMP"
"1358","P33296","YER100W","S+EMP"
"1359","P33297","YOR117W","S+EMP"
"1360","P33298","YDR394W","S+EMP"
"1361","P33299","YKL145W","S+EMP"
"1362","P33300","YPL057C","S+EMP"
"1363","P33301","YDR369C","S+EMP"
"1364","P33302","YOR153W","S+EMP"
"1365","P33303","YJR095W","S+EMP"
"1366","P33304","YDR085C","S+EMP"
"1367","P33306","YER167W","S+EMP"
